Date,sentbyaddress3roc
2016/01/01,-1.349
2016/01/02,10.211
2016/01/03,-5.491
2016/01/04,6.055
2016/01/05,0.741
2016/01/06,3.646
2016/01/07,6.077
2016/01/08,0.92
2016/01/09,0.417
2016/01/10,6.597
2016/01/11,13.791
2016/01/12,18.646
2016/01/13,-3.8
2016/01/14,-7.795
2016/01/15,-1.502
2016/01/16,-12.81
2016/01/17,-17.024
2016/01/18,-15.396
2016/01/19,0.129
2016/01/20,42.08
2016/01/21,-7.207
2016/01/22,3.361
2016/01/23,-7.76
2016/01/24,36.699
2016/01/25,39.212
2016/01/26,25.133
2016/01/27,-1.515
2016/01/28,-6.11
2016/01/29,-14
2016/01/30,-4.231
2016/01/31,0.478
2016/02/01,2.078
2016/02/02,0.954
2016/02/03,-3.476
2016/02/04,-3.49
2016/02/05,1.74
2016/02/06,-3.848
2016/02/07,7.584
2016/02/08,13.294
2016/02/09,27.193
2016/02/10,52.428
2016/02/11,46.247
2016/02/12,33.28
2016/02/13,-5.942
2016/02/14,-21.74
2016/02/15,-16.314
2016/02/16,-10.485
2016/02/17,1.696
2016/02/18,-1.41
2016/02/19,-3.492
2016/02/20,-6.375
2016/02/21,27.146
2016/02/22,14.361
2016/02/23,18.25
2016/02/24,-16.734
2016/02/25,8.207
2016/02/26,0.201
2016/02/27,6.306
2016/02/28,3.777
2016/02/29,34.146
2016/03/01,40.874
2016/03/02,31.905
2016/03/03,20
2016/03/04,12.124
2016/03/05,28.126
2016/03/06,11.27
2016/03/07,-7.346
2016/03/08,-6.704
2016/03/09,-7.909
2016/03/10,21.581
2016/03/11,-3.5
2016/03/12,3.585
2016/03/13,-7.804
2016/03/14,-2.701
2016/03/15,-4.889
2016/03/16,-9.597
2016/03/17,-0.595
2016/03/18,10.177
2016/03/19,-2.418
2016/03/20,-8.835
2016/03/21,-5.02
2016/03/22,1.306
2016/03/23,0.438
2016/03/24,-12.672
2016/03/25,-4.958
2016/03/26,-10.826
2016/03/27,5.242
2016/03/28,11.626
2016/03/29,47.167
2016/03/30,30.804
2016/03/31,1.76
2016/04/01,-23.535
2016/04/02,-28.845
2016/04/03,-11.141
2016/04/04,7.098
2016/04/05,14.309
2016/04/06,14.461
2016/04/07,-2.554
2016/04/08,-6.57
2016/04/09,0.101
2016/04/10,12.23
2016/04/11,2.774
2016/04/12,2.002
2016/04/13,0.297
2016/04/14,5.168
2016/04/15,-8.725
2016/04/16,-16.593
2016/04/17,1.313
2016/04/18,9.429
2016/04/19,8.662
2016/04/20,-1.335
2016/04/21,-1.231
2016/04/22,3.649
2016/04/23,-2.349
2016/04/24,1.588
2016/04/25,4.17
2016/04/26,10.09
2016/04/27,5.975
2016/04/28,-3.191
2016/04/29,40.196
2016/04/30,51.382
2016/05/01,36.591
2016/05/02,6.181
2016/05/03,-9.521
2016/05/04,-1.856
2016/05/05,-13.507
2016/05/06,-5.071
2016/05/07,-3.23
2016/05/08,2.215
2016/05/09,6.706
2016/05/10,13.562
2016/05/11,22.594
2016/05/12,19.472
2016/05/13,38.263
2016/05/14,5.543
2016/05/15,-10.881
2016/05/16,-26.496
2016/05/17,-9.699
2016/05/18,12.69
2016/05/19,19.567
2016/05/20,3.6
2016/05/21,-13.122
2016/05/22,-24.57
2016/05/23,5.184
2016/05/24,11.206
2016/05/25,21.118
2016/05/26,71.558
2016/05/27,18.191
