Date,sentinusd90momUSD
2016/01/01,245489
2016/01/02,63052
2016/01/03,255382
2016/01/04,-165173
2016/01/05,814407
2016/01/06,66509
2016/01/07,201365
2016/01/08,112352
2016/01/09,127965
2016/01/10,-18838
2016/01/11,280537
2016/01/12,600274
2016/01/13,47157
2016/01/14,181691
2016/01/15,1041862
2016/01/16,611963
2016/01/17,200669
2016/01/18,2975155
2016/01/19,1393902
2016/01/20,597464
2016/01/21,332926
2016/01/22,1341356
2016/01/23,1829634
2016/01/24,3657506
2016/01/25,3377114
2016/01/26,2871589
2016/01/27,2367229
2016/01/28,920508
2016/01/29,1899287
2016/01/30,2357382
2016/01/31,2241766
2016/02/01,741261
2016/02/02,633710
2016/02/03,1185215
2016/02/04,-5895
2016/02/05,1067976
2016/02/06,-268731
2016/02/07,1435417
2016/02/08,3697919
2016/02/09,5216495
2016/02/10,8210411
2016/02/11,8459731
2016/02/12,12169118
2016/02/13,6289443
2016/02/14,4104589
2016/02/15,2907257
2016/02/16,6129390
2016/02/17,2821392
2016/02/18,4366042
2016/02/19,2095286
2016/02/20,5044560
2016/02/21,1458486
2016/02/22,3768848
2016/02/23,8642601
2016/02/24,11334329
2016/02/25,5192973
2016/02/26,23912029
2016/02/27,13349747
2016/02/28,4817777
2016/02/29,4373645
2016/03/01,8548112
2016/03/02,28545893
2016/03/03,19265294
2016/03/04,13869111
2016/03/05,31697423
2016/03/06,17555196
2016/03/07,15137308
2016/03/08,20416292
2016/03/09,11709384
2016/03/10,9700501
2016/03/11,9968359
2016/03/12,19397588
2016/03/13,28099582
2016/03/14,21428949
2016/03/15,15005071
2016/03/16,14327644
2016/03/17,20014292
2016/03/18,23839652
2016/03/19,8182458
2016/03/20,5472794
2016/03/21,9571088
2016/03/22,7828473
2016/03/23,6682685
2016/03/24,10811309
2016/03/25,5851230
2016/03/26,3546391
2016/03/27,12157206
2016/03/28,8633212
2016/03/29,14749066
2016/03/30,15744938
2016/03/31,10226401
2016/04/01,4191667
2016/04/02,3945322
2016/04/03,2360046
2016/04/04,3942198
2016/04/05,7129544
2016/04/06,5886690
2016/04/07,7322923
2016/04/08,5207450
2016/04/09,12405831
2016/04/10,9647219
2016/04/11,4123506
2016/04/12,8105377
2016/04/13,8484855
2016/04/14,6732663
2016/04/15,4215884
2016/04/16,3130393
2016/04/17,4405406
2016/04/18,4083291
2016/04/19,2812628
2016/04/20,5036915
2016/04/21,2609153
2016/04/22,4036136
2016/04/23,4000879
2016/04/24,-1850877
2016/04/25,1822702
2016/04/26,5589591
2016/04/27,3646782
2016/04/28,3611294
2016/04/29,2039701
2016/04/30,19751096
2016/05/01,14044050
2016/05/02,16986815
2016/05/03,12073518
2016/05/04,9657238
2016/05/05,9096503
2016/05/06,19233154
2016/05/07,11763875
2016/05/08,8645558
2016/05/09,13664511
2016/05/10,10838872
2016/05/11,20697646
2016/05/12,20658828
2016/05/13,79458106
2016/05/14,55784849
2016/05/15,11155825
2016/05/16,9332805
2016/05/17,12420943
2016/05/18,19076209
2016/05/19,34835816
2016/05/20,27145414
