Date,price90trxUSD
2016/01/01,-0.189
2016/01/02,-0.189
2016/01/03,-0.188
2016/01/04,-0.188
2016/01/05,-0.187
2016/01/06,-0.186
2016/01/07,-0.185
2016/01/08,-0.184
2016/01/09,-0.183
2016/01/10,-0.182
2016/01/11,-0.18
2016/01/12,-0.178
2016/01/13,-0.177
2016/01/14,-0.174
2016/01/15,-0.172
2016/01/16,-0.169
2016/01/17,-0.166
2016/01/18,-0.163
2016/01/19,-0.159
2016/01/20,-0.155
2016/01/21,-0.151
2016/01/22,-0.146
2016/01/23,-0.14
2016/01/24,-0.134
2016/01/25,-0.126
2016/01/26,-0.117
2016/01/27,-0.108
2016/01/28,-0.097
2016/01/29,-0.085
2016/01/30,-0.072
2016/01/31,-0.059
2016/02/01,-0.045
2016/02/02,-0.031
2016/02/03,-0.016
2016/02/04,-0.001
2016/02/05,0.015
2016/02/06,0.032
2016/02/07,0.049
2016/02/08,0.067
2016/02/09,0.086
2016/02/10,0.107
2016/02/11,0.13
2016/02/12,0.157
2016/02/13,0.185
2016/02/14,0.216
2016/02/15,0.248
2016/02/16,0.281
2016/02/17,0.315
2016/02/18,0.348
2016/02/19,0.382
2016/02/20,0.417
2016/02/21,0.451
2016/02/22,0.486
2016/02/23,0.521
2016/02/24,0.558
2016/02/25,0.596
2016/02/26,0.634
2016/02/27,0.673
2016/02/28,0.713
2016/02/29,0.753
2016/03/01,0.793
2016/03/02,0.835
2016/03/03,0.878
2016/03/04,0.924
2016/03/05,0.973
2016/03/06,1.024
2016/03/07,1.076
2016/03/08,1.128
2016/03/09,1.181
2016/03/10,1.236
2016/03/11,1.29
2016/03/12,1.346
2016/03/13,1.403
2016/03/14,1.462
2016/03/15,1.519
2016/03/16,1.576
2016/03/17,1.631
2016/03/18,1.682
2016/03/19,1.73
2016/03/20,1.775
2016/03/21,1.816
2016/03/22,1.855
2016/03/23,1.891
2016/03/24,1.925
2016/03/25,1.955
2016/03/26,1.981
2016/03/27,2.005
2016/03/28,2.026
2016/03/29,2.044
2016/03/30,2.06
2016/03/31,2.074
2016/04/01,2.086
2016/04/02,2.095
2016/04/03,2.102
2016/04/04,2.107
2016/04/05,2.109
2016/04/06,2.109
2016/04/07,2.107
2016/04/08,2.102
2016/04/09,2.095
2016/04/10,2.086
2016/04/11,2.074
2016/04/12,2.06
2016/04/13,2.044
2016/04/14,2.026
2016/04/15,2.007
2016/04/16,1.986
2016/04/17,1.965
2016/04/18,1.943
2016/04/19,1.92
2016/04/20,1.897
2016/04/21,1.873
2016/04/22,1.849
2016/04/23,1.824
2016/04/24,1.799
2016/04/25,1.773
2016/04/26,1.747
2016/04/27,1.72
2016/04/28,1.693
2016/04/29,1.666
2016/04/30,1.639
2016/05/01,1.613
2016/05/02,1.587
2016/05/03,1.561
2016/05/04,1.537
2016/05/05,1.512
2016/05/06,1.489
2016/05/07,1.466
2016/05/08,1.443
2016/05/09,1.42
2016/05/10,1.399
2016/05/11,1.377
2016/05/12,1.356
2016/05/13,1.336
2016/05/14,1.316
2016/05/15,1.297
2016/05/16,1.279
2016/05/17,1.261
2016/05/18,1.244
2016/05/19,1.229
2016/05/20,1.214
2016/05/21,1.201
2016/05/22,1.189
2016/05/23,1.177
2016/05/24,1.166
2016/05/25,1.155
2016/05/26,1.145
2016/05/27,1.135
2016/05/28,1.124
2016/05/29,1.114
2016/05/30,1.104
2016/05/31,1.094
2016/06/01,1.085
2016/06/02,1.076
2016/06/03,1.068
2016/06/04,1.06
2016/06/05,1.052
2016/06/06,1.044
2016/06/07,1.037
2016/06/08,1.03
2016/06/09,1.023
2016/06/10,1.017
2016/06/11,1.01
2016/06/12,1.004
2016/06/13,0.998
2016/06/14,0.994
2016/06/15,0.99
2016/06/16,0.986
2016/06/17,0.984
2016/06/18,0.98
2016/06/19,0.976
2016/06/20,0.972
2016/06/21,0.967
2016/06/22,0.962
2016/06/23,0.956
2016/06/24,0.95
2016/06/25,0.945
2016/06/26,0.939
2016/06/27,0.933
2016/06/28,0.926
2016/06/29,0.92
2016/06/30,0.913
2016/07/01,0.905
2016/07/02,0.898
2016/07/03,0.89
2016/07/04,0.881
2016/07/05,0.872
2016/07/06,0.863
2016/07/07,0.854
2016/07/08,0.844
2016/07/09,0.833
2016/07/10,0.823
2016/07/11,0.812
2016/07/12,0.802
2016/07/13,0.791
2016/07/14,0.78
2016/07/15,0.769
2016/07/16,0.758
2016/07/17,0.747
2016/07/18,0.736
2016/07/19,0.725
2016/07/20,0.715
2016/07/21,0.704
2016/07/22,0.694
2016/07/23,0.684
2016/07/24,0.675
2016/07/25,0.666
2016/07/26,0.657
2016/07/27,0.648
2016/07/28,0.639
2016/07/29,0.631
2016/07/30,0.622
2016/07/31,0.614
2016/08/01,0.605
2016/08/02,0.597
2016/08/03,0.588
2016/08/04,0.579
2016/08/05,0.57
2016/08/06,0.561
2016/08/07,0.552
2016/08/08,0.544
2016/08/09,0.535
2016/08/10,0.526
2016/08/11,0.518
2016/08/12,0.509
2016/08/13,0.501
2016/08/14,0.493
2016/08/15,0.485
2016/08/16,0.477
2016/08/17,0.469
2016/08/18,0.461
2016/08/19,0.453
2016/08/20,0.445
2016/08/21,0.437
2016/08/22,0.43
2016/08/23,0.422
2016/08/24,0.414
2016/08/25,0.407
2016/08/26,0.4
2016/08/27,0.392
2016/08/28,0.385
2016/08/29,0.378
2016/08/30,0.371
2016/08/31,0.364
2016/09/01,0.357
2016/09/02,0.351
2016/09/03,0.345
2016/09/04,0.338
2016/09/05,0.332
2016/09/06,0.326
2016/09/07,0.32
2016/09/08,0.315
2016/09/09,0.309
2016/09/10,0.303
2016/09/11,0.298
2016/09/12,0.293
2016/09/13,0.288
2016/09/14,0.283
2016/09/15,0.278
2016/09/16,0.273
2016/09/17,0.268
2016/09/18,0.264
2016/09/19,0.26
2016/09/20,0.256
2016/09/21,0.252
2016/09/22,0.249
2016/09/23,0.246
2016/09/24,0.242
2016/09/25,0.239
2016/09/26,0.237
2016/09/27,0.234
2016/09/28,0.231
2016/09/29,0.229
2016/09/30,0.226
2016/10/01,0.224
2016/10/02,0.222
2016/10/03,0.22
2016/10/04,0.218
2016/10/05,0.216
2016/10/06,0.214
2016/10/07,0.212
2016/10/08,0.21
2016/10/09,0.208
2016/10/10,0.206
2016/10/11,0.204
2016/10/12,0.202
2016/10/13,0.2
2016/10/14,0.198
2016/10/15,0.196
2016/10/16,0.194
2016/10/17,0.192
2016/10/18,0.189
2016/10/19,0.187
