Date,mediantransactionvalue7stdUSD
2016/01/01,1.087
2016/01/02,1.158
2016/01/03,0.961
2016/01/04,0.959
2016/01/05,1.227
2016/01/06,1.227
2016/01/07,1.36
2016/01/08,1.245
2016/01/09,1.183
2016/01/10,1.171
2016/01/11,1.166
2016/01/12,1.148
2016/01/13,1.148
2016/01/14,0.907
2016/01/15,1.019
2016/01/16,1.063
2016/01/17,1.096
2016/01/18,1.107
2016/01/19,1.165
2016/01/20,0.883
2016/01/21,0.928
2016/01/22,0.928
2016/01/23,1.081
2016/01/24,1.289
2016/01/25,1.267
2016/01/26,0.767
2016/01/27,1.318
2016/01/28,1.345
2016/01/29,1.28
2016/01/30,1.338
2016/01/31,1.345
2016/02/01,1.345
2016/02/02,1.317
2016/02/03,0.362
2016/02/04,0.352
2016/02/05,0.346
2016/02/06,1.909
2016/02/07,1.97
2016/02/08,2.189
2016/02/09,2.467
2016/02/10,3.318
2016/02/11,3.629
2016/02/12,4.437
2016/02/13,2.783
2016/02/14,2.301
2016/02/15,1.837
2016/02/16,1.339
2016/02/17,1.774
2016/02/18,1.947
2016/02/19,1.225
2016/02/20,1.194
2016/02/21,1.116
2016/02/22,0.902
2016/02/23,1.315
2016/02/24,1.352
2016/02/25,1.473
2016/02/26,1.32
2016/02/27,1.139
2016/02/28,1
2016/02/29,0.821
2016/03/01,1.008
2016/03/02,1.565
2016/03/03,2.555
2016/03/04,2.64
2016/03/05,4.285
2016/03/06,4.252
2016/03/07,3.664
2016/03/08,2.891
2016/03/09,2.354
2016/03/10,2.83
2016/03/11,2.487
2016/03/12,2.833
2016/03/13,3.564
2016/03/14,3.748
2016/03/15,2.996
2016/03/16,2.326
2016/03/17,2.576
2016/03/18,2.812
2016/03/19,3.476
2016/03/20,3.502
2016/03/21,2.908
2016/03/22,2.556
2016/03/23,1.451
2016/03/24,1.165
2016/03/25,1.251
2016/03/26,1.219
2016/03/27,1.049
2016/03/28,1.05
2016/03/29,1.044
2016/03/30,0.994
2016/03/31,1.129
2016/04/01,0.934
2016/04/02,0.647
2016/04/03,0.419
2016/04/04,0.388
2016/04/05,0.912
2016/04/06,1.006
2016/04/07,1.063
2016/04/08,1.303
2016/04/09,1.375
2016/04/10,1.588
2016/04/11,1.626
2016/04/12,1.981
2016/04/13,1.973
2016/04/14,1.578
2016/04/15,1.257
2016/04/16,0.705
2016/04/17,0.68
2016/04/18,0.944
2016/04/19,1.076
2016/04/20,0.933
2016/04/21,0.933
2016/04/22,0.971
2016/04/23,1.013
2016/04/24,0.846
2016/04/25,0.798
2016/04/26,0.759
2016/04/27,0.639
2016/04/28,0.596
2016/04/29,0.593
2016/04/30,0.639
2016/05/01,0.904
2016/05/02,1.562
2016/05/03,1.805
2016/05/04,1.845
2016/05/05,1.624
2016/05/06,1.082
2016/05/07,0.627
2016/05/08,0.288
2016/05/09,0.284
2016/05/10,0.236
2016/05/11,0.27
2016/05/12,0.546
2016/05/13,1.037
2016/05/14,1.078
2016/05/15,0.974
2016/05/16,0.922
2016/05/17,1.277
2016/05/18,2.031
2016/05/19,2.752
2016/05/20,3.324
2016/05/21,3.147
2016/05/22,2.595
2016/05/23,1.665
2016/05/24,0.976
2016/05/25,1.339
2016/05/26,5.179
2016/05/27,5.003
2016/05/28,9.067
2016/05/29,8.778
2016/05/30,8.265
2016/05/31,8.254
2016/06/01,8.639
2016/06/02,8.773
2016/06/03,9.051
2016/06/04,4.838
2016/06/05,2.829
2016/06/06,2.866
2016/06/07,5.026
2016/06/08,5.147
2016/06/09,5.251
2016/06/10,5.207
2016/06/11,4.763
2016/06/12,4.842
2016/06/13,5.569
2016/06/14,3.572
2016/06/15,4.508
2016/06/16,5.471
2016/06/17,9.163
2016/06/18,10.287
2016/06/19,10.554
2016/06/20,10.739
2016/06/21,10.051
2016/06/22,8.803
2016/06/23,5.884
2016/06/24,5.092
2016/06/25,5.287
2016/06/26,5.7
2016/06/27,5.547
2016/06/28,5.628
2016/06/29,7.518
2016/06/30,9.479
2016/07/01,9.627
2016/07/02,9.129
2016/07/03,9.239
2016/07/04,8.778
2016/07/05,8.326
2016/07/06,7.231
2016/07/07,1.564
2016/07/08,2.452
2016/07/09,2.214
2016/07/10,1.958
2016/07/11,1.729
2016/07/12,1.723
2016/07/13,1.706
2016/07/14,2.965
2016/07/15,3.053
2016/07/16,3.669
2016/07/17,3.764
2016/07/18,3.899
2016/07/19,4.107
2016/07/20,6.532
2016/07/21,6.272
2016/07/22,6.713
2016/07/23,6.845
2016/07/24,7.162
2016/07/25,7.38
2016/07/26,7.498
2016/07/27,2.541
2016/07/28,0.76
2016/07/29,1.696
2016/07/30,1.801
2016/07/31,1.603
2016/08/01,1.412
2016/08/02,1.591
2016/08/03,5.504
2016/08/04,5.199
2016/08/05,5.199
2016/08/06,5.114
2016/08/07,4.891
2016/08/08,4.785
2016/08/09,4.958
2016/08/10,0.595
2016/08/11,1.201
2016/08/12,2.886
2016/08/13,3.406
2016/08/14,3.529
2016/08/15,3.415
2016/08/16,4.468
2016/08/17,4.494
2016/08/18,4.599
2016/08/19,4.607
2016/08/20,4.644
2016/08/21,3.328
2016/08/22,2.493
2016/08/23,2.158
2016/08/24,2.418
2016/08/25,2.931
2016/08/26,3.159
2016/08/27,2.697
2016/08/28,3.854
2016/08/29,3.932
2016/08/30,3.946
2016/08/31,4.349
2016/09/01,6.016
2016/09/02,6.553
2016/09/03,6.484
2016/09/04,6.098
2016/09/05,6.279
2016/09/06,6.392
2016/09/07,7.269
2016/09/08,6.029
2016/09/09,6.024
2016/09/10,5.981
2016/09/11,7.624
2016/09/12,6.815
2016/09/13,7.971
2016/09/14,7.809
2016/09/15,7.832
2016/09/16,7.745
2016/09/17,7.644
2016/09/18,6.996
2016/09/19,8.414
2016/09/20,9.044
2016/09/21,9.169
2016/09/22,9.364
2016/09/23,8.35
2016/09/24,7.88
2016/09/25,7.901
2016/09/26,7.899
2016/09/27,7.82
2016/09/28,7.742
2016/09/29,0.316
2016/09/30,0.294
2016/10/01,5.516
2016/10/02,5.521
2016/10/03,5.557
2016/10/04,9.999
2016/10/05,9.687
2016/10/06,9.428
2016/10/07,9.269
2016/10/08,9.083
2016/10/09,8.914
2016/10/10,8.634
2016/10/11,4.049
2016/10/12,4.095
2016/10/13,7.654
2016/10/14,7.532
2016/10/15,7.531
2016/10/16,7.493
2016/10/17,7.505
2016/10/18,7.553
2016/10/19,7.775
2016/10/20,3.255
2016/10/21,6.504
2016/10/22,6.473
2016/10/23,6.46
2016/10/24,7.439
2016/10/25,7.37
2016/10/26,7.239
2016/10/27,7.087
2016/10/28,5.446
2016/10/29,5.233
2016/10/30,4.998
2016/10/31,2.185
2016/11/01,3.844
2016/11/02,4.334
2016/11/03,4.232
2016/11/04,4.181
2016/11/05,4.247
2016/11/06,4.303
2016/11/07,4.255
2016/11/08,2.794
2016/11/09,0.262
2016/11/10,0.358
2016/11/11,0.453
2016/11/12,0.575
2016/11/13,0.601
2016/11/14,0.596
2016/11/15,0.494
2016/11/16,0.386
2016/11/17,0.263
2016/11/18,0.289
2016/11/19,0.374
2016/11/20,0.428
2016/11/21,0.452
2016/11/22,5.431
2016/11/23,7.61
2016/11/24,7.52
2016/11/25,8.658
2016/11/26,8.235
2016/11/27,7.628
2016/11/28,6.474
2016/11/29,6.313
2016/11/30,5.661
2016/12/01,5.192
2016/12/02,4.045
2016/12/03,4.167
2016/12/04,3.616
2016/12/05,2.917
2016/12/06,1.914
2016/12/07,1.226
2016/12/08,1.241
2016/12/09,1.348
2016/12/10,1.426
2016/12/11,1.171
2016/12/12,1.076
2016/12/13,2.674
2016/12/14,4.037
2016/12/15,4.229
2016/12/16,4.1
2016/12/17,3.907
2016/12/18,3.793
2016/12/19,3.331
2016/12/20,3.281
2016/12/21,3.252
2016/12/22,4.131
2016/12/23,4.4
2016/12/24,4.289
2016/12/25,4.087
2016/12/26,4.187
2016/12/27,4.206
2016/12/28,3.922
2016/12/29,2.366
2016/12/30,2.745
2016/12/31,2.941
2017/01/01,3.186
2017/01/02,3.371
2017/01/03,3.172
2017/01/04,3.561
2017/01/05,4.1
2017/01/06,3.162
2017/01/07,3.171
2017/01/08,3.17
2017/01/09,3.132
2017/01/10,2.809
2017/01/11,2.755
2017/01/12,4.205
2017/01/13,5.534
2017/01/14,5.405
2017/01/15,5.349
2017/01/16,5.066
2017/01/17,5.061
2017/01/18,5.11
2017/01/19,5.265
2017/01/20,4.096
2017/01/21,4.34
2017/01/22,4.097
2017/01/23,4.249
2017/01/24,5.388
2017/01/25,5.483
2017/01/26,5.168
2017/01/27,4.216
2017/01/28,1.912
2017/01/29,3.284
2017/01/30,3.128
2017/01/31,4.133
2017/02/01,3.98
2017/02/02,4.517
2017/02/03,4.674
2017/02/04,4.27
2017/02/05,4.272
2017/02/06,3.069
2017/02/07,4.521
2017/02/08,4.914
2017/02/09,4.693
2017/02/10,4.455
2017/02/11,3.615
2017/02/12,4.081
2017/02/13,3.805
2017/02/14,3.399
2017/02/15,3.538
2017/02/16,4.835
2017/02/17,4.854
2017/02/18,4.917
2017/02/19,5.002
2017/02/20,3.65
2017/02/21,5.641
2017/02/22,6.16
2017/02/23,6.169
2017/02/24,6.214
2017/02/25,5.796
2017/02/26,6.472
2017/02/27,7.453
2017/02/28,6.4
2017/03/01,5.313
2017/03/02,6.321
2017/03/03,7.141
2017/03/04,4.413
2017/03/05,3.756
2017/03/06,3.169
2017/03/07,6.751
2017/03/08,6.661
2017/03/09,8.803
2017/03/10,8.512
2017/03/11,8.597
2017/03/12,9.511
2017/03/13,12.038
2017/03/14,11.944
2017/03/15,13.471
2017/03/16,14.021
2017/03/17,17.648
2017/03/18,15.951
2017/03/19,13.424
2017/03/20,12.193
2017/03/21,9.198
2017/03/22,4.752
2017/03/23,12.272
2017/03/24,12.27
2017/03/25,14.58
2017/03/26,16.74
2017/03/27,23.907
2017/03/28,24.202
2017/03/29,24.246
2017/03/30,23.87
2017/03/31,21.682
2017/04/01,14.368
2017/04/02,21.614
2017/04/03,19.55
2017/04/04,19.2
2017/04/05,15.49
2017/04/06,14.581
2017/04/07,26.33
2017/04/08,26.846
2017/04/09,27.879
2017/04/10,25.709
2017/04/11,23.576
2017/04/12,19.628
2017/04/13,10.487
2017/04/14,6.182
2017/04/15,6.428
2017/04/16,7.35
2017/04/17,6.337
2017/04/18,6.864
2017/04/19,7.35
2017/04/20,7.892
2017/04/21,8.86
2017/04/22,9.277
2017/04/23,7.865
2017/04/24,12.363
2017/04/25,14.313
2017/04/26,13.957
2017/04/27,13.751
2017/04/28,13.686
2017/04/29,16.17
2017/04/30,18.857
2017/05/01,20.17
2017/05/02,16.858
2017/05/03,15.144
2017/05/04,10.798
2017/05/05,37.337
2017/05/06,37.464
2017/05/07,39.582
2017/05/08,42.062
2017/05/09,38.227
2017/05/10,31.475
2017/05/11,38.343
2017/05/12,36.879
2017/05/13,43.121
2017/05/14,42.752
2017/05/15,36.676
2017/05/16,21.149
2017/05/17,37.246
2017/05/18,37.627
2017/05/19,43.694
2017/05/20,43.703
2017/05/21,43.728
2017/05/22,46.023
2017/05/23,45.904
2017/05/24,48.642
2017/05/25,48.269
2017/05/26,49.36
2017/05/27,37.931
2017/05/28,39.995
2017/05/29,40.752
2017/05/30,41.857
2017/05/31,113.873
2017/06/01,113.899
2017/06/02,118.989
2017/06/03,118.756
2017/06/04,113.183
2017/06/05,109.156
2017/06/06,109.156
2017/06/07,40.327
2017/06/08,36.913
2017/06/09,33.442
2017/06/10,44.412
2017/06/11,52.917
2017/06/12,113.618
2017/06/13,114.806
2017/06/14,105.712
2017/06/15,93.277
2017/06/16,84.127
2017/06/17,90.863
2017/06/18,98.936
2017/06/19,52.125
2017/06/20,191.535
2017/06/21,236.824
2017/06/22,238.196
2017/06/23,235.307
2017/06/24,232.212
2017/06/25,235.103
2017/06/26,225.915
2017/06/27,176.299
2017/06/28,62.038
2017/06/29,59.29
2017/06/30,58.23
2017/07/01,55.013
2017/07/02,59.527
2017/07/03,19.69
2017/07/04,20.679
2017/07/05,22.518
2017/07/06,20.699
2017/07/07,29.28
2017/07/08,23.134
2017/07/09,22.603
2017/07/10,22.166
2017/07/11,23.467
2017/07/12,23.084
2017/07/13,21.988
2017/07/14,10.614
2017/07/15,12.531
2017/07/16,12.562
2017/07/17,12.209
2017/07/18,9.337
2017/07/19,9.274
2017/07/20,7.445
2017/07/21,7.187
2017/07/22,4.453
2017/07/23,5.155
2017/07/24,5.522
2017/07/25,6.269
2017/07/26,6.175
2017/07/27,7.336
2017/07/28,7.582
2017/07/29,8.653
2017/07/30,9
2017/07/31,8.194
2017/08/01,12.998
2017/08/02,15.409
2017/08/03,15.534
2017/08/04,15.534
2017/08/05,15.479
2017/08/06,14.143
2017/08/07,14.033
2017/08/08,11.485
2017/08/09,19.215
2017/08/10,18.99
2017/08/11,17.622
2017/08/12,17.734
2017/08/13,16.88
2017/08/14,20.389
2017/08/15,22.321
2017/08/16,16.766
2017/08/17,16.826
2017/08/18,24.309
2017/08/19,28.008
2017/08/20,28.187
2017/08/21,24.631
2017/08/22,24.351
2017/08/23,23.665
2017/08/24,23.675
2017/08/25,12.32
2017/08/26,10.907
2017/08/27,15.084
2017/08/28,14.196
2017/08/29,15.178
2017/08/30,15.814
2017/08/31,30.224
2017/09/01,30.347
2017/09/02,27.402
2017/09/03,21.736
2017/09/04,21.948
2017/09/05,22.991
2017/09/06,28.121
2017/09/07,17.5
2017/09/08,19.619
2017/09/09,21.218
2017/09/10,18.53
2017/09/11,17.06
2017/09/12,17.058
2017/09/13,17.834
2017/09/14,18.109
2017/09/15,19.183
2017/09/16,12.244
2017/09/17,13.539
2017/09/18,15.052
2017/09/19,14.736
2017/09/20,15.09
2017/09/21,16.199
2017/09/22,12.345
2017/09/23,11.792
2017/09/24,11.386
2017/09/25,11.497
2017/09/26,9.621
2017/09/27,3.648
2017/09/28,3.695
2017/09/29,4.766
2017/09/30,4.322
2017/10/01,4.455
2017/10/02,5.394
2017/10/03,5.608
2017/10/04,5.841
2017/10/05,5.822
2017/10/06,4.738
2017/10/07,2.304
2017/10/08,2.202
2017/10/09,6.831
2017/10/10,6.713
2017/10/11,6.899
2017/10/12,7.796
2017/10/13,16.091
2017/10/14,16.369
2017/10/15,16.385
2017/10/16,18.684
2017/10/17,21.101
2017/10/18,22.759
2017/10/19,23.93
2017/10/20,15.948
2017/10/21,11.386
2017/10/22,0.133
2017/10/23,0.204
2017/10/24,0.207
2017/10/25,0.212
2017/10/26,0.212
2017/10/27,0.212
2017/10/28,0.212
2017/10/29,0.189
2017/10/30,0.021
2017/10/31,0
2017/11/01,0
2017/11/02,0.97
2017/11/03,0.97
2017/11/04,0.97
2017/11/05,0.97
2017/11/06,0.97
2017/11/07,0.97
2017/11/08,1.137
2017/11/09,1.72
2017/11/10,4.279
2017/11/11,4.135
2017/11/12,16.404
2017/11/13,15.978
2017/11/14,15.256
2017/11/15,15.353
2017/11/16,15.149
2017/11/17,14.964
2017/11/18,14.214
2017/11/19,9.493
2017/11/20,11.183
2017/11/21,13.364
2017/11/22,13.865
2017/11/23,14.525
2017/11/24,16.172
2017/11/25,16.354
2017/11/26,17.211
2017/11/27,15.933
2017/11/28,16.94
2017/11/29,22.036
2017/11/30,22.263
2017/12/01,22.401
2017/12/02,19.331
2017/12/03,16.605
2017/12/04,16.663
2017/12/05,17.117
2017/12/06,60.339
2017/12/07,60.09
2017/12/08,58.981
2017/12/09,58.675
2017/12/10,58.286
2017/12/11,59.328
2017/12/12,59.131
2017/12/13,28.17
2017/12/14,47.407
2017/12/15,51.005
2017/12/16,46.81
2017/12/17,38.787
2017/12/18,30.678
2017/12/19,35.942
2017/12/20,72.252
2017/12/21,90.874
2017/12/22,102.164
2017/12/23,92.965
2017/12/24,87.245
2017/12/25,92.242
2017/12/26,96.09
2017/12/27,87.667
2017/12/28,72.014
2017/12/29,60.85
2017/12/30,113.311
2017/12/31,110.027
2018/01/01,105.873
2018/01/02,102.903
2018/01/03,137.484
2018/01/04,325.618
2018/01/05,344.3
2018/01/06,343.561
2018/01/07,316.962
2018/01/08,274.466
2018/01/09,242.159
2018/01/10,236.403
2018/01/11,130.828
2018/01/12,123.499
2018/01/13,157.269
2018/01/14,183.701
2018/01/15,183.965
2018/01/16,179.347
2018/01/17,164.378
2018/01/18,155.139
2018/01/19,176.596
2018/01/20,203.992
2018/01/21,192.211
2018/01/22,201.288
2018/01/23,176.184
2018/01/24,125.208
2018/01/25,96.834
2018/01/26,97.065
2018/01/27,90.052
2018/01/28,40.296
2018/01/29,42.549
2018/01/30,45.212
2018/01/31,46.667
2018/02/01,74.629
2018/02/02,75.933
2018/02/03,81.376
2018/02/04,88.308
2018/02/05,91.906
2018/02/06,94.833
2018/02/07,98.059
2018/02/08,57.357
2018/02/09,28.481
2018/02/10,33.45
2018/02/11,46.565
2018/02/12,44.708
2018/02/13,35.309
2018/02/14,25.715
2018/02/15,27.712
2018/02/16,26.265
2018/02/17,29.498
2018/02/18,27.081
2018/02/19,29.335
2018/02/20,33.807
2018/02/21,30.237
2018/02/22,18.944
2018/02/23,8.535
2018/02/24,10.144
2018/02/25,6.363
2018/02/26,6.708
2018/02/27,6.904
2018/02/28,11.223
2018/03/01,11.352
2018/03/02,12.266
2018/03/03,12.229
2018/03/04,12.178
2018/03/05,12.071
2018/03/06,12.491
2018/03/07,26.642
2018/03/08,26.746
2018/03/09,25.852
2018/03/10,24.721
2018/03/11,24.862
2018/03/12,25.383
2018/03/13,26.61
2018/03/14,8.635
2018/03/15,8.558
2018/03/16,5.363
2018/03/17,5.156
2018/03/18,5.094
2018/03/19,5.096
2018/03/20,5.097
2018/03/21,3.794
2018/03/22,3.833
2018/03/23,4.468
2018/03/24,8.555
2018/03/25,8.108
2018/03/26,8.061
2018/03/27,7.31
2018/03/28,6.488
2018/03/29,7.198
2018/03/30,7.368
2018/03/31,5.484
2018/04/01,6.045
2018/04/02,6.405
2018/04/03,6.658
2018/04/04,6.851
2018/04/05,2.535
2018/04/06,0.345
2018/04/07,0.344
