Date,price7emaUSD
2016/09/10,11.599
2016/09/11,11.67
2016/09/12,11.697
2016/09/13,11.772
2016/09/14,11.812
2016/09/15,11.862
2016/09/16,11.949
2016/09/17,12.115
2016/09/18,12.281
2016/09/19,12.433
2016/09/20,12.745
2016/09/21,13.008
2016/09/22,13.038
2016/09/23,13.104
2016/09/24,13.084
2016/09/25,13.06
2016/09/26,13.02
2016/09/27,13.026
2016/09/28,13.084
2016/09/29,13.096
2016/09/30,13.113
2016/10/01,13.115
2016/10/02,13.13
2016/10/03,13.159
2016/10/04,13.211
2016/10/05,13.209
2016/10/06,13.126
2016/10/07,13.016
2016/10/08,12.828
2016/10/09,12.671
2016/10/10,12.458
2016/10/11,12.326
2016/10/12,12.199
2016/10/13,12.13
2016/10/14,12.08
2016/10/15,12.024
2016/10/16,12.002
2016/10/17,11.976
2016/10/18,12.094
2016/10/19,12.133
2016/10/20,12.119
2016/10/21,12.103
2016/10/22,12.091
2016/10/23,12.064
2016/10/24,12.034
2016/10/25,11.905
2016/10/26,11.804
2016/10/27,11.704
2016/10/28,11.589
2016/10/29,11.353
2016/10/30,11.174
2016/10/31,11.165
2016/11/01,11.041
2016/11/02,11
2016/11/03,10.974
2016/11/04,10.969
2016/11/05,10.988
2016/11/06,10.986
2016/11/07,10.958
2016/11/08,10.924
2016/11/09,10.841
2016/11/10,10.769
2016/11/11,10.673
2016/11/12,10.531
2016/11/13,10.415
2016/11/14,10.313
2016/11/15,10.247
2016/11/16,10.222
2016/11/17,10.158
2016/11/18,10.037
2016/11/19,9.929
2016/11/20,9.838
2016/11/21,9.768
2016/11/22,9.794
2016/11/23,9.798
2016/11/24,9.718
2016/11/25,9.632
2016/11/26,9.556
2016/11/27,9.434
2016/11/28,9.272
2016/11/29,9.006
2016/11/30,8.855
2016/12/01,8.749
2016/12/02,8.549
2016/12/03,8.379
2016/12/04,8.199
2016/12/05,7.954
2016/12/06,7.672
2016/12/07,7.689
2016/12/08,7.885
2016/12/09,8.001
2016/12/10,8.07
2016/12/11,8.095
2016/12/12,8.152
2016/12/13,8.208
2016/12/14,8.24
2016/12/15,8.169
2016/12/16,8.079
2016/12/17,7.966
2016/12/18,7.929
2016/12/19,7.875
2016/12/20,7.807
2016/12/21,7.786
2016/12/22,7.74
2016/12/23,7.636
2016/12/24,7.536
2016/12/25,7.45
2016/12/26,7.39
2016/12/27,7.333
2016/12/28,7.295
2016/12/29,7.495
2016/12/30,7.678
2016/12/31,7.757
2017/01/01,7.876
2017/01/02,7.952
2017/01/03,8.167
2017/01/04,8.735
2017/01/05,9.171
2017/01/06,9.38
2017/01/07,9.479
2017/01/08,9.606
2017/01/09,9.81
2017/01/10,9.957
2017/01/11,9.976
2017/01/12,9.858
2017/01/13,9.789
2017/01/14,9.744
2017/01/15,9.74
2017/01/16,9.706
2017/01/17,9.773
2017/01/18,9.874
2017/01/19,9.964
2017/01/20,10.101
2017/01/21,10.253
2017/01/22,10.383
2017/01/23,10.46
2017/01/24,10.495
2017/01/25,10.49
2017/01/26,10.492
2017/01/27,10.482
2017/01/28,10.48
2017/01/29,10.47
2017/01/30,10.467
2017/01/31,10.491
2017/02/01,10.524
2017/02/02,10.548
2017/02/03,10.593
2017/02/04,10.748
2017/02/05,10.856
2017/02/06,10.944
2017/02/07,11.047
2017/02/08,11.114
2017/02/09,11.106
2017/02/10,11.079
2017/02/11,11.132
2017/02/12,11.173
2017/02/13,11.188
2017/02/14,11.455
2017/02/15,11.788
2017/02/16,12.02
2017/02/17,12.194
2017/02/18,12.324
2017/02/19,12.427
2017/02/20,12.497
2017/02/21,12.515
2017/02/22,12.545
2017/02/23,12.595
2017/02/24,12.703
2017/02/25,12.855
2017/02/26,13.073
2017/02/27,13.469
2017/02/28,14.021
2017/03/01,14.488
2017/03/02,15.384
2017/03/03,16.469
2017/03/04,17.201
2017/03/05,17.609
2017/03/06,18.078
2017/03/07,18.337
2017/03/08,18.231
2017/03/09,17.989
2017/03/10,18.032
2017/03/11,18.467
2017/03/12,19.421
2017/03/13,21.354
2017/03/14,23.114
2017/03/15,24.889
2017/03/16,28.746
2017/03/17,33.042
2017/03/18,34.548
2017/03/19,35.778
2017/03/20,37.687
2017/03/21,39
2017/03/22,39.572
2017/03/23,40.104
2017/03/24,41.614
2017/03/25,43.851
2017/03/26,45.505
2017/03/27,46.756
2017/03/28,47.531
2017/03/29,48.71
2017/03/30,49.732
2017/03/31,49.855
2017/04/01,49.955
2017/04/02,49.921
2017/04/03,48.845
2017/04/04,47.517
2017/04/05,47.118
2017/04/06,46.395
2017/04/07,45.546
2017/04/08,45.28
2017/04/09,44.902
2017/04/10,44.515
2017/04/11,44.336
2017/04/12,44.302
2017/04/13,45.373
2017/04/14,46.036
2017/04/15,46.526
2017/04/16,47.034
2017/04/17,47.345
2017/04/18,47.877
2017/04/19,48.51
2017/04/20,48.628
2017/04/21,48.805
2017/04/22,48.82
2017/04/23,48.815
2017/04/24,49.145
2017/04/25,49.393
2017/04/26,50.039
2017/04/27,51.939
2017/04/28,55.538
2017/04/29,59.159
2017/04/30,62.431
2017/05/01,66.547
2017/05/02,69.098
2017/05/03,71.17
2017/05/04,74.625
2017/05/05,79.022
2017/05/06,81.954
2017/05/07,84.613
2017/05/08,85.573
2017/05/09,85.076
2017/05/10,85.518
2017/05/11,85.873
2017/05/12,86.4
2017/05/13,86.215
2017/05/14,86.636
2017/05/15,87.386
2017/05/16,87.588
2017/05/17,87.15
2017/05/18,88.383
2017/05/19,94.113
2017/05/20,101.694
2017/05/21,109.541
2017/05/22,122.907
2017/05/23,133.046
2017/05/24,146.46
2017/05/25,158.353
2017/05/26,163.074
2017/05/27,159.525
2017/05/28,161.576
2017/05/29,165.372
2017/05/30,175.865
2017/05/31,188.469
2017/06/01,197.418
2017/06/02,203.715
2017/06/03,208.04
2017/06/04,215.667
2017/06/05,223.218
2017/06/06,231.524
2017/06/07,238.598
2017/06/08,242.918
2017/06/09,248.737
2017/06/10,261.213
2017/06/11,280.693
2017/06/12,302.391
2017/06/13,323.032
2017/06/14,335.55
2017/06/15,333.082
2017/06/16,336.937
2017/06/17,342.216
2017/06/18,347.406
2017/06/19,350.039
2017/06/20,352.718
2017/06/21,347.743
2017/06/22,341.754
2017/06/23,338.247
2017/06/24,333.727
2017/06/25,324.572
2017/06/26,308.575
2017/06/27,292.569
2017/06/28,291.742
2017/06/29,295.305
2017/06/30,294.453
2017/07/01,287.86
2017/07/02,282.595
2017/07/03,281.552
2017/07/04,280.201
2017/07/05,275.947
2017/07/06,273.336
2017/07/07,268.546
2017/07/08,261.661
2017/07/09,257.147
2017/07/10,249.467
2017/07/11,236.072
2017/07/12,227.936
2017/07/13,223.215
2017/07/14,216.523
2017/07/15,208.461
2017/07/16,195.443
2017/07/17,189.43
2017/07/18,192.262
