Date,sentbyaddress30std
2016/11/06,3721
2016/11/07,3711
2016/11/08,3654
2016/11/09,3594
2016/11/10,3617
2016/11/11,3404
2016/11/12,2831
2016/11/13,2815
2016/11/14,2700
2016/11/15,2659
2016/11/16,2687
2016/11/17,2537
2016/11/18,2447
2016/11/19,2355
2016/11/20,2072
2016/11/21,2026
2016/11/22,5145
2016/11/23,9133
2016/11/24,9271
2016/11/25,10416
2016/11/26,10527
2016/11/27,10617
2016/11/28,10645
2016/11/29,10681
2016/11/30,10716
2016/12/01,10740
2016/12/02,10761
2016/12/03,10760
2016/12/04,10718
2016/12/05,10729
2016/12/06,10695
2016/12/07,10745
2016/12/08,10784
2016/12/09,10787
2016/12/10,10799
2016/12/11,10814
2016/12/12,10823
2016/12/13,10853
2016/12/14,10837
2016/12/15,10834
2016/12/16,10835
2016/12/17,10837
2016/12/18,10850
2016/12/19,10838
2016/12/20,10826
2016/12/21,10816
2016/12/22,9787
2016/12/23,5873
2016/12/24,5784
2016/12/25,2101
2016/12/26,2028
2016/12/27,1947
2016/12/28,1943
2016/12/29,1930
2016/12/30,1912
2016/12/31,1875
2017/01/01,1936
2017/01/02,1873
2017/01/03,1805
2017/01/04,2109
2017/01/05,2172
2017/01/06,2273
2017/01/07,2235
2017/01/08,2232
2017/01/09,2290
2017/01/10,2281
2017/01/11,2295
2017/01/12,2281
2017/01/13,2274
2017/01/14,2197
2017/01/15,2219
2017/01/16,2235
2017/01/17,2210
2017/01/18,2213
2017/01/19,2218
2017/01/20,2236
2017/01/21,2232
2017/01/22,2226
2017/01/23,2180
2017/01/24,2045
2017/01/25,1926
2017/01/26,1860
2017/01/27,1848
2017/01/28,1871
2017/01/29,1902
2017/01/30,1903
2017/01/31,1753
2017/02/01,1723
2017/02/02,1724
2017/02/03,1511
2017/02/04,1383
2017/02/05,1225
2017/02/06,1246
2017/02/07,1235
2017/02/08,1120
2017/02/09,1135
2017/02/10,1250
2017/02/11,1210
2017/02/12,1225
2017/02/13,1535
2017/02/14,1686
2017/02/15,1842
2017/02/16,1879
2017/02/17,1884
2017/02/18,1995
2017/02/19,1993
2017/02/20,2034
2017/02/21,2009
2017/02/22,2003
2017/02/23,1995
2017/02/24,2001
2017/02/25,1987
2017/02/26,1941
2017/02/27,1952
2017/02/28,2304
2017/03/01,2777
2017/03/02,4964
2017/03/03,5320
2017/03/04,5419
2017/03/05,5429
2017/03/06,5470
2017/03/07,5442
2017/03/08,5415
2017/03/09,5479
2017/03/10,5621
2017/03/11,5623
2017/03/12,5850
2017/03/13,6880
2017/03/14,7144
2017/03/15,7538
2017/03/16,9436
2017/03/17,10755
2017/03/18,11109
2017/03/19,11082
2017/03/20,11084
2017/03/21,10938
2017/03/22,10766
2017/03/23,10523
2017/03/24,10474
2017/03/25,10196
2017/03/26,9874
2017/03/27,9532
2017/03/28,9080
2017/03/29,8689
2017/03/30,8749
2017/03/31,9494
2017/04/01,9476
2017/04/02,9454
2017/04/03,9796
2017/04/04,9485
2017/04/05,9161
2017/04/06,8802
2017/04/07,8216
2017/04/08,7965
2017/04/09,7952
2017/04/10,7566
2017/04/11,7428
2017/04/12,7452
2017/04/13,7390
2017/04/14,7402
2017/04/15,6999
2017/04/16,6866
2017/04/17,6989
2017/04/18,6995
2017/04/19,6996
2017/04/20,6994
2017/04/21,7029
2017/04/22,7134
2017/04/23,7178
2017/04/24,7170
2017/04/25,7137
2017/04/26,7128
2017/04/27,7820
2017/04/28,8036
2017/04/29,7923
2017/04/30,7204
2017/05/01,7680
2017/05/02,8030
2017/05/03,7491
2017/05/04,8223
2017/05/05,8790
2017/05/06,8692
2017/05/07,9076
2017/05/08,10355
2017/05/09,10627
2017/05/10,10757
2017/05/11,11029
2017/05/12,11088
2017/05/13,11049
2017/05/14,10936
2017/05/15,11032
2017/05/16,10705
2017/05/17,11236
2017/05/18,11712
2017/05/19,13775
2017/05/20,13816
2017/05/21,13667
2017/05/22,14244
2017/05/23,14965
2017/05/24,16040
2017/05/25,16642
2017/05/26,16761
2017/05/27,16780
2017/05/28,16552
2017/05/29,16159
2017/05/30,16640
2017/05/31,19914
2017/06/01,21601
2017/06/02,21242
2017/06/03,21270
2017/06/04,21189
2017/06/05,21137
2017/06/06,21212
2017/06/07,21540
2017/06/08,21275
2017/06/09,21405
2017/06/10,21548
2017/06/11,22207
2017/06/12,26698
2017/06/13,28317
2017/06/14,28724
2017/06/15,29075
2017/06/16,28967
2017/06/17,28690
2017/06/18,29084
2017/06/19,28945
2017/06/20,30277
2017/06/21,31613
2017/06/22,32719
2017/06/23,33099
2017/06/24,33020
2017/06/25,32368
2017/06/26,33334
2017/06/27,31662
2017/06/28,39190
2017/06/29,38778
2017/06/30,38851
2017/07/01,38792
2017/07/02,38056
2017/07/03,37688
2017/07/04,37073
2017/07/05,36565
2017/07/06,35967
2017/07/07,35733
2017/07/08,34721
2017/07/09,34696
2017/07/10,34280
2017/07/11,34177
2017/07/12,33512
2017/07/13,33573
2017/07/14,33872
2017/07/15,34120
2017/07/16,34396
2017/07/17,34468
2017/07/18,34469
2017/07/19,34436
2017/07/20,33803
2017/07/21,33451
2017/07/22,33500
2017/07/23,33696
2017/07/24,33631
2017/07/25,33739
2017/07/26,31862
2017/07/27,31586
2017/07/28,18799
2017/07/29,19764
2017/07/30,20572
2017/07/31,20887
2017/08/01,21151
2017/08/02,20101
2017/08/03,18998
2017/08/04,18837
2017/08/05,18909
2017/08/06,16821
2017/08/07,17337
2017/08/08,18980
2017/08/09,18997
2017/08/10,21222
2017/08/11,23392
2017/08/12,24534
2017/08/13,24772
2017/08/14,28155
2017/08/15,30948
2017/08/16,33473
2017/08/17,35907
2017/08/18,39283
2017/08/19,39550
2017/08/20,39040
2017/08/21,38843
2017/08/22,39285
2017/08/23,39732
2017/08/24,39045
2017/08/25,38154
2017/08/26,37408
2017/08/27,36548
2017/08/28,34250
2017/08/29,32345
2017/08/30,32846
2017/08/31,31985
2017/09/01,30775
2017/09/02,28711
2017/09/03,28007
2017/09/04,29644
2017/09/05,29001
2017/09/06,29625
2017/09/07,29807
2017/09/08,29267
2017/09/09,29174
2017/09/10,30248
2017/09/11,29938
2017/09/12,30049
2017/09/13,30029
2017/09/14,30757
2017/09/15,32303
2017/09/16,32624
2017/09/17,34498
2017/09/18,34388
2017/09/19,33790
2017/09/20,33926
2017/09/21,34402
2017/09/22,35996
2017/09/23,36913
2017/09/24,37518
2017/09/25,36460
2017/09/26,36186
2017/09/27,36691
2017/09/28,36635
2017/09/29,36514
2017/09/30,36353
2017/10/01,37225
2017/10/02,37419
2017/10/03,36949
2017/10/04,35186
2017/10/05,33975
2017/10/06,32071
2017/10/07,31282
2017/10/08,30405
2017/10/09,30222
2017/10/10,30256
2017/10/11,30373
2017/10/12,27861
2017/10/13,28715
2017/10/14,25993
2017/10/15,20547
2017/10/16,20548
2017/10/17,23904
2017/10/18,24106
2017/10/19,23925
2017/10/20,24998
2017/10/21,25462
2017/10/22,28917
2017/10/23,28682
2017/10/24,28751
2017/10/25,28700
2017/10/26,28352
2017/10/27,44405
2017/10/28,55513
2017/10/29,64119
2017/10/30,71258
2017/10/31,77291
2017/11/01,79426
2017/11/02,82716
2017/11/03,83425
2017/11/04,83464
2017/11/05,83472
2017/11/06,83771
2017/11/07,84092
2017/11/08,84847
2017/11/09,85572
2017/11/10,85814
2017/11/11,85813
2017/11/12,85823
2017/11/13,86131
2017/11/14,87008
2017/11/15,88845
2017/11/16,88718
2017/11/17,90042
2017/11/18,90290
2017/11/19,90516
2017/11/20,91203
2017/11/21,91582
2017/11/22,92937
2017/11/23,93975
2017/11/24,94815
2017/11/25,95551
2017/11/26,88482
2017/11/27,81963
2017/11/28,73448
2017/11/29,63575
2017/11/30,46191
2017/12/01,46576
2017/12/02,47033
2017/12/03,49881
2017/12/04,50054
