Date,hashrate14rsi
2016/01/01,48.328
2016/01/02,48.985
2016/01/03,54.306
2016/01/04,53.046
2016/01/05,55.422
2016/01/06,56.463
2016/01/07,47.188
2016/01/08,54.734
2016/01/09,55.009
2016/01/10,50.361
2016/01/11,57.11
2016/01/12,50.675
2016/01/13,47.709
2016/01/14,54.081
2016/01/15,57.314
2016/01/16,58.93
2016/01/17,57.002
2016/01/18,62.339
2016/01/19,60.047
2016/01/20,60.808
2016/01/21,59.313
2016/01/22,65.404
2016/01/23,64.675
2016/01/24,72.206
2016/01/25,63.182
2016/01/26,70.558
2016/01/27,67.698
2016/01/28,64.346
2016/01/29,67.098
2016/01/30,66.709
2016/01/31,60.059
2016/02/01,65.512
2016/02/02,57.555
2016/02/03,64.8
2016/02/04,64.171
2016/02/05,64.797
2016/02/06,58.711
2016/02/07,61.736
2016/02/08,66.018
2016/02/09,60.21
2016/02/10,62.943
2016/02/11,66.811
2016/02/12,60.645
2016/02/13,66.304
2016/02/14,67.352
2016/02/15,69.476
2016/02/16,68.227
2016/02/17,63.488
2016/02/18,59.158
2016/02/19,65.04
2016/02/20,65.709
2016/02/21,66.771
2016/02/22,70.842
2016/02/23,71.354
2016/02/24,70.555
2016/02/25,71.648
2016/02/26,74.481
2016/02/27,76.003
2016/02/28,77.784
2016/02/29,69.093
2016/03/01,70.811
2016/03/02,74.796
2016/03/03,76.427
2016/03/04,78.533
2016/03/05,81.775
2016/03/06,82.184
2016/03/07,82.844
2016/03/08,83.637
2016/03/09,84.849
2016/03/10,87.018
2016/03/11,88.188
2016/03/12,90.326
2016/03/13,92.144
2016/03/14,82.305
2016/03/15,84.29
2016/03/16,85.264
2016/03/17,86.807
2016/03/18,83.924
2016/03/19,86.17
2016/03/20,87.115
2016/03/21,82.838
2016/03/22,84.24
2016/03/23,71.275
2016/03/24,77.001
2016/03/25,79.609
2016/03/26,81.157
2016/03/27,81.833
2016/03/28,77.086
2016/03/29,79.47
2016/03/30,80.886
2016/03/31,82.654
2016/04/01,83.264
2016/04/02,74.71
2016/04/03,78.459
2016/04/04,81.014
2016/04/05,81.278
2016/04/06,78.228
2016/04/07,68.746
2016/04/08,75.116
2016/04/09,73.817
2016/04/10,76.439
2016/04/11,70.008
2016/04/12,66.239
2016/04/13,70.301
2016/04/14,70.806
2016/04/15,73.834
2016/04/16,74.827
2016/04/17,69.719
2016/04/18,74.298
2016/04/19,74.198
2016/04/20,75.755
2016/04/21,76.404
2016/04/22,69.215
2016/04/23,72.941
2016/04/24,69.847
2016/04/25,74.074
2016/04/26,67.881
2016/04/27,68.516
2016/04/28,70.686
2016/04/29,72.47
2016/04/30,75.682
2016/05/01,73.609
2016/05/02,65.949
2016/05/03,71.124
2016/05/04,68.626
2016/05/05,68.952
2016/05/06,69.356
2016/05/07,68.218
2016/05/08,70.444
2016/05/09,71.438
2016/05/10,73.863
2016/05/11,63.768
2016/05/12,66.829
2016/05/13,73.376
2016/05/14,69.529
2016/05/15,70.272
2016/05/16,69.634
2016/05/17,69.204
2016/05/18,73.768
2016/05/19,75.964
2016/05/20,77.799
2016/05/21,78.489
2016/05/22,77.417
2016/05/23,77.889
2016/05/24,79.501
2016/05/25,80.393
2016/05/26,81.449
2016/05/27,81.869
2016/05/28,84.035
2016/05/29,84.614
2016/05/30,83.269
2016/05/31,77.654
2016/06/01,70.347
2016/06/02,73.655
2016/06/03,79.666
2016/06/04,77.847
2016/06/05,70.416
2016/06/06,74.677
2016/06/07,75.453
2016/06/08,75.882
2016/06/09,80.538
2016/06/10,63.009
2016/06/11,67.648
2016/06/12,68.462
2016/06/13,72.426
2016/06/14,73.348
2016/06/15,71.032
2016/06/16,70.928
2016/06/17,75.037
2016/06/18,68.092
2016/06/19,70.909
2016/06/20,68.03
2016/06/21,63.993
2016/06/22,69.322
2016/06/23,71.596
2016/06/24,71.173
2016/06/25,69.933
2016/06/26,73.513
2016/06/27,75.485
2016/06/28,76.753
2016/06/29,69.122
2016/06/30,69.859
2016/07/01,72.781
2016/07/02,73.132
2016/07/03,75.844
2016/07/04,74.936
2016/07/05,74.976
2016/07/06,75.068
2016/07/07,73.49
2016/07/08,74.393
2016/07/09,74.775
2016/07/10,75.931
2016/07/11,78.382
2016/07/12,78.279
2016/07/13,80.396
2016/07/14,74.707
2016/07/15,66.976
2016/07/16,68.286
2016/07/17,69.185
2016/07/18,74.653
2016/07/19,68.775
2016/07/20,60.613
2016/07/21,68.593
2016/07/22,56.792
2016/07/23,64.186
2016/07/24,57.236
2016/07/25,50.316
2016/07/26,42.478
2016/07/27,37.223
2016/07/28,47.578
2016/07/29,44.686
2016/07/30,42.324
2016/07/31,44.782
2016/08/01,42.084
2016/08/02,34.444
2016/08/03,31.89
2016/08/04,43.748
2016/08/05,46.712
2016/08/06,43.93
2016/08/07,48.086
2016/08/08,50.449
2016/08/09,56.296
2016/08/10,58.467
2016/08/11,60.768
2016/08/12,60.334
2016/08/13,58.454
2016/08/14,58.754
2016/08/15,59.389
2016/08/16,62.608
2016/08/17,62.335
2016/08/18,65.196
2016/08/19,62.605
2016/08/20,66.634
2016/08/21,67.942
2016/08/22,68.774
2016/08/23,71.038
2016/08/24,70.364
2016/08/25,73.096
2016/08/26,76.646
2016/08/27,76.569
2016/08/28,72.16
2016/08/29,68.004
2016/08/30,67.722
2016/08/31,70.901
2016/09/01,72.335
2016/09/02,74.283
2016/09/03,58.06
2016/09/04,51.959
2016/09/05,58.436
2016/09/06,56.282
2016/09/07,60.264
2016/09/08,57.73
2016/09/09,58.723
2016/09/10,60.302
2016/09/11,66.261
2016/09/12,65.398
2016/09/13,63.834
2016/09/14,68.899
2016/09/15,68.208
2016/09/16,66.217
2016/09/17,71.513
2016/09/18,45.834
2016/09/19,49.255
2016/09/20,62.319
2016/09/21,65.107
2016/09/22,52.569
2016/09/23,61.341
2016/09/24,61.616
2016/09/25,64.632
2016/09/26,57.081
2016/09/27,61.538
2016/09/28,62.316
2016/09/29,64.143
2016/09/30,60.286
2016/10/01,63.32
2016/10/02,65.653
2016/10/03,62.462
2016/10/04,64.431
2016/10/05,63.459
2016/10/06,64.28
2016/10/07,58.697
2016/10/08,63.074
2016/10/09,64.88
2016/10/10,65.517
2016/10/11,66.742
2016/10/12,59.956
2016/10/13,64.168
2016/10/14,67.973
2016/10/15,69.001
2016/10/16,71.401
2016/10/17,61.46
2016/10/18,65.235
2016/10/19,65.102
2016/10/20,68.534
2016/10/21,69.979
2016/10/22,70.109
2016/10/23,64.005
2016/10/24,66.329
2016/10/25,67.852
2016/10/26,68.994
2016/10/27,64.57
2016/10/28,56.19
2016/10/29,33.285
2016/10/30,31.748
2016/10/31,39.065
2016/11/01,31.016
2016/11/02,27.509
2016/11/03,26.187
2016/11/04,24.084
2016/11/05,22.797
2016/11/06,22.492
2016/11/07,34.748
2016/11/08,41.879
2016/11/09,40.732
2016/11/10,37.209
2016/11/11,36.161
2016/11/12,37.449
2016/11/13,42.974
2016/11/14,45.504
2016/11/15,45.963
2016/11/16,44.672
2016/11/17,42.101
2016/11/18,47.538
2016/11/19,51.514
2016/11/20,57.618
2016/11/21,61.099
2016/11/22,55.679
2016/11/23,54.912
2016/11/24,47.021
2016/11/25,47.122
2016/11/26,48.02
2016/11/27,47.834
2016/11/28,50.805
2016/11/29,49.383
2016/11/30,45.737
2016/12/01,46.764
2016/12/02,48.078
2016/12/03,52.768
2016/12/04,51.615
2016/12/05,49.012
2016/12/06,48.212
2016/12/07,50.818
2016/12/08,56.059
2016/12/09,58.25
2016/12/10,60.301
2016/12/11,62.869
2016/12/12,57.272
2016/12/13,60.466
2016/12/14,59.568
2016/12/15,58.662
2016/12/16,62.059
2016/12/17,63.399
2016/12/18,66.962
2016/12/19,66.719
2016/12/20,69.192
2016/12/21,67.468
2016/12/22,60.482
2016/12/23,49.256
2016/12/24,42.645
2016/12/25,48.342
2016/12/26,52.301
2016/12/27,48.396
2016/12/28,47.675
2016/12/29,47.267
2016/12/30,47.422
2016/12/31,49.023
2017/01/01,49.167
2017/01/02,49.636
2017/01/03,49.751
