Date,transactions7trx
2016/01/01,0.609
2016/01/02,-0.471
2016/01/03,-1.356
2016/01/04,-1.998
2016/01/05,-1.603
2016/01/06,-0.692
2016/01/07,0.927
2016/01/08,1.205
2016/01/09,0.962
2016/01/10,0.361
2016/01/11,-0.23
2016/01/12,-0.73
2016/01/13,-0.303
2016/01/14,-0.371
2016/01/15,-0.728
2016/01/16,-1.052
2016/01/17,-1.412
2016/01/18,-1.33
2016/01/19,-0.982
2016/01/20,-0.907
2016/01/21,-0.933
2016/01/22,-0.588
2016/01/23,-0.488
2016/01/24,-0.272
2016/01/25,0.528
2016/01/26,1.353
2016/01/27,2.302
2016/01/28,2.827
2016/01/29,2.984
2016/01/30,2.707
2016/01/31,2.208
2016/02/01,1.678
2016/02/02,1.208
2016/02/03,0.818
2016/02/04,0.52
2016/02/05,0.393
2016/02/06,2.085
2016/02/07,2.359
2016/02/08,2.023
2016/02/09,1.555
2016/02/10,1.25
2016/02/11,1.459
2016/02/12,1.49
2016/02/13,1.535
2016/02/14,1.296
2016/02/15,1.012
2016/02/16,0.776
2016/02/17,0.807
2016/02/18,0.656
2016/02/19,0.573
2016/02/20,0.372
2016/02/21,0.183
2016/02/22,0.122
2016/02/23,0.147
2016/02/24,0.295
2016/02/25,0.463
2016/02/26,0.741
2016/02/27,0.825
2016/02/28,0.808
2016/02/29,0.85
2016/03/01,1.015
2016/03/02,1.334
2016/03/03,1.742
2016/03/04,2.035
2016/03/05,2.417
2016/03/06,2.757
2016/03/07,2.628
2016/03/08,2.356
2016/03/09,2.067
2016/03/10,1.803
2016/03/11,1.446
2016/03/12,1.414
2016/03/13,1.507
2016/03/14,1.634
2016/03/15,1.772
2016/03/16,1.748
2016/03/17,2.009
2016/03/18,2.19
2016/03/19,2.445
2016/03/20,2.495
2016/03/21,2.413
2016/03/22,2.27
2016/03/23,2.027
2016/03/24,2.03
2016/03/25,2.08
2016/03/26,2.095
2016/03/27,1.715
2016/03/28,1.399
2016/03/29,1.153
2016/03/30,1.095
2016/03/31,0.886
2016/04/01,0.687
2016/04/02,0.325
2016/04/03,-0.041
2016/04/04,-0.101
2016/04/05,0.181
2016/04/06,0.225
2016/04/07,0.148
2016/04/08,0.131
2016/04/09,0.042
2016/04/10,-0.05
2016/04/11,-0.218
2016/04/12,-0.184
2016/04/13,-0.002
2016/04/14,0.154
2016/04/15,0.281
2016/04/16,0.16
2016/04/17,0.408
2016/04/18,0.451
2016/04/19,0.352
2016/04/20,0.22
2016/04/21,0.288
2016/04/22,0.169
2016/04/23,-0.003
2016/04/24,-0.07
2016/04/25,-0.017
2016/04/26,-0.053
2016/04/27,-0.062
2016/04/28,-0.034
2016/04/29,0.144
2016/04/30,0.743
2016/05/01,1.121
2016/05/02,1.422
2016/05/03,1.438
2016/05/04,1.297
2016/05/05,1.148
2016/05/06,1.111
2016/05/07,0.877
2016/05/08,0.764
2016/05/09,0.644
2016/05/10,0.617
2016/05/11,0.628
2016/05/12,0.815
2016/05/13,1.14
2016/05/14,1.365
2016/05/15,1.381
2016/05/16,1.065
2016/05/17,0.762
2016/05/18,0.721
2016/05/19,0.725
2016/05/20,0.759
2016/05/21,0.728
2016/05/22,0.488
2016/05/23,0.374
2016/05/24,0.292
2016/05/25,0.362
2016/05/26,0.65
2016/05/27,0.893
2016/05/28,1.825
2016/05/29,1.97
2016/05/30,1.637
2016/05/31,1.195
2016/06/01,0.692
2016/06/02,0.146
2016/06/03,-0.329
2016/06/04,-0.765
2016/06/05,-1.111
2016/06/06,-1.317
2016/06/07,-1.166
2016/06/08,-1.061
2016/06/09,-0.999
2016/06/10,-0.939
2016/06/11,-0.993
2016/06/12,-0.867
2016/06/13,-0.535
2016/06/14,-0.001
2016/06/15,0.271
2016/06/16,0.389
2016/06/17,1.273
2016/06/18,2.167
2016/06/19,2.425
2016/06/20,2.202
2016/06/21,1.801
2016/06/22,1.412
2016/06/23,0.848
2016/06/24,0.404
2016/06/25,-0.21
2016/06/26,-0.639
2016/06/27,-0.982
2016/06/28,-1.112
2016/06/29,-0.886
2016/06/30,-0.047
2016/07/01,0.114
2016/07/02,-0.068
2016/07/03,-0.349
2016/07/04,-0.618
2016/07/05,-0.857
2016/07/06,-1.083
2016/07/07,-1.168
2016/07/08,-1.09
2016/07/09,-1.01
2016/07/10,-0.965
2016/07/11,-0.956
2016/07/12,-0.868
2016/07/13,-0.934
2016/07/14,-0.78
2016/07/15,-0.605
2016/07/16,-0.554
2016/07/17,-0.715
2016/07/18,-0.729
2016/07/19,-0.475
2016/07/20,0.116
2016/07/21,0.53
2016/07/22,0.93
2016/07/23,1.108
2016/07/24,1.646
2016/07/25,2.077
2016/07/26,2.606
2016/07/27,2.703
2016/07/28,2.408
2016/07/29,1.928
2016/07/30,1.253
2016/07/31,0.815
2016/08/01,0.438
2016/08/02,0.238
2016/08/03,0.153
2016/08/04,0.04
2016/08/05,-0.184
2016/08/06,-0.472
2016/08/07,-0.69
2016/08/08,-0.836
2016/08/09,-0.782
2016/08/10,-0.664
2016/08/11,-0.463
2016/08/12,-0.376
2016/08/13,-0.458
2016/08/14,-0.61
2016/08/15,-0.702
2016/08/16,-0.516
2016/08/17,-0.371
2016/08/18,-0.158
2016/08/19,-0.116
2016/08/20,-0.208
2016/08/21,-0.296
2016/08/22,-0.306
2016/08/23,-0.129
2016/08/24,0.045
2016/08/25,0.296
2016/08/26,0.445
2016/08/27,0.541
2016/08/28,0.407
2016/08/29,0.293
2016/08/30,0.25
2016/08/31,0.202
2016/09/01,0.212
2016/09/02,0.511
2016/09/03,0.513
2016/09/04,0.496
2016/09/05,0.283
2016/09/06,0.232
2016/09/07,0.241
2016/09/08,0.511
2016/09/09,0.77
2016/09/10,0.604
2016/09/11,0.296
2016/09/12,0.032
2016/09/13,-0.257
2016/09/14,-0.14
2016/09/15,0.093
2016/09/16,0.498
2016/09/17,0.552
2016/09/18,0.152
2016/09/19,-0.291
2016/09/20,-0.243
2016/09/21,-0.298
2016/09/22,-0.121
2016/09/23,-0.439
2016/09/24,-0.646
2016/09/25,-0.92
2016/09/26,-1.011
2016/09/27,-0.883
2016/09/28,-0.803
2016/09/29,-0.824
2016/09/30,-1.033
2016/10/01,-0.678
2016/10/02,-0.189
2016/10/03,0.164
2016/10/04,0.714
2016/10/05,0.722
2016/10/06,0.322
2016/10/07,0.051
2016/10/08,-0.333
2016/10/09,-0.486
2016/10/10,-0.476
2016/10/11,-0.526
2016/10/12,-0.975
2016/10/13,-1.44
2016/10/14,-1.477
2016/10/15,-1.605
2016/10/16,-1.685
2016/10/17,-1.591
2016/10/18,-0.883
2016/10/19,-0.511
2016/10/20,-0.144
2016/10/21,0.724
2016/10/22,0.869
2016/10/23,0.584
2016/10/24,0.815
2016/10/25,1.019
2016/10/26,1.067
2016/10/27,0.997
2016/10/28,0.769
2016/10/29,0.446
2016/10/30,0.109
2016/10/31,0.018
2016/11/01,0.19
2016/11/02,0.242
2016/11/03,0.189
2016/11/04,-0.253
2016/11/05,-0.604
2016/11/06,-0.976
2016/11/07,-1.014
2016/11/08,-0.9
2016/11/09,-0.763
2016/11/10,-0.637
2016/11/11,-0.492
2016/11/12,-0.36
2016/11/13,-0.141
2016/11/14,0.09
2016/11/15,0.343
2016/11/16,0.421
2016/11/17,0.37
2016/11/18,0.383
2016/11/19,0.245
2016/11/20,0.168
2016/11/21,0.15
2016/11/22,0.562
2016/11/23,1.476
