Date,price3wmaUSD
2016/01/01,0.948
2016/01/02,0.962
2016/01/03,0.972
2016/01/04,0.974
2016/01/05,0.975
2016/01/06,0.974
2016/01/07,0.985
2016/01/08,0.989
2016/01/09,1.027
2016/01/10,1.061
2016/01/11,1.065
2016/01/12,1.12
2016/01/13,1.133
2016/01/14,1.143
2016/01/15,1.189
2016/01/16,1.224
2016/01/17,1.238
2016/01/18,1.329
2016/01/19,1.366
2016/01/20,1.427
2016/01/21,1.48
2016/01/22,1.512
2016/01/23,1.632
2016/01/24,1.905
2016/01/25,2.154
2016/01/26,2.415
2016/01/27,2.445
2016/01/28,2.476
2016/01/29,2.484
2016/01/30,2.511
2016/01/31,2.452
2016/02/01,2.327
2016/02/02,2.257
2016/02/03,2.33
2016/02/04,2.45
2016/02/05,2.512
2016/02/06,2.519
2016/02/07,2.605
2016/02/08,2.869
2016/02/09,3.231
2016/02/10,3.863
2016/02/11,4.505
2016/02/12,5.327
2016/02/13,5.287
2016/02/14,5.096
2016/02/15,5.198
2016/02/16,5.072
2016/02/17,4.582
2016/02/18,4.194
2016/02/19,4.277
2016/02/20,4.392
2016/02/21,4.445
2016/02/22,4.788
2016/02/23,5.293
2016/02/24,5.657
2016/02/25,6.022
2016/02/26,6.054
2016/02/27,6.153
2016/02/28,6.294
2016/02/29,6.395
2016/03/01,6.588
2016/03/02,7.31
2016/03/03,8.408
2016/03/04,9.041
2016/03/05,10.197
2016/03/06,10.811
2016/03/07,10.725
2016/03/08,10.095
2016/03/09,10.205
2016/03/10,10.939
2016/03/11,11.188
2016/03/12,12.091
2016/03/13,13.315
2016/03/14,13.655
2016/03/15,13.227
2016/03/16,13.095
2016/03/17,12.33
2016/03/18,11.177
2016/03/19,10.621
2016/03/20,10.339
2016/03/21,10.66
2016/03/22,11.166
2016/03/23,11.621
2016/03/24,11.58
2016/03/25,11.163
2016/03/26,10.911
2016/03/27,10.751
2016/03/28,10.962
2016/03/29,11.289
2016/03/30,11.617
2016/03/31,11.736
2016/04/01,11.689
2016/04/02,11.557
2016/04/03,11.499
2016/04/04,11.377
2016/04/05,11.031
2016/04/06,10.745
2016/04/07,10.506
2016/04/08,10.163
2016/04/09,9.826
2016/04/10,9.16
2016/04/11,8.715
2016/04/12,8.199
2016/04/13,7.932
2016/04/14,8.096
2016/04/15,8.25
2016/04/16,8.309
2016/04/17,8.769
2016/04/18,8.993
2016/04/19,9.079
2016/04/20,8.815
2016/04/21,8.598
2016/04/22,8.248
2016/04/23,8.076
2016/04/24,8.089
2016/04/25,7.956
2016/04/26,7.618
2016/04/27,7.537
2016/04/28,7.463
2016/04/29,7.469
2016/04/30,7.852
2016/05/01,8.351
2016/05/02,9.067
2016/05/03,9.458
2016/05/04,9.576
2016/05/05,9.561
