Date,confirmationtime3trx
2016/01/01,0.378
2016/01/02,0.027
2016/01/03,-0.332
2016/01/04,-0.381
2016/01/05,-0.392
2016/01/06,-0.257
2016/01/07,0.134
2016/01/08,-0.135
2016/01/09,-0.15
2016/01/10,-0.093
2016/01/11,-0.077
2016/01/12,0.382
2016/01/13,0.432
2016/01/14,0.133
2016/01/15,-0.061
2016/01/16,-0.044
2016/01/17,0.021
2016/01/18,-0.032
2016/01/19,0.181
2016/01/20,0.132
2016/01/21,0.247
2016/01/22,0.182
2016/01/23,0.306
2016/01/24,-0.237
2016/01/25,0.15
2016/01/26,-0.234
2016/01/27,-0.081
2016/01/28,-0.116
2016/01/29,0.052
2016/01/30,0.064
2016/01/31,0.415
2016/02/01,0.213
2016/02/02,0.168
2016/02/03,-0.446
2016/02/04,-0.446
2016/02/05,-0.274
2016/02/06,0.016
2016/02/07,-0.074
2016/02/08,-0.119
2016/02/09,-0.081
2016/02/10,0.195
2016/02/11,0.191
2016/02/12,0.095
2016/02/13,-0.123
2016/02/14,0.023
2016/02/15,0.176
2016/02/16,0.106
2016/02/17,0.462
2016/02/18,0.267
2016/02/19,-0.015
2016/02/20,-0.21
2016/02/21,-0.28
2016/02/22,-0.382
2016/02/23,-0.058
2016/02/24,0.015
2016/02/25,-0.224
2016/02/26,-0.177
2016/02/27,0.061
2016/02/28,0.104
2016/02/29,0.631
2016/03/01,0.275
2016/03/02,-0.128
2016/03/03,-0.144
2016/03/04,-0.035
2016/03/05,-0.312
2016/03/06,0.114
2016/03/07,0.099
2016/03/08,0.046
2016/03/09,0.079
2016/03/10,-0.404
2016/03/11,-0.349
2016/03/12,-0.106
2016/03/13,-0.342
2016/03/14,-0.293
2016/03/15,-2.008
2016/03/16,-2.976
2016/03/17,-3.16
2016/03/18,-2.563
2016/03/19,-2.074
2016/03/20,-1.482
2016/03/21,-0.918
2016/03/22,-0.679
2016/03/23,-0.317
2016/03/24,-0.341
2016/03/25,-0.288
2016/03/26,-0.276
2016/03/27,-0.14
2016/03/28,0.059
2016/03/29,0.136
2016/03/30,0.065
2016/03/31,0.057
2016/04/01,-0.07
2016/04/02,0.164
2016/04/03,0.096
2016/04/04,-0.091
2016/04/05,-0.08
2016/04/06,0.021
2016/04/07,0.187
2016/04/08,-0.054
2016/04/09,0.133
2016/04/10,-0.013
2016/04/11,0.142
2016/04/12,0.074
2016/04/13,0.004
2016/04/14,-0.045
2016/04/15,-0.139
2016/04/16,-0.092
2016/04/17,-0.031
2016/04/18,-0.078
2016/04/19,0.075
2016/04/20,-0.003
2016/04/21,0.055
2016/04/22,0.008
2016/04/23,-0.07
