Date,fee_to_rewardUSD
2016/10/04,0.256
2016/10/05,0.18
2016/10/06,0.145
2016/10/07,0.133
2016/10/08,0.147
2016/10/09,0.172
2016/10/10,0.158
2016/10/11,0.116
2016/10/12,0.126
2016/10/13,0.297
2016/10/14,0.218
2016/10/15,0.207
2016/10/16,0.195
2016/10/17,0.212
2016/10/18,0.278
2016/10/19,0.262
2016/10/20,0.152
2016/10/21,0.126
2016/10/22,0.0851
2016/10/23,0.082
2016/10/24,0.147
2016/10/25,0.133
2016/10/26,0.107
2016/10/27,0.103
2016/10/28,0.113
2016/10/29,0.102
2016/10/30,0.0929
2016/10/31,0.102
2016/11/01,0.132
2016/11/02,0.0916
2016/11/03,0.0927
2016/11/04,0.0687
2016/11/05,0.0764
2016/11/06,0.0716
2016/11/07,0.085
2016/11/08,0.0949
2016/11/09,0.11
2016/11/10,0.11
2016/11/11,0.132
2016/11/12,0.0938
2016/11/13,0.102
2016/11/14,0.117
2016/11/15,0.115
2016/11/16,0.108
2016/11/17,0.0963
2016/11/18,0.102
2016/11/19,0.0842
2016/11/20,0.098
2016/11/21,0.108
2016/11/22,0.119
2016/11/23,0.24
2016/11/24,0.173
2016/11/25,0.17
2016/11/26,0.213
2016/11/27,0.32
2016/11/28,0.339
2016/11/29,0.293
2016/11/30,0.108
2016/12/01,0.0836
2016/12/02,0.0862
2016/12/03,0.0789
2016/12/04,0.0824
2016/12/05,0.0976
2016/12/06,0.106
2016/12/07,0.108
2016/12/08,0.109
2016/12/09,0.0968
2016/12/10,0.0895
2016/12/11,0.113
2016/12/12,0.0971
2016/12/13,0.095
2016/12/14,0.107
2016/12/15,0.107
2016/12/16,0.0942
2016/12/17,0.1
2016/12/18,0.085
2016/12/19,0.113
2016/12/20,0.134
2016/12/21,0.166
2016/12/22,0.122
2016/12/23,0.0932
2016/12/24,0.0806
2016/12/25,0.074
2016/12/26,0.0716
2016/12/27,0.114
2016/12/28,0.0977
2016/12/29,0.124
2016/12/30,0.137
2016/12/31,0.0895
2017/01/01,0.078
2017/01/02,0.0873
2017/01/03,0.124
2017/01/04,0.12
2017/01/05,0.107
2017/01/06,0.0976
2017/01/07,0.0924
2017/01/08,0.102
2017/01/09,0.11
2017/01/10,0.12
2017/01/11,0.107
2017/01/12,0.115
2017/01/13,0.11
2017/01/14,0.0895
2017/01/15,0.0925
2017/01/16,0.101
2017/01/17,0.123
2017/01/18,0.105
2017/01/19,0.0952
2017/01/20,0.106
2017/01/21,0.0951
2017/01/22,0.111
2017/01/23,0.109
2017/01/24,0.128
2017/01/25,0.117
2017/01/26,0.112
2017/01/27,0.111
2017/01/28,0.103
2017/01/29,0.096
2017/01/30,0.1
2017/01/31,0.0995
2017/02/01,0.119
2017/02/02,0.11
2017/02/03,0.106
2017/02/04,0.101
2017/02/05,0.108
2017/02/06,0.111
2017/02/07,0.142
2017/02/08,0.134
2017/02/09,0.126
2017/02/10,0.143
2017/02/11,0.119
2017/02/12,0.125
2017/02/13,0.188
2017/02/14,0.154
2017/02/15,0.2
2017/02/16,0.122
2017/02/17,0.121
2017/02/18,0.14
2017/02/19,0.114
2017/02/20,0.128
2017/02/21,0.17
2017/02/22,0.16
2017/02/23,0.136
2017/02/24,0.129
2017/02/25,0.138
2017/02/26,0.121
2017/02/27,0.141
2017/02/28,0.156
2017/03/01,0.163
2017/03/02,0.169
2017/03/03,0.145
2017/03/04,0.133
2017/03/05,0.134
2017/03/06,0.13
2017/03/07,0.138
2017/03/08,0.126
2017/03/09,0.158
2017/03/10,0.169
2017/03/11,0.15
2017/03/12,0.153
2017/03/13,0.234
2017/03/14,0.232
2017/03/15,0.199
2017/03/16,0.263
2017/03/17,0.259
2017/03/18,0.187
2017/03/19,0.18
2017/03/20,0.175
2017/03/21,0.201
2017/03/22,0.187
2017/03/23,0.191
2017/03/24,0.214
2017/03/25,0.182
2017/03/26,0.182
2017/03/27,0.244
2017/03/28,0.204
2017/03/29,0.216
2017/03/30,0.224
2017/03/31,0.241
2017/04/01,0.181
2017/04/02,0.212
2017/04/03,0.234
2017/04/04,0.204
2017/04/05,0.213
2017/04/06,0.233
2017/04/07,0.227
2017/04/08,0.165
2017/04/09,0.183
2017/04/10,0.204
2017/04/11,0.189
2017/04/12,0.259
2017/04/13,0.198
2017/04/14,0.198
2017/04/15,0.188
2017/04/16,0.176
2017/04/17,0.192
2017/04/18,0.235
2017/04/19,0.258
2017/04/20,0.23
2017/04/21,0.295
2017/04/22,0.243
2017/04/23,0.208
2017/04/24,0.239
2017/04/25,0.249
2017/04/26,0.248
2017/04/27,0.289
2017/04/28,0.26
2017/04/29,0.234
2017/04/30,0.262
2017/05/01,0.349
2017/05/02,0.37
