Date,hashrate30trx
2016/01/01,0.352
2016/01/02,0.344
2016/01/03,0.337
2016/01/04,0.33
2016/01/05,0.324
2016/01/06,0.318
2016/01/07,0.311
2016/01/08,0.304
2016/01/09,0.298
2016/01/10,0.291
2016/01/11,0.286
2016/01/12,0.28
2016/01/13,0.273
2016/01/14,0.267
2016/01/15,0.262
2016/01/16,0.258
2016/01/17,0.255
2016/01/18,0.254
2016/01/19,0.254
2016/01/20,0.255
2016/01/21,0.256
2016/01/22,0.259
2016/01/23,0.263
2016/01/24,0.27
2016/01/25,0.277
2016/01/26,0.288
2016/01/27,0.301
2016/01/28,0.314
2016/01/29,0.328
2016/01/30,0.343
2016/01/31,0.357
2016/02/01,0.371
2016/02/02,0.384
2016/02/03,0.397
2016/02/04,0.411
2016/02/05,0.426
2016/02/06,0.438
2016/02/07,0.45
2016/02/08,0.463
2016/02/09,0.475
2016/02/10,0.487
2016/02/11,0.5
2016/02/12,0.512
2016/02/13,0.525
2016/02/14,0.539
2016/02/15,0.554
2016/02/16,0.57
2016/02/17,0.584
2016/02/18,0.597
2016/02/19,0.609
2016/02/20,0.621
2016/02/21,0.633
2016/02/22,0.646
2016/02/23,0.66
2016/02/24,0.674
2016/02/25,0.687
2016/02/26,0.702
2016/02/27,0.717
2016/02/28,0.732
2016/02/29,0.747
2016/03/01,0.761
2016/03/02,0.775
2016/03/03,0.79
2016/03/04,0.806
2016/03/05,0.825
2016/03/06,0.845
2016/03/07,0.865
2016/03/08,0.887
2016/03/09,0.909
2016/03/10,0.932
2016/03/11,0.957
2016/03/12,0.985
2016/03/13,1.017
2016/03/14,1.049
2016/03/15,1.084
2016/03/16,1.119
2016/03/17,1.155
2016/03/18,1.191
2016/03/19,1.228
2016/03/20,1.265
2016/03/21,1.3
2016/03/22,1.334
2016/03/23,1.363
2016/03/24,1.39
2016/03/25,1.418
2016/03/26,1.447
2016/03/27,1.475
2016/03/28,1.501
2016/03/29,1.526
2016/03/30,1.549
2016/03/31,1.573
2016/04/01,1.595
2016/04/02,1.614
2016/04/03,1.632
2016/04/04,1.65
2016/04/05,1.667
2016/04/06,1.682
2016/04/07,1.691
2016/04/08,1.7
2016/04/09,1.707
2016/04/10,1.713
2016/04/11,1.716
2016/04/12,1.714
2016/04/13,1.711
2016/04/14,1.706
2016/04/15,1.7
2016/04/16,1.695
2016/04/17,1.687
2016/04/18,1.68
2016/04/19,1.672
2016/04/20,1.665
2016/04/21,1.657
2016/04/22,1.647
2016/04/23,1.637
2016/04/24,1.625
2016/04/25,1.613
2016/04/26,1.6
2016/04/27,1.586
