Date,confirmationtime14roc
2016/01/01,2.764
2016/01/02,-1.119
2016/01/03,-3.642
2016/01/04,-2.355
2016/01/05,0.059
2016/01/06,0.432
2016/01/07,0.743
2016/01/08,-1.855
2016/01/09,-1.863
2016/01/10,-1.473
2016/01/11,-0.509
2016/01/12,1.034
2016/01/13,0.52
2016/01/14,-0.982
2016/01/15,-3.914
2016/01/16,0.971
2016/01/17,1.946
2016/01/18,0.473
2016/01/19,3.097
2016/01/20,1.032
2016/01/21,0.363
2016/01/22,3.375
2016/01/23,3.47
2016/01/24,-1.451
2016/01/25,4.63
2016/01/26,-4.309
2016/01/27,0.381
2016/01/28,0.613
2016/01/29,2.068
2016/01/30,0.578
2016/01/31,3.366
2016/02/01,1.137
2016/02/02,0.343
2016/02/03,-3.097
2016/02/04,-1.956
2016/02/05,-0.773
2016/02/06,-1.183
2016/02/07,1.592
2016/02/08,-3.747
2016/02/09,1.919
2016/02/10,0.443
2016/02/11,0.797
2016/02/12,-1.033
2016/02/13,-1.492
2016/02/14,-2.365
2016/02/15,0.804
2016/02/16,-1.393
2016/02/17,7.041
2016/02/18,1.26
2016/02/19,0.258
2016/02/20,-1.267
2016/02/21,0.633
2016/02/22,-0.627
2016/02/23,1.731
2016/02/24,-1.352
2016/02/25,-2.126
2016/02/26,-0.435
2016/02/27,2.023
2016/02/28,-0.776
2016/02/29,3.216
2016/03/01,-0.534
2016/03/02,-4.503
2016/03/03,-0.299
2016/03/04,0.781
2016/03/05,-1.693
2016/03/06,3.016
2016/03/07,1.532
2016/03/08,-0.957
2016/03/09,0.802
2016/03/10,-1.309
2016/03/11,-0.197
2016/03/12,-0.617
2016/03/13,-3.027
2016/03/14,-5.638
2016/03/15,-15.504
2016/03/16,-15.585
2016/03/17,-17.56
2016/03/18,-16.236
2016/03/19,-15.521
2016/03/20,-18.583
2016/03/21,-16.149
2016/03/22,-17.361
2016/03/23,-16.488
2016/03/24,-14.834
2016/03/25,-16.502
2016/03/26,-17.588
2016/03/27,-14.224
2016/03/28,-14.852
2016/03/29,-0.516
2016/03/30,-0.364
