Date,transactionvalue7smaUSD
2016/09/11,219.065
2016/09/12,221.884
2016/09/13,227.838
2016/09/14,221.714
2016/09/15,197.5
2016/09/16,245.056
2016/09/17,249.769
2016/09/18,292.114
2016/09/19,299.354
2016/09/20,394.111
2016/09/21,549.267
2016/09/22,596.343
2016/09/23,637.973
2016/09/24,664.621
2016/09/25,708.391
2016/09/26,727.964
2016/09/27,639.796
2016/09/28,571.18
2016/09/29,602.004
2016/09/30,539.48
2016/10/01,511.179
2016/10/02,458.233
2016/10/03,420.983
2016/10/04,399.547
2016/10/05,336.214
2016/10/06,284.739
2016/10/07,275.647
2016/10/08,295.442
2016/10/09,331.757
2016/10/10,404.637
2016/10/11,476.472
2016/10/12,577.343
2016/10/13,584.713
2016/10/14,652.784
2016/10/15,662.261
2016/10/16,637.616
2016/10/17,622.272
2016/10/18,624.896
2016/10/19,525.215
2016/10/20,500.169
2016/10/21,411.764
2016/10/22,376.28
2016/10/23,319.3
2016/10/24,258.695
2016/10/25,198.776
2016/10/26,184.45
2016/10/27,189.611
2016/10/28,230.736
2016/10/29,278.884
2016/10/30,351.48
2016/10/31,374.228
2016/11/01,425.912
2016/11/02,545.895
2016/11/03,877.851
2016/11/04,875.821
2016/11/05,840.999
2016/11/06,770.928
2016/11/07,750.781
2016/11/08,686.035
2016/11/09,608.213
2016/11/10,280.59
2016/11/11,359.058
2016/11/12,366.757
2016/11/13,384.977
2016/11/14,378.633
2016/11/15,386.262
2016/11/16,347.81
2016/11/17,421.77
2016/11/18,319.862
2016/11/19,306.035
2016/11/20,285.077
2016/11/21,288.804
2016/11/22,324.184
2016/11/23,339.713
2016/11/24,258.255
2016/11/25,259.168
2016/11/26,252.075
2016/11/27,252.1
2016/11/28,251.633
2016/11/29,216.338
2016/11/30,199.544
2016/12/01,202.5
2016/12/02,257.857
2016/12/03,366.037
2016/12/04,391.968
2016/12/05,461.658
2016/12/06,555.453
2016/12/07,583.821
2016/12/08,626.623
2016/12/09,608.928
2016/12/10,518.948
2016/12/11,530.286
2016/12/12,472.595
2016/12/13,375.619
2016/12/14,337.509
2016/12/15,313.194
2016/12/16,276.527
2016/12/17,321.137
2016/12/18,329.006
2016/12/19,329.736
2016/12/20,334.242
2016/12/21,352.808
2016/12/22,366.137
2016/12/23,477.504
2016/12/24,456.15
2016/12/25,419.993
2016/12/26,411.355
2016/12/27,411.372
2016/12/28,434.809
2016/12/29,483.255
2016/12/30,422.395
2016/12/31,534.184
2017/01/01,559.666
2017/01/02,619.123
2017/01/03,723.938
2017/01/04,886.794
2017/01/05,1017
2017/01/06,1172
2017/01/07,1137
2017/01/08,1165
2017/01/09,1223
2017/01/10,1226
2017/01/11,1141
2017/01/12,1019
2017/01/13,843.978
2017/01/14,733.648
2017/01/15,669.586
2017/01/16,551.608
2017/01/17,457.652
2017/01/18,339.534
2017/01/19,250.976
2017/01/20,272.297
2017/01/21,275.11
2017/01/22,287.42
2017/01/23,292.343
2017/01/24,268.488
2017/01/25,270.941
2017/01/26,271.575
2017/01/27,215.841
2017/01/28,202.304
2017/01/29,201.085
2017/01/30,194.779
2017/01/31,215.261
2017/02/01,227.865
2017/02/02,236.349
2017/02/03,262.276
2017/02/04,304.802
2017/02/05,299.799
2017/02/06,323.364
2017/02/07,319.106
2017/02/08,313.635
2017/02/09,315.173
2017/02/10,305.929
2017/02/11,275.831
2017/02/12,293.4
2017/02/13,281.546
2017/02/14,346.453
2017/02/15,447.248
2017/02/16,490.329
2017/02/17,535.961
2017/02/18,591.231
2017/02/19,636.551
2017/02/20,690.678
2017/02/21,702.341
2017/02/22,660.354
2017/02/23,672.493
2017/02/24,753.576
2017/02/25,779.939
2017/02/26,837.38
2017/02/27,1112
2017/02/28,1416
2017/03/01,1767
2017/03/02,2300
2017/03/03,2846
2017/03/04,3236
2017/03/05,3522
2017/03/06,3906
2017/03/07,3938
2017/03/08,4010
2017/03/09,3949
2017/03/10,3765
2017/03/11,3955
2017/03/12,4676
2017/03/13,4822
2017/03/14,4784
2017/03/15,4682
2017/03/16,5766
2017/03/17,6218
2017/03/18,6986
2017/03/19,6181
2017/03/20,5796
2017/03/21,6338
2017/03/22,6775
2017/03/23,5959
2017/03/24,6166
2017/03/25,5741
2017/03/26,6264
2017/03/27,6595
2017/03/28,6569
2017/03/29,6778
2017/03/30,7294
2017/03/31,7117
2017/04/01,6941
2017/04/02,7284
2017/04/03,7550
2017/04/04,7228
2017/04/05,7078
2017/04/06,6873
2017/04/07,6192
2017/04/08,5928
2017/04/09,5283
2017/04/10,4882
2017/04/11,4978
2017/04/12,4689
2017/04/13,4025
2017/04/14,4289
2017/04/15,4020
2017/04/16,3627
2017/04/17,3149
2017/04/18,3168
2017/04/19,3357
2017/04/20,3775
2017/04/21,3843
2017/04/22,4176
2017/04/23,4633
2017/04/24,5167
2017/04/25,5048
2017/04/26,5159
2017/04/27,5460
2017/04/28,6084
2017/04/29,6961
2017/04/30,8077
2017/05/01,9769
2017/05/02,11179
2017/05/03,12816
2017/05/04,14036
2017/05/05,15567
2017/05/06,16146
2017/05/07,16863
2017/05/08,16504
2017/05/09,16553
2017/05/10,16101
2017/05/11,16099
2017/05/12,15396
2017/05/13,14900
2017/05/14,13988
2017/05/15,13663
2017/05/16,13955
2017/05/17,13091
2017/05/18,11576
2017/05/19,10935
2017/05/20,10629
2017/05/21,10709
2017/05/22,12408
2017/05/23,12071
2017/05/24,13048
2017/05/25,14354
2017/05/26,15329
2017/05/27,15731
2017/05/28,15625
2017/05/29,13818
2017/05/30,13633
2017/05/31,14886
2017/06/01,15341
2017/06/02,15543
2017/06/03,16604
2017/06/04,17688
2017/06/05,19180
2017/06/06,21060
2017/06/07,20794
2017/06/08,21148
2017/06/09,21314
2017/06/10,20782
2017/06/11,20623
2017/06/12,22162
2017/06/13,22653
2017/06/14,22275
2017/06/15,22946
2017/06/16,23786
2017/06/17,23710
2017/06/18,23255
2017/06/19,20545
2017/06/20,18763
2017/06/21,17170
2017/06/22,14851
2017/06/23,12908
2017/06/24,12808
2017/06/25,11556
2017/06/26,10818
2017/06/27,10009
2017/06/28,10358
2017/06/29,10835
2017/06/30,10756
2017/07/01,10127
2017/07/02,10466
2017/07/03,12472
2017/07/04,13684
2017/07/05,13070
2017/07/06,12441
2017/07/07,11918
2017/07/08,11518
2017/07/09,10964
2017/07/10,8854
2017/07/11,7263
2017/07/12,7604
2017/07/13,8868
2017/07/14,10571
2017/07/15,12316
2017/07/16,14078
2017/07/17,15196
2017/07/18,16770
2017/07/19,18184
2017/07/20,18250
2017/07/21,18304
2017/07/22,16231
2017/07/23,14804
2017/07/24,15105
2017/07/25,15170
2017/07/26,14872
2017/07/27,15020
2017/07/28,14935
2017/07/29,17213
2017/07/30,18299
2017/07/31,16720
2017/08/01,15202
2017/08/02,13995
2017/08/03,12314
2017/08/04,10488
2017/08/05,8684
2017/08/06,7950
2017/08/07,8291
2017/08/08,8316
2017/08/09,8782
2017/08/10,10713
2017/08/11,15358
2017/08/12,17834
2017/08/13,20472
2017/08/14,21682
2017/08/15,22232
2017/08/16,22103
2017/08/17,20692
2017/08/18,16593
2017/08/19,14231
2017/08/20,11738
2017/08/21,10649
2017/08/22,10110
2017/08/23,10132
2017/08/24,10140
2017/08/25,10017
2017/08/26,9543
2017/08/27,11084
2017/08/28,13434
2017/08/29,14793
2017/08/30,18048
2017/08/31,18874
2017/09/01,19709
2017/09/02,21011
2017/09/03,19858
2017/09/04,17726
2017/09/05,16514
2017/09/06,13225
2017/09/07,12066
2017/09/08,11146
2017/09/09,11244
2017/09/10,11693
2017/09/11,11767
2017/09/12,11848
2017/09/13,11342
2017/09/14,11553
2017/09/15,11608
2017/09/16,10364
2017/09/17,9646
2017/09/18,9999
2017/09/19,10173
2017/09/20,10334
2017/09/21,10062
2017/09/22,9861
2017/09/23,10006
2017/09/24,9472
2017/09/25,8506
2017/09/26,7878
2017/09/27,7911
2017/09/28,8027
2017/09/29,7916
2017/09/30,7720
2017/10/01,7448
2017/10/02,7307
2017/10/03,9018
2017/10/04,9813
2017/10/05,9793
2017/10/06,10006
2017/10/07,10210
2017/10/08,10806
2017/10/09,11177
2017/10/10,9654
2017/10/11,8848
2017/10/12,8905
2017/10/13,9352
2017/10/14,9689
2017/10/15,9743
2017/10/16,9270
2017/10/17,8936
2017/10/18,9058
2017/10/19,8858
2017/10/20,8060
2017/10/21,7548
2017/10/22,7120
2017/10/23,7354
2017/10/24,7441
2017/10/25,7025
2017/10/26,6803
2017/10/27,5894
2017/10/28,4935
2017/10/29,4036
2017/10/30,2922
2017/10/31,1817
2017/11/01,2022
2017/11/02,2335
2017/11/03,3422
2017/11/04,4328
2017/11/05,5138
2017/11/06,5941
2017/11/07,6658
2017/11/08,6534
2017/11/09,7130
2017/11/10,7357
