Date,transactionfees3rocUSD
2016/01/01,-26.888
2016/01/02,-35.106
2016/01/03,-11.315
2016/01/04,19.883
2016/01/05,75.549
2016/01/06,84.302
2016/01/07,34.975
2016/01/08,-34.021
2016/01/09,-6.749
2016/01/10,-6.356
2016/01/11,4.483
2016/01/12,-21.625
2016/01/13,39.527
2016/01/14,16.016
2016/01/15,4.888
2016/01/16,-31.642
2016/01/17,-24.618
2016/01/18,16.907
2016/01/19,38.029
2016/01/20,21.57
2016/01/21,-15.191
2016/01/22,-6.013
2016/01/23,4.894
2016/01/24,37.676
2016/01/25,57.83
2016/01/26,115.254
2016/01/27,83.348
2016/01/28,13.745
2016/01/29,-3.484
2016/01/30,-16.358
2016/01/31,-7.01
2016/02/01,-10.996
2016/02/02,-24.297
2016/02/03,-17.393
2016/02/04,13.324
2016/02/05,39.93
2016/02/06,307.654
2016/02/07,73.895
2016/02/08,23.607
2016/02/09,-41.268
2016/02/10,49.332
2016/02/11,34.278
2016/02/12,-4.473
2016/02/13,-37.778
2016/02/14,-23.628
2016/02/15,-9.229
2016/02/16,-1.017
2016/02/17,2.779
2016/02/18,-28.938
2016/02/19,-1.984
2016/02/20,-15.351
2016/02/21,4.658
2016/02/22,1.708
2016/02/23,306.707
2016/02/24,112.527
2016/02/25,10.526
2016/02/26,-50.065
2016/02/27,-39.903
2016/02/28,-2.407
2016/02/29,-28.127
2016/03/01,13.1
2016/03/02,33.373
2016/03/03,26.603
2016/03/04,23.07
2016/03/05,5.198
2016/03/06,15.097
2016/03/07,4.158
2016/03/08,-4.64
2016/03/09,-25.912
2016/03/10,-29.265
2016/03/11,-30.443
2016/03/12,0.247
2016/03/13,36.92
2016/03/14,41.905
2016/03/15,-7.292
2016/03/16,-12.348
2016/03/17,-16.404
2016/03/18,-15.577
2016/03/19,17.553
2016/03/20,2.798
2016/03/21,24.548
2016/03/22,-31.47
2016/03/23,8.062
2016/03/24,16.502
2016/03/25,28.348
2016/03/26,-14.839
2016/03/27,-46.379
2016/03/28,-25.797
2016/03/29,-21.397
2016/03/30,75.185
2016/03/31,3.808
2016/04/01,3.631
2016/04/02,-41.226
2016/04/03,-23.591
2016/04/04,-4.874
2016/04/05,11
2016/04/06,2.712
2016/04/07,-13.224
2016/04/08,-6.605
2016/04/09,-15.883
2016/04/10,-25.383
2016/04/11,-28.619
2016/04/12,-13.604
2016/04/13,36.946
2016/04/14,46.457
2016/04/15,7.009
2016/04/16,-34.323
2016/04/17,-9.072
2016/04/18,-2.338
2016/04/19,13.118
2016/04/20,-10.545
2016/04/21,27.22
2016/04/22,-1.893
2016/04/23,-21.093
2016/04/24,-21.88
