Date,activeaddresses30var
2016/01/01,113370
2016/01/02,105736
2016/01/03,94156
2016/01/04,83397
2016/01/05,85007
2016/01/06,89489
2016/01/07,92142
2016/01/08,84087
2016/01/09,71866
2016/01/10,66628
2016/01/11,86683
2016/01/12,101534
2016/01/13,109948
2016/01/14,107352
2016/01/15,118976
2016/01/16,120810
2016/01/17,119142
2016/01/18,127832
2016/01/19,125861
2016/01/20,152692
2016/01/21,152661
2016/01/22,153027
2016/01/23,173174
2016/01/24,216836
2016/01/25,297781
2016/01/26,407039
2016/01/27,462570
2016/01/28,558196
2016/01/29,608169
2016/01/30,669717
2016/01/31,718328
2016/02/01,732155
2016/02/02,735213
2016/02/03,746391
2016/02/04,727810
2016/02/05,769263
2016/02/06,753298
2016/02/07,729175
2016/02/08,722797
2016/02/09,751069
2016/02/10,978511
2016/02/11,1696270
2016/02/12,1928421
2016/02/13,2032153
2016/02/14,2041849
2016/02/15,1998228
2016/02/16,1901987
2016/02/17,1877918
2016/02/18,1768737
2016/02/19,1725791
2016/02/20,1558896
2016/02/21,1470499
2016/02/22,1416961
2016/02/23,1398793
2016/02/24,1393877
2016/02/25,1475395
2016/02/26,1427693
2016/02/27,1419599
2016/02/28,1427644
2016/02/29,1479484
2016/03/01,1643912
2016/03/02,1932529
2016/03/03,2313146
2016/03/04,2595250
2016/03/05,3265700
2016/03/06,3777939
2016/03/07,3547935
2016/03/08,3609387
2016/03/09,3603412
2016/03/10,3831076
2016/03/11,4008579
2016/03/12,4526316
2016/03/13,4913681
2016/03/14,5359427
2016/03/15,5540994
2016/03/16,5633976
2016/03/17,5715023
2016/03/18,6064506
2016/03/19,5902557
2016/03/20,5713274
2016/03/21,5300002
2016/03/22,5055313
2016/03/23,4861761
2016/03/24,4489131
2016/03/25,4056829
2016/03/26,3687169
2016/03/27,3160119
2016/03/28,2586326
2016/03/29,2383211
2016/03/30,2432056
2016/03/31,2164221
2016/04/01,2000064
2016/04/02,1894365
2016/04/03,1775115
2016/04/04,1901780
2016/04/05,2067628
2016/04/06,1687009
2016/04/07,1737129
2016/04/08,1526779
2016/04/09,1543509
2016/04/10,1470778
2016/04/11,1457064
2016/04/12,1460625
2016/04/13,1587548
2016/04/14,1599870
2016/04/15,1517106
2016/04/16,1457077
2016/04/17,1534892
2016/04/18,1484604
2016/04/19,1425234
2016/04/20,1365095
2016/04/21,1253680
2016/04/22,1211388
2016/04/23,1055182
2016/04/24,961639
2016/04/25,756132
2016/04/26,701950
2016/04/27,653412
2016/04/28,664404
2016/04/29,964132
2016/04/30,3597892
2016/05/01,3818825
2016/05/02,4933648
2016/05/03,5040658
2016/05/04,5108505
2016/05/05,5254963
2016/05/06,5221903
2016/05/07,5236270
2016/05/08,5266679
2016/05/09,5584110
2016/05/10,5721426
2016/05/11,6249544
2016/05/12,6827338
