Date,difficulty14ema
2016/01/01,8516635175706
2016/01/02,8467412649715
2016/01/03,8446744969904
2016/01/04,8431733664550
2016/01/05,8414950786793
2016/01/06,8415982987550
2016/01/07,8388532994786
2016/01/08,8377048652512
2016/01/09,8384482292571
2016/01/10,8378116802798
2016/01/11,8438125911986
2016/01/12,8498368229248
2016/01/13,8496408581974
2016/01/14,8528262239879
2016/01/15,8590648591285
2016/01/16,8672209755201
2016/01/17,8724985242809
2016/01/18,8822180533190
2016/01/19,8917708272405
2016/01/20,8983869277800
2016/01/21,9065819778766
2016/01/22,9176645860501
2016/01/23,9294227266129
2016/01/24,9406099865620
2016/01/25,9529301985000
2016/01/26,9673493770641
2016/01/27,9826375249281
2016/01/28,9909355830945
2016/01/29,10039194332969
2016/01/30,10150778632916
2016/01/31,10223467030982
2016/02/01,10316004321798
2016/02/02,10363757053425
2016/02/03,10429547776162
2016/02/04,10520779048509
2016/02/05,10608158537427
2016/02/06,10642645396997
2016/02/07,10697009299384
2016/02/08,10809389606017
2016/02/09,10867511096849
2016/02/10,10973086856639
2016/02/11,11109178131631
2016/02/12,11168357780935
2016/02/13,11292230843545
2016/02/14,11452850058372
2016/02/15,11642438738584
2016/02/16,11782944816570
2016/02/17,11908141350312
2016/02/18,11944670374939
2016/02/19,12038904435144
2016/02/20,12142272323784
2016/02/21,12251160033346
2016/02/22,12408539213897
2016/02/23,12591878660028
2016/02/24,12729424175520
2016/02/25,12842008215587
2016/02/26,13002994045270
2016/02/27,13211252759998
2016/02/28,13414717585210
2016/02/29,13617629989520
2016/03/01,13729072930839
2016/03/02,13897184367414
2016/03/03,14124058394338
2016/03/04,14392980585882
2016/03/05,14670329307370
2016/03/06,15026592094946
2016/03/07,15311615720371
2016/03/08,15602321626788
2016/03/09,15904248691718
2016/03/10,16184519304861
2016/03/11,16517519602555
2016/03/12,16935838736440
2016/03/13,17364336366207
2016/03/14,17724492214827
2016/03/15,17704200103193
2016/03/16,17714012856785
2016/03/17,17757313537142
2016/03/18,17829722355103
2016/03/19,17939319600238
2016/03/20,18137199015039
2016/03/21,18288039414178
2016/03/22,18458658295077
2016/03/23,18499636048094
2016/03/24,18673163630708
2016/03/25,18966287243307
2016/03/26,19292674858250
2016/03/27,19650583819051
2016/03/28,19932907606441
2016/03/29,20277017867428
2016/03/30,20616411516958
2016/03/31,21052805781195
2016/04/01,21412322877291
2016/04/02,21693296526370
2016/04/03,22040287207891
2016/04/04,22467696392979
2016/04/05,22899444894859
2016/04/06,23268471235686
2016/04/07,23451383542236
2016/04/08,23809850667095
2016/04/09,24214330815512
2016/04/10,24596930446253
2016/04/11,24918972611324
2016/04/12,25075833432966
2016/04/13,25364813803941
2016/04/14,25655540321188
2016/04/15,26009006215772
2016/04/16,26391930310746
2016/04/17,26635863569601
2016/04/18,27020927631252
2016/04/19,27422070434985
2016/04/20,27786596105443
2016/04/21,28197950321486
2016/04/22,28403598921738
2016/04/23,28732338629846
2016/04/24,28981896834640
2016/04/25,29320853184857
2016/04/26,29610523784348
2016/04/27,29806877169566
2016/04/28,30102494383313
2016/04/29,30443619930702
2016/04/30,30879005264934
2016/05/01,31359727469143
2016/05/02,31482549057593
2016/05/03,31839757077244
2016/05/04,32149961359335
2016/05/05,32379623458382
2016/05/06,32606412915726
2016/05/07,32803602754435
2016/05/08,33024909591632
2016/05/09,33272602656379
2016/05/10,33596657162611
2016/05/11,33762399927294
2016/05/12,33875214896744
2016/05/13,34267139610413
2016/05/14,34610996867955
2016/05/15,34944850576351
2016/05/16,35269086961704
2016/05/17,35428293976544
2016/05/18,35757982847016
2016/05/19,36259238691116
2016/05/20,36764373010072
2016/05/21,37283060047109
2016/05/22,37653182906258
2016/05/23,38010392556502
2016/05/24,38422961955005
2016/05/25,38768679258182
2016/05/26,39192893389367
2016/05/27,39532805566604
2016/05/28,39955591023568
2016/05/29,40443984492657
2016/05/30,40837112909018
2016/05/31,41203650173956
2016/06/01,41309884527331
2016/06/02,41522305891597
2016/06/03,41984938438903
2016/06/04,42386870405656
2016/06/05,42719417208221
2016/06/06,43060569243367
2016/06/07,43480153423841
2016/06/08,43796215654683
2016/06/09,44377762616220
2016/06/10,44709015250270
2016/06/11,44990104618341
2016/06/12,45307131663001
2016/06/13,45819006817161
2016/06/14,46328508430196
2016/06/15,46782546492453
2016/06/16,47169530413000
2016/06/17,47330204862244
2016/06/18,47110809135533
2016/06/19,47421281373989
2016/06/20,47921211279297
2016/06/21,48198201077176
2016/06/22,48572304419145
2016/06/23,49223550201681
2016/06/24,49699327650793
2016/06/25,50198835190294
2016/06/26,50691323216879
2016/06/27,51306654629981
2016/06/28,51910214333244
2016/06/29,52313957192472
2016/06/30,52671937774758
2016/07/01,53015705933916
2016/07/02,53495205201361
2016/07/03,54062331816288
2016/07/04,54511897943323
2016/07/05,55033262507554
2016/07/06,55302741704341
2016/07/07,55622567951163
2016/07/08,55921331264065
2016/07/09,55984804722559
2016/07/10,56315378272804
2016/07/11,56708171496673
2016/07/12,57111958959854
2016/07/13,57477169797267
2016/07/14,57791553868364
2016/07/15,57914343368270
2016/07/16,58004606711058
2016/07/17,58218823300462
2016/07/18,58426119188826
2016/07/19,58688364150197
2016/07/20,58720464100090
2016/07/21,58859419820441
2016/07/22,58957565108918
2016/07/23,59202760302552
2016/07/24,59430652694904
2016/07/25,59245395222675
2016/07/26,59010642818731
2016/07/27,57994152893695
2016/07/28,57686581165534
2016/07/29,57347813638521
2016/07/30,56991986144777
2016/07/31,56657393774380
2016/08/01,56362072557962
2016/08/02,55620050108054
2016/08/03,54688432345232
2016/08/04,54208629674285
2016/08/05,54088155606474
2016/08/06,53943666174312
2016/08/07,53894880922809
2016/08/08,54016922992160
2016/08/09,54381965446377
2016/08/10,54978992361731
2016/08/11,55664392001424
2016/08/12,56246656837151
2016/08/13,56703698690895
2016/08/14,57129793245002
2016/08/15,57447669021586
2016/08/16,57996955035854
2016/08/17,58459079447061
2016/08/18,58812558617494
2016/08/19,59298764839262
2016/08/20,59851887997825
2016/08/21,60285359926258
2016/08/22,60840094323773
2016/08/23,61495828828937
2016/08/24,62028749011394
2016/08/25,62736644209838
2016/08/26,63709714670383
2016/08/27,64417728751498
2016/08/28,65001742224907
2016/08/29,65421227566046
2016/08/30,65794356921910
2016/08/31,66229606086285
2016/09/01,66811772877539
2016/09/02,67254223369811
2016/09/03,67421673601499
2016/09/04,67214971791000
2016/09/05,67274490401161
2016/09/06,67392294324940
2016/09/07,67553976271702
2016/09/08,67678380857894
2016/09/09,67756991651029
2016/09/10,68019971275179
2016/09/11,68440994501690
2016/09/12,68812248348941
2016/09/13,69191166193329
2016/09/14,69638491736583
2016/09/15,70102181396275
2016/09/16,70441271406815
2016/09/17,71105197247740
2016/09/18,71254384822150
2016/09/19,70140543041432
2016/09/20,70756162404292
2016/09/21,71712556353244
2016/09/22,71660663100141
2016/09/23,71795212650899
2016/09/24,72117312324273
2016/09/25,72564064543678
2016/09/26,72947955857378
2016/09/27,72757810045494
2016/09/28,73907248010531
2016/09/29,75214420903843
2016/09/30,76295623443411
2016/10/01,76296788727847
2016/10/02,76257914850643
2016/10/03,76964964276117
2016/10/04,78238127352849
2016/10/05,78579740891375
2016/10/06,79278628565010
2016/10/07,78029195063085
2016/10/08,77786777761298
2016/10/09,78741961249030
2016/10/10,79766598097345
2016/10/11,81089190146805
2016/10/12,81498155145540
2016/10/13,81591415831068
2016/10/14,82978048369427
2016/10/15,84641574435352
2016/10/16,86045088525167
2016/10/17,86860065484404
2016/10/18,87669599820371
2016/10/19,88294718140963
2016/10/20,88898691476344
2016/10/21,90666295056460
2016/10/22,92416603415530
2016/10/23,93739795722941
2016/10/24,94799988285134
2016/10/25,96115835437377
2016/10/26,97271538676096
2016/10/27,98256510249333
2016/10/28,98720345035774
2016/10/29,96895807642901
2016/10/30,94159019750404
2016/10/31,92493060800070
2016/11/01,89940763329608
2016/11/02,86577870684513
2016/11/03,83236118686537
2016/11/04,79759236663612
2016/11/05,76192013868834
2016/11/06,72919326394598
2016/11/07,71009978842862
2016/11/08,70510574426314
2016/11/09,70242597525034
2016/11/10,69214482916897
2016/11/11,68063479827809
2016/11/12,67050354838640
2016/11/13,66730452209766
2016/11/14,66914321121877
2016/11/15,67273695080128
2016/11/16,67362933420708
2016/11/17,67251930633976
2016/11/18,67143413937670
2016/11/19,67784160728055
2016/11/20,69190974810487
2016/11/21,71225457637357
2016/11/22,72539094635636
2016/11/23,72945780831228
2016/11/24,72301172709652
2016/11/25,71459225360877
2016/11/26,71133618909399
2016/11/27,70385690845223
2016/11/28,70020870814969
2016/11/29,69886128321612
2016/11/30,69805884492657
2016/12/01,69873105360621
2016/12/02,70058756040912
2016/12/03,70617980071943
2016/12/04,71291881769819
2016/12/05,71599744149015
2016/12/06,71547423833001
2016/12/07,71826840278895
2016/12/08,72432508331706
2016/12/09,73345565798184
2016/12/10,74364198422925
2016/12/11,75507351995741
2016/12/12,76223442335903
2016/12/13,77023560446569
2016/12/14,77644154358516
2016/12/15,78296075970280
2016/12/16,79075004528041
2016/12/17,79802878052821
2016/12/18,80863814691370
2016/12/19,81935546525600
2016/12/20,83078590385966
2016/12/21,84016272718712
2016/12/22,84620978081404
2016/12/23,84293627038773
2016/12/24,83311551173371
2016/12/25,82703308876803
2016/12/26,82679984952568
2016/12/27,82448946448148
2016/12/28,82053402025611
2016/12/29,81579357020911
2016/12/30,81234960890847
2016/12/31,81213369374120
2017/01/01,81037628486889
2017/01/02,80978027541275
2017/01/03,80920264633679
2017/01/04,81773326177274
2017/01/05,82882990253828
2017/01/06,84076814018342
2017/01/07,85325951308288
2017/01/08,86553628916438
2017/01/09,87997403103583
2017/01/10,89427317426796
2017/01/11,90716455107134
2017/01/12,91951077974065
2017/01/13,93205030477134
2017/01/14,94446668559990
2017/01/15,95672618431923
2017/01/16,96800784608523
2017/01/17,97736248936605
2017/01/18,98311761076000
2017/01/19,99494670211516
2017/01/20,100476299022854
2017/01/21,1.0152718726548E+14
2017/01/22,1.024983175696E+14
2017/01/23,1.03646432878E+14
2017/01/24,1.0447818512994E+14
2017/01/25,1.0521725298327E+14
2017/01/26,1.0607546318574E+14
2017/01/27,1.0695963155715E+14
2017/01/28,1.0757798090826E+14
2017/01/29,1.0799121401535E+14
2017/01/30,1.0838776699762E+14
2017/01/31,1.0896761884429E+14
2017/02/01,1.0931280689067E+14
2017/02/02,1.0992304192798E+14
2017/02/03,1.1024277921346E+14
2017/02/04,1.1056573969955E+14
2017/02/05,1.1157864395421E+14
2017/02/06,1.1259929861598E+14
2017/02/07,1.1350714867434E+14
2017/02/08,1.1440492112818E+14
2017/02/09,1.1529928225769E+14
2017/02/10,1.1651549554933E+14
2017/02/11,1.1761065605627E+14
2017/02/12,118790526991147
2017/02/13,119954816558119
2017/02/14,1.2129100674729E+14
2017/02/15,1.223977007909E+14
2017/02/16,1.2341051921860E+14
2017/02/17,1.2472616744307E+14
2017/02/18,1.2609792935521E+14
2017/02/19,1.2758067790489E+14
2017/02/20,1.2884822522937E+14
2017/02/21,1.3036763063706E+14
2017/02/22,1.3172234467255E+14
2017/02/23,1.3279552764284E+14
2017/02/24,1.3378868456992E+14
2017/02/25,1.3500643270651E+14
2017/02/26,1.366593240505E+14
2017/02/27,1.3853983224848E+14
2017/02/28,1.4067202770319E+14
2017/03/01,1.4226371012152E+14
2017/03/02,1.4366194047288E+14
2017/03/03,1.4586945007701E+14
2017/03/04,1.4757968375494E+14
2017/03/05,1.4976333533637E+14
2017/03/06,1.5197685820772E+14
2017/03/07,1.5383764860269E+14
2017/03/08,1.5606574258354E+14
2017/03/09,1.5844277712186E+14
2017/03/10,1.6037654295964E+14
2017/03/11,1.6234646587901E+14
2017/03/12,1.6439959061007E+14
2017/03/13,1.6651092038020E+14
2017/03/14,1.6828878015305E+14
2017/03/15,1.7040118785392E+14
2017/03/16,1.7246162713996E+14
2017/03/17,1.7517476773418E+14
2017/03/18,1.7816487387897E+14
2017/03/19,1.7985849905539E+14
2017/03/20,1.8246515997442E+14
2017/03/21,1.8475393256737E+14
2017/03/22,1.8700440531391E+14
2017/03/23,1.9018773518085E+14
2017/03/24,1.9296265672472E+14
2017/03/25,1.9539493611829E+14
2017/03/26,1.9883226627346E+14
