Date,transactions90wma
2016/11/15,42985
2016/11/16,42931
2016/11/17,42857
2016/11/18,42850
2016/11/19,42744
2016/11/20,42701
2016/11/21,42672
2016/11/22,42883
2016/11/23,43327
2016/11/24,43166
2016/11/25,43473
2016/11/26,43397
2016/11/27,43403
2016/11/28,43495
2016/11/29,43557
2016/11/30,43447
2016/12/01,43293
2016/12/02,43243
2016/12/03,43187
2016/12/04,43095
2016/12/05,43048
2016/12/06,43147
2016/12/07,43104
2016/12/08,43017
2016/12/09,42975
2016/12/10,42914
2016/12/11,42822
2016/12/12,42723
2016/12/13,42755
2016/12/14,42846
2016/12/15,42913
2016/12/16,42936
2016/12/17,42860
2016/12/18,42722
2016/12/19,42782
2016/12/20,42814
2016/12/21,42991
2016/12/22,43264
2016/12/23,43295
2016/12/24,43180
2016/12/25,43040
2016/12/26,42857
2016/12/27,42848
2016/12/28,42862
2016/12/29,42944
2016/12/30,42981
2016/12/31,42946
2017/01/01,42858
2017/01/02,42793
2017/01/03,42870
2017/01/04,43050
2017/01/05,43203
2017/01/06,43228
2017/01/07,43247
2017/01/08,43247
2017/01/09,43323
2017/01/10,43442
2017/01/11,43491
2017/01/12,43655
2017/01/13,43822
2017/01/14,43792
2017/01/15,43754
2017/01/16,43795
2017/01/17,43865
2017/01/18,43897
2017/01/19,43898
2017/01/20,43951
2017/01/21,43946
2017/01/22,44031
2017/01/23,44087
2017/01/24,44239
2017/01/25,44298
2017/01/26,44369
2017/01/27,44436
2017/01/28,44468
2017/01/29,44440
2017/01/30,44475
2017/01/31,44474
2017/02/01,44492
2017/02/02,44491
2017/02/03,44467
2017/02/04,44500
2017/02/05,44555
2017/02/06,44625
2017/02/07,44794
2017/02/08,44944
2017/02/09,45020
2017/02/10,45190
2017/02/11,45233
2017/02/12,45248
2017/02/13,45497
2017/02/14,45794
2017/02/15,46021
2017/02/16,46121
2017/02/17,46214
2017/02/18,46304
2017/02/19,46367
2017/02/20,46470
2017/02/21,46756
2017/02/22,46867
2017/02/23,46913
2017/02/24,47105
2017/02/25,47274
2017/02/26,47408
2017/02/27,47562
2017/02/28,47882
2017/03/01,48186
2017/03/02,48726
2017/03/03,49116
2017/03/04,49379
2017/03/05,49600
2017/03/06,49816
2017/03/07,50153
2017/03/08,50326
2017/03/09,50691
2017/03/10,51069
2017/03/11,51434
2017/03/12,51833
2017/03/13,52557
2017/03/14,53171
2017/03/15,53867
2017/03/16,55186
2017/03/17,56416
2017/03/18,57263
2017/03/19,57979
2017/03/20,58591
2017/03/21,59283
2017/03/22,59846
2017/03/23,60482
2017/03/24,61227
2017/03/25,61885
2017/03/26,62425
2017/03/27,63283
2017/03/28,63905
2017/03/29,64709
2017/03/30,65570
2017/03/31,66570
2017/04/01,67059
2017/04/02,67723
2017/04/03,68622
2017/04/04,69202
2017/04/05,69798
2017/04/06,70555
2017/04/07,71248
2017/04/08,71475
2017/04/09,71747
2017/04/10,72033
2017/04/11,72321
2017/04/12,72699
2017/04/13,73154
2017/04/14,73534
2017/04/15,73766
2017/04/16,73898
2017/04/17,74066
2017/04/18,74464
2017/04/19,74906
2017/04/20,75332
2017/04/21,75656
2017/04/22,75800
2017/04/23,76016
2017/04/24,76301
2017/04/25,76853
2017/04/26,77319
2017/04/27,78101
2017/04/28,78906
2017/04/29,79369
2017/04/30,79906
2017/05/01,80804
2017/05/02,81645
2017/05/03,82184
2017/05/04,83095
2017/05/05,83848
2017/05/06,84290
2017/05/07,84975
2017/05/08,85884
2017/05/09,86677
2017/05/10,87384
2017/05/11,88240
2017/05/12,88862
2017/05/13,89339
2017/05/14,89803
2017/05/15,90727
2017/05/16,91493
2017/05/17,92768
2017/05/18,93960
2017/05/19,95662
2017/05/20,96663
2017/05/21,98057
2017/05/22,100010
2017/05/23,102173
2017/05/24,104306
2017/05/25,106311
2017/05/26,107995
2017/05/27,109202
2017/05/28,110514
2017/05/29,111872
2017/05/30,113978
2017/05/31,116501
2017/06/01,118661
2017/06/02,120694
2017/06/03,122270
2017/06/04,123916
2017/06/05,125756
2017/06/06,127789
2017/06/07,129933
2017/06/08,131614
2017/06/09,133883
2017/06/10,136061
2017/06/11,138799
2017/06/12,142652
2017/06/13,146168
2017/06/14,148983
2017/06/15,152012
2017/06/16,154703
2017/06/17,157224
2017/06/18,159794
2017/06/19,163207
2017/06/20,167060
2017/06/21,168941
2017/06/22,172172
2017/06/23,175174
2017/06/24,177570
2017/06/25,179498
2017/06/26,183274
2017/06/27,185592
2017/06/28,188337
2017/06/29,190810
2017/06/30,192998
2017/07/01,194877
2017/07/02,196897
2017/07/03,200056
2017/07/04,202709
2017/07/05,205099
2017/07/06,207164
2017/07/07,209993
2017/07/08,211728
2017/07/09,212917
2017/07/10,215772
2017/07/11,218330
2017/07/12,220664
2017/07/13,222442
2017/07/14,223927
2017/07/15,224986
2017/07/16,226383
2017/07/17,227722
2017/07/18,229518
2017/07/19,231247
2017/07/20,232491
2017/07/21,233308
2017/07/22,233494
2017/07/23,234856
2017/07/24,236230
2017/07/25,237120
2017/07/26,237533
2017/07/27,237973
2017/07/28,238845
2017/07/29,238631
2017/07/30,238565
2017/07/31,239430
2017/08/01,239569
2017/08/02,239953
2017/08/03,240424
2017/08/04,241322
2017/08/05,242273
2017/08/06,243269
2017/08/07,244581
2017/08/08,246680
2017/08/09,247881
2017/08/10,250315
2017/08/11,253098
2017/08/12,255422
2017/08/13,257565
2017/08/14,261350
2017/08/15,265132
2017/08/16,268857
2017/08/17,272830
2017/08/18,277076
2017/08/19,279796
2017/08/20,280977
2017/08/21,283948
2017/08/22,286251
2017/08/23,288729
2017/08/24,290672
2017/08/25,292574
2017/08/26,293407
2017/08/27,294597
2017/08/28,296615
2017/08/29,299272
2017/08/30,302007
2017/08/31,304346
2017/09/01,306783
2017/09/02,307867
2017/09/03,308270
2017/09/04,311724
2017/09/05,315163
2017/09/06,319682
2017/09/07,323070
2017/09/08,326738
2017/09/09,328587
2017/09/10,329114
2017/09/11,330518
2017/09/12,332770
2017/09/13,334122
2017/09/14,335769
2017/09/15,338735
2017/09/16,340159
2017/09/17,339699
2017/09/18,340848
2017/09/19,341435
2017/09/20,341712
2017/09/21,341806
2017/09/22,340887
2017/09/23,339713
2017/09/24,338990
2017/09/25,338841
2017/09/26,338666
2017/09/27,338549
2017/09/28,338864
2017/09/29,339100
2017/09/30,338641
2017/10/01,337909
2017/10/02,337669
2017/10/03,337902
2017/10/04,337669
2017/10/05,337589
2017/10/06,337616
2017/10/07,336993
2017/10/08,336479
2017/10/09,336656
2017/10/10,337295
2017/10/11,337801
2017/10/12,338707
2017/10/13,339931
2017/10/14,340086
2017/10/15,340150
2017/10/16,341939
2017/10/17,345833
2017/10/18,348896
