Date,mediantransactionvalue14trxUSD
2016/01/01,-3
2016/01/02,-2.637
2016/01/03,-2.215
2016/01/04,-1.782
2016/01/05,-1.643
2016/01/06,-1.713
2016/01/07,-1.923
2016/01/08,-1.956
2016/01/09,-1.858
2016/01/10,-1.622
2016/01/11,-1.311
2016/01/12,-0.884
2016/01/13,-0.794
2016/01/14,-0.597
2016/01/15,-0.214
2016/01/16,0.242
2016/01/17,0.719
2016/01/18,1.155
2016/01/19,1.322
2016/01/20,1.718
2016/01/21,2.168
2016/01/22,2.478
2016/01/23,2.882
2016/01/24,3.382
2016/01/25,3.768
2016/01/26,4.136
2016/01/27,4.024
2016/01/28,3.982
2016/01/29,3.99
2016/01/30,4.054
2016/01/31,4.117
2016/02/01,4.094
2016/02/02,3.997
2016/02/03,3.918
2016/02/04,3.834
2016/02/05,3.721
2016/02/06,3.195
2016/02/07,2.897
2016/02/08,2.816
2016/02/09,2.918
2016/02/10,3.331
2016/02/11,3.814
2016/02/12,4.522
2016/02/13,5.049
2016/02/14,5.402
2016/02/15,5.642
2016/02/16,5.695
2016/02/17,5.506
2016/02/18,5.202
2016/02/19,4.868
2016/02/20,4.527
2016/02/21,4.205
2016/02/22,3.94
2016/02/23,3.76
2016/02/24,3.622
2016/02/25,3.539
2016/02/26,3.44
2016/02/27,3.356
2016/02/28,3.308
2016/02/29,3.262
2016/03/01,3.238
2016/03/02,3.274
2016/03/03,3.402
2016/03/04,3.546
2016/03/05,3.849
2016/03/06,4.109
2016/03/07,4.28
2016/03/08,4.322
2016/03/09,4.306
2016/03/10,4.344
2016/03/11,4.294
2016/03/12,4.29
2016/03/13,4.315
2016/03/14,4.327
2016/03/15,4.266
2016/03/16,4.173
2016/03/17,3.993
2016/03/18,3.722
2016/03/19,3.394
2016/03/20,3.039
2016/03/21,2.707
2016/03/22,2.413
2016/03/23,2.16
2016/03/24,1.922
2016/03/25,1.683
2016/03/26,1.455
2016/03/27,1.252
2016/03/28,1.078
2016/03/29,0.939
2016/03/30,0.831
2016/03/31,0.746
2016/04/01,0.672
2016/04/02,0.607
2016/04/03,0.55
2016/04/04,0.492
2016/04/05,0.419
2016/04/06,0.342
2016/04/07,0.259
2016/04/08,0.164
2016/04/09,0.062
2016/04/10,-0.06
2016/04/11,-0.193
2016/04/12,-0.341
2016/04/13,-0.497
2016/04/14,-0.636
2016/04/15,-0.758
2016/04/16,-0.861
2016/04/17,-0.961
2016/04/18,-1.02
2016/04/19,-1.05
2016/04/20,-1.066
2016/04/21,-1.075
2016/04/22,-1.085
2016/04/23,-1.093
2016/04/24,-1.095
2016/04/25,-1.099
2016/04/26,-1.113
2016/04/27,-1.123
2016/04/28,-1.134
2016/04/29,-1.143
2016/04/30,-1.13
2016/05/01,-1.087
2016/05/02,-1
2016/05/03,-0.882
2016/05/04,-0.752
2016/05/05,-0.618
2016/05/06,-0.483
2016/05/07,-0.36
2016/05/08,-0.253
2016/05/09,-0.156
2016/05/10,-0.074
2016/05/11,0.004
2016/05/12,0.088
2016/05/13,0.189
2016/05/14,0.283
2016/05/15,0.36
2016/05/16,0.433
2016/05/17,0.531
2016/05/18,0.672
2016/05/19,0.853
2016/05/20,1.058
2016/05/21,1.24
2016/05/22,1.406
2016/05/23,1.551
2016/05/24,1.643
2016/05/25,1.672
2016/05/26,1.517
2016/05/27,1.368
2016/05/28,0.991
2016/05/29,0.625
2016/05/30,0.404
2016/05/31,0.3
2016/06/01,0.291
2016/06/02,0.341
2016/06/03,0.423
2016/06/04,0.43
2016/06/05,0.479
2016/06/06,0.552
2016/06/07,0.49
2016/06/08,0.503
2016/06/09,0.558
2016/06/10,0.614
2016/06/11,0.676
2016/06/12,0.684
2016/06/13,0.765
2016/06/14,0.895
2016/06/15,1.072
2016/06/16,1.291
2016/06/17,1.229
2016/06/18,1.047
2016/06/19,0.832
2016/06/20,0.579
2016/06/21,0.384
2016/06/22,0.278
2016/06/23,0.21
2016/06/24,0.056
2016/06/25,-0.01
2016/06/26,-0.136
2016/06/27,-0.182
2016/06/28,-0.187
2016/06/29,-0.341
2016/06/30,-0.64
2016/07/01,-0.807
2016/07/02,-0.881
2016/07/03,-0.891
2016/07/04,-0.863
2016/07/05,-0.829
2016/07/06,-0.788
2016/07/07,-0.755
2016/07/08,-0.765
2016/07/09,-0.748
2016/07/10,-0.709
2016/07/11,-0.664
2016/07/12,-0.626
2016/07/13,-0.584
2016/07/14,-0.622
2016/07/15,-0.596
2016/07/16,-0.633
2016/07/17,-0.617
2016/07/18,-0.563
2016/07/19,-0.478
2016/07/20,-0.576
2016/07/21,-0.632
2016/07/22,-0.57
2016/07/23,-0.431
2016/07/24,-0.245
2016/07/25,-0.042
2016/07/26,0.156
2016/07/27,0.328
2016/07/28,0.476
2016/07/29,0.56
2016/07/30,0.608
2016/07/31,0.644
2016/08/01,0.656
2016/08/02,0.623
2016/08/03,0.421
2016/08/04,0.269
2016/08/05,0.16
2016/08/06,0.078
