Date,size90rsi
2016/01/01,50.364
2016/01/02,50.814
2016/01/03,50.824
2016/01/04,50.997
2016/01/05,53.605
2016/01/06,54.53
2016/01/07,54.511
2016/01/08,51.37
2016/01/09,52.139
2016/01/10,51.095
2016/01/11,51.181
2016/01/12,51.395
2016/01/13,53.307
2016/01/14,51.078
2016/01/15,50.748
2016/01/16,50.517
2016/01/17,50.039
2016/01/18,51.026
2016/01/19,51.312
2016/01/20,50.432
2016/01/21,50.341
2016/01/22,50.83
2016/01/23,50.107
2016/01/24,50.616
2016/01/25,52.537
2016/01/26,51.901
2016/01/27,53.698
2016/01/28,52.859
2016/01/29,52.181
2016/01/30,51.446
2016/01/31,51.198
2016/02/01,50.888
2016/02/02,50.869
2016/02/03,50.767
2016/02/04,50.919
2016/02/05,51.089
2016/02/06,54.08
2016/02/07,50.454
2016/02/08,50.493
2016/02/09,50.487
2016/02/10,50.873
2016/02/11,51.765
2016/02/12,51.174
2016/02/13,51.439
2016/02/14,50.993
2016/02/15,50.921
2016/02/16,50.927
2016/02/17,51.65
2016/02/18,50.792
2016/02/19,51.041
2016/02/20,50.436
2016/02/21,50.46
2016/02/22,50.674
2016/02/23,50.82
2016/02/24,50.773
2016/02/25,50.802
2016/02/26,51.761
2016/02/27,50.692
2016/02/28,50.632
2016/02/29,51.096
2016/03/01,50.988
2016/03/02,51.222
2016/03/03,51.499
2016/03/04,51.503
2016/03/05,51.87
2016/03/06,52.158
2016/03/07,51.264
2016/03/08,51.403
2016/03/09,51.616
2016/03/10,51.263
2016/03/11,51.199
2016/03/12,52.199
2016/03/13,52.241
2016/03/14,52.862
2016/03/15,51.719
2016/03/16,51.711
2016/03/17,52.313
2016/03/18,52.199
2016/03/19,52.721
2016/03/20,52.414
2016/03/21,52.714
2016/03/22,52.81
2016/03/23,52.898
2016/03/24,54.774
2016/03/25,53.222
2016/03/26,52.698
2016/03/27,51.013
2016/03/28,52.707
2016/03/29,51.658
2016/03/30,52.637
2016/03/31,51.671
2016/04/01,52.135
2016/04/02,50.682
2016/04/03,50.735
2016/04/04,52.096
2016/04/05,52.23
2016/04/06,51.16
2016/04/07,51.515
2016/04/08,52.226
2016/04/09,50.991
2016/04/10,50.79
2016/04/11,50.686
2016/04/12,51.684
2016/04/13,51.818
2016/04/14,51.417
2016/04/15,51.452
2016/04/16,50.358
2016/04/17,53.893
2016/04/18,50.934
2016/04/19,50.766
2016/04/20,50.969
2016/04/21,51.667
2016/04/22,50.595
2016/04/23,50.494
2016/04/24,51.28
2016/04/25,51.107
2016/04/26,50.833
2016/04/27,50.677
2016/04/28,51.141
2016/04/29,51.216
2016/04/30,52.023
2016/05/01,52.469
2016/05/02,51.422
2016/05/03,51.247
2016/05/04,51.501
2016/05/05,51.438
2016/05/06,52.126
2016/05/07,50.818
2016/05/08,51.58
2016/05/09,51.215
2016/05/10,51.322
2016/05/11,51.704
2016/05/12,52.295
2016/05/13,52.267
2016/05/14,52.31
2016/05/15,51.538
2016/05/16,51.28
2016/05/17,51.4
2016/05/18,52.278
2016/05/19,51.667
2016/05/20,52.173
2016/05/21,52.149
2016/05/22,51.177
2016/05/23,51.558
2016/05/24,51.34
2016/05/25,52.062
2016/05/26,52.382
2016/05/27,52.345
2016/05/28,55.726
2016/05/29,51.746
2016/05/30,51.105
2016/05/31,51.338
2016/06/01,51.183
2016/06/02,50.652
2016/06/03,50.533
2016/06/04,50.436
2016/06/05,50.373
2016/06/06,50.517
2016/06/07,51.802
2016/06/08,50.532
2016/06/09,50.721
2016/06/10,50.527
2016/06/11,50.251
2016/06/12,50.647
2016/06/13,51.309
2016/06/14,51.853
2016/06/15,50.893
2016/06/16,51.281
2016/06/17,53.719
2016/06/18,53.245
2016/06/19,51.203
2016/06/20,51.581
2016/06/21,51.2
2016/06/22,51.133
2016/06/23,50.652
2016/06/24,51.223
2016/06/25,50.17
2016/06/26,50.346
2016/06/27,50.143
2016/06/28,50.485
2016/06/29,51.899
2016/06/30,54.349
2016/07/01,49.934
2016/07/02,49.945
2016/07/03,50.034
2016/07/04,50.081
2016/07/05,50.318
2016/07/06,50.051
2016/07/07,50.075
2016/07/08,50.794
2016/07/09,50.076
2016/07/10,50.034
2016/07/11,50.094
2016/07/12,50.734
2016/07/13,49.805
2016/07/14,50.587
2016/07/15,50.24
2016/07/16,49.766
2016/07/17,49.392
2016/07/18,49.985
2016/07/19,50.443
2016/07/20,51.376
2016/07/21,50.505
2016/07/22,51.014
2016/07/23,50.376
2016/07/24,51.648
2016/07/25,51.384
2016/07/26,52.249
2016/07/27,51.188
2016/07/28,50.772
2016/07/29,50.722
2016/07/30,50.124
2016/07/31,50.658
2016/08/01,50.55
2016/08/02,51.091
2016/08/03,50.993
2016/08/04,50.775
2016/08/05,50.375
2016/08/06,50.099
2016/08/07,50.135
2016/08/08,50.272
2016/08/09,50.668
2016/08/10,50.736
2016/08/11,50.798
2016/08/12,50.508
2016/08/13,49.908
2016/08/14,49.792
2016/08/15,50.079
2016/08/16,50.803
2016/08/17,50.377
2016/08/18,50.986
2016/08/19,50.167
2016/08/20,49.986
2016/08/21,50.114
2016/08/22,50.333
2016/08/23,52.611
2016/08/24,50.569
2016/08/25,50.895
2016/08/26,50.649
2016/08/27,50.54
2016/08/28,49.914
2016/08/29,50.469
2016/08/30,50.669
2016/08/31,50.304
2016/09/01,50.512
2016/09/02,51.724
2016/09/03,50.157
2016/09/04,51.074
2016/09/05,50.136
2016/09/06,51.059
2016/09/07,50.922
2016/09/08,51.819
2016/09/09,51.606
2016/09/10,50.057
2016/09/11,49.846
2016/09/12,50.395
2016/09/13,50.006
2016/09/14,51.137
2016/09/15,51.073
2016/09/16,52.245
2016/09/17,50.34
2016/09/18,49.682
2016/09/19,49.297
2016/09/20,50.763
2016/09/21,50.378
2016/09/22,51.513
2016/09/23,49.078
2016/09/24,50.063
2016/09/25,49.513
2016/09/26,50.141
2016/09/27,50.596
2016/09/28,50.199
2016/09/29,49.723
2016/09/30,49.704
2016/10/01,51.177
2016/10/02,50.682
2016/10/03,50.806
2016/10/04,52.603
2016/10/05,51.051
2016/10/06,51.556
2016/10/07,58.499
2016/10/08,61.823
2016/10/09,62.412
2016/10/10,73.778
2016/10/11,51.5
2016/10/12,49.215
2016/10/13,49.303
2016/10/14,49.445
2016/10/15,49.202
2016/10/16,49.295
2016/10/17,49.419
2016/10/18,49.99
2016/10/19,49.823
2016/10/20,49.557
2016/10/21,49.963
2016/10/22,49.392
2016/10/23,49.291
2016/10/24,50.082
2016/10/25,49.899
2016/10/26,49.701
2016/10/27,49.65
2016/10/28,49.577
2016/10/29,49.56
2016/10/30,49.496
2016/10/31,49.686
2016/11/01,49.943
2016/11/02,49.621
2016/11/03,49.577
2016/11/04,49.225
2016/11/05,49.392
2016/11/06,49.275
2016/11/07,49.47
2016/11/08,49.606
2016/11/09,49.62
2016/11/10,49.635
2016/11/11,49.581
2016/11/12,49.515
2016/11/13,49.594
2016/11/14,49.797
2016/11/15,49.799
2016/11/16,49.618
2016/11/17,49.607
2016/11/18,49.681
2016/11/19,49.413
2016/11/20,49.607
2016/11/21,49.736
2016/11/22,50.077
2016/11/23,50.559
2016/11/24,49.508
2016/11/25,50.191
2016/11/26,49.665
2016/11/27,50.067
2016/11/28,50.123
2016/11/29,50.044
2016/11/30,51.075
2016/12/01,49.474
2016/12/02,49.582
2016/12/03,49.469
2016/12/04,49.467
2016/12/05,49.647
2016/12/06,49.901
2016/12/07,49.712
2016/12/08,49.492
2016/12/09,49.674
2016/12/10,49.518
2016/12/11,50.056
2016/12/12,49.626
2016/12/13,49.757
2016/12/14,50.391
2016/12/15,49.848
2016/12/16,49.686
2016/12/17,49.497
2016/12/18,49.341
2016/12/19,49.938
2016/12/20,49.763
2016/12/21,50.276
2016/12/22,50.259
2016/12/23,49.725
2016/12/24,49.368
2016/12/25,49.27
2016/12/26,49.22
2016/12/27,49.828
2016/12/28,49.765
2016/12/29,50.106
2016/12/30,49.977
2016/12/31,49.794
2017/01/01,49.434
2017/01/02,49.596
2017/01/03,50.001
2017/01/04,50.215
2017/01/05,50.115
2017/01/06,49.912
2017/01/07,49.858
2017/01/08,49.826
2017/01/09,49.922
2017/01/10,50.15
2017/01/11,49.91
2017/01/12,50.179
2017/01/13,50.261
2017/01/14,49.668
2017/01/15,49.664
2017/01/16,49.867
2017/01/17,50.046
2017/01/18,49.887
2017/01/19,49.805
2017/01/20,49.958
2017/01/21,49.674
2017/01/22,49.983
2017/01/23,49.972
2017/01/24,50.365
2017/01/25,50.056
2017/01/26,50.138
2017/01/27,50.094
2017/01/28,50.008
2017/01/29,49.704
2017/01/30,49.869
2017/01/31,49.752
2017/02/01,49.956
2017/02/02,49.868
2017/02/03,49.839
2017/02/04,49.815
2017/02/05,49.981
2017/02/06,49.955
2017/02/07,50.64
2017/02/08,50.442
2017/02/09,50.017
2017/02/10,50.349
2017/02/11,49.901
2017/02/12,49.828
2017/02/13,50.63
2017/02/14,50.914
2017/02/15,50.6
2017/02/16,50.093
2017/02/17,50.093
2017/02/18,50.457
2017/02/19,50.003
2017/02/20,50.204
2017/02/21,51.153
2017/02/22,50.492
2017/02/23,50.087
2017/02/24,50.45
2017/02/25,50.391
2017/02/26,50.23
2017/02/27,50.583
2017/02/28,50.969
2017/03/01,51.946
2017/03/02,51.857
2017/03/03,51.419
2017/03/04,50.646
2017/03/05,50.515
2017/03/06,50.469
2017/03/07,50.995
2017/03/08,50.424
2017/03/09,52.41
2017/03/10,51.671
2017/03/11,51.069
2017/03/12,51.163
2017/03/13,52.474
2017/03/14,52.411
2017/03/15,52.482
2017/03/16,54.382
2017/03/17,53.706
2017/03/18,52.443
2017/03/19,52.049
2017/03/20,51.78
2017/03/21,52.376
2017/03/22,51.905
2017/03/23,52.356
2017/03/24,52.494
2017/03/25,52.049
2017/03/26,51.866
2017/03/27,53.487
2017/03/28,52.281
2017/03/29,52.893
2017/03/30,53.22
2017/03/31,53.51
2017/04/01,51.674
2017/04/02,52.477
2017/04/03,52.833
2017/04/04,51.944
2017/04/05,52.063
2017/04/06,52.788
2017/04/07,52.712
2017/04/08,50.991
2017/04/09,51.325
2017/04/10,51.635
2017/04/11,51.364
2017/04/12,52.332
2017/04/13,51.98
2017/04/14,51.53
2017/04/15,51.197
2017/04/16,50.782
2017/04/17,51.062
2017/04/18,51.967
2017/04/19,52.154
2017/04/20,51.879
2017/04/21,52.216
2017/04/22,51.345
2017/04/23,51.226
2017/04/24,51.728
2017/04/25,52.502
2017/04/26,52.232
2017/04/27,53.361
2017/04/28,53.608
2017/04/29,52.305
2017/04/30,53.116
2017/05/01,54.505
2017/05/02,54.223
2017/05/03,52.789
2017/05/04,53.712
2017/05/05,53.127
2017/05/06,52.368
2017/05/07,53.469
2017/05/08,53.712
2017/05/09,53.605
2017/05/10,53.121
2017/05/11,53.476
2017/05/12,52.835
2017/05/13,52.547
2017/05/14,52.767
2017/05/15,54.713
2017/05/16,54.101
2017/05/17,55.861
2017/05/18,55.666
2017/05/19,57.077
2017/05/20,55.092
2017/05/21,56.102
2017/05/22,57.85
2017/05/23,60.621
2017/05/24,60.699
2017/05/25,58.541
2017/05/26,57.404
