Date,transactions30sma
2016/01/01,11401
2016/01/02,11474
2016/01/03,11553
2016/01/04,11642
2016/01/05,11887
2016/01/06,12218
2016/01/07,12730
2016/01/08,12861
2016/01/09,13006
2016/01/10,13080
2016/01/11,13169
2016/01/12,13284
2016/01/13,13354
2016/01/14,13006
2016/01/15,12992
2016/01/16,13027
2016/01/17,13051
2016/01/18,13171
2016/01/19,13289
2016/01/20,13240
2016/01/21,12897
2016/01/22,12601
2016/01/23,12519
2016/01/24,12628
2016/01/25,12841
2016/01/26,12663
2016/01/27,12875
2016/01/28,13055
2016/01/29,12876
2016/01/30,13022
2016/01/31,13219
2016/02/01,13387
2016/02/02,13555
2016/02/03,13715
2016/02/04,13646
2016/02/05,13586
2016/02/06,13897
2016/02/07,14009
2016/02/08,14106
2016/02/09,14279
2016/02/10,14488
2016/02/11,14840
2016/02/12,14855
2016/02/13,15144
2016/02/14,15369
2016/02/15,15586
2016/02/16,15846
2016/02/17,16081
2016/02/18,16200
2016/02/19,16460
2016/02/20,16659
2016/02/21,16768
2016/02/22,17007
2016/02/23,17196
2016/02/24,17277
2016/02/25,17377
2016/02/26,17454
2016/02/27,17528
2016/02/28,17617
2016/02/29,17807
2016/03/01,18061
2016/03/02,18373
2016/03/03,18724
2016/03/04,19058
2016/03/05,19483
2016/03/06,19897
2016/03/07,19625
2016/03/08,19953
2016/03/09,20281
2016/03/10,20591
2016/03/11,20790
2016/03/12,21005
2016/03/13,21339
2016/03/14,21646
2016/03/15,22067
2016/03/16,22415
2016/03/17,22948
2016/03/18,23342
2016/03/19,23936
2016/03/20,24404
2016/03/21,24931
2016/03/22,25456
2016/03/23,25909
2016/03/24,26525
2016/03/25,27099
2016/03/26,27670
2016/03/27,27967
2016/03/28,28455
2016/03/29,28950
2016/03/30,29497
2016/03/31,29846
2016/04/01,30172
2016/04/02,30322
2016/04/03,30499
2016/04/04,30759
2016/04/05,31143
2016/04/06,31436
2016/04/07,31696
2016/04/08,32011
2016/04/09,32248
2016/04/10,32552
2016/04/11,32633
2016/04/12,32851
2016/04/13,33102
2016/04/14,33285
2016/04/15,33531
2016/04/16,33429
2016/04/17,33709
2016/04/18,33666
2016/04/19,33672
2016/04/20,33687
2016/04/21,33830
2016/04/22,33826
2016/04/23,33656
2016/04/24,33566
2016/04/25,33525
2016/04/26,33612
2016/04/27,33620
2016/04/28,33634
2016/04/29,33653
2016/04/30,34103
2016/05/01,34312
2016/05/02,34725
2016/05/03,34999
2016/05/04,35085
2016/05/05,35070
2016/05/06,35376
2016/05/07,35508
2016/05/08,35710
2016/05/09,35931
2016/05/10,36213
2016/05/11,36562
2016/05/12,36907
2016/05/13,37296
2016/05/14,37662
2016/05/15,37932
2016/05/16,38164
2016/05/17,38167
2016/05/18,38585
