Date,hashrate30sma
2016/08/08,4257130170257
2016/08/09,4256048111534
2016/08/10,4255631129305
2016/08/11,4258494759502
2016/08/12,4258856672516
2016/08/13,4259108603329
2016/08/14,4262034275612
2016/08/15,4264815548076
2016/08/16,4270721965536
2016/08/17,4272292077731
2016/08/18,4279050230675
2016/08/19,4287066314161
2016/08/20,4293987575089
2016/08/21,4308157819780
2016/08/22,4317171142241
2016/08/23,4333231860906
2016/08/24,4353758497501
2016/08/25,4384728521313
2016/08/26,4426971410955
2016/08/27,4460638284416
2016/08/28,4495211020668
2016/08/29,4530262499694
2016/08/30,4563095267248
2016/08/31,4602392115576
2016/09/01,4653333937410
2016/09/02,4710819900996
2016/09/03,4748429478997
2016/09/04,4778284063628
2016/09/05,4817987745811
2016/09/06,4851604442319
2016/09/07,4886772128436
2016/09/08,4912848193789
2016/09/09,4936952382725
2016/09/10,4959371923606
2016/09/11,4988905220361
2016/09/12,5019530094119
2016/09/13,5048840519728
2016/09/14,5083496749752
2016/09/15,5114034712357
2016/09/16,5143629484266
2016/09/17,5176592375478
2016/09/18,5188999922675
2016/09/19,5200525650690
2016/09/20,5230142286917
2016/09/21,5264400009582
2016/09/22,5278652965253
2016/09/23,5311922265862
2016/09/24,5342263552737
2016/09/25,5374558006451
2016/09/26,5395214576389
2016/09/27,5428828862089
2016/09/28,5466601537538
2016/09/29,5509165178703
2016/09/30,5542470187231
2016/10/01,5581300683646
2016/10/02,5623642560275
2016/10/03,5670677570997
2016/10/04,5727024676257
2016/10/05,5775785391171
2016/10/06,5828023912175
2016/10/07,5868929150924
2016/10/08,5920757286520
2016/10/09,5975663334465
2016/10/10,6030431633741
2016/10/11,6081174670899
2016/10/12,6124491205854
2016/10/13,6177327845831
2016/10/14,6233082591241
2016/10/15,6291848207834
2016/10/16,6358069716538
2016/10/17,6405325152446
2016/10/18,6483705508534
2016/10/19,6558035083838
2016/10/20,6621146880181
2016/10/21,6682444933038
2016/10/22,6761134453172
2016/10/23,6814185751849
2016/10/24,6871705088134
2016/10/25,6925260445668
2016/10/26,6993140429176
2016/10/27,7045523486442
2016/10/28,7085675144154
2016/10/29,7070740305217
2016/10/30,7055932113219
2016/10/31,7047286748016
2016/11/01,7002449176539
2016/11/02,6944741084316
2016/11/03,6875108194403
2016/11/04,6794624264581
2016/11/05,6704403831663
2016/11/06,6619455496984
2016/11/07,6549790942697
2016/11/08,6493581112482
2016/11/09,6431745792722
2016/11/10,6353750890062
2016/11/11,6279541015460
2016/11/12,6199614345377
2016/11/13,6123389411974
2016/11/14,6050751077411
2016/11/15,5972890728649
2016/11/16,5903787958759
2016/11/17,5818723441866
2016/11/18,5745667884847
2016/11/19,5673662068880
2016/11/20,5614709234536
2016/11/21,5566591857886
2016/11/22,5513157507973
2016/11/23,5452783324385
2016/11/24,5368559123727
2016/11/25,5281939257721
2016/11/26,5202176312346
2016/11/27,5132208661265
2016/11/28,5119187686001
2016/11/29,5108677030254
2016/11/30,5076658296592
2016/12/01,5076790727019
2016/12/02,5096703623888
2016/12/03,5132895174091
2016/12/04,5179132860761
2016/12/05,5228581323853
2016/12/06,5278456654497
2016/12/07,5308340073114
2016/12/08,5330242127368
2016/12/09,5360707020636
2016/12/10,5408836027799
2016/12/11,5466646923542
2016/12/12,5513908815792
2016/12/13,5554982954931
2016/12/14,5588650668723
2016/12/15,5620042779547
2016/12/16,5661360692373
2016/12/17,5712412363168
2016/12/18,5759155105352
2016/12/19,5796040065960
2016/12/20,5821362106473
2016/12/21,5833791184080
2016/12/22,5851137491369
2016/12/23,5855191308548
2016/12/24,5867886577032
2016/12/25,5889260175125
2016/12/26,5915449417411
2016/12/27,5935314961058
2016/12/28,5947401042389
2016/12/29,5961855179303
2016/12/30,5984604520540
2016/12/31,6007571388090
2017/01/01,6028291789634
2017/01/02,6040499023744
2017/01/03,6054926519034
2017/01/04,6094712105376
2017/01/05,6140787008762
2017/01/06,6183655007481
2017/01/07,6225061093762
2017/01/08,6262984266607
2017/01/09,6304332907289
2017/01/10,6340255181239
2017/01/11,6386342298810
2017/01/12,6428449892716
2017/01/13,6476316142498
2017/01/14,6526002006105
2017/01/15,6574391304129
2017/01/16,6619909628955
2017/01/17,6655322243355
2017/01/18,6688860398866
2017/01/19,6734277305926
2017/01/20,6772338005482
2017/01/21,6824622144484
2017/01/22,6893328837361
2017/01/23,6978704434654
2017/01/24,7051538497823
2017/01/25,7118127137542
2017/01/26,7198893619879
2017/01/27,7276795188891
2017/01/28,7356576843645
2017/01/29,7430726673705
2017/01/30,7510250486381
2017/01/31,7589449753335
2017/02/01,7664297217134
2017/02/02,7745080147810
2017/02/03,7800672317211
2017/02/04,7856635362671
2017/02/05,7923027335711
2017/02/06,7984691860306
2017/02/07,8045139073779
2017/02/08,8101875989353
2017/02/09,8157298825943
2017/02/10,8219332803661
2017/02/11,8280753665708
2017/02/12,8341556443685
2017/02/13,8406052044506
2017/02/14,8469076364894
2017/02/15,8533608930344
2017/02/16,8599485754481
2017/02/17,8673492640025
2017/02/18,8733477576283
2017/02/19,8808056020014
2017/02/20,8877190558114
2017/02/21,8952591413873
2017/02/22,9018898567736
2017/02/23,9089756121742
2017/02/24,9161609252438
2017/02/25,9236464693554
2017/02/26,9329653434210
