Date,sentbyaddress30rsi
2016/01/01,54.442
2016/01/02,55.875
2016/01/03,55.853
2016/01/04,56.049
2016/01/05,56.086
2016/01/06,56.94
2016/01/07,57.88
2016/01/08,55.852
2016/01/09,56.582
2016/01/10,59.462
2016/01/11,60.001
2016/01/12,62.102
2016/01/13,56.547
2016/01/14,55.524
2016/01/15,59.576
2016/01/16,51.121
2016/01/17,49.208
2016/01/18,52.978
2016/01/19,50.987
2016/01/20,57.789
2016/01/21,50.508
2016/01/22,51.207
2016/01/23,54.634
2016/01/24,57.239
2016/01/25,58.442
2016/01/26,59.717
2016/01/27,55.857
2016/01/28,55.966
2016/01/29,54.996
2016/01/30,54.585
2016/01/31,55.857
2016/02/01,55.308
2016/02/02,54.529
2016/02/03,54.732
2016/02/04,54.169
2016/02/05,54.902
2016/02/06,53.345
2016/02/07,55.918
2016/02/08,58.097
2016/02/09,59.97
2016/02/10,67.341
2016/02/11,68.302
2016/02/12,66.902
2016/02/13,63.267
2016/02/14,57.472
2016/02/15,58.525
2016/02/16,58.311
2016/02/17,57.619
2016/02/18,57.903
2016/02/19,56.875
2016/02/20,55.114
2016/02/21,63.716
2016/02/22,58.395
2016/02/23,57.852
2016/02/24,56.678
2016/02/25,59.978
2016/02/26,56.714
2016/02/27,57.335
2016/02/28,60.018
2016/02/29,64.196
2016/03/01,66.049
2016/03/02,67.038
2016/03/03,68.808
2016/03/04,68.957
2016/03/05,73.262
2016/03/06,68.956
2016/03/07,60.84
2016/03/08,65.138
2016/03/09,61.684
2016/03/10,64.05
2016/03/11,61.965
2016/03/12,61.438
2016/03/13,60.819
2016/03/14,60.874
2016/03/15,59.452
2016/03/16,57.046
2016/03/17,59.548
2016/03/18,61.283
2016/03/19,54.807
2016/03/20,55.5
2016/03/21,58.133
2016/03/22,54.339
2016/03/23,54.818
2016/03/24,53.9
2016/03/25,52.833
2016/03/26,51.707
2016/03/27,54.916
2016/03/28,55.409
2016/03/29,61.256
2016/03/30,61.647
2016/03/31,54.075
2016/04/01,52.754
2016/04/02,51.432
2016/04/03,51.228
2016/04/04,54.218
2016/04/05,54.419
2016/04/06,54.201
2016/04/07,53.44
2016/04/08,52.52
2016/04/09,54.043
2016/04/10,56.274
2016/04/11,52.664
2016/04/12,53.971
2016/04/13,55.738
2016/04/14,53.515
2016/04/15,51.2
2016/04/16,50.722
2016/04/17,53.628
2016/04/18,53.319
2016/04/19,52.565
2016/04/20,53.182
2016/04/21,52.889
2016/04/22,53.479
2016/04/23,52.372
2016/04/24,53.205
2016/04/25,54.551
2016/04/26,55.13
2016/04/27,54.82
2016/04/28,53.246
2016/04/29,64.506
2016/04/30,66.344
2016/05/01,59.745
2016/05/02,63.29
2016/05/03,59.604
2016/05/04,57.332
2016/05/05,57.624
2016/05/06,57.662
2016/05/07,56.074
2016/05/08,57.828
2016/05/09,59.024
2016/05/10,59.473
2016/05/11,63.419
2016/05/12,63.932
2016/05/13,68.32
2016/05/14,62.098
2016/05/15,56.599
2016/05/16,55.663
2016/05/17,57.597
2016/05/18,59.378
2016/05/19,60.121
2016/05/20,57.728
2016/05/21,54.381
2016/05/22,51.422
2016/05/23,57.591
2016/05/24,56.081
2016/05/25,55.293
2016/05/26,69.234
2016/05/27,55.769
2016/05/28,63.644
2016/05/29,51.716
2016/05/30,51.481
2016/05/31,52.09
2016/06/01,51.008
2016/06/02,50.26
2016/06/03,50.315
2016/06/04,49.349
2016/06/05,49.352
2016/06/06,50.147
2016/06/07,50.627
2016/06/08,50.583
2016/06/09,49.894
2016/06/10,50.259
2016/06/11,48.747
2016/06/12,50.818
2016/06/13,53.807
2016/06/14,54.093
2016/06/15,51.669
2016/06/16,52.948
2016/06/17,59.489
2016/06/18,56.872
2016/06/19,52.311
2016/06/20,51.133
2016/06/21,51.936
2016/06/22,53.163
2016/06/23,50.14
2016/06/24,49.571
2016/06/25,48.592
2016/06/26,48.4
2016/06/27,48.758
2016/06/28,50.542
2016/06/29,50.124
2016/06/30,48.817
2016/07/01,48.996
2016/07/02,49.286
2016/07/03,49.263
2016/07/04,50.193
2016/07/05,50.542
2016/07/06,49.939
2016/07/07,49.862
2016/07/08,49.837
2016/07/09,49.257
2016/07/10,48.398
2016/07/11,49.25
2016/07/12,49.28
2016/07/13,48.801
2016/07/14,50.125
2016/07/15,49.866
2016/07/16,47.194
2016/07/17,45.967
2016/07/18,48.403
2016/07/19,65.409
2016/07/20,53.253
2016/07/21,51.796
2016/07/22,53.063
2016/07/23,51.573
2016/07/24,57.479
2016/07/25,53.666
2016/07/26,59.516
2016/07/27,54.861
2016/07/28,53.344
2016/07/29,51.035
2016/07/30,49.381
2016/07/31,50.545
2016/08/01,51.034
2016/08/02,53.478
2016/08/03,51.097
2016/08/04,50.585
2016/08/05,49.155
2016/08/06,48.861
2016/08/07,48.959
2016/08/08,49.988
2016/08/09,51.035
2016/08/10,49.751
2016/08/11,51.556
2016/08/12,48.917
2016/08/13,48.13
2016/08/14,48.89
2016/08/15,49.068
2016/08/16,50.313
2016/08/17,49.051
2016/08/18,48.981
2016/08/19,49.032
2016/08/20,49.458
2016/08/21,49.076
2016/08/22,48.289
2016/08/23,50.921
2016/08/24,49.511
2016/08/25,51.045
2016/08/26,49.835
