Date,median_transaction_fee7rocUSD
2016/01/01,9.778
2016/01/02,-4.781
2016/01/03,-69.497
2016/01/04,-5.375
2016/01/05,183.662
2016/01/06,-1.765
2016/01/07,195.89
2016/01/08,3.249
2016/01/09,31.972
2016/01/10,10.498
2016/01/11,8.454
2016/01/12,-59.542
2016/01/13,14.155
2016/01/14,-59.639
2016/01/15,25.249
2016/01/16,-2.635
2016/01/17,14.019
2016/01/18,61.632
2016/01/19,40.079
2016/01/20,-53.651
2016/01/21,33.877
2016/01/22,46.884
2016/01/23,40.331
2016/01/24,73.414
2016/01/25,49.741
2016/01/26,73.973
2016/01/27,96.683
2016/01/28,93.463
2016/01/29,41.116
2016/01/30,44.737
2016/01/31,11.415
2016/02/01,-12.918
2016/02/02,-21.935
2016/02/03,-15.752
2016/02/04,-14.137
2016/02/05,-1.831
2016/02/06,182.853
2016/02/07,12.898
2016/02/08,39.729
2016/02/09,56.132
2016/02/10,79.691
2016/02/11,94.725
2016/02/12,133.97
2016/02/13,-30.024
2016/02/14,81.701
2016/02/15,76.101
2016/02/16,39.293
2016/02/17,1.344
2016/02/18,-18.281
2016/02/19,-23.868
2016/02/20,-11.019
2016/02/21,-9.529
2016/02/22,-5.959
2016/02/23,25.357
2016/02/24,31.456
2016/02/25,55.543
2016/02/26,33.119
2016/02/27,40.128
2016/02/28,45.48
2016/02/29,24.84
2016/03/01,10.64
2016/03/02,37.33
2016/03/03,47.352
2016/03/04,54.623
2016/03/05,79.039
2016/03/06,72.376
2016/03/07,60.909
2016/03/08,42.257
2016/03/09,32.39
2016/03/10,-49.673
2016/03/11,-52.052
2016/03/12,-53.656
2016/03/13,-48.42
2016/03/14,-47.893
2016/03/15,-47.052
2016/03/16,-49.91
2016/03/17,-0.26
2016/03/18,-8.019
2016/03/19,-17.805
2016/03/20,-28.593
2016/03/21,-18.432
2016/03/22,-8.683
2016/03/23,-10.469
2016/03/24,-1.808
2016/03/25,5.63
2016/03/26,7.256
2016/03/27,4.434
2016/03/28,1.944
2016/03/29,-0.405
2016/03/30,-0.411
2016/03/31,3.174
2016/04/01,7.661
2016/04/02,0.686
2016/04/03,7.564
2016/04/04,0.755
2016/04/05,-2.642
2016/04/06,-10.266
2016/04/07,-11.676
2016/04/08,-14.923
2016/04/09,-16.133
2016/04/10,-24.973
2016/04/11,-24.785
2016/04/12,-30.039
2016/04/13,-26.153
2016/04/14,-19.327
2016/04/15,-15.748
2016/04/16,-13.835
2016/04/17,7.239
2016/04/18,6.854
2016/04/19,14.788
2016/04/20,9.8
2016/04/21,1.025
2016/04/22,-3.947
2016/04/23,-3.337
2016/04/24,-11.552
2016/04/25,-13.995
2016/04/26,-19.045
2016/04/27,-11.471
2016/04/28,-12.306
2016/04/29,-6.685
2016/04/30,3.202
2016/05/01,6.516
2016/05/02,22.86
2016/05/03,31.631
2016/05/04,25.54
2016/05/05,28.727
2016/05/06,29.784
2016/05/07,12.851
2016/05/08,6.594
2016/05/09,-1.52
2016/05/10,-3.137
2016/05/11,1.488
2016/05/12,6.028
2016/05/13,9.168
2016/05/14,9.357
2016/05/15,9.146
2016/05/16,11.269
2016/05/17,25.665
2016/05/18,34.011
2016/05/19,37.47
2016/05/20,35.663
2016/05/21,33.616
2016/05/22,38.63
2016/05/23,33.986
2016/05/24,10.94
2016/05/25,-4.433
2016/05/26,-10.688
2016/05/27,-21.114
2016/05/28,-2.672
2016/05/29,-14.172
2016/05/30,-11.484
2016/05/31,2.008
2016/06/01,11.944
2016/06/02,11.133
2016/06/03,20.59
2016/06/04,2.813
2016/06/05,13.82
2016/06/06,11.221
