Date,sentbyaddress3trx
2016/01/01,0.912
2016/01/02,0.886
2016/01/03,0.828
2016/01/04,0.777
2016/01/05,0.669
2016/01/06,0.882
2016/01/07,1.306
2016/01/08,0.743
2016/01/09,0.541
2016/01/10,1.605
2016/01/11,2.292
2016/01/12,3.172
2016/01/13,1.585
2016/01/14,0.026
2016/01/15,0.912
2016/01/16,-1.365
2016/01/17,-3.537
2016/01/18,-2.637
2016/01/19,-2.294
2016/01/20,1.773
2016/01/21,0.355
2016/01/22,-0.659
2016/01/23,1.036
2016/01/24,3.8
2016/01/25,5.481
2016/01/26,6.144
2016/01/27,3.706
2016/01/28,1.826
2016/01/29,0.328
2016/01/30,-0.587
2016/01/31,-0.256
2016/02/01,-0.124
2016/02/02,-0.382
2016/02/03,-0.417
2016/02/04,-0.574
2016/02/05,-0.262
2016/02/06,-0.608
2016/02/07,0.401
2016/02/08,2.108
2016/02/09,3.7
2016/02/10,8.48
2016/02/11,10.158
2016/02/12,8.465
2016/02/13,5.102
2016/02/14,0.938
2016/02/15,-0.82
2016/02/16,-1.404
2016/02/17,-1.61
2016/02/18,-1.352
2016/02/19,-1.321
2016/02/20,-1.75
2016/02/21,2.496
2016/02/22,2.852
2016/02/23,1.967
2016/02/24,0.713
2016/02/25,1.648
2016/02/26,0.934
2016/02/27,0.58
2016/02/28,1.77
2016/02/29,4.756
2016/03/01,6.818
2016/03/02,7.203
2016/03/03,7.201
2016/03/04,6.157
2016/03/05,7.395
2016/03/06,5.919
2016/03/07,1.875
2016/03/08,1.7
2016/03/09,0.73
2016/03/10,1.371
2016/03/11,1.019
2016/03/12,0.427
2016/03/13,-0.145
2016/03/14,-0.385
2016/03/15,-0.856
2016/03/16,-1.794
2016/03/17,-0.968
2016/03/18,0.68
2016/03/19,-0.798
2016/03/20,-1.507
2016/03/21,-0.262
2016/03/22,-0.872
2016/03/23,-1.073
2016/03/24,-1.377
2016/03/25,-1.835
2016/03/26,-2.37
2016/03/27,-0.762
2016/03/28,0.705
2016/03/29,4.807
2016/03/30,6.538
2016/03/31,2.905
2016/04/01,-0.318
2016/04/02,-2.47
2016/04/03,-3.288
2016/04/04,-1.582
2016/04/05,-0.041
2016/04/06,0.613
2016/04/07,0.404
2016/04/08,-0.267
2016/04/09,0.137
2016/04/10,1.629
2016/04/11,0.695
2016/04/12,0.527
2016/04/13,1.401
2016/04/14,0.809
2016/04/15,-0.805
2016/04/16,-1.873
2016/04/17,-0.673
2016/04/18,0.18
2016/04/19,0.201
2016/04/20,0.384
2016/04/21,0.323
2016/04/22,0.496
2016/04/23,0.101
2016/04/24,0.193
2016/04/25,0.881
2016/04/26,1.441
2016/04/27,1.398
2016/04/28,0.57
2016/04/29,5.869
2016/04/30,9.291
2016/05/01,6.716
2016/05/02,6.076
2016/05/03,3.79
2016/05/04,1.235
2016/05/05,-0.053
2016/05/06,-0.526
2016/05/07,-1.149
2016/05/08,-0.538
2016/05/09,0.575
2016/05/10,1.332
2016/05/11,3.516
2016/05/12,4.488
2016/05/13,6.692
2016/05/14,4.878
2016/05/15,1.111
2016/05/16,-1.4
2016/05/17,-1.469
2016/05/18,-0.114
2016/05/19,1.154
2016/05/20,0.775
2016/05/21,-0.952
2016/05/22,-3.083
2016/05/23,-0.721
2016/05/24,0.526
2016/05/25,0.583
2016/05/26,11.113
2016/05/27,7.446
2016/05/28,10.713
2016/05/29,2.684
2016/05/30,-2.573
2016/05/31,-4.243
2016/06/01,-5.118
2016/06/02,-5.6
2016/06/03,-5.181
2016/06/04,-5.162
2016/06/05,-4.665
2016/06/06,-3.037
2016/06/07,-1.169
2016/06/08,-0.078
2016/06/09,-0.277
2016/06/10,-0.167
2016/06/11,-1.455
2016/06/12,-0.196
2016/06/13,3.782
2016/06/14,5.716
2016/06/15,3.525
2016/06/16,2.726
2016/06/17,8.56
2016/06/18,8.481
2016/06/19,3.21
2016/06/20,-1.036
2016/06/21,-2.318
2016/06/22,-1.324
2016/06/23,-2.726
2016/06/24,-3.957
2016/06/25,-5.024
2016/06/26,-5.24
2016/06/27,-4.366
2016/06/28,-1.586
2016/06/29,-0.061
2016/06/30,-0.683
2016/07/01,-1.028
2016/07/02,-0.789
2016/07/03,-0.516
2016/07/04,0.483
2016/07/05,1.303
2016/07/06,1.026
2016/07/07,0.567
2016/07/08,0.229
2016/07/09,-0.378
2016/07/10,-1.298
2016/07/11,-1.063
2016/07/12,-0.643
2016/07/13,-0.661
2016/07/14,0.242
2016/07/15,0.608
2016/07/16,-1.169
2016/07/17,-3.085
2016/07/18,-2.181
2016/07/19,16.173
2016/07/20,12.04
2016/07/21,5.29
2016/07/22,2.531
2016/07/23,0.054
2016/07/24,4.661
2016/07/25,3.805
2016/07/26,8.637
2016/07/27,6.092
2016/07/28,2.132
2016/07/29,-2.116
2016/07/30,-5.614
2016/07/31,-5.814
2016/08/01,-4.333
2016/08/02,-0.13
2016/08/03,0.004
2016/08/04,-0.989
2016/08/05,-3.01
2016/08/06,-4.198
2016/08/07,-4.176
2016/08/08,-2.419
2016/08/09,0.211
2016/08/10,0.228
2016/08/11,1.855
2016/08/12,-0.232
2016/08/13,-2.565
2016/08/14,-2.734
2016/08/15,-2.028
2016/08/16,0.051
2016/08/17,-0.102
2016/08/18,-0.525
2016/08/19,-0.657
2016/08/20,-0.184
2016/08/21,-0.227
2016/08/22,-1.066
2016/08/23,1.08
2016/08/24,1.011
2016/08/25,2.052
2016/08/26,1.293
2016/08/27,0.995
2016/08/28,-0.002
2016/08/29,0.535
2016/08/30,0.245
2016/08/31,0.926
2016/09/01,2.566
2016/09/02,2.159
2016/09/03,-0.045
2016/09/04,-1.606
2016/09/05,-2.082
2016/09/06,-1.786
2016/09/07,-1.133
2016/09/08,1.576
2016/09/09,0.745
2016/09/10,-0.637
2016/09/11,-0.783
2016/09/12,-0.37
2016/09/13,-0.053
2016/09/14,0.381
2016/09/15,0.22
2016/09/16,1.269
2016/09/17,0.985
2016/09/18,-1.09
2016/09/19,-3.034
2016/09/20,4.181
2016/09/21,6.365
2016/09/22,0.957
2016/09/23,-1.98
2016/09/24,-2.521
2016/09/25,-2.483
2016/09/26,-2.172
2016/09/27,-1.443
2016/09/28,-0.97
2016/09/29,0.891
2016/09/30,2.156
2016/10/01,0.14
2016/10/02,1.141
2016/10/03,0.125
2016/10/04,-3.282
2016/10/05,-5.01
2016/10/06,-4.033
2016/10/07,-0.582
2016/10/08,1.948
2016/10/09,4.253
2016/10/10,4.629
2016/10/11,2.237
2016/10/12,-4.618
2016/10/13,-10.776
2016/10/14,-7.045
2016/10/15,-4.998
2016/10/16,-1.605
2016/10/17,2.021
2016/10/18,9.149
2016/10/19,3.477
2016/10/20,5.805
2016/10/21,7.885
2016/10/22,4.893
2016/10/23,1.807
2016/10/24,-0.714
2016/10/25,-1.75
2016/10/26,-1.734
2016/10/27,-1.122
2016/10/28,-0.34
2016/10/29,-0.894
2016/10/30,-1.999
2016/10/31,0.892
2016/11/01,4.06
2016/11/02,1.009
2016/11/03,0.446
2016/11/04,-3.54
2016/11/05,-3.872
2016/11/06,-4.612
2016/11/07,-2.079
2016/11/08,-0.48
2016/11/09,0.806
2016/11/10,-0.923
2016/11/11,-0.163
2016/11/12,-0.045
2016/11/13,1.638
2016/11/14,-0.258
2016/11/15,-0.52
2016/11/16,-1.178
2016/11/17,-1.469
2016/11/18,-0.976
2016/11/19,-1.501
2016/11/20,-1.21
2016/11/21,-0.466
2016/11/22,21.984
2016/11/23,37.929
2016/11/24,8.018
2016/11/25,8.929
2016/11/26,-3.579
2016/11/27,-10.807
2016/11/28,-12.595
2016/11/29,-12.398
2016/11/30,-10.587
2016/12/01,-8.762
2016/12/02,-5.85
2016/12/03,-0.445
2016/12/04,2.934
2016/12/05,1.222
2016/12/06,2.797
2016/12/07,-1.128
2016/12/08,-3.307
2016/12/09,-1.21
2016/12/10,-1.79
2016/12/11,-1.164
2016/12/12,-0.434
2016/12/13,-1.061
