Date,size3var
2016/01/01,83101
2016/01/02,5040
2016/01/03,1080
2016/01/04,162.501
2016/01/05,40756
2016/01/06,58069
2016/01/07,5358
2016/01/08,49364
2016/01/09,39266
2016/01/10,5061
2016/01/11,5616
2016/01/12,444.207
2016/01/13,27015
2016/01/14,26678
2016/01/15,34176
2016/01/16,1505
2016/01/17,2484
2016/01/18,4827
2016/01/19,8879
2016/01/20,3766
2016/01/21,5412
2016/01/22,1327
2016/01/23,2583
2016/01/24,2619
2016/01/25,34306
2016/01/26,20421
2016/01/27,19883
2016/01/28,19181
2016/01/29,11184
2016/01/30,10018
2016/01/31,5336
2016/02/01,1620
2016/02/02,708.836
2016/02/03,85.629
2016/02/04,126.088
2016/02/05,547.202
2016/02/06,73825
2016/02/07,83019
2016/02/08,93256
2016/02/09,11.059
2016/02/10,1198
2016/02/11,10740
2016/02/12,5115
2016/02/13,1986
2016/02/14,1149
2016/02/15,1777
2016/02/16,35.393
2016/02/17,4220
2016/02/18,4824
2016/02/19,4249
2016/02/20,2045
2016/02/21,2602
2016/02/22,391.111
2016/02/23,742
2016/02/24,125.349
2016/02/25,11.529
2016/02/26,7003
2016/02/27,7300
2016/02/28,8239
2016/02/29,1401
2016/03/01,1301
2016/03/02,296.46
2016/03/03,1412
2016/03/04,559.615
2016/03/05,956.891
2016/03/06,2280
2016/03/07,3769
2016/03/08,4203
2016/03/09,644.658
2016/03/10,574.811
2016/03/11,906.142
2016/03/12,6315
2016/03/13,6999
2016/03/14,2845
2016/03/15,5685
2016/03/16,7543
2016/03/17,2411
2016/03/18,2091
2016/03/19,1545
2016/03/20,1381
2016/03/21,559.468
2016/03/22,853.959
2016/03/23,167.832
2016/03/24,25690
2016/03/25,19627
2016/03/26,18861
2016/03/27,23740
2016/03/28,19091
2016/03/29,15834
2016/03/30,7252
2016/03/31,6851
2016/04/01,4656
2016/04/02,11448
2016/04/03,14216
2016/04/04,15290
2016/04/05,16332
2016/04/06,7161
2016/04/07,6253
2016/04/08,7207
2016/04/09,8433
2016/04/10,13190
2016/04/11,539.069
2016/04/12,7266
2016/04/13,9227
2016/04/14,879.46
2016/04/15,1047
2016/04/16,8339
2016/04/17,87433
2016/04/18,92464
2016/04/19,75805
2016/04/20,331.032
2016/04/21,6418
2016/04/22,7916
2016/04/23,11186
2016/04/24,5238
2016/04/25,4906
2016/04/26,1329
2016/04/27,1233
2016/04/28,1537
2016/04/29,2341
2016/04/30,6654
2016/05/01,11328
2016/05/02,6702
2016/05/03,10682
