Date,sentbyaddress7sma
2016/11/14,8450
2016/11/15,8419
2016/11/16,8259
2016/11/17,8310
2016/11/18,8217
2016/11/19,8090
2016/11/20,7847
2016/11/21,7896
2016/11/22,9817
2016/11/23,12992
2016/11/24,12628
2016/11/25,14741
2016/11/26,14507
2016/11/27,14270
2016/11/28,14196
2016/11/29,12068
2016/11/30,8794
2016/12/01,9003
2016/12/02,6792
2016/12/03,7285
2016/12/04,7753
2016/12/05,7784
2016/12/06,8189
2016/12/07,8111
2016/12/08,8124
2016/12/09,8288
2016/12/10,7969
2016/12/11,7727
2016/12/12,7737
2016/12/13,7359
2016/12/14,7687
2016/12/15,8141
2016/12/16,8035
2016/12/17,8131
2016/12/18,8096
2016/12/19,8137
2016/12/20,8342
2016/12/21,8334
2016/12/22,8158
2016/12/23,8143
2016/12/24,8068
2016/12/25,7918
2016/12/26,7697
2016/12/27,7500
2016/12/28,7337
2016/12/29,7304
2016/12/30,7331
2016/12/31,7529
2017/01/01,7546
2017/01/02,7716
2017/01/03,7910
2017/01/04,8366
2017/01/05,8610
2017/01/06,8963
2017/01/07,8991
2017/01/08,9191
2017/01/09,9523
2017/01/10,9504
2017/01/11,9254
2017/01/12,9128
2017/01/13,8876
2017/01/14,8754
2017/01/15,8666
2017/01/16,8559
2017/01/17,8569
2017/01/18,8399
2017/01/19,8323
2017/01/20,8422
2017/01/21,8482
2017/01/22,8562
2017/01/23,8435
2017/01/24,8444
2017/01/25,8424
2017/01/26,8346
2017/01/27,8150
2017/01/28,8073
2017/01/29,8007
2017/01/30,8013
2017/01/31,7976
2017/02/01,8057
2017/02/02,8135
2017/02/03,8172
2017/02/04,8346
2017/02/05,8595
2017/02/06,8701
2017/02/07,8780
2017/02/08,8873
2017/02/09,8893
2017/02/10,9165
2017/02/11,9076
2017/02/12,9060
2017/02/13,9347
2017/02/14,9661
2017/02/15,9921
2017/02/16,10048
2017/02/17,10015
2017/02/18,10352
2017/02/19,10367
2017/02/20,10240
2017/02/21,10075
2017/02/22,9913
2017/02/23,9861
2017/02/24,9978
2017/02/25,9880
2017/02/26,10033
2017/02/27,10167
2017/02/28,10705
2017/03/01,11356
2017/03/02,13076
2017/03/03,13856
2017/03/04,14433
2017/03/05,14938
2017/03/06,15306
2017/03/07,15154
2017/03/08,14955
2017/03/09,14014
2017/03/10,14001
2017/03/11,14113
2017/03/12,14577
2017/03/13,15922
2017/03/14,16905
2017/03/15,17940
2017/03/16,20009
2017/03/17,21837
2017/03/18,23129
2017/03/19,23585
2017/03/20,23187
2017/03/21,23354
2017/03/22,23190
2017/03/23,21696
2017/03/24,20946
2017/03/25,20628
2017/03/26,20419
2017/03/27,20614
2017/03/28,20589
2017/03/29,20844
2017/03/30,21733
2017/03/31,22784
2017/04/01,22610
2017/04/02,23261
2017/04/03,24386
2017/04/04,24685
2017/04/05,25091
2017/04/06,25328
2017/04/07,23728
2017/04/08,23332
2017/04/09,22317
2017/04/10,20855
