Date,size14mom
2016/09/02,358.902
2016/09/03,60.508
2016/09/04,239.409
2016/09/05,-13.771
2016/09/06,-300.776
2016/09/07,102.293
2016/09/08,236.473
2016/09/09,243.515
2016/09/10,-78.093
2016/09/11,9.59
2016/09/12,12.886
2016/09/13,-118.602
2016/09/14,219.633
2016/09/15,160.608
2016/09/16,170.058
2016/09/17,74.703
2016/09/18,-286.518
2016/09/19,-170.876
2016/09/20,-32.952
2016/09/21,-93.914
2016/09/22,-23.416
2016/09/23,-573.193
2016/09/24,17.761
2016/09/25,-73.704
2016/09/26,-40.298
2016/09/27,163.591
2016/09/28,-196.28
2016/09/29,-301.959
2016/09/30,-583.305
2016/10/01,222.171
2016/10/02,254.141
2016/10/03,377.683
2016/10/04,502.13
2016/10/05,203.861
2016/10/06,62.013
2016/10/07,2839
2016/10/08,3903
2016/10/09,4296
2016/10/10,11180
2016/10/11,1102
2016/10/12,-313.444
2016/10/13,-135.397
2016/10/14,-36.265
2016/10/15,-573.684
2016/10/16,-389.802
2016/10/17,-341.84
2016/10/18,-444.87
2016/10/19,-164.043
2016/10/20,-472.766
2016/10/21,-2395
2016/10/22,-4072
2016/10/23,-4391
2016/10/24,-10934
2016/10/25,-1087
2016/10/26,301.764
2016/10/27,211.862
2016/10/28,71.891
2016/10/29,225.097
2016/10/30,125.443
2016/10/31,158.869
2016/11/01,-58.068
2016/11/02,-141.478
2016/11/03,5.013
2016/11/04,-462.287
2016/11/05,1.096
2016/11/06,-2.251
2016/11/07,-392.037
2016/11/08,-199.366
2016/11/09,-65.777
2016/11/10,-25.656
2016/11/11,-9.993
2016/11/12,-35.363
2016/11/13,45.529
2016/11/14,40.334
2016/11/15,-111.188
2016/11/16,-15.236
2016/11/17,5.36
2016/11/18,251.41
2016/11/19,17.246
2016/11/20,183.569
2016/11/21,138.074
2016/11/22,232.036
2016/11/23,466.107
2016/11/24,-68.767
2016/11/25,304.893
2016/11/26,74.875
2016/11/27,234.947
2016/11/28,154.966
2016/11/29,114.981
2016/11/30,727.252
2016/12/01,-68.51
2016/12/02,-52.01
2016/12/03,29.204
2016/12/04,-69.614
2016/12/05,-46.049
2016/12/06,-92.989
2016/12/07,-427.309
2016/12/08,-7.903
2016/12/09,-265.031
2016/12/10,-73.218
2016/12/11,-22.01
2016/12/12,-253.998
2016/12/13,-153.856
2016/12/14,-373.359
2016/12/15,174.256
2016/12/16,44.462
2016/12/17,13.447
2016/12/18,-57.949
2016/12/19,124.808
2016/12/20,-78.574
2016/12/21,246.681
2016/12/22,346.252
2016/12/23,19.871
2016/12/24,-66.813
2016/12/25,-364.3
2016/12/26,-182.897
2016/12/27,19.647
2016/12/28,-304.83
2016/12/29,96.748
2016/12/30,116.801
2016/12/31,126.386
2017/01/01,44.875
2017/01/02,-157.978
2017/01/03,91.081
2017/01/04,-52.211
2017/01/05,-86.322
2017/01/06,70.554
2017/01/07,209.234
2017/01/08,240.694
2017/01/09,301.31
2017/01/10,127.739
2017/01/11,60.969
2017/01/12,18.304
2017/01/13,106.113
2017/01/14,-44.928
2017/01/15,107.578
2017/01/16,116.53
2017/01/17,15.026
2017/01/18,-134.173
2017/01/19,-123.347
2017/01/20,16.009
2017/01/21,-66.175
2017/01/22,59.032
2017/01/23,16.903
2017/01/24,68.053
2017/01/25,52.304
2017/01/26,-23.727
2017/01/27,-71.135
2017/01/28,128.308
2017/01/29,24.767
2017/01/30,4.059
2017/01/31,-103.748
2017/02/01,24.401
2017/02/02,25.877
2017/02/03,-40.255
2017/02/04,56.477
2017/02/05,-2.076
2017/02/06,-6.389
2017/02/07,73.056
2017/02/08,120.445
2017/02/09,-43.466
2017/02/10,77.548
2017/02/11,-33.711
2017/02/12,48.576
2017/02/13,244.616
2017/02/14,375.162
2017/02/15,210.265
2017/02/16,82.941
2017/02/17,92.614
2017/02/18,212.657
2017/02/19,20.708
2017/02/20,90.311
2017/02/21,162.299
2017/02/22,26.215
2017/02/23,37.675
2017/02/24,43.05
2017/02/25,166.741
2017/02/26,141.631
2017/02/27,-4.752
2017/02/28,21.367
2017/03/01,417.329
2017/03/02,548.36
2017/03/03,422.878
2017/03/04,86.552
2017/03/05,186.288
2017/03/06,111.845
2017/03/07,-25.879
2017/03/08,9.234
2017/03/09,736.16
2017/03/10,411.96
2017/03/11,253.187
2017/03/12,330.141
2017/03/13,632.995
2017/03/14,498.204
2017/03/15,220.971
2017/03/16,861.562
2017/03/17,795.79
2017/03/18,652.922
2017/03/19,574.642
2017/03/20,507.941
2017/03/21,543.714
2017/03/22,568.799
2017/03/23,109.466
2017/03/24,366.655
2017/03/25,413.912
2017/03/26,331.697
2017/03/27,444.455
2017/03/28,109.591
2017/03/29,288.266
2017/03/30,-218.301
2017/03/31,69.257
2017/04/01,-109.739
2017/04/02,272.96
2017/04/03,472.201
2017/04/04,11.016
2017/04/05,189.118
2017/04/06,286.318
2017/04/07,219.389
2017/04/08,-179.254
2017/04/09,-16.211
2017/04/10,-435.703
2017/04/11,-166.358
2017/04/12,-47.619
2017/04/13,-263.883
2017/04/14,-497.951
2017/04/15,-54.71
2017/04/16,-449.148
2017/04/17,-478.821
2017/04/18,84.659
2017/04/19,106.438
2017/04/20,-217.668
2017/04/21,-85.58
2017/04/22,180.801
2017/04/23,34.673
2017/04/24,92.611
2017/04/25,426.536
2017/04/26,26.986
2017/04/27,506.177
2017/04/28,726.771
2017/04/29,444.718
2017/04/30,843.983
2017/05/01,1235
2017/05/02,858.222
2017/05/03,363.522
2017/05/04,769.222
2017/05/05,479.886
2017/05/06,504.663
2017/05/07,928.787
2017/05/08,855.781
2017/05/09,572.813
2017/05/10,503.476
2017/05/11,256.726
2017/05/12,-23.324
2017/05/13,272.279
2017/05/14,76.737
2017/05/15,286.908
2017/05/16,182.754
2017/05/17,1277
2017/05/18,894.419
2017/05/19,1631
2017/05/20,1245
2017/05/21,1264
2017/05/22,1920
2017/05/23,3251
2017/05/24,3438
2017/05/25,2600
2017/05/26,2405
2017/05/27,2062
2017/05/28,2238
2017/05/29,1091
2017/05/30,3425
2017/05/31,2538
2017/06/01,2296
2017/06/02,2741
2017/06/03,2458
2017/06/04,1872
2017/06/05,1110
2017/06/06,747.062
2017/06/07,722.229
2017/06/08,979.868
2017/06/09,1923
2017/06/10,1465
2017/06/11,3280
2017/06/12,4529
2017/06/13,1738
2017/06/14,1100
2017/06/15,1651
2017/06/16,492.123
2017/06/17,1321
2017/06/18,1473
2017/06/19,2518
2017/06/20,1884
2017/06/21,-1193
2017/06/22,1759
2017/06/23,1641
2017/06/24,2343
2017/06/25,320.967
2017/06/26,93.195
2017/06/27,-896.266
2017/06/28,2063
2017/06/29,1269
2017/06/30,765.727
2017/07/01,148.186
2017/07/02,571.76
2017/07/03,1186
2017/07/04,873.752
2017/07/05,3900
2017/07/06,138.509
2017/07/07,585.916
2017/07/08,-50.654
2017/07/09,-1999
2017/07/10,1042
2017/07/11,2574
2017/07/12,729.706
2017/07/13,1215
2017/07/14,1240
2017/07/15,641.767
2017/07/16,721.685
2017/07/17,-328.461
2017/07/18,1154
2017/07/19,187.938
2017/07/20,540.012
2017/07/21,-1048
2017/07/22,-892.628
2017/07/23,2302
2017/07/24,-26.385
2017/07/25,-717.421
2017/07/26,-2332
2017/07/27,-2330
2017/07/28,-782.193
2017/07/29,-1295
2017/07/30,-1604
2017/07/31,-521.576
2017/08/01,-1783
2017/08/02,-856.079
2017/08/03,226.653
2017/08/04,1846
2017/08/05,2435
2017/08/06,1180
2017/08/07,1307
2017/08/08,3511
2017/08/09,2970
2017/08/10,5235
2017/08/11,5172
2017/08/12,6189
2017/08/13,5375
2017/08/14,6363
2017/08/15,6899
2017/08/16,7934
2017/08/17,7734
2017/08/18,6828
2017/08/19,5921
2017/08/20,2362
2017/08/21,3312
2017/08/22,980.376
2017/08/23,2979
2017/08/24,215.317
2017/08/25,1342
2017/08/26,983.941
2017/08/27,1949
2017/08/28,2102
2017/08/29,2053
2017/08/30,1467
2017/08/31,106.136
2017/09/01,1101
2017/09/02,-1014
2017/09/03,1046
2017/09/04,4581
2017/09/05,5446
2017/09/06,8251
2017/09/07,7338
2017/09/08,5204
2017/09/09,2522
2017/09/10,-264.893
2017/09/11,-992.939
2017/09/12,-418.565
2017/09/13,-1894
2017/09/14,-148.567
2017/09/15,875.442
2017/09/16,1364
2017/09/17,479.15
2017/09/18,-2223
2017/09/19,-3109
2017/09/20,-6575
2017/09/21,-5030
2017/09/22,-4003
2017/09/23,-1197
