Date,hashrate7std
2016/01/01,14640282199
2016/01/02,15099302701
2016/01/03,14929359289
2016/01/04,14037634677
2016/01/05,16050248506
2016/01/06,18417602163
2016/01/07,20787543453
2016/01/08,19681241943
2016/01/09,17064740513
2016/01/10,17792439996
2016/01/11,21304259953
2016/01/12,21614233099
2016/01/13,23268280983
2016/01/14,19747337129
2016/01/15,24418888555
2016/01/16,30130181257
2016/01/17,29339475007
2016/01/18,38307744904
2016/01/19,37607129000
2016/01/20,25068636347
2016/01/21,18134409479
2016/01/22,25093943670
2016/01/23,27367853451
2016/01/24,44081754654
2016/01/25,45357478585
2016/01/26,59971563086
2016/01/27,60299608133
2016/01/28,47715266282
2016/01/29,44460388327
2016/01/30,31349201865
2016/01/31,31967162524
2016/02/01,21473920002
2016/02/02,22866784799
2016/02/03,33897229195
2016/02/04,36738726761
2016/02/05,41026940509
2016/02/06,40634423104
2016/02/07,33215490950
2016/02/08,42856827429
2016/02/09,26513050830
2016/02/10,30252071996
2016/02/11,44079987845
2016/02/12,44170454931
2016/02/13,47255903605
2016/02/14,51428022254
2016/02/15,64238002016
2016/02/16,57517561514
2016/02/17,46983624545
2016/02/18,46263174552
2016/02/19,30618801356
2016/02/20,32681077725
2016/02/21,36779997572
2016/02/22,54876748207
2016/02/23,66751015413
2016/02/24,66844121385
2016/02/25,48380023560
2016/02/26,51718852580
2016/02/27,52378335443
2016/02/28,52191179742
2016/02/29,48544670210
2016/03/01,45660728294
2016/03/02,48926750870
2016/03/03,52115332835
2016/03/04,65815489637
2016/03/05,93073917954
2016/03/06,108892639323
2016/03/07,103092949659
2016/03/08,87950123749
2016/03/09,80502130369
2016/03/10,81638091883
2016/03/11,85839502510
2016/03/12,120433503775
2016/03/13,164532996502
2016/03/14,160242751791
2016/03/15,154913018752
2016/03/16,139411671585
2016/03/17,133133534640
2016/03/18,102369948094
2016/03/19,106647678563
2016/03/20,130804997753
2016/03/21,107598863804
2016/03/22,99434318228
2016/03/23,77393353762
2016/03/24,92100678024
2016/03/25,114017834893
2016/03/26,151740041299
2016/03/27,179400454601
2016/03/28,172266035029
2016/03/29,179132113401
2016/03/30,124129936929
2016/03/31,123229885916
2016/04/01,132782435966
2016/04/02,122670234698
2016/04/03,137249625061
2016/04/04,147167568860
2016/04/05,151831501032
2016/04/06,139645673911
2016/04/07,131243730456
2016/04/08,152450199709
2016/04/09,113476125933
2016/04/10,130528559635
2016/04/11,132332479930
2016/04/12,131568038117
2016/04/13,138059245443
2016/04/14,79977457087
2016/04/15,118965244900
2016/04/16,143296687815
2016/04/17,149061963251
2016/04/18,176765958436
2016/04/19,146813120053
2016/04/20,150813017606
2016/04/21,136387023164
2016/04/22,122048422883
2016/04/23,129536593305
2016/04/24,70209382439
2016/04/25,111938302759
2016/04/26,102631593725
2016/04/27,103177477657
2016/04/28,117405078348
2016/04/29,105847939035
2016/04/30,158117593413
2016/05/01,152087861530
2016/05/02,150534003319
2016/05/03,152058309877
2016/05/04,121700300457
2016/05/05,97860871829
2016/05/06,83203442735
2016/05/07,83701457087
2016/05/08,94249415932
2016/05/09,54403314249
2016/05/10,94396963144
2016/05/11,87957411993
2016/05/12,87177689163
2016/05/13,163257210167
2016/05/14,165486227616
2016/05/15,170870332757
2016/05/16,165946682818
2016/05/17,165850306849
