Date,price14wmaUSD
2016/01/01,0.895
2016/01/02,0.905
2016/01/03,0.916
2016/01/04,0.925
2016/01/05,0.935
2016/01/06,0.943
2016/01/07,0.953
2016/01/08,0.962
2016/01/09,0.979
2016/01/10,0.997
2016/01/11,1.008
2016/01/12,1.035
2016/01/13,1.051
2016/01/14,1.067
2016/01/15,1.095
2016/01/16,1.12
2016/01/17,1.142
2016/01/18,1.186
2016/01/19,1.219
2016/01/20,1.261
2016/01/21,1.307
2016/01/22,1.346
2016/01/23,1.41
2016/01/24,1.521
2016/01/25,1.643
2016/01/26,1.79
2016/01/27,1.9
2016/01/28,2.01
2016/01/29,2.109
2016/01/30,2.199
2016/01/31,2.257
2016/02/01,2.284
2016/02/02,2.304
2016/02/03,2.342
2016/02/04,2.384
2016/02/05,2.416
2016/02/06,2.436
2016/02/07,2.474
2016/02/08,2.561
2016/02/09,2.692
2016/02/10,2.93
2016/02/11,3.226
2016/02/12,3.628
2016/02/13,3.876
2016/02/14,4.088
2016/02/15,4.352
2016/02/16,4.504
2016/02/17,4.529
2016/02/18,4.53
2016/02/19,4.579
2016/02/20,4.601
2016/02/21,4.603
2016/02/22,4.683
2016/02/23,4.817
2016/02/24,4.946
2016/02/25,5.124
2016/02/26,5.25
2016/02/27,5.407
2016/02/28,5.582
2016/02/29,5.739
2016/03/01,5.931
2016/03/02,6.269
2016/03/03,6.739
2016/03/04,7.161
2016/03/05,7.788
2016/03/06,8.348
2016/03/07,8.74
2016/03/08,8.985
2016/03/09,9.322
2016/03/10,9.755
2016/03/11,10.066
2016/03/12,10.57
2016/03/13,11.199
2016/03/14,11.638
2016/03/15,11.909
2016/03/16,12.194
2016/03/17,12.211
2016/03/18,12.02
2016/03/19,11.868
2016/03/20,11.677
2016/03/21,11.593
2016/03/22,11.587
2016/03/23,11.594
2016/03/24,11.528
2016/03/25,11.383
2016/03/26,11.249
2016/03/27,11.113
2016/03/28,11.08
2016/03/29,11.118
2016/03/30,11.199
2016/03/31,11.287
2016/04/01,11.355
2016/04/02,11.388
2016/04/03,11.419
2016/04/04,11.408
2016/04/05,11.32
2016/04/06,11.223
2016/04/07,11.111
2016/04/08,10.941
2016/04/09,10.743
2016/04/10,10.426
2016/04/11,10.11
2016/04/12,9.739
2016/04/13,9.391
2016/04/14,9.16
2016/04/15,8.954
2016/04/16,8.774
2016/04/17,8.752
2016/04/18,8.728
2016/04/19,8.721
2016/04/20,8.67
2016/04/21,8.622
2016/04/22,8.529
2016/04/23,8.456
2016/04/24,8.422
2016/04/25,8.34
2016/04/26,8.201
2016/04/27,8.105
2016/04/28,7.988
2016/04/29,7.884
2016/04/30,7.896
2016/05/01,7.967
2016/05/02,8.159
2016/05/03,8.354
2016/05/04,8.531
2016/05/05,8.7
2016/05/06,8.877
2016/05/07,8.989
2016/05/08,9.083
2016/05/09,9.187
2016/05/10,9.261
2016/05/11,9.364
2016/05/12,9.506
2016/05/13,9.681
2016/05/14,9.776
2016/05/15,9.845
2016/05/16,9.949
2016/05/17,10.207
2016/05/18,10.613
2016/05/19,11.112
2016/05/20,11.625
2016/05/21,11.998
2016/05/22,12.387
2016/05/23,12.732
2016/05/24,12.892
2016/05/25,12.938
2016/05/26,12.961
2016/05/27,12.813
2016/05/28,12.662
2016/05/29,12.595
2016/05/30,12.562
2016/05/31,12.619
2016/06/01,12.744
2016/06/02,12.852
2016/06/03,12.937
2016/06/04,13.027
2016/06/05,13.13
2016/06/06,13.252
2016/06/07,13.401
2016/06/08,13.598
2016/06/09,13.763
2016/06/10,13.867
2016/06/11,13.912
2016/06/12,14.049
2016/06/13,14.417
2016/06/14,14.955
2016/06/15,15.467
2016/06/16,16.089
2016/06/17,16.373
2016/06/18,16.027
2016/06/19,15.596
2016/06/20,15.119
2016/06/21,14.694
2016/06/22,14.587
2016/06/23,14.323
2016/06/24,14.186
2016/06/25,14.093
2016/06/26,13.964
2016/06/27,13.834
2016/06/28,13.626
2016/06/29,13.342
2016/06/30,13.155
2016/07/01,12.994
2016/07/02,12.864
2016/07/03,12.725
2016/07/04,12.546
2016/07/05,12.225
2016/07/06,11.933
2016/07/07,11.606
2016/07/08,11.358
2016/07/09,11.211
2016/07/10,11.083
2016/07/11,10.944
2016/07/12,10.831
2016/07/13,10.732
2016/07/14,10.732
2016/07/15,10.857
2016/07/16,10.965
2016/07/17,11.011
2016/07/18,11.071
2016/07/19,11.125
2016/07/20,11.28
2016/07/21,11.461
2016/07/22,11.764
2016/07/23,12.165
2016/07/24,12.393
2016/07/25,12.589
2016/07/26,12.695
2016/07/27,12.752
2016/07/28,12.8
2016/07/29,12.827
2016/07/30,12.841
2016/07/31,12.782
2016/08/01,12.636
2016/08/02,12.304
2016/08/03,11.902
2016/08/04,11.672
2016/08/05,11.489
2016/08/06,11.299
2016/08/07,11.171
2016/08/08,11.073
2016/08/09,11.094
2016/08/10,11.192
2016/08/11,11.252
2016/08/12,11.314
2016/08/13,11.366
2016/08/14,11.399
2016/08/15,11.401
2016/08/16,11.403
2016/08/17,11.374
2016/08/18,11.318
2016/08/19,11.244
2016/08/20,11.217
2016/08/21,11.186
2016/08/22,11.168
2016/08/23,11.13
2016/08/24,11.096
2016/08/25,11.09
2016/08/26,11.107
2016/08/27,11.118
2016/08/28,11.109
2016/08/29,11.093
2016/08/30,11.1
2016/08/31,11.137
2016/09/01,11.28
2016/09/02,11.397
2016/09/03,11.48
2016/09/04,11.525
2016/09/05,11.567
2016/09/06,11.588
2016/09/07,11.607
2016/09/08,11.603
2016/09/09,11.607
2016/09/10,11.627
2016/09/11,11.671
2016/09/12,11.692
2016/09/13,11.735
