Date,sentbyaddress90ema
2016/01/01,1225
2016/01/02,1233
2016/01/03,1242
2016/01/04,1250
2016/01/05,1259
2016/01/06,1268
2016/01/07,1278
2016/01/08,1286
2016/01/09,1295
2016/01/10,1307
2016/01/11,1319
2016/01/12,1334
2016/01/13,1344
2016/01/14,1352
2016/01/15,1366
2016/01/16,1370
2016/01/17,1371
2016/01/18,1378
2016/01/19,1381
2016/01/20,1396
2016/01/21,1399
2016/01/22,1403
2016/01/23,1414
2016/01/24,1429
2016/01/25,1447
2016/01/26,1466
2016/01/27,1480
2016/01/28,1493
2016/01/29,1505
2016/01/30,1516
2016/01/31,1529
2016/02/01,1540
2016/02/02,1551
2016/02/03,1561
2016/02/04,1571
2016/02/05,1581
2016/02/06,1589
2016/02/07,1601
2016/02/08,1617
2016/02/09,1636
2016/02/10,1672
2016/02/11,1709
2016/02/12,1745
2016/02/13,1774
2016/02/14,1793
2016/02/15,1814
2016/02/16,1835
2016/02/17,1854
2016/02/18,1873
2016/02/19,1890
2016/02/20,1904
2016/02/21,1938
2016/02/22,1963
2016/02/23,1985
2016/02/24,2005
2016/02/25,2033
2016/02/26,2054
2016/02/27,2076
2016/02/28,2106
2016/02/29,2148
2016/03/01,2195
2016/03/02,2246
2016/03/03,2302
2016/03/04,2358
2016/03/05,2433
2016/03/06,2497
2016/03/07,2541
2016/03/08,2603
2016/03/09,2655
2016/03/10,2716
2016/03/11,2771
2016/03/12,2822
2016/03/13,2871
2016/03/14,2918
2016/03/15,2961
2016/03/16,2996
2016/03/17,3040
2016/03/18,3091
2016/03/19,3121
2016/03/20,3153
2016/03/21,3195
2016/03/22,3224
2016/03/23,3254
2016/03/24,3280
2016/03/25,3302
2016/03/26,3320
2016/03/27,3349
2016/03/28,3381
2016/03/29,3439
2016/03/30,3498
2016/03/31,3528
2016/04/01,3551
2016/04/02,3569
2016/04/03,3585
2016/04/04,3615
2016/04/05,3645
2016/04/06,3673
2016/04/07,3698
2016/04/08,3719
2016/04/09,3746
2016/04/10,3782
2016/04/11,3804
2016/04/12,3832
2016/04/13,3866
2016/04/14,3892
2016/04/15,3907
2016/04/16,3921
2016/04/17,3946
2016/04/18,3970
2016/04/19,3991
2016/04/20,4014
2016/04/21,4035
2016/04/22,4058
2016/04/23,4076
2016/04/24,4098
2016/04/25,4124
2016/04/26,4152
2016/04/27,4179
2016/04/28,4200
2016/04/29,4274
2016/04/30,4358
2016/05/01,4416
2016/05/02,4496
2016/05/03,4558
2016/05/04,4609
2016/05/05,4661
2016/05/06,4711
2016/05/07,4754
2016/05/08,4806
2016/05/09,4863
2016/05/10,4922
2016/05/11,5006
2016/05/12,5091
2016/05/13,5209
2016/05/14,5296
2016/05/15,5354
2016/05/16,5405
2016/05/17,5468
2016/05/18,5544
2016/05/19,5624
2016/05/20,5690
2016/05/21,5735
2016/05/22,5761
2016/05/23,5833
