Date,fee_to_reward3wmaUSD
2016/01/01,0.104
2016/01/02,0.069
2016/01/03,0.066
2016/01/04,0.072
2016/01/05,0.14
2016/01/06,0.197
2016/01/07,0.227
2016/01/08,0.16
2016/01/09,0.137
2016/01/10,0.107
2016/01/11,0.1
2016/01/12,0.094
2016/01/13,0.156
2016/01/14,0.137
2016/01/15,0.111
2016/01/16,0.086
2016/01/17,0.073
2016/01/18,0.091
2016/01/19,0.114
2016/01/20,0.098
2016/01/21,0.083
2016/01/22,0.094
2016/01/23,0.084
2016/01/24,0.083
2016/01/25,0.115
2016/01/26,0.133
2016/01/27,0.176
2016/01/28,0.168
2016/01/29,0.155
2016/01/30,0.136
2016/01/31,0.129
2016/02/01,0.122
2016/02/02,0.115
2016/02/03,0.105
2016/02/04,0.11
2016/02/05,0.124
2016/02/06,0.293
2016/02/07,0.26
2016/02/08,0.198
2016/02/09,0.161
2016/02/10,0.188
2016/02/11,0.184
2016/02/12,0.151
2016/02/13,0.133
2016/02/14,0.115
2016/02/15,0.113
2016/02/16,0.116
2016/02/17,0.135
2016/02/18,0.125
2016/02/19,0.128
2016/02/20,0.111
2016/02/21,0.105
2016/02/22,0.109
2016/02/23,0.228
2016/02/24,0.228
2016/02/25,0.177
2016/02/26,0.161
2016/02/27,0.133
2016/02/28,0.119
2016/02/29,0.116
2016/03/01,0.122
2016/03/02,0.132
2016/03/03,0.132
2016/03/04,0.13
2016/03/05,0.126
2016/03/06,0.134
2016/03/07,0.125
2016/03/08,0.12
2016/03/09,0.107
2016/03/10,0.09
2016/03/11,0.077
2016/03/12,0.082
2016/03/13,0.088
2016/03/14,0.097
2016/03/15,0.087
2016/03/16,0.079
2016/03/17,0.085
2016/03/18,0.087
2016/03/19,0.111
2016/03/20,0.114
2016/03/21,0.109
2016/03/22,0.092
2016/03/23,0.094
2016/03/24,0.11
2016/03/25,0.12
2016/03/26,0.115
2016/03/27,0.086
2016/03/28,0.079
2016/03/29,0.075
2016/03/30,0.093
2016/03/31,0.088
2016/04/01,0.081
2016/04/02,0.066
2016/04/03,0.059
2016/04/04,0.066
2016/04/05,0.078
2016/04/06,0.076
2016/04/07,0.071
2016/04/08,0.072
2016/04/09,0.068
2016/04/10,0.064
2016/04/11,0.06
2016/04/12,0.065
2016/04/13,0.084
2016/04/14,0.094
2016/04/15,0.085
2016/04/16,0.067
2016/04/17,0.075
2016/04/18,0.07
2016/04/19,0.066
2016/04/20,0.067
2016/04/21,0.081
2016/04/22,0.075
2016/04/23,0.067
2016/04/24,0.066
2016/04/25,0.069
2016/04/26,0.07
2016/04/27,0.066
2016/04/28,0.067
2016/04/29,0.07
2016/04/30,0.085
2016/05/01,0.102
2016/05/02,0.097
2016/05/03,0.088
2016/05/04,0.084
2016/05/05,0.089
2016/05/06,0.1
2016/05/07,0.089
2016/05/08,0.087
2016/05/09,0.082
2016/05/10,0.084
2016/05/11,0.091
2016/05/12,0.106
2016/05/13,0.121
2016/05/14,0.117
2016/05/15,0.106
2016/05/16,0.093
2016/05/17,0.087
2016/05/18,0.096
2016/05/19,0.101
2016/05/20,0.109
2016/05/21,0.11
2016/05/22,0.1
2016/05/23,0.093
2016/05/24,0.089
2016/05/25,0.094
2016/05/26,0.102
2016/05/27,0.11
2016/05/28,0.167
2016/05/29,0.152
2016/05/30,0.125
2016/05/31,0.101
2016/06/01,0.096
2016/06/02,0.087
2016/06/03,0.081
2016/06/04,0.076
2016/06/05,0.075
2016/06/06,0.076
2016/06/07,0.141
2016/06/08,0.125
2016/06/09,0.107
2016/06/10,0.089
2016/06/11,0.086
2016/06/12,0.087
2016/06/13,0.1
2016/06/14,0.111
2016/06/15,0.105
