Date,confirmationtime7roc
2016/10/04,-0.395
2016/10/05,4.968
2016/10/06,2.906
2016/10/07,2.055
2016/10/08,-6.774
2016/10/09,0.314
2016/10/10,2.698
2016/10/11,0.446
2016/10/12,-1.574
2016/10/13,-2.633
2016/10/14,-3.158
2016/10/15,2.87
2016/10/16,-0.099
2016/10/17,1.376
2016/10/18,-1.128
2016/10/19,2.355
2016/10/20,-2.922
2016/10/21,-0.295
2016/10/22,-0.232
2016/10/23,1.035
2016/10/24,-1.748
2016/10/25,1.51
2016/10/26,-5.282
2016/10/27,4.653
2016/10/28,2.591
2016/10/29,6.581
2016/10/30,-1.089
2016/10/31,-0.443
2016/11/01,3.237
2016/11/02,2.419
2016/11/03,1.143
2016/11/04,0.661
2016/11/05,-5.47
2016/11/06,0.083
2016/11/07,-3.531
2016/11/08,-5.196
2016/11/09,0.473
2016/11/10,-0.268
2016/11/11,-1.469
2016/11/12,-1.479
2016/11/13,-2.402
2016/11/14,4.088
2016/11/15,2.547
2016/11/16,-2.002
2016/11/17,1.67
2016/11/18,-4.723
2016/11/19,-1.041
2016/11/20,0.388
2016/11/21,-0.099
2016/11/22,1.418
2016/11/23,3.563
2016/11/24,-0.778
2016/11/25,2.913
2016/11/26,3.57
2016/11/27,3.936
2016/11/28,0.513
2016/11/29,-1.102
2016/11/30,-3.696
2016/12/01,-2.361
2016/12/02,0.593
2016/12/03,-3.604
2016/12/04,-0.635
2016/12/05,0.633
2016/12/06,-1.659
2016/12/07,-0.198
2016/12/08,-1.11
2016/12/09,0.413
2016/12/10,1.399
2016/12/11,-1.886
2016/12/12,0.083
2016/12/13,0.313
2016/12/14,-0.115
2016/12/15,2.066
2016/12/16,-0.412
2016/12/17,-0.67
2016/12/18,0.033
2016/12/19,-0.547
2016/12/20,0.016
2016/12/21,0.165
2016/12/22,0.756
2016/12/23,2.032
2016/12/24,1.832
2016/12/25,-0.506
2016/12/26,-0.561
2016/12/27,1.184
2016/12/28,0.231
2016/12/29,-2.072
2016/12/30,-1.798
2016/12/31,0.217
2017/01/01,0.262
2017/01/02,0.132
2017/01/03,-0.613
2017/01/04,-1.384
2017/01/05,-0.148
2017/01/06,0.899
2017/01/07,-1.883
2017/01/08,0.609
2017/01/09,-0.395
2017/01/10,0.083
2017/01/11,1.554
2017/01/12,0.578
2017/01/13,-1.589
2017/01/14,0.676
2017/01/15,-0.181
2017/01/16,0.496
2017/01/17,0.467
2017/01/18,-0.297
2017/01/19,-1.656
2017/01/20,2.398
2017/01/21,0.347
2017/01/22,0.33
2017/01/23,0.066
2017/01/24,-0.58
2017/01/25,0.915
2017/01/26,1.266
2017/01/27,-0.368
2017/01/28,-0.28
2017/01/29,1.762
2017/01/30,-0.755
2017/01/31,0.316
2017/02/01,0.017
2017/02/02,0.562
2017/02/03,-0.083
2017/02/04,-0.247
2017/02/05,-1.925
2017/02/06,0.727
2017/02/07,0.333
2017/02/08,-0.956
2017/02/09,0.299
2017/02/10,-0.828
2017/02/11,0.662
2017/02/12,0.297
2017/02/13,-0.329
2017/02/14,-0.415
2017/02/15,-0.361
2017/02/16,-0.38
2017/02/17,0.466
2017/02/18,0.65
2017/02/19,0.665
2017/02/20,0.914
2017/02/21,-0.479
2017/02/22,2.027
2017/02/23,0.548
2017/02/24,0.017
2017/02/25,-0.662
2017/02/26,-1.15
2017/02/27,0.451
2017/02/28,-0.901
2017/03/01,0.168
2017/03/02,-0.693
2017/03/03,0.083
2017/03/04,0.902
2017/03/05,0.263
2017/03/06,0.184
2017/03/07,2.158
2017/03/08,-0.964
2017/03/09,2.244
2017/03/10,0.907
2017/03/11,-0.283
2017/03/12,2.602
2017/03/13,-1.043
2017/03/14,0.285
2017/03/15,0.501
2017/03/16,-1.035
2017/03/17,-1.555
2017/03/18,0.184
2017/03/19,-0.521
2017/03/20,-0.429
2017/03/21,0.067
2017/03/22,-0.366
2017/03/23,1.285
2017/03/24,2.249
2017/03/25,0.486
2017/03/26,-0.518
