Date,fee_to_reward14trxUSD
2016/01/01,3.135
2016/01/02,2.516
2016/01/03,1.896
2016/01/04,1.318
2016/01/05,1.035
2016/01/06,0.99
2016/01/07,1.095
2016/01/08,1.029
2016/01/09,0.941
2016/01/10,0.765
2016/01/11,0.539
2016/01/12,0.298
2016/01/13,0.268
2016/01/14,0.167
2016/01/15,0.001
2016/01/16,-0.2
2016/01/17,-0.451
2016/01/18,-0.635
2016/01/19,-0.732
2016/01/20,-0.877
2016/01/21,-1.035
2016/01/22,-1.125
2016/01/23,-1.252
2016/01/24,-1.363
2016/01/25,-1.331
2016/01/26,-1.229
2016/01/27,-0.938
2016/01/28,-0.644
2016/01/29,-0.385
2016/01/30,-0.181
2016/01/31,-0.027
2016/02/01,0.067
2016/02/02,0.103
2016/02/03,0.076
2016/02/04,0.05
2016/02/05,0.06
2016/02/06,0.716
2016/02/07,1.194
2016/02/08,1.446
2016/02/09,1.626
2016/02/10,1.809
2016/02/11,1.891
2016/02/12,1.818
2016/02/13,1.666
2016/02/14,1.422
2016/02/15,1.152
2016/02/16,0.892
2016/02/17,0.698
2016/02/18,0.482
2016/02/19,0.303
2016/02/20,0.096
2016/02/21,-0.112
2016/02/22,-0.287
2016/02/23,-0.058
2016/02/24,0.17
2016/02/25,0.261
2016/02/26,0.372
2016/02/27,0.361
2016/02/28,0.273
2016/02/29,0.172
2016/03/01,0.062
2016/03/02,-0.023
2016/03/03,-0.102
2016/03/04,-0.179
2016/03/05,-0.256
2016/03/06,-0.296
2016/03/07,-0.361
2016/03/08,-0.43
2016/03/09,-0.529
2016/03/10,-0.681
2016/03/11,-0.868
2016/03/12,-1.037
2016/03/13,-1.183
2016/03/14,-1.288
2016/03/15,-1.406
2016/03/16,-1.529
2016/03/17,-1.611
2016/03/18,-1.676
2016/03/19,-1.636
2016/03/20,-1.566
2016/03/21,-1.492
2016/03/22,-1.456
2016/03/23,-1.403
2016/03/24,-1.29
2016/03/25,-1.142
2016/03/26,-1.009
2016/03/27,-0.986
2016/03/28,-0.99
2016/03/29,-1.027
2016/03/30,-1.009
2016/03/31,-1.02
2016/04/01,-1.055
2016/04/02,-1.142
2016/04/03,-1.262
2016/04/04,-1.352
2016/04/05,-1.388
2016/04/06,-1.43
2016/04/07,-1.473
2016/04/08,-1.49
2016/04/09,-1.518
2016/04/10,-1.56
2016/04/11,-1.609
2016/04/12,-1.626
2016/04/13,-1.541
2016/04/14,-1.396
2016/04/15,-1.281
2016/04/16,-1.238
2016/04/17,-1.14
2016/04/18,-1.089
2016/04/19,-1.075
2016/04/20,-1.046
2016/04/21,-0.948
2016/04/22,-0.892
2016/04/23,-0.874
2016/04/24,-0.855
2016/04/25,-0.825
2016/04/26,-0.802
2016/04/27,-0.796
2016/04/28,-0.781
2016/04/29,-0.75
2016/04/30,-0.629
2016/05/01,-0.398
2016/05/02,-0.202
2016/05/03,-0.043
2016/05/04,0.09
2016/05/05,0.233
2016/05/06,0.412
2016/05/07,0.501
2016/05/08,0.57
2016/05/09,0.596
2016/05/10,0.606
2016/05/11,0.644
2016/05/12,0.755
2016/05/13,0.939
2016/05/14,1.091
2016/05/15,1.174
2016/05/16,1.176
2016/05/17,1.125
2016/05/18,1.097
2016/05/19,1.071
2016/05/20,1.083
2016/05/21,1.098
2016/05/22,1.052
2016/05/23,0.974
2016/05/24,0.87
2016/05/25,0.783
2016/05/26,0.735
2016/05/27,0.727
2016/05/28,1.018
2016/05/29,1.215
2016/05/30,1.285
2016/05/31,1.265
2016/06/01,1.183
2016/06/02,1.025
2016/06/03,0.821
2016/06/04,0.589
2016/06/05,0.352
2016/06/06,0.13
2016/06/07,0.226
2016/06/08,0.244
2016/06/09,0.213
2016/06/10,0.159
2016/06/11,0.073
2016/06/12,-0.015
2016/06/13,-0.046
2016/06/14,-0.028
2016/06/15,-0.031
2016/06/16,0.024
2016/06/17,1.328
2016/06/18,3.57
2016/06/19,4.817
2016/06/20,5.325
2016/06/21,5.469
2016/06/22,5.244
2016/06/23,4.72
2016/06/24,4.095
2016/06/25,3.395
2016/06/26,2.682
2016/06/27,2.001
2016/06/28,1.39
2016/06/29,0.964
2016/06/30,0.812
2016/07/01,0.64
2016/07/02,0.372
2016/07/03,0.083
2016/07/04,-0.223
2016/07/05,-0.511
2016/07/06,-0.78
2016/07/07,-1.037
2016/07/08,-1.216
2016/07/09,-1.297
