Date,transactionfeesUSD
2016/09/23,0.0185
2016/09/24,0.0213
2016/09/25,0.0225
2016/09/26,0.0343
2016/09/27,0.0275
2016/09/28,0.0211
2016/09/29,0.0134
2016/09/30,0.0148
2016/10/01,0.0226
2016/10/02,0.0226
2016/10/03,0.0183
2016/10/04,0.0201
2016/10/05,0.0203
2016/10/06,0.0176
2016/10/07,0.0156
2016/10/08,0.0183
2016/10/09,0.0167
2016/10/10,0.0144
2016/10/11,0.0114
2016/10/12,0.0174
2016/10/13,0.0417
2016/10/14,0.0214
2016/10/15,0.0243
2016/10/16,0.0229
2016/10/17,0.0223
2016/10/18,0.0232
2016/10/19,0.0295
2016/10/20,0.0153
2016/10/21,0.00876
2016/10/22,0.00883
2016/10/23,0.00893
2016/10/24,0.011
2016/10/25,0.0104
2016/10/26,0.00899
2016/10/27,0.00857
2016/10/28,0.00972
2016/10/29,0.00828
2016/10/30,0.00825
2016/10/31,0.00826
2016/11/01,0.00897
2016/11/02,0.0073
2016/11/03,0.00764
2016/11/04,0.0073
2016/11/05,0.00721
2016/11/06,0.00743
2016/11/07,0.00753
2016/11/08,0.00819
2016/11/09,0.00915
2016/11/10,0.0093
2016/11/11,0.0112
2016/11/12,0.00759
2016/11/13,0.00782
2016/11/14,0.00874
2016/11/15,0.00821
2016/11/16,0.0085
2016/11/17,0.00744
2016/11/18,0.00767
2016/11/19,0.00682
2016/11/20,0.0074
2016/11/21,0.00789
2016/11/22,0.00702
2016/11/23,0.0125
2016/11/24,0.0151
2016/11/25,0.00965
2016/11/26,0.0166
2016/11/27,0.0234
2016/11/28,0.0222
2016/11/29,0.0177
2016/11/30,0.00757
2016/12/01,0.00618
2016/12/02,0.00536
2016/12/03,0.00493
2016/12/04,0.00507
2016/12/05,0.00542
2016/12/06,0.00492
2016/12/07,0.00648
2016/12/08,0.17
2016/12/09,0.00633
2016/12/10,0.00592
2016/12/11,0.00768
2016/12/12,0.00671
2016/12/13,0.00581
2016/12/14,0.00615
2016/12/15,0.00594
2016/12/16,0.00544
2016/12/17,0.00634
2016/12/18,0.00591
2016/12/19,0.00617
2016/12/20,0.00754
2016/12/21,0.00833
2016/12/22,0.00535
2016/12/23,0.0049
2016/12/24,0.00495
2016/12/25,0.00476
2016/12/26,0.00482
2016/12/27,0.00615
2016/12/28,0.00523
2016/12/29,0.00708
2016/12/30,0.00827
2016/12/31,0.00555
2017/01/01,0.00537
2017/01/02,0.0058
2017/01/03,0.00773
2017/01/04,0.00814
2017/01/05,0.00736
2017/01/06,0.00715
2017/01/07,0.00676
2017/01/08,0.00772
2017/01/09,0.00811
2017/01/10,0.00835
2017/01/11,0.00769
2017/01/12,0.00697
2017/01/13,0.00675
2017/01/14,0.00657
2017/01/15,0.00699
2017/01/16,0.00688
2017/01/17,0.00843
2017/01/18,0.00769
2017/01/19,0.00734
2017/01/20,0.00773
2017/01/21,0.00758
2017/01/22,0.00812
2017/01/23,0.00813
2017/01/24,0.00865
2017/01/25,0.00855
2017/01/26,0.00817
2017/01/27,0.00791
2017/01/28,0.00773
2017/01/29,0.00752
2017/01/30,0.00756
2017/01/31,0.00774
2017/02/01,0.00909
2017/02/02,0.00862
2017/02/03,0.00854
2017/02/04,0.00814
2017/02/05,0.00837
2017/02/06,0.0085
2017/02/07,0.0101
2017/02/08,0.00968
2017/02/09,0.00942
2017/02/10,0.00973
2017/02/11,0.00933
2017/02/12,0.0101
2017/02/13,0.0123
2017/02/14,0.0105
2017/02/15,0.0209
2017/02/16,0.01
2017/02/17,0.01
2017/02/18,0.0115
2017/02/19,0.00959
2017/02/20,0.0104
2017/02/21,0.0118
2017/02/22,0.0128
2017/02/23,0.0116
2017/02/24,0.00996
2017/02/25,0.0112
2017/02/26,0.0105
2017/02/27,0.0125
2017/02/28,0.0133
2017/03/01,0.0146
2017/03/02,0.014
2017/03/03,0.0142
2017/03/04,0.014
2017/03/05,0.0143
2017/03/06,0.0141
2017/03/07,0.0134
2017/03/08,0.013
2017/03/09,0.0134
2017/03/10,0.0155
2017/03/11,0.0146
2017/03/12,0.0162
2017/03/13,0.0254
2017/03/14,0.0275
2017/03/15,0.0239
2017/03/16,0.0313
2017/03/17,0.0383
2017/03/18,0.0263
