Date,activeaddresses90wma
2016/11/14,24778
2016/11/15,24726
2016/11/16,24638
2016/11/17,24550
2016/11/18,24486
2016/11/19,24403
2016/11/20,24338
2016/11/21,24267
2016/11/22,24506
2016/11/23,24950
2016/11/24,24823
2016/11/25,24990
2016/11/26,24844
2016/11/27,24732
2016/11/28,24654
2016/11/29,24541
2016/11/30,24463
2016/12/01,24350
2016/12/02,24292
2016/12/03,24249
2016/12/04,24184
2016/12/05,24111
2016/12/06,24120
2016/12/07,24023
2016/12/08,23935
2016/12/09,23882
2016/12/10,23794
2016/12/11,23722
2016/12/12,23672
2016/12/13,23584
2016/12/14,23547
2016/12/15,23537
2016/12/16,23496
2016/12/17,23427
2016/12/18,23326
2016/12/19,23316
2016/12/20,23317
2016/12/21,23304
2016/12/22,23433
2016/12/23,23426
2016/12/24,23370
2016/12/25,23270
2016/12/26,23170
2016/12/27,23094
2016/12/28,23039
2016/12/29,23007
2016/12/30,22960
2016/12/31,22938
2017/01/01,22849
2017/01/02,22802
2017/01/03,22759
2017/01/04,22832
2017/01/05,22912
2017/01/06,22949
2017/01/07,22951
2017/01/08,22923
2017/01/09,22957
2017/01/10,22953
2017/01/11,22967
2017/01/12,22981
2017/01/13,22958
2017/01/14,22909
2017/01/15,22868
2017/01/16,22885
2017/01/17,22898
2017/01/18,22876
2017/01/19,22869
2017/01/20,22891
2017/01/21,22878
2017/01/22,22863
2017/01/23,22852
2017/01/24,22870
2017/01/25,22847
2017/01/26,22830
2017/01/27,22809
2017/01/28,22780
2017/01/29,22741
2017/01/30,22735
2017/01/31,22720
2017/02/01,22722
2017/02/02,22730
2017/02/03,22722
2017/02/04,22745
2017/02/05,22778
2017/02/06,22796
2017/02/07,22811
2017/02/08,22839
2017/02/09,22867
2017/02/10,22917
2017/02/11,22907
2017/02/12,22922
2017/02/13,23020
2017/02/14,23124
2017/02/15,23233
2017/02/16,23308
2017/02/17,23374
2017/02/18,23464
2017/02/19,23507
2017/02/20,23591
2017/02/21,23667
2017/02/22,23739
2017/02/23,23798
2017/02/24,23931
2017/02/25,24022
2017/02/26,24113
2017/02/27,24249
2017/02/28,24487
2017/03/01,24738
2017/03/02,25177
2017/03/03,25496
2017/03/04,25730
2017/03/05,25928
2017/03/06,26165
2017/03/07,26336
2017/03/08,26518
2017/03/09,26785
2017/03/10,27035
2017/03/11,27307
2017/03/12,27645
2017/03/13,28258
2017/03/14,28702
2017/03/15,29189
2017/03/16,30106
2017/03/17,30985
2017/03/18,31594
2017/03/19,32042
2017/03/20,32511
2017/03/21,32980
2017/03/22,33373
2017/03/23,33756
2017/03/24,34319
2017/03/25,34788
2017/03/26,35131
2017/03/27,35578
2017/03/28,35981
2017/03/29,36413
2017/03/30,37057
2017/03/31,37849
2017/04/01,38180
2017/04/02,38662
2017/04/03,39369
2017/04/04,39813
2017/04/05,40251
2017/04/06,40891
2017/04/07,41220
2017/04/08,41417
2017/04/09,41574
2017/04/10,41825
2017/04/11,42044
2017/04/12,42334
2017/04/13,42673
2017/04/14,42961
2017/04/15,43169
2017/04/16,43240
2017/04/17,43376
2017/04/18,43679
2017/04/19,43980
2017/04/20,44350
2017/04/21,44520
2017/04/22,44653
2017/04/23,44815
2017/04/24,45089
2017/04/25,45327
2017/04/26,45721
2017/04/27,46387
2017/04/28,46876
2017/04/29,47259
2017/04/30,47702
2017/05/01,48362
2017/05/02,48940
2017/05/03,49353
2017/05/04,50104
2017/05/05,50799
2017/05/06,51224
2017/05/07,51829
2017/05/08,52664
2017/05/09,53358
2017/05/10,53959
2017/05/11,54673
2017/05/12,55174
2017/05/13,55481
2017/05/14,55889
2017/05/15,56522
2017/05/16,57134
2017/05/17,57610
2017/05/18,58482
2017/05/19,59754
2017/05/20,60360
2017/05/21,61199
2017/05/22,62509
2017/05/23,63991
2017/05/24,65430
2017/05/25,66840
2017/05/26,68049
2017/05/27,68868
2017/05/28,69616
2017/05/29,70506
2017/05/30,71614
2017/05/31,72950
2017/06/01,74622
2017/06/02,75790
2017/06/03,76926
2017/06/04,78068
2017/06/05,79385
2017/06/06,80940
2017/06/07,82357
2017/06/08,83583
2017/06/09,85184
