Date,activeaddresses90rsi
2016/10/16,48.989
2016/10/17,49.876
2016/10/18,51.423
2016/10/19,48.754
2016/10/20,51.242
2016/10/21,52.752
2016/10/22,50.32
2016/10/23,50.026
2016/10/24,50.471
2016/10/25,50.4
2016/10/26,50.452
2016/10/27,50.401
2016/10/28,50.425
2016/10/29,49.899
2016/10/30,49.278
2016/10/31,51.098
2016/11/01,50.726
2016/11/02,50.819
2016/11/03,50.386
2016/11/04,48.463
2016/11/05,49.719
2016/11/06,49.048
2016/11/07,50.137
2016/11/08,49.824
2016/11/09,49.996
2016/11/10,49.377
2016/11/11,50.037
2016/11/12,49.667
2016/11/13,50.162
2016/11/14,49.404
2016/11/15,49.862
2016/11/16,49.44
2016/11/17,49.43
2016/11/18,49.691
2016/11/19,49.456
2016/11/20,49.662
2016/11/21,49.579
2016/11/22,52.991
2016/11/23,55.08
2016/11/24,49.085
2016/11/25,51.813
2016/11/26,48.973
2016/11/27,49.267
2016/11/28,49.558
2016/11/29,49.24
2016/11/30,49.526
2016/12/01,49.197
2016/12/02,49.684
2016/12/03,49.81
2016/12/04,49.6
2016/12/05,49.51
2016/12/06,50.262
2016/12/07,49.284
2016/12/08,49.35
2016/12/09,49.651
2016/12/10,49.322
2016/12/11,49.46
2016/12/12,49.656
2016/12/13,49.278
2016/12/14,49.756
2016/12/15,49.993
2016/12/16,49.696
2016/12/17,49.403
2016/12/18,49.079
2016/12/19,49.959
2016/12/20,50.039
2016/12/21,49.886
2016/12/22,51.26
2016/12/23,49.946
2016/12/24,49.471
2016/12/25,49.054
2016/12/26,49.031
2016/12/27,49.256
2016/12/28,49.46
2016/12/29,49.665
2016/12/30,49.521
2016/12/31,49.757
2017/01/01,49.073
2017/01/02,49.493
2017/01/03,49.524
2017/01/04,50.698
2017/01/05,50.787
2017/01/06,50.336
2017/01/07,49.982
2017/01/08,49.673
2017/01/09,50.279
2017/01/10,49.9
2017/01/11,50.094
2017/01/12,50.138
2017/01/13,49.743
2017/01/14,49.493
2017/01/15,49.578
2017/01/16,50.185
2017/01/17,50.142
2017/01/18,49.773
2017/01/19,49.922
2017/01/20,50.202
2017/01/21,49.822
2017/01/22,49.791
2017/01/23,49.83
2017/01/24,50.152
2017/01/25,49.682
2017/01/26,49.73
2017/01/27,49.694
2017/01/28,49.578
2017/01/29,49.476
2017/01/30,49.845
2017/01/31,49.725
2017/02/01,49.909
2017/02/02,49.986
2017/02/03,49.801
2017/02/04,50.169
2017/02/05,50.317
2017/02/06,50.119
2017/02/07,50.093
2017/02/08,50.257
2017/02/09,50.249
2017/02/10,50.538
2017/02/11,49.783
2017/02/12,50.081
2017/02/13,51.149
2017/02/14,51.233
2017/02/15,51.319
2017/02/16,50.891
2017/02/17,50.777
2017/02/18,51.093
2017/02/19,50.49
2017/02/20,51.031
2017/02/21,50.898
2017/02/22,50.769
2017/02/23,50.62
2017/02/24,51.578
2017/02/25,51.022
2017/02/26,51.045
2017/02/27,51.664
2017/02/28,53
2017/03/01,53.204
2017/03/02,55.497
2017/03/03,53.899
2017/03/04,52.811
2017/03/05,52.372
2017/03/06,52.867
2017/03/07,52.03
2017/03/08,52.188
2017/03/09,53.25
2017/03/10,53.066
2017/03/11,53.366
2017/03/12,54.185
2017/03/13,57.215
2017/03/14,55.102
2017/03/15,55.596
2017/03/16,59.699
2017/03/17,59.345
2017/03/18,56.223
2017/03/19,54.521
2017/03/20,54.756
2017/03/21,54.818
2017/03/22,54.052
2017/03/23,53.986
2017/03/24,55.682
2017/03/25,54.741
2017/03/26,53.478
2017/03/27,54.469
2017/03/28,54.083
2017/03/29,54.399
2017/03/30,56.292
2017/03/31,57.56
2017/04/01,53.091
2017/04/02,54.344
2017/04/03,56.113
2017/04/04,53.831
2017/04/05,53.841
2017/04/06,55.361
2017/04/07,52.809
2017/04/08,51.803
2017/04/09,51.523
2017/04/10,52.242
2017/04/11,52.044
2017/04/12,52.597
2017/04/13,52.996
2017/04/14,52.638
2017/04/15,52.048
2017/04/16,51.002
2017/04/17,51.517
2017/04/18,52.773
2017/04/19,52.804
2017/04/20,53.355
2017/04/21,51.813
2017/04/22,51.567
2017/04/23,51.824
2017/04/24,52.669
2017/04/25,52.442
2017/04/26,53.594
2017/04/27,55.485
2017/04/28,54.17
2017/04/29,53.432
2017/04/30,53.888
2017/05/01,55.35
2017/05/02,54.807
2017/05/03,53.631
2017/05/04,55.79
2017/05/05,55.472
2017/05/06,53.59
2017/05/07,54.733
2017/05/08,56.123
2017/05/09,55.219
2017/05/10,54.665
2017/05/11,55.383
2017/05/12,54.002
2017/05/13,52.797
2017/05/14,53.436
2017/05/15,54.748
2017/05/16,54.691
2017/05/17,53.868
2017/05/18,56.059
2017/05/19,58.11
2017/05/20,54.14
2017/05/21,55.316
2017/05/22,57.497
2017/05/23,58.315
2017/05/24,58.204
2017/05/25,58.163
2017/05/26,57.117
2017/05/27,55.046
2017/05/28,54.751
2017/05/29,55.455
2017/05/30,56.466
2017/05/31,57.494
2017/06/01,58.915
2017/06/02,56.347
2017/06/03,56.291
2017/06/04,56.392
2017/06/05,57.177
2017/06/06,58.188
2017/06/07,57.596
2017/06/08,56.72
2017/06/09,58.239
2017/06/10,58.725
2017/06/11,60.18
2017/06/12,63.248
2017/06/13,62.103
2017/06/14,60.017
2017/06/15,60.501
2017/06/16,58.398
2017/06/17,58.041
2017/06/18,58.46
2017/06/19,59.911
2017/06/20,59.862
2017/06/21,56.644
2017/06/22,59.832
2017/06/23,59.47
2017/06/24,57.551
2017/06/25,55.526
2017/06/26,60.206
2017/06/27,56.177
2017/06/28,56.497
2017/06/29,56.109
2017/06/30,55.745
2017/07/01,55.268
2017/07/02,55.394
2017/07/03,56.93
2017/07/04,56.384
2017/07/05,55.464
2017/07/06,55.254
2017/07/07,56.679
2017/07/08,53.845
2017/07/09,53.253
2017/07/10,55.819
2017/07/11,55.396
2017/07/12,54.996
2017/07/13,53.597
2017/07/14,53.628
2017/07/15,53.177
2017/07/16,53.47
2017/07/17,53.611
2017/07/18,54.296
2017/07/19,54.413
2017/07/20,54.043
2017/07/21,53.43
2017/07/22,52.002
2017/07/23,54.218
2017/07/24,53.378
2017/07/25,53.012
2017/07/26,52.348
2017/07/27,52.716
2017/07/28,53.068
2017/07/29,51.615
2017/07/30,52.068
2017/07/31,53.935
2017/08/01,52.073
2017/08/02,52.504
2017/08/03,52.308
2017/08/04,53.142
2017/08/05,53.125
2017/08/06,52.995
2017/08/07,53.705
2017/08/08,55.064
2017/08/09,53.793
2017/08/10,55.348
2017/08/11,55.511
2017/08/12,54.666
2017/08/13,54.471
2017/08/14,57.108
2017/08/15,56.789
2017/08/16,56.831
2017/08/17,57.151
2017/08/18,57.686
2017/08/19,54.886
2017/08/20,53.137
2017/08/21,55.232
2017/08/22,53.989
2017/08/23,54.916
2017/08/24,53.843
2017/08/25,54.261
2017/08/26,52.189
2017/08/27,52.515
2017/08/28,53.772
2017/08/29,54.865
2017/08/30,55.106
2017/08/31,55.391
2017/09/01,54.684
2017/09/02,53.07
2017/09/03,52.082
2017/09/04,55.664
2017/09/05,55.288
2017/09/06,55.902
2017/09/07,54.379
2017/09/08,54.64
2017/09/09,53.246
2017/09/10,51.933
2017/09/11,53.013
2017/09/12,54.272
2017/09/13,52.871
2017/09/14,53.66
2017/09/15,54.896
2017/09/16,52.228
2017/09/17,50.895
2017/09/18,52.721
2017/09/19,51.969
2017/09/20,51.648
2017/09/21,51.342
2017/09/22,50.346
2017/09/23,50.16
2017/09/24,50.478
2017/09/25,51.064
2017/09/26,50.785
2017/09/27,51.001
2017/09/28,51.456
2017/09/29,51.583
2017/09/30,50.689
2017/10/01,50.247
2017/10/02,51.017
2017/10/03,51.254
2017/10/04,50.705
2017/10/05,50.881
2017/10/06,50.821
2017/10/07,50.449
2017/10/08,50.614
2017/10/09,50.927
2017/10/10,51.969
2017/10/11,51.657
2017/10/12,51.783
2017/10/13,52.731
2017/10/14,51.272
2017/10/15,50.953
2017/10/16,51.061
2017/10/17,52.778
2017/10/18,51.908
2017/10/19,51.623
2017/10/20,52.305
2017/10/21,51.949
2017/10/22,52.427
2017/10/23,52.245
2017/10/24,52.436
2017/10/25,51.611
2017/10/26,51.897
2017/10/27,51.792
2017/10/28,44.784
2017/10/29,44.784
2017/10/30,44.784
2017/10/31,52.338
2017/11/01,52.712
2017/11/02,53.56
2017/11/03,52.19
2017/11/04,50.758
2017/11/05,50.632
2017/11/06,51.601
2017/11/07,51.663
2017/11/08,52.199
2017/11/09,52.354
2017/11/10,52.255
2017/11/11,51.22
2017/11/12,52.169
2017/11/13,51.843
2017/11/14,52.474
2017/11/15,53.495
2017/11/16,52.474
2017/11/17,52.934
2017/11/18,51.875
2017/11/19,52.014
2017/11/20,52.919
2017/11/21,53.054
2017/11/22,53.192
2017/11/23,53.172
2017/11/24,52.911
2017/11/25,52.806
2017/11/26,52.888
2017/11/27,54.476
2017/11/28,54.978
2017/11/29,55.83
2017/11/30,55.154
2017/12/01,54.15
2017/12/02,54.338
2017/12/03,55.126
2017/12/04,55.252
2017/12/05,54.959
2017/12/06,58.579
2017/12/07,53.84
2017/12/08,55.033
2017/12/09,54.358
2017/12/10,53.935
2017/12/11,55.81
2017/12/12,56.849
2017/12/13,57.7
2017/12/14,58.494
2017/12/15,57.09
2017/12/16,56.7
2017/12/17,56.683
2017/12/18,58.492
2017/12/19,59.995
2017/12/20,59.118
2017/12/21,60.179
2017/12/22,60.321
2017/12/23,56.418
2017/12/24,53.616
2017/12/25,53.683
2017/12/26,54.611
2017/12/27,55.651
2017/12/28,56.156
2017/12/29,58.201
2017/12/30,59.251
2017/12/31,55.074
2018/01/01,54.836
2018/01/02,57.678
2018/01/03,59.006
2018/01/04,60.595
2018/01/05,59.228
2018/01/06,58.095
2018/01/07,56.675
2018/01/08,57.446
2018/01/09,58.118
2018/01/10,57.159
2018/01/11,57.235
2018/01/12,55.944
2018/01/13,56.291
2018/01/14,55.064
2018/01/15,56.686
2018/01/16,57.365
2018/01/17,57.287
2018/01/18,56.39
2018/01/19,53.723
2018/01/20,52.454
2018/01/21,53.788
2018/01/22,53.134
2018/01/23,52.562
2018/01/24,52.262
2018/01/25,50.532
2018/01/26,52.517
2018/01/27,51.344
2018/01/28,51.677
2018/01/29,52.293
