Date,mediantransactionvalue30trxUSD
2016/01/01,-1.146
2016/01/02,-1.159
2016/01/03,-1.161
2016/01/04,-1.156
2016/01/05,-1.167
2016/01/06,-1.191
2016/01/07,-1.227
2016/01/08,-1.251
2016/01/09,-1.266
2016/01/10,-1.267
2016/01/11,-1.259
2016/01/12,-1.237
2016/01/13,-1.233
2016/01/14,-1.218
2016/01/15,-1.184
2016/01/16,-1.138
2016/01/17,-1.08
2016/01/18,-1.014
2016/01/19,-0.96
2016/01/20,-0.881
2016/01/21,-0.786
2016/01/22,-0.691
2016/01/23,-0.577
2016/01/24,-0.439
2016/01/25,-0.296
2016/01/26,-0.139
2016/01/27,-0.017
2016/01/28,0.113
2016/01/29,0.249
2016/01/30,0.394
2016/01/31,0.543
2016/02/01,0.685
2016/02/02,0.816
2016/02/03,0.945
2016/02/04,1.07
2016/02/05,1.187
2016/02/06,1.235
2016/02/07,1.295
2016/02/08,1.373
2016/02/09,1.473
2016/02/10,1.623
2016/02/11,1.796
2016/02/12,2.022
2016/02/13,2.246
2016/02/14,2.462
2016/02/15,2.67
2016/02/16,2.854
2016/02/17,2.99
2016/02/18,3.09
2016/02/19,3.163
2016/02/20,3.213
2016/02/21,3.244
2016/02/22,3.267
2016/02/23,3.289
2016/02/24,3.308
2016/02/25,3.328
2016/02/26,3.337
2016/02/27,3.341
2016/02/28,3.347
2016/02/29,3.349
2016/03/01,3.351
2016/03/02,3.363
2016/03/03,3.394
2016/03/04,3.432
2016/03/05,3.507
2016/03/06,3.585
2016/03/07,3.654
2016/03/08,3.703
2016/03/09,3.739
2016/03/10,3.783
2016/03/11,3.809
2016/03/12,3.841
2016/03/13,3.877
2016/03/14,3.909
2016/03/15,3.925
2016/03/16,3.929
2016/03/17,3.909
2016/03/18,3.859
2016/03/19,3.784
2016/03/20,3.69
2016/03/21,3.587
2016/03/22,3.479
2016/03/23,3.372
2016/03/24,3.26
2016/03/25,3.142
2016/03/26,3.022
2016/03/27,2.902
2016/03/28,2.786
2016/03/29,2.674
2016/03/30,2.569
2016/03/31,2.468
2016/04/01,2.371
2016/04/02,2.277
2016/04/03,2.186
2016/04/04,2.098
2016/04/05,2.009
2016/04/06,1.921
2016/04/07,1.833
2016/04/08,1.745
2016/04/09,1.656
2016/04/10,1.565
2016/04/11,1.472
2016/04/12,1.376
2016/04/13,1.279
2016/04/14,1.184
2016/04/15,1.092
2016/04/16,1.003
2016/04/17,0.915
2016/04/18,0.833
2016/04/19,0.757
2016/04/20,0.685
2016/04/21,0.617
2016/04/22,0.551
2016/04/23,0.487
2016/04/24,0.427
2016/04/25,0.368
2016/04/26,0.311
2016/04/27,0.256
2016/04/28,0.202
2016/04/29,0.151
2016/04/30,0.104
2016/05/01,0.062
2016/05/02,0.028
2016/05/03,0.001
2016/05/04,-0.021
2016/05/05,-0.038
2016/05/06,-0.051
2016/05/07,-0.062
2016/05/08,-0.07
2016/05/09,-0.075
2016/05/10,-0.079
2016/05/11,-0.081
2016/05/12,-0.079
2016/05/13,-0.072
2016/05/14,-0.063
2016/05/15,-0.053
2016/05/16,-0.04
2016/05/17,-0.023
2016/05/18,0.003
2016/05/19,0.037
2016/05/20,0.078
2016/05/21,0.123
2016/05/22,0.172
2016/05/23,0.223
2016/05/24,0.273
2016/05/25,0.318
2016/05/26,0.343
2016/05/27,0.363
2016/05/28,0.352
2016/05/29,0.331
2016/05/30,0.318
2016/05/31,0.312
2016/06/01,0.316
2016/06/02,0.326
2016/06/03,0.341
2016/06/04,0.348
2016/06/05,0.36
2016/06/06,0.376
2016/06/07,0.377
2016/06/08,0.385
2016/06/09,0.398
2016/06/10,0.413
2016/06/11,0.429
2016/06/12,0.44
2016/06/13,0.461
2016/06/14,0.489
2016/06/15,0.526
2016/06/16,0.574
2016/06/17,0.591
2016/06/18,0.591
2016/06/19,0.581
2016/06/20,0.56
2016/06/21,0.539
2016/06/22,0.524
2016/06/23,0.511
2016/06/24,0.485
2016/06/25,0.466
2016/06/26,0.437
2016/06/27,0.415
2016/06/28,0.398
2016/06/29,0.361
2016/06/30,0.304
2016/07/01,0.255
2016/07/02,0.215
2016/07/03,0.181
2016/07/04,0.152
2016/07/05,0.125
2016/07/06,0.1
2016/07/07,0.076
2016/07/08,0.048
2016/07/09,0.023
2016/07/10,0.002
2016/07/11,-0.017
2016/07/12,-0.036
2016/07/13,-0.052
2016/07/14,-0.076
2016/07/15,-0.093
2016/07/16,-0.116
2016/07/17,-0.133
2016/07/18,-0.145
2016/07/19,-0.152
2016/07/20,-0.177
2016/07/21,-0.198
2016/07/22,-0.207
2016/07/23,-0.207
2016/07/24,-0.198
2016/07/25,-0.183
