Date,difficulty90roc
2016/01/01,35.872
2016/01/02,31.289
2016/01/03,32.266
2016/01/04,32.784
2016/01/05,38.812
2016/01/06,40.9
2016/01/07,34.094
2016/01/08,37.649
2016/01/09,37.353
2016/01/10,35.667
2016/01/11,38.88
2016/01/12,37.138
2016/01/13,36.627
2016/01/14,50.223
2016/01/15,49.831
2016/01/16,54.042
2016/01/17,53.135
2016/01/18,62.022
2016/01/19,62.342
2016/01/20,64.163
2016/01/21,63.273
2016/01/22,57.388
2016/01/23,52.65
2016/01/24,54.918
2016/01/25,57.911
2016/01/26,54.997
2016/01/27,53.693
2016/01/28,40.655
2016/01/29,39.655
2016/01/30,39.784
2016/01/31,39.093
2016/02/01,48.886
2016/02/02,37.863
2016/02/03,43.188
2016/02/04,46.384
2016/02/05,48.03
2016/02/06,40.957
2016/02/07,42.51
2016/02/08,48.71
2016/02/09,46.552
2016/02/10,50.517
2016/02/11,52.397
2016/02/12,45.997
2016/02/13,46.466
2016/02/14,50.076
2016/02/15,57.913
2016/02/16,48.5
2016/02/17,44.46
2016/02/18,52.754
2016/02/19,66.454
2016/02/20,70.099
2016/02/21,71.278
2016/02/22,75.242
2016/02/23,83.369
2016/02/24,81.704
2016/02/25,81.718
2016/02/26,81.969
2016/02/27,88.629
2016/02/28,89.404
2016/02/29,89.707
2016/03/01,84.874
2016/03/02,97.539
2016/03/03,99.141
2016/03/04,97.715
2016/03/05,109.792
2016/03/06,126.749
2016/03/07,127.402
2016/03/08,137.98
2016/03/09,129.864
2016/03/10,123.395
2016/03/11,132.216
2016/03/12,131.991
2016/03/13,134.956
2016/03/14,128.836
2016/03/15,105.225
2016/03/16,103.545
2016/03/17,105.462
2016/03/18,109.9
2016/03/19,118.405
2016/03/20,128.166
2016/03/21,120.458
2016/03/22,129.347
2016/03/23,119.011
2016/03/24,131.699
2016/03/25,146.836
2016/03/26,149.328
2016/03/27,157.587
2016/03/28,152.957
2016/03/29,165.57
2016/03/30,167.159
2016/03/31,179.492
2016/04/01,191.492
2016/04/02,182.946
2016/04/03,191.52
2016/04/04,203.952
2016/04/05,205.197
2016/04/06,212.629
2016/04/07,196.785
2016/04/08,209.979
2016/04/09,221.99
2016/04/10,206.788
2016/04/11,203.852
2016/04/12,207.596
2016/04/13,211.874
2016/04/14,206.189
2016/04/15,207.601
2016/04/16,218.492
2016/04/17,198.515
2016/04/18,209.518
2016/04/19,218.991
2016/04/20,214.174
2016/04/21,211.93
2016/04/22,195.673
2016/04/23,204.632
2016/04/24,196.26
2016/04/25,197.096
2016/04/26,191.064
2016/04/27,197.483
2016/04/28,194.253
2016/04/29,200.301
2016/04/30,215.157
2016/05/01,215.864
2016/05/02,202.421
2016/05/03,214.645
2016/05/04,207.423
2016/05/05,203.078
2016/05/06,213.621
2016/05/07,208.454
2016/05/08,198.647
2016/05/09,210.197
2016/05/10,206.218
2016/05/11,190.482
2016/05/12,199.562
2016/05/13,204.319
2016/05/14,194.842
2016/05/15,188.276
2016/05/16,194.391
2016/05/17,186.617
2016/05/18,211.12
2016/05/19,212.355
2016/05/20,212.527
2016/05/21,213.718
2016/05/22,198.246
2016/05/23,192.611
2016/05/24,201.719
2016/05/25,202.169
2016/05/26,198.591
2016/05/27,186.594
2016/05/28,189.767
2016/05/29,192.025
2016/05/30,200.222
2016/05/31,190.77
2016/06/01,169.255
2016/06/02,165.802
2016/06/03,173.124
2016/06/04,159.478
2016/06/05,161.479
2016/06/06,158.851
2016/06/07,158.622
2016/06/08,154.637
2016/06/09,157.776
2016/06/10,138.425
2016/06/11,132.348
2016/06/12,136.066
2016/06/13,179.68
2016/06/14,179.226
2016/06/15,175.705
2016/06/16,171.497
2016/06/17,159.358
2016/06/18,135.204
2016/06/19,156.581
2016/06/20,161.506
2016/06/21,166.432
2016/06/22,157.582
2016/06/23,156.122
2016/06/24,146.528
2016/06/25,143.189
2016/06/26,147.577
2016/06/27,145.656
2016/06/28,144.642
2016/06/29,129.97
2016/06/30,131.582
2016/07/01,134.911
2016/07/02,133.012
2016/07/03,128.745
2016/07/04,123.428
2016/07/05,127.614
2016/07/06,131.549
2016/07/07,120.741
2016/07/08,115.558
2016/07/09,108.233
2016/07/10,116.436
2016/07/11,127.095
2016/07/12,119.272
2016/07/13,117.283
2016/07/14,111.382
2016/07/15,103.291
2016/07/16,107.613
2016/07/17,101.909
2016/07/18,99.049
2016/07/19,100.268
2016/07/20,90.884
2016/07/21,100.948
2016/07/22,93.058
2016/07/23,98.655
2016/07/24,93.224
2016/07/25,84.297
2016/07/26,84.938
2016/07/27,60.464
2016/07/28,70.501
2016/07/29,63.594
2016/07/30,58.562
2016/07/31,68.776
2016/08/01,59.367
2016/08/02,48.676
2016/08/03,43.577
2016/08/04,49.909
2016/08/05,56.387
2016/08/06,53.799
2016/08/07,53.595
2016/08/08,53.517
2016/08/09,62.902
2016/08/10,70.073
2016/08/11,63.303
2016/08/12,62.925
2016/08/13,60.783
2016/08/14,60.259
2016/08/15,63.217
2016/08/16,62.443
2016/08/17,55.534
2016/08/18,52.593
2016/08/19,53.634
2016/08/20,58.384
2016/08/21,56.458
2016/08/22,56.785
2016/08/23,60.324
2016/08/24,56.12
2016/08/25,61.319
2016/08/26,64.001
2016/08/27,58.235
2016/08/28,58.548
2016/08/29,56.352
2016/08/30,62.426
2016/08/31,60.965
2016/09/01,56.907
2016/09/02,55.847
2016/09/03,52.648
2016/09/04,45.482
2016/09/05,46.43
2016/09/06,48.652
2016/09/07,42.459
2016/09/08,46.146
2016/09/09,45.818
2016/09/10,47.208
2016/09/11,44.828
2016/09/12,43.483
2016/09/13,44.075
2016/09/14,46.012
2016/09/15,51.146
2016/09/16,59.015
2016/09/17,52.552
2016/09/18,41.143
2016/09/19,25.805
2016/09/20,46.572
2016/09/21,45.78
2016/09/22,35.103
2016/09/23,35.97
2016/09/24,37.702
2016/09/25,36.455
2016/09/26,35.122
2016/09/27,30.186
2016/09/28,47.964
2016/09/29,51.513
2016/09/30,47.183
2016/10/01,32.132
2016/10/02,32.335
2016/10/03,39.606
2016/10/04,51.634
2016/10/05,40.032
2016/10/06,44.861
2016/10/07,23.956
2016/10/08,30.355
2016/10/09,43.349
2016/10/10,44.68
2016/10/11,49.849
2016/10/12,40.647
2016/10/13,40
2016/10/14,57.005
2016/10/15,60.128
2016/10/16,59.214
2016/10/17,52.596
2016/10/18,57.701
2016/10/19,54.541
2016/10/20,55.758
2016/10/21,68.029
2016/10/22,70.399
2016/10/23,76.324
2016/10/24,76.901
2016/10/25,103.688
2016/10/26,88.164
2016/10/27,89.786
2016/10/28,86.059
2016/10/29,56.08
2016/10/30,40.276
2016/10/31,60.766
2016/11/01,50.825
2016/11/02,26.677
2016/11/03,15.401
2016/11/04,7.839
2016/11/05,-1.069
2016/11/06,-5.771
2016/11/07,3.25
2016/11/08,14.279
2016/11/09,13.941
2016/11/10,4.165
2016/11/11,1.521
2016/11/12,0.944
2016/11/13,8.632
2016/11/14,10.626
2016/11/15,13.255
2016/11/16,11.181
2016/11/17,6.518
2016/11/18,4.714
2016/11/19,14.019
2016/11/20,21.552
2016/11/21,28.425
2016/11/22,23.797
2016/11/23,12.254
2016/11/24,-2.746
2016/11/25,-4.395
2016/11/26,0.319
2016/11/27,-3.85
2016/11/28,-0.836
2016/11/29,-0.07
2016/11/30,-1.858
2016/12/01,0.257
2016/12/02,4.022
2016/12/03,12.724
2016/12/04,11.84
2016/12/05,7.986
2016/12/06,3.793
2016/12/07,7.528
2016/12/08,11.867
2016/12/09,13.697
2016/12/10,13.779
2016/12/11,16.444
2016/12/12,12.873
2016/12/13,13.341
2016/12/14,11.71
2016/12/15,13.612
2016/12/16,11.558
2016/12/17,17.044
2016/12/18,39.522
2016/12/19,18.92
2016/12/20,16.142
2016/12/21,26.342
2016/12/22,21.855
2016/12/23,10.719
2016/12/24,1.935
2016/12/25,4.383
2016/12/26,15.389
2016/12/27,-0.53
2016/12/28,-5.052
2016/12/29,-5.791
2016/12/30,3.528
2016/12/31,6.668
2017/01/01,-2.042
2017/01/02,-6.846
2017/01/03,-0.316
2017/01/04,4.172
2017/01/05,28.878
2017/01/06,20.503
2017/01/07,10
2017/01/08,9.38
2017/01/09,8.581
2017/01/10,17.307
2017/01/11,20.558
2017/01/12,8.68
2017/01/13,6.182
2017/01/14,7.723
2017/01/15,12.461
2017/01/16,12.054
2017/01/17,12.407
2017/01/18,9.941
2017/01/19,4.922
2017/01/20,2.951
2017/01/21,5.88
2017/01/22,7.001
2017/01/23,6.153
2017/01/24,4.868
2017/01/25,5.124
2017/01/26,9.749
2017/01/27,32.54
2017/01/28,46.127
2017/01/29,35.527
2017/01/30,51.28
2017/01/31,74.194
2017/02/01,81.349
2017/02/02,99.249
2017/02/03,111.906
2017/02/04,118.145
2017/02/05,101.645
2017/02/06,77.261
2017/02/07,74.317
2017/02/08,92.287
2017/02/09,99.915
2017/02/10,105.773
2017/02/11,92.927
2017/02/12,85.671
2017/02/13,83.197
2017/02/14,91.302
2017/02/15,94.785
2017/02/16,95.662
2017/02/17,85.239
2017/02/18,72.355
2017/02/19,62.486
2017/02/20,69.081
2017/02/21,85.534
2017/02/22,106.321
2017/02/23,111.818
2017/02/24,103.202
2017/02/25,118.121
2017/02/26,117.892
2017/02/27,118.465
2017/02/28,123.039
2017/03/01,117.052
2017/03/02,114.34
2017/03/03,115.774
2017/03/04,109.715
2017/03/05,122.765
2017/03/06,133.634
2017/03/07,125.32
2017/03/08,123.32
2017/03/09,119.34
2017/03/10,113.552
2017/03/11,111.183
2017/03/12,119.769
2017/03/13,119.199
2017/03/14,120.188
2017/03/15,123.099
2017/03/16,120.892
2017/03/17,128.086
2017/03/18,125.16
2017/03/19,114.694
2017/03/20,120.32
2017/03/21,121.538
2017/03/22,127.701
2017/03/23,156.651
2017/03/24,174.282
2017/03/25,168.197
2017/03/26,167.999
2017/03/27,186.183
2017/03/28,188.805
2017/03/29,196.797
2017/03/30,199.992
2017/03/31,196.201
2017/04/01,199.202
2017/04/02,200.329
2017/04/03,180.313
2017/04/04,175.53
2017/04/05,173.353
2017/04/06,170.719
2017/04/07,167.081
2017/04/08,167.085
2017/04/09,159.982
2017/04/10,159.288
2017/04/11,163.419
2017/04/12,161.004
2017/04/13,151.398
2017/04/14,164.907
2017/04/15,162.827
2017/04/16,161.761
2017/04/17,165.402
2017/04/18,177.053
2017/04/19,169.398
2017/04/20,165.75
2017/04/21,168.391
2017/04/22,173.054
2017/04/23,168.611
2017/04/24,168.656
2017/04/25,171.137
2017/04/26,176.686
2017/04/27,178.329
2017/04/28,194.481
2017/04/29,209.09
2017/04/30,199.719
2017/05/01,198.193
2017/05/02,200.475
2017/05/03,198.078
2017/05/04,199.517
2017/05/05,210.468
2017/05/06,195.576
2017/05/07,196.555
2017/05/08,196.318
2017/05/09,204.032
2017/05/10,200.281
2017/05/11,196.784
2017/05/12,204.059
2017/05/13,199.298
2017/05/14,217.417
2017/05/15,218.556
2017/05/16,221.843
2017/05/17,213.941
2017/05/18,210.966
2017/05/19,219.707
2017/05/20,220.448
2017/05/21,229.226
2017/05/22,230.213
2017/05/23,219.308
2017/05/24,228.378
2017/05/25,226.367
2017/05/26,219.435
2017/05/27,221.07
2017/05/28,211.201
2017/05/29,215.608
2017/05/30,236.294
2017/05/31,240.244
2017/06/01,250.148
2017/06/02,262.016
2017/06/03,251.159
2017/06/04,259.258
2017/06/05,261.385
2017/06/06,260.658
2017/06/07,263.748
2017/06/08,270.436
2017/06/09,265.392
2017/06/10,272.575
2017/06/11,278.871
2017/06/12,276.064
2017/06/13,277.239
2017/06/14,283.735
2017/06/15,277.703
2017/06/16,273.038
2017/06/17,298.984
2017/06/18,286.103
2017/06/19,288.45
2017/06/20,320.163
2017/06/21,314.601
2017/06/22,313.47
2017/06/23,317.383
2017/06/24,301.8
2017/06/25,290.514
2017/06/26,302.465
2017/06/27,299.33
2017/06/28,300.899
2017/06/29,300.914
2017/06/30,306.616
2017/07/01,310.117
2017/07/02,343.892
2017/07/03,321.027
2017/07/04,317.109
2017/07/05,311.455
2017/07/06,315.594
2017/07/07,311.188
2017/07/08,317.088
2017/07/09,318.445
2017/07/10,359.22
2017/07/11,365.315
2017/07/12,365.436
2017/07/13,344.791
2017/07/14,334.129
2017/07/15,343.15
2017/07/16,351.411
2017/07/17,326.008
2017/07/18,320.396
2017/07/19,334.549
2017/07/20,337.179
2017/07/21,339.219
2017/07/22,328.298
2017/07/23,345.453
2017/07/24,336.632
2017/07/25,329.993
2017/07/26,324.443
2017/07/27,302.188
2017/07/28,289.476
2017/07/29,300.554
2017/07/30,304.524
2017/07/31,325.582
2017/08/01,373.292
2017/08/02,377.534
2017/08/03,344.805
2017/08/04,355.44
2017/08/05,348.45
2017/08/06,351.895
2017/08/07,343.135
2017/08/08,349.918
2017/08/09,349.907
2017/08/10,335.102
2017/08/11,333.34
2017/08/12,318.137
2017/08/13,308.371
2017/08/14,314.514
2017/08/15,324.977
2017/08/16,313.449
2017/08/17,302.74
2017/08/18,296.95
2017/08/19,297.905
2017/08/20,287.083
2017/08/21,297.82
2017/08/22,293.134
2017/08/23,302.668
2017/08/24,300.442
2017/08/25,355.276
2017/08/26,368.907
2017/08/27,347.011
2017/08/28,315.668
2017/08/29,324.09
2017/08/30,297.709
2017/08/31,285.642
2017/09/01,287.94
2017/09/02,273.321
2017/09/03,275.263
2017/09/04,264.815
2017/09/05,252.715
2017/09/06,248.487
2017/09/07,252.169
2017/09/08,255.037
2017/09/09,239.955
2017/09/10,238.576
2017/09/11,232.953
2017/09/12,233.052
2017/09/13,219.14
2017/09/14,215.004
2017/09/15,210.703
2017/09/16,205.241
2017/09/17,208.315
2017/09/18,177.584
2017/09/19,172.304
2017/09/20,172.914
2017/09/21,172.864
2017/09/22,230.629
2017/09/23,227.286
2017/09/24,218.84
2017/09/25,213.043
2017/09/26,203.887
2017/09/27,202.887
2017/09/28,197.947
2017/09/29,182.376
2017/09/30,176.778
2017/10/01,182.904
2017/10/02,178.526
2017/10/03,177.512
2017/10/04,179.243
2017/10/05,185.955
2017/10/06,175.813
2017/10/07,166.774
2017/10/08,143.217
