Date,transactionvalue7varUSD
2016/01/01,176.85
2016/01/02,162.005
2016/01/03,106.6
2016/01/04,127.13
2016/01/05,260.203
2016/01/06,223.456
2016/01/07,259.442
2016/01/08,260.122
2016/01/09,269.035
2016/01/10,251.683
2016/01/11,319.27
2016/01/12,1019
2016/01/13,970.928
2016/01/14,905.761
2016/01/15,1554
2016/01/16,1368
2016/01/17,1081
2016/01/18,5111
2016/01/19,5238
2016/01/20,4522
2016/01/21,3991
2016/01/22,3980
2016/01/23,4279
2016/01/24,7580
2016/01/25,8708
2016/01/26,8770
2016/01/27,7368
2016/01/28,5602
2016/01/29,4824
2016/01/30,4913
2016/01/31,2621
2016/02/01,1530
2016/02/02,1027
2016/02/03,1089
2016/02/04,1725
2016/02/05,1765
2016/02/06,2184
2016/02/07,1814
2016/02/08,7748
2016/02/09,13914
2016/02/10,26413
2016/02/11,26064
2016/02/12,40193
2016/02/13,22603
2016/02/14,17336
2016/02/15,20231
2016/02/16,20139
2016/02/17,25049
2016/02/18,25013
2016/02/19,6574
2016/02/20,6199
2016/02/21,7828
2016/02/22,7818
2016/02/23,13985
2016/02/24,29287
2016/02/25,29058
2016/02/26,100563
2016/02/27,103778
2016/02/28,90543
2016/02/29,90812
2016/03/01,92645
2016/03/02,153120
2016/03/03,138706
2016/03/04,103152
2016/03/05,144811
2016/03/06,118967
2016/03/07,80830
2016/03/08,57255
2016/03/09,44765
2016/03/10,57874
2016/03/11,63674
2016/03/12,22389
2016/03/13,43335
2016/03/14,45055
2016/03/15,39939
2016/03/16,38191
2016/03/17,29806
2016/03/18,22773
2016/03/19,49289
2016/03/20,46288
2016/03/21,39753
2016/03/22,42339
2016/03/23,43297
2016/03/24,33641
2016/03/25,2455
2016/03/26,4604
2016/03/27,9249
2016/03/28,8849
2016/03/29,13682
2016/03/30,16229
2016/03/31,16286
2016/04/01,17599
2016/04/02,15072
2016/04/03,18355
2016/04/04,20116
2016/04/05,13790
2016/04/06,5070
2016/04/07,2084
2016/04/08,1962
2016/04/09,8158
2016/04/10,7104
2016/04/11,6390
2016/04/12,5992
2016/04/13,5560
2016/04/14,5610
2016/04/15,6150
2016/04/16,4106
