Date,mediantransactionvalue30varUSD
2016/01/01,0.384
2016/01/02,0.369
2016/01/03,0.359
2016/01/04,0.347
2016/01/05,0.376
2016/01/06,0.381
2016/01/07,0.385
2016/01/08,0.362
2016/01/09,0.349
2016/01/10,0.345
2016/01/11,0.341
2016/01/12,0.323
2016/01/13,0.323
2016/01/14,0.31
2016/01/15,0.335
2016/01/16,0.344
2016/01/17,0.358
2016/01/18,0.367
2016/01/19,0.367
2016/01/20,0.43
2016/01/21,0.443
2016/01/22,0.419
2016/01/23,0.454
2016/01/24,0.544
2016/01/25,0.582
2016/01/26,0.602
2016/01/27,0.604
2016/01/28,0.641
2016/01/29,0.624
2016/01/30,0.687
2016/01/31,0.743
2016/02/01,0.77
2016/02/02,0.79
2016/02/03,0.833
2016/02/04,0.775
2016/02/05,0.693
2016/02/06,0.693
2016/02/07,0.723
2016/02/08,0.798
2016/02/09,0.926
2016/02/10,1.362
2016/02/11,1.658
2016/02/12,2.275
2016/02/13,2.487
2016/02/14,2.713
2016/02/15,2.981
2016/02/16,3.084
2016/02/17,3.022
2016/02/18,2.84
2016/02/19,2.865
2016/02/20,2.862
2016/02/21,2.79
2016/02/22,2.855
2016/02/23,3.024
2016/02/24,3.112
2016/02/25,3.298
2016/02/26,3.011
2016/02/27,3.058
2016/02/28,3.178
2016/02/29,3.257
2016/03/01,3.377
2016/03/02,3.62
2016/03/03,4.151
2016/03/04,4.564
2016/03/05,6.304
2016/03/06,6.935
2016/03/07,6.232
2016/03/08,6.155
2016/03/09,6.32
2016/03/10,7.38
2016/03/11,7.756
2016/03/12,8.992
2016/03/13,10.635
2016/03/14,11.771
2016/03/15,12.249
2016/03/16,12.918
2016/03/17,12.745
2016/03/18,11.886
2016/03/19,10.995
2016/03/20,10.139
2016/03/21,9.276
2016/03/22,8.428
2016/03/23,7.701
2016/03/24,7.057
2016/03/25,6.352
2016/03/26,5.763
2016/03/27,4.941
2016/03/28,4.231
2016/03/29,3.653
2016/03/30,2.992
2016/03/31,2.434
2016/04/01,2.119
2016/04/02,2.022
2016/04/03,1.889
2016/04/04,1.808
2016/04/05,1.87
2016/04/06,1.903
2016/04/07,1.887
2016/04/08,2.01
2016/04/09,2.011
2016/04/10,2.3
2016/04/11,2.317
2016/04/12,2.227
2016/04/13,2.118
2016/04/14,2.078
2016/04/15,1.827
2016/04/16,1.865
2016/04/17,2.106
2016/04/18,2.154
2016/04/19,2.203
2016/04/20,2.251
2016/04/21,2.256
2016/04/22,2.228
2016/04/23,2.267
2016/04/24,2.334
2016/04/25,2.421
2016/04/26,2.512
2016/04/27,2.499
2016/04/28,2.411
2016/04/29,2.239
2016/04/30,1.963
2016/05/01,1.696
2016/05/02,1.44
2016/05/03,1.165
2016/05/04,0.939
2016/05/05,0.836
2016/05/06,0.711
2016/05/07,0.608
2016/05/08,0.563
2016/05/09,0.538
2016/05/10,0.556
2016/05/11,0.595
2016/05/12,0.651
2016/05/13,0.761
2016/05/14,0.833
2016/05/15,0.871
2016/05/16,0.944
2016/05/17,1.141
2016/05/18,1.646
2016/05/19,2.352
2016/05/20,3.136
2016/05/21,3.58
2016/05/22,4.054
2016/05/23,4.507
2016/05/24,4.648
2016/05/25,4.548
2016/05/26,4.764
2016/05/27,4.522
2016/05/28,7.202
2016/05/29,7.295
2016/05/30,7.259
2016/05/31,7.365
2016/06/01,7.65
2016/06/02,7.893
2016/06/03,8.054
2016/06/04,8.051
2016/06/05,8.194
2016/06/06,8.292
2016/06/07,8.733
2016/06/08,8.922
