Date,sentinusd14emaUSD
2016/10/18,22883527
2016/10/19,21565365
2016/10/20,19860058
2016/10/21,18208902
2016/10/22,16587550
2016/10/23,15067613
2016/10/24,14096351
2016/10/25,13914515
2016/10/26,13488246
2016/10/27,13098187
2016/10/28,13661896
2016/10/29,14492618
2016/10/30,16003623
2016/10/31,15715200
2016/11/01,17732851
2016/11/02,21619033
2016/11/03,33201029
2016/11/04,30524693
2016/11/05,27728252
2016/11/06,24784909
2016/11/07,22410360
2016/11/08,20397812
2016/11/09,20554583
2016/11/10,19251755
2016/11/11,21899871
2016/11/12,20655010
2016/11/13,19600900
2016/11/14,17700672
2016/11/15,16727100
2016/11/16,15960161
2016/11/17,18102588
2016/11/18,17084087
2016/11/19,15909050
2016/11/20,14603489
2016/11/21,13499697
2016/11/22,15108189
2016/11/23,16282415
2016/11/24,15173010
2016/11/25,15049974
2016/11/26,13918552
2016/11/27,12924414
2016/11/28,12134984
2016/11/29,11959404
2016/11/30,11693892
2016/12/01,11306190
2016/12/02,13312612
2016/12/03,16600432
2016/12/04,16114978
2016/12/05,17476087
2016/12/06,20843552
2016/12/07,20586583
2016/12/08,20672454
2016/12/09,20728858
2016/12/10,19524166
2016/12/11,19042431
2016/12/12,17684960
2016/12/13,16564024
2016/12/14,15529869
2016/12/15,15709630
2016/12/16,15093815
2016/12/17,16239569
2016/12/18,16328134
2016/12/19,15572823
2016/12/20,14907851
2016/12/21,15061523
2016/12/22,16432886
2016/12/23,20349525
2016/12/24,19907049
2016/12/25,18269074
2016/12/26,16632278
2016/12/27,15767012
2016/12/28,16442899
2016/12/29,19206273
2016/12/30,20245331
2016/12/31,24325797
2017/01/01,23078892
2017/01/02,23118790
2017/01/03,25989413
2017/01/04,33471135
2017/01/05,40302633
2017/01/06,44827391
2017/01/07,44588705
2017/01/08,41975090
2017/01/09,42513163
2017/01/10,43208148
2017/01/11,43622816
2017/01/12,43573691
2017/01/13,40952318
2017/01/14,36693269
2017/01/15,32559870
2017/01/16,29248947
2017/01/17,27420615
2017/01/18,24948993
2017/01/19,22990124
2017/01/20,23706894
2017/01/21,21896852
2017/01/22,20384609
2017/01/23,18924691
2017/01/24,17516577
2017/01/25,16504641
2017/01/26,15800622
2017/01/27,15122509
2017/01/28,13944993
2017/01/29,13298573
2017/01/30,12497127
2017/01/31,12630798
2017/02/01,12745207
2017/02/02,12788023
2017/02/03,13427312
2017/02/04,14282325
2017/02/05,13488680
2017/02/06,13743812
2017/02/07,13843965
2017/02/08,13800136
2017/02/09,13937014
2017/02/10,14490088
2017/02/11,13962469
2017/02/12,13925407
2017/02/13,13879823
2017/02/14,17733186
2017/02/15,22524316
2017/02/16,23569674
2017/02/17,24812547
2017/02/18,25542389
2017/02/19,26118396
2017/02/20,26791824
2017/02/21,29572983
2017/02/22,30171491
2017/02/23,30567552
2017/02/24,35385072
2017/02/25,36329868
2017/02/26,38528158
2017/02/27,51242221
2017/02/28,68060607
2017/03/01,83974858
2017/03/02,114530361
2017/03/03,142585551
2017/03/04,151210915
2017/03/05,154049414
2017/03/06,173300796
2017/03/07,176625165
2017/03/08,179953336
2017/03/09,190195104
2017/03/10,197558677
2017/03/11,213179595
2017/03/12,256452946
2017/03/13,290465784
2017/03/14,281565554
2017/03/15,275679910
2017/03/16,408766815
2017/03/17,452815559
2017/03/18,515103444
2017/03/19,473869147
2017/03/20,448870238
2017/03/21,464227272
2017/03/22,465256316
2017/03/23,467710144
2017/03/24,503488309
2017/03/25,517977736
2017/03/26,513581254
2017/03/27,519276299
2017/03/28,523236917
2017/03/29,545950179
2017/03/30,594676574
2017/03/31,613667837
2017/04/01,596497884
2017/04/02,617789454
2017/04/03,638932284
2017/04/04,602713982
2017/04/05,596954018
2017/04/06,619367248
