Date,sentbyaddress30wma
2016/01/01,1488
2016/01/02,1503
2016/01/03,1516
2016/01/04,1528
2016/01/05,1539
2016/01/06,1552
2016/01/07,1568
2016/01/08,1577
2016/01/09,1588
2016/01/10,1607
2016/01/11,1627
2016/01/12,1654
2016/01/13,1665
2016/01/14,1673
2016/01/15,1695
2016/01/16,1690
2016/01/17,1677
2016/01/18,1679
2016/01/19,1674
2016/01/20,1700
2016/01/21,1693
2016/01/22,1690
2016/01/23,1705
2016/01/24,1734
2016/01/25,1768
2016/01/26,1810
2016/01/27,1831
2016/01/28,1853
2016/01/29,1869
2016/01/30,1882
2016/01/31,1901
2016/02/01,1917
2016/02/02,1928
2016/02/03,1939
2016/02/04,1948
2016/02/05,1959
2016/02/06,1963
2016/02/07,1979
2016/02/08,2005
2016/02/09,2040
2016/02/10,2125
2016/02/11,2215
2016/02/12,2296
2016/02/13,2359
2016/02/14,2392
2016/02/15,2431
2016/02/16,2466
2016/02/17,2495
2016/02/18,2523
2016/02/19,2545
2016/02/20,2556
2016/02/21,2627
2016/02/22,2665
2016/02/23,2698
2016/02/24,2723
2016/02/25,2771
2016/02/26,2799
2016/02/27,2830
2016/02/28,2881
2016/02/29,2968
2016/03/01,3070
2016/03/02,3179
2016/03/03,3303
2016/03/04,3423
2016/03/05,3596
2016/03/06,3735
2016/03/07,3811
2016/03/08,3938
2016/03/09,4031
2016/03/10,4151
2016/03/11,4247
2016/03/12,4335
2016/03/13,4413
2016/03/14,4489
2016/03/15,4549
2016/03/16,4583
2016/03/17,4644
2016/03/18,4723
2016/03/19,4736
2016/03/20,4754
2016/03/21,4801
2016/03/22,4805
2016/03/23,4812
2016/03/24,4807
2016/03/25,4787
2016/03/26,4753
2016/03/27,4755
2016/03/28,4759
2016/03/29,4840
2016/03/30,4922
2016/03/31,4918
2016/04/01,4897
2016/04/02,4859
2016/04/03,4819
2016/04/04,4821
2016/04/05,4827
2016/04/06,4832
2016/04/07,4827
2016/04/08,4813
2016/04/09,4819
2016/04/10,4855
2016/04/11,4850
2016/04/12,4864
2016/04/13,4901
2016/04/14,4913
2016/04/15,4897
2016/04/16,4875
2016/04/17,4891
2016/04/18,4905
2016/04/19,4908
2016/04/20,4919
2016/04/21,4926
2016/04/22,4940
2016/04/23,4941
2016/04/24,4951
2016/04/25,4974
2016/04/26,5002
2016/04/27,5025
2016/04/28,5033
2016/04/29,5200
2016/04/30,5398
2016/05/01,5518
2016/05/02,5700
2016/05/03,5829
2016/05/04,5921
2016/05/05,6014
2016/05/06,6103
2016/05/07,6169
2016/05/08,6259
2016/05/09,6365
2016/05/10,6474
2016/05/11,6653
2016/05/12,6834
2016/05/13,7108
2016/05/14,7290
2016/05/15,7381
2016/05/16,7449
2016/05/17,7551
2016/05/18,7686
2016/05/19,7829
2016/05/20,7926
2016/05/21,7960
2016/05/22,7935
2016/05/23,8043
2016/05/24,8114
2016/05/25,8163
2016/05/26,8665
2016/05/27,8801
2016/05/28,9298
2016/05/29,9307
2016/05/30,9303
2016/05/31,9327
2016/06/01,9298
2016/06/02,9235
2016/06/03,9174
2016/06/04,9069
2016/06/05,8964
2016/06/06,8891
2016/06/07,8835
2016/06/08,8776
2016/06/09,8690
2016/06/10,8617
2016/06/11,8491
2016/06/12,8444
2016/06/13,8520
2016/06/14,8606
2016/06/15,8602
2016/06/16,8646
2016/06/17,8981
2016/06/18,9211
2016/06/19,9254
2016/06/20,9244
2016/06/21,9268
2016/06/22,9341
2016/06/23,9285
2016/06/24,9204
2016/06/25,9082
2016/06/26,8969
2016/06/27,8877
2016/06/28,8872
2016/06/29,8852
2016/06/30,8781
2016/07/01,8720
2016/07/02,8671
2016/07/03,8621
2016/07/04,8603
2016/07/05,8594
2016/07/06,8563
2016/07/07,8527
2016/07/08,8491
2016/07/09,8436
2016/07/10,8354
2016/07/11,8297
2016/07/12,8239
2016/07/13,8168
2016/07/14,8137
2016/07/15,8103
2016/07/16,7997
2016/07/17,7860
2016/07/18,7803
2016/07/19,8415
2016/07/20,8570
2016/07/21,8656
2016/07/22,8804
2016/07/23,8885
2016/07/24,9277
2016/07/25,9479
2016/07/26,10042
2016/07/27,10342
2016/07/28,10544
2016/07/29,10604
2016/07/30,10559
2016/07/31,10582
2016/08/01,10629
2016/08/02,10822
2016/08/03,10868
2016/08/04,10879
2016/08/05,10802
2016/08/06,10706
2016/08/07,10614
2016/08/08,10578
2016/08/09,10595
2016/08/10,10537
2016/08/11,10574
2016/08/12,10462
2016/08/13,10304
2016/08/14,10185
2016/08/15,10075
2016/08/16,10023
2016/08/17,9901
2016/08/18,9771
2016/08/19,9664
2016/08/20,9580
2016/08/21,9480
2016/08/22,9348
2016/08/23,9335
2016/08/24,9270
2016/08/25,9279
2016/08/26,9250
2016/08/27,9254
2016/08/28,9225
2016/08/29,9254
2016/08/30,9248
2016/08/31,9290
2016/09/01,9397
2016/09/02,9459
2016/09/03,9446
2016/09/04,9421
2016/09/05,9400
2016/09/06,9385
2016/09/07,9379
2016/09/08,9478
2016/09/09,9470
2016/09/10,9439
2016/09/11,9439
2016/09/12,9449
2016/09/13,9456
2016/09/14,9475
2016/09/15,9475
2016/09/16,9536
2016/09/17,9555
2016/09/18,9490
2016/09/19,9386
2016/09/20,9661
2016/09/21,9838
2016/09/22,9750
2016/09/23,9697
2016/09/24,9669
2016/09/25,9628
2016/09/26,9584
2016/09/27,9555
2016/09/28,9519
2016/09/29,9558
2016/09/30,9609
2016/10/01,9549
2016/10/02,9612
2016/10/03,9588
2016/10/04,9434
2016/10/05,9285
2016/10/06,9193
2016/10/07,9195
2016/10/08,9211
2016/10/09,9295
2016/10/10,9374
2016/10/11,9367
2016/10/12,9106
2016/10/13,8743
2016/10/14,8673
2016/10/15,8503
2016/10/16,8414
2016/10/17,8385
2016/10/18,8569
2016/10/19,8438
2016/10/20,8588
2016/10/21,8792
2016/10/22,8870
2016/10/23,8916
2016/10/24,8919
2016/10/25,8928
2016/10/26,8944
2016/10/27,8973
2016/10/28,9014
2016/10/29,9004
2016/10/30,8961
2016/10/31,9078
2016/11/01,9255
2016/11/02,9233
2016/11/03,9299
2016/11/04,9161
2016/11/05,9113
2016/11/06,8996
2016/11/07,8994
2016/11/08,8974
2016/11/09,8983
2016/11/10,8898
2016/11/11,8899
2016/11/12,8868
2016/11/13,8899
2016/11/14,8810
2016/11/15,8766
2016/11/16,8686
2016/11/17,8605
2016/11/18,8550
2016/11/19,8450
2016/11/20,8381
2016/11/21,8334
2016/11/22,9184
2016/11/23,10540
2016/11/24,10251
2016/11/25,11106
2016/11/26,10830
2016/11/27,10581
2016/11/28,10428
2016/11/29,10242
2016/11/30,10074
2016/12/01,9886
2016/12/02,9751
2016/12/03,9739
2016/12/04,9737
2016/12/05,9620
2016/12/06,9637
2016/12/07,9446
2016/12/08,9274
2016/12/09,9217
2016/12/10,9062
2016/12/11,8951
2016/12/12,8847
2016/12/13,8702
