Date,activeaddresses30std
2016/01/01,673.408
2016/01/02,650.342
2016/01/03,613.698
2016/01/04,577.57
2016/01/05,583.118
2016/01/06,598.296
2016/01/07,607.1
2016/01/08,579.957
2016/01/09,536.156
2016/01/10,516.247
2016/01/11,588.841
2016/01/12,637.289
2016/01/13,663.168
2016/01/14,655.294
2016/01/15,689.857
2016/01/16,695.154
2016/01/17,690.339
2016/01/18,715.071
2016/01/19,709.537
2016/01/20,781.516
2016/01/21,781.438
2016/01/22,782.374
2016/01/23,832.283
2016/01/24,931.313
2016/01/25,1091
2016/01/26,1276
2016/01/27,1360
2016/01/28,1494
2016/01/29,1560
2016/01/30,1637
2016/01/31,1695
2016/02/01,1711
2016/02/02,1715
2016/02/03,1728
2016/02/04,1706
2016/02/05,1754
2016/02/06,1736
2016/02/07,1708
2016/02/08,1700
2016/02/09,1733
2016/02/10,1978
2016/02/11,2605
2016/02/12,2777
2016/02/13,2851
2016/02/14,2858
2016/02/15,2827
2016/02/16,2758
2016/02/17,2741
2016/02/18,2660
2016/02/19,2627
2016/02/20,2497
2016/02/21,2425
2016/02/22,2381
2016/02/23,2365
2016/02/24,2361
2016/02/25,2429
2016/02/26,2390
2016/02/27,2383
2016/02/28,2390
2016/02/29,2433
2016/03/01,2564
2016/03/02,2780
2016/03/03,3042
2016/03/04,3222
2016/03/05,3614
2016/03/06,3887
2016/03/07,3767
2016/03/08,3800
2016/03/09,3797
2016/03/10,3915
2016/03/11,4004
2016/03/12,4255
2016/03/13,4433
2016/03/14,4630
2016/03/15,4708
2016/03/16,4747
2016/03/17,4781
2016/03/18,4925
2016/03/19,4859
2016/03/20,4780
2016/03/21,4604
2016/03/22,4497
2016/03/23,4410
2016/03/24,4238
2016/03/25,4028
2016/03/26,3840
2016/03/27,3555
2016/03/28,3216
2016/03/29,3088
2016/03/30,3119
2016/03/31,2942
2016/04/01,2828
2016/04/02,2753
2016/04/03,2665
2016/04/04,2758
2016/04/05,2876
2016/04/06,2598
2016/04/07,2636
2016/04/08,2471
2016/04/09,2485
2016/04/10,2426
2016/04/11,2414
2016/04/12,2417
2016/04/13,2520
2016/04/14,2530
2016/04/15,2463
2016/04/16,2414
2016/04/17,2478
2016/04/18,2437
2016/04/19,2388
2016/04/20,2337
2016/04/21,2239
2016/04/22,2201
2016/04/23,2054
2016/04/24,1961
2016/04/25,1739
2016/04/26,1676
2016/04/27,1617
2016/04/28,1630
2016/04/29,1964
2016/04/30,3794
2016/05/01,3908
2016/05/02,4442
2016/05/03,4490
2016/05/04,4520
2016/05/05,4585
2016/05/06,4570
2016/05/07,4577
2016/05/08,4590
2016/05/09,4726
2016/05/10,4784
2016/05/11,5000
2016/05/12,5226
2016/05/13,5737
2016/05/14,5841
2016/05/15,5780
2016/05/16,5628
2016/05/17,5618
2016/05/18,5866
2016/05/19,5915
2016/05/20,5854
2016/05/21,5703
2016/05/22,5476
2016/05/23,5374
2016/05/24,5195
2016/05/25,4991
2016/05/26,5656
2016/05/27,5683
2016/05/28,7604
2016/05/29,7487
2016/05/30,7451
2016/05/31,7351
2016/06/01,7352
2016/06/02,7251
2016/06/03,7107
2016/06/04,7009
2016/06/05,6890
2016/06/06,6681
2016/06/07,6614
2016/06/08,6568
2016/06/09,6488
2016/06/10,6488
2016/06/11,6703
2016/06/12,6672
2016/06/13,6816
2016/06/14,6928
2016/06/15,6807
2016/06/16,6785
2016/06/17,7667
2016/06/18,8115
2016/06/19,8184
2016/06/20,8142
2016/06/21,7970
2016/06/22,8089
2016/06/23,8053
2016/06/24,8032
2016/06/25,7881
2016/06/26,7847
2016/06/27,6317
2016/06/28,6335
2016/06/29,6303
2016/06/30,6300
2016/07/01,6267
2016/07/02,6208
2016/07/03,6138
2016/07/04,5990
2016/07/05,5842
2016/07/06,5776
2016/07/07,5700
2016/07/08,5641
2016/07/09,5549
2016/07/10,5495
2016/07/11,5003
2016/07/12,4975
2016/07/13,5118
2016/07/14,5044
2016/07/15,5050
2016/07/16,5048
2016/07/17,4217
2016/07/18,3409
2016/07/19,3646
2016/07/20,4114
2016/07/21,4204
2016/07/22,4412
2016/07/23,4542
2016/07/24,5871
2016/07/25,6283
2016/07/26,8233
2016/07/27,9038
2016/07/28,9295
2016/07/29,9307
2016/07/30,9260
2016/07/31,9196
2016/08/01,9145
2016/08/02,9057
2016/08/03,9028
2016/08/04,8981
2016/08/05,8901
2016/08/06,8856
2016/08/07,8823
2016/08/08,8731
2016/08/09,8632
2016/08/10,8503
2016/08/11,8424
2016/08/12,8111
2016/08/13,8115
2016/08/14,8062
2016/08/15,7899
2016/08/16,7266
2016/08/17,6959
2016/08/18,7041
2016/08/19,7079
2016/08/20,7129
2016/08/21,7141
2016/08/22,7207
2016/08/23,6747
2016/08/24,6619
2016/08/25,4774
2016/08/26,3340
2016/08/27,2699
2016/08/28,2590
2016/08/29,2604
2016/08/30,2564
2016/08/31,2603
2016/09/01,2730
2016/09/02,2724
2016/09/03,2666
2016/09/04,2664
2016/09/05,2595
2016/09/06,2559
2016/09/07,2600
2016/09/08,2665
2016/09/09,2667
2016/09/10,2482
2016/09/11,2449
2016/09/12,2340
2016/09/13,2252
2016/09/14,2228
2016/09/15,2128
2016/09/16,2155
2016/09/17,2114
2016/09/18,2177
2016/09/19,2152
2016/09/20,3410
2016/09/21,3346
2016/09/22,3697
2016/09/23,3833
2016/09/24,3934
2016/09/25,4085
2016/09/26,4253
2016/09/27,4411
2016/09/28,4459
2016/09/29,4517
2016/09/30,4533
2016/10/01,4439
2016/10/02,4368
2016/10/03,4404
2016/10/04,5002
2016/10/05,5351
2016/10/06,5643
2016/10/07,5643
2016/10/08,5471
2016/10/09,5476
2016/10/10,5535
2016/10/11,5551
2016/10/12,6752
2016/10/13,8411
2016/10/14,8444
2016/10/15,8860
2016/10/16,8838
2016/10/17,8700
2016/10/18,8818
2016/10/19,8936
2016/10/20,8053
2016/10/21,8748
2016/10/22,8757
2016/10/23,8748
2016/10/24,8756
2016/10/25,8766
2016/10/26,8784
2016/10/27,8797
2016/10/28,8795
2016/10/29,8779
2016/10/30,8829
2016/10/31,8926
2016/11/01,8876
2016/11/02,8934
2016/11/03,8857
2016/11/04,9098
2016/11/05,9062
2016/11/06,9130
2016/11/07,9125
2016/11/08,9014
2016/11/09,8824
2016/11/10,8851
2016/11/11,8318
2016/11/12,7032
2016/11/13,6987
2016/11/14,6511
2016/11/15,6344
2016/11/16,6413
2016/11/17,6286
2016/11/18,6036
2016/11/19,5902
2016/11/20,4473
2016/11/21,4469
2016/11/22,6349
2016/11/23,10031
2016/11/24,10173
2016/11/25,10629
2016/11/26,10827
2016/11/27,10917
2016/11/28,10950
2016/11/29,10993
2016/11/30,10922
2016/12/01,10961
2016/12/02,10894
2016/12/03,10871
2016/12/04,10690
2016/12/05,10715
2016/12/06,10650
2016/12/07,10716
2016/12/08,10769
2016/12/09,10779
2016/12/10,10808
2016/12/11,10836
2016/12/12,10842
2016/12/13,10887
2016/12/14,10872
2016/12/15,10873
2016/12/16,10863
2016/12/17,10882
2016/12/18,10971
2016/12/19,10958
2016/12/20,10957
2016/12/21,10950
2016/12/22,10138
2016/12/23,5698
2016/12/24,5642
2016/12/25,4109
2016/12/26,4098
2016/12/27,4116
2016/12/28,4129
2016/12/29,4084
2016/12/30,4090
2016/12/31,4030
2017/01/01,4147
2017/01/02,4134
2017/01/03,4139
2017/01/04,4470
2017/01/05,4672
2017/01/06,4744
2017/01/07,4730
2017/01/08,4731
2017/01/09,4763
2017/01/10,4747
2017/01/11,4772
2017/01/12,4730
2017/01/13,4732
2017/01/14,4740
2017/01/15,4752
2017/01/16,4748
2017/01/17,4613
2017/01/18,4608
2017/01/19,4593
2017/01/20,4623
2017/01/21,3873
2017/01/22,3858
2017/01/23,3826
2017/01/24,3643
2017/01/25,3390
2017/01/26,3243
2017/01/27,3181
2017/01/28,3193
2017/01/29,3194
2017/01/30,3188
2017/01/31,2891
2017/02/01,2801
2017/02/02,2714
2017/02/03,2416
2017/02/04,1966
2017/02/05,1906
2017/02/06,1922
2017/02/07,1906
2017/02/08,1860
2017/02/09,1912
2017/02/10,2052
2017/02/11,2025
2017/02/12,2021
2017/02/13,2464
2017/02/14,2872
2017/02/15,3308
2017/02/16,3480
2017/02/17,3565
2017/02/18,3770
2017/02/19,3799
2017/02/20,3934
2017/02/21,3996
2017/02/22,4016
2017/02/23,4044
2017/02/24,4277
2017/02/25,4280
2017/02/26,4249
2017/02/27,4354
2017/02/28,5170
2017/03/01,6021
2017/03/02,8549
2017/03/03,9378
2017/03/04,9614
2017/03/05,9611
2017/03/06,9803
2017/03/07,9778
2017/03/08,9705
2017/03/09,9890
2017/03/10,9984
2017/03/11,10111
2017/03/12,10579
2017/03/13,12894
2017/03/14,13486
2017/03/15,14456
2017/03/16,18956
2017/03/17,22027
2017/03/18,22780
2017/03/19,22774
2017/03/20,22820
2017/03/21,22637
2017/03/22,22335
2017/03/23,21906
2017/03/24,21829
2017/03/25,21285
2017/03/26,20741
2017/03/27,20088
2017/03/28,19238
2017/03/29,18546
2017/03/30,18898
2017/03/31,19978
2017/04/01,19941
2017/04/02,19837
2017/04/03,20188
2017/04/04,19430
2017/04/05,18759
2017/04/06,18138
2017/04/07,16881
2017/04/08,16286
2017/04/09,15700
2017/04/10,14923
2017/04/11,14544
2017/04/12,14598
2017/04/13,14431
2017/04/14,14404
2017/04/15,13324
2017/04/16,12707
2017/04/17,12890
2017/04/18,12868
2017/04/19,12865
2017/04/20,12943
2017/04/21,12984
2017/04/22,13095
2017/04/23,13100
2017/04/24,13102
2017/04/25,12986
2017/04/26,13219
2017/04/27,14923
2017/04/28,15449
2017/04/29,15296
2017/04/30,14571
2017/05/01,16169
2017/05/02,17170
2017/05/03,16875
2017/05/04,19051
2017/05/05,20609
2017/05/06,20644
2017/05/07,21542
2017/05/08,23378
2017/05/09,23946
2017/05/10,24281
2017/05/11,24928
2017/05/12,24892
2017/05/13,24672
2017/05/14,24408
2017/05/15,24433
2017/05/16,23558
2017/05/17,22465
2017/05/18,23711
2017/05/19,27743
2017/05/20,27629
2017/05/21,27428
2017/05/22,29840
2017/05/23,33156
2017/05/24,35880
2017/05/25,37664
2017/05/26,38531
2017/05/27,38631
2017/05/28,38115
2017/05/29,37424
2017/05/30,37551
2017/05/31,39275
2017/06/01,42541
2017/06/02,42149
2017/06/03,42621
2017/06/04,42897
2017/06/05,42689
2017/06/06,44115
2017/06/07,45313
2017/06/08,45271
2017/06/09,46284
2017/06/10,47971
2017/06/11,50739
2017/06/12,59455
2017/06/13,64280
2017/06/14,66030
2017/06/15,67800
2017/06/16,66124
2017/06/17,65503
2017/06/18,66249
2017/06/19,66051
2017/06/20,66238
2017/06/21,65579
2017/06/22,68885
2017/06/23,71125
2017/06/24,71218
2017/06/25,69800
2017/06/26,72985
2017/06/27,69554
2017/06/28,66637
2017/06/29,64137
2017/06/30,62242
2017/07/01,61335
2017/07/02,58283
2017/07/03,55741
2017/07/04,52201
2017/07/05,48905
2017/07/06,46695
2017/07/07,44323
2017/07/08,40072
2017/07/09,39247
2017/07/10,37797
2017/07/11,37471
2017/07/12,36130
2017/07/13,36248
2017/07/14,36851
2017/07/15,37873
2017/07/16,38193
2017/07/17,38160
2017/07/18,37973
2017/07/19,37773
2017/07/20,37638
2017/07/21,37137
2017/07/22,38495
