Date,transactionvalue90stdUSD
2016/10/24,955.812
2016/10/25,810.241
2016/10/26,750.42
2016/10/27,726.855
2016/10/28,714.592
2016/10/29,709.289
2016/10/30,685.231
2016/10/31,592.501
2016/11/01,532.772
2016/11/02,542.627
2016/11/03,688.983
2016/11/04,689.12
2016/11/05,690.435
2016/11/06,693.088
2016/11/07,692.335
2016/11/08,672.802
2016/11/09,664.168
2016/11/10,664.06
2016/11/11,672.38
2016/11/12,672.92
2016/11/13,673.489
2016/11/14,675.082
2016/11/15,676.438
2016/11/16,676.507
2016/11/17,679.534
2016/11/18,680.791
2016/11/19,674.372
2016/11/20,676.295
2016/11/21,666.523
2016/11/22,665.598
2016/11/23,664.202
2016/11/24,665.447
2016/11/25,665.21
2016/11/26,666.03
2016/11/27,667.892
2016/11/28,668.815
2016/11/29,669.247
2016/11/30,669.736
2016/12/01,670.685
2016/12/02,672.155
2016/12/03,680.428
2016/12/04,679.461
2016/12/05,679.732
2016/12/06,685.115
2016/12/07,684.662
2016/12/08,682.369
2016/12/09,680.41
2016/12/10,679.746
2016/12/11,678.5
2016/12/12,679.015
2016/12/13,678.334
2016/12/14,677.504
2016/12/15,677.638
2016/12/16,677.133
2016/12/17,677.715
2016/12/18,676.99
2016/12/19,670.387
2016/12/20,648.841
2016/12/21,649.167
2016/12/22,644.973
2016/12/23,657.595
2016/12/24,651.919
2016/12/25,653.462
2016/12/26,655.151
2016/12/27,651.871
2016/12/28,649.457
2016/12/29,654.322
2016/12/30,653.968
2016/12/31,675.812
2017/01/01,673.645
2017/01/02,672.088
2017/01/03,681.054
2017/01/04,723.893
2017/01/05,768.772
2017/01/06,809.741
2017/01/07,815.069
2017/01/08,814.335
2017/01/09,820.401
2017/01/10,819.139
2017/01/11,826.269
2017/01/12,827.994
2017/01/13,827.787
2017/01/14,829.927
2017/01/15,833.231
2017/01/16,834.945
2017/01/17,834.983
2017/01/18,835.054
2017/01/19,833.329
2017/01/20,830.833
2017/01/21,829.411
2017/01/22,828.173
2017/01/23,829.045
2017/01/24,830.167
2017/01/25,830.505
2017/01/26,832.071
2017/01/27,833.89
2017/01/28,836.342
2017/01/29,837.444
2017/01/30,839.554
2017/01/31,830.553
2017/02/01,702.716
2017/02/02,703.322
2017/02/03,702.214
2017/02/04,699.706
2017/02/05,699.485
2017/02/06,697.606
2017/02/07,698.278
2017/02/08,698.323
2017/02/09,690.576
2017/02/10,690.293
2017/02/11,691.055
