Date,difficulty7wma
2016/01/01,8540220122898
2016/01/02,8443181881697
2016/01/03,8398384544976
2016/01/04,8368895532467
2016/01/05,8339393645245
2016/01/06,8349798363755
2016/01/07,8309015427036
2016/01/08,8303182782328
2016/01/09,8338701081100
2016/01/10,8340013895660
2016/01/11,8463318565538
2016/01/12,8584419029925
2016/01/13,8583091346905
2016/01/14,8642495892769
2016/01/15,8748355404337
2016/01/16,8880987154080
2016/01/17,8952551895736
2016/01/18,9094480325457
2016/01/19,9235232176520
2016/01/20,9321635647691
2016/01/21,9420961640900
2016/01/22,9564088865479
2016/01/23,9715415431494
2016/01/24,9854856584478
2016/01/25,10005464242482
2016/01/26,10194936417417
2016/01/27,10398460363135
2016/01/28,10458919459269
2016/01/29,10597616888040
2016/01/30,10699328413268
2016/01/31,10726807262459
2016/02/01,10789579533071
2016/02/02,10770537186796
2016/02/03,10794989634198
2016/02/04,10882266413749
2016/02/05,10961377035065
2016/02/06,10952695255037
2016/02/07,10990235595124
2016/02/08,11137489345682
2016/02/09,11188875575878
2016/02/10,11323370683853
2016/02/11,11512828400589
2016/02/12,11560671455756
2016/02/13,11731148848696
2016/02/14,11957543693897
2016/02/15,12226750365767
2016/02/16,12403649201341
2016/02/17,12535150106091
2016/02/18,12493748938814
2016/02/19,12562950625979
2016/02/20,12633608173471
2016/02/21,12714858862729
2016/02/22,12897751016384
2016/02/23,13148779937156
2016/02/24,13320946144643
2016/02/25,13448497707202
2016/02/26,13645245226699
2016/02/27,13920948144803
2016/02/28,14177199669966
2016/02/29,14419770583541
2016/03/01,14487812329013
2016/03/02,14666044417365
2016/03/03,14947682840373
2016/03/04,15292560968301
2016/03/05,15645770355875
2016/03/06,16148132169477
2016/03/07,16512948348615
2016/03/08,16880113687107
2016/03/09,17232478818378
2016/03/10,17516974657757
2016/03/11,17884422783208
2016/03/12,18404342132846
2016/03/13,18934289620390
2016/03/14,19342961006242
2016/03/15,19024715859302
2016/03/16,18754973186782
2016/03/17,18553651381728
2016/03/18,18416572159441
2016/03/19,18380953509228
2016/03/20,18574092217462
2016/03/21,18754436758902
2016/03/22,19038040454222
2016/03/23,19049958196298
2016/03/24,19285358603995
2016/03/25,19725443286488
2016/03/26,20209349910334
2016/03/27,20735295509192
2016/03/28,21117796974786
2016/03/29,21597460803224
2016/03/30,22049092352465
2016/03/31,22622574223944
2016/04/01,23015000129037
2016/04/02,23247265156544
2016/04/03,23598361571791
2016/04/04,24104178402552
2016/04/05,24600775038871
2016/04/06,24973702048928
2016/04/07,24988326393773
2016/04/08,25351024634012
2016/04/09,25804231825465
2016/04/10,26198824992851
2016/04/11,26475947769495
2016/04/12,26460780690327
2016/04/13,26718638020976
2016/04/14,26995727191335
2016/04/15,27359386139640
2016/04/16,27789265417611
2016/04/17,27981500574893
2016/04/18,28458710669769
2016/04/19,28972634516189
2016/04/20,29377684442737
2016/04/21,29857639783152
2016/04/22,29935932432166
2016/04/23,30245226619444
2016/04/24,30417232922021
2016/04/25,30734157605118
2016/04/26,30971973970684
2016/04/27,31054956637155
2016/04/28,31340034428061
2016/04/29,31743192735595
2016/04/30,32304061631543
2016/05/01,32957359806368
2016/05/02,32921189283741
2016/05/03,33328169433829
2016/05/04,33641025776478
2016/05/05,33770305345748
2016/05/06,33885599206961
2016/05/07,33951390847578
2016/05/08,34098259078302
2016/05/09,34350678829377
2016/05/10,34715281042470
2016/05/11,34809012286425
2016/05/12,34820888223174
2016/05/13,35358009919270
2016/05/14,35805339675659
2016/05/15,36221279508357
2016/05/16,36607954014325
2016/05/17,36677185550871
2016/05/18,37078724887587
2016/05/19,37775044781495
2016/05/20,38428633295370
2016/05/21,39118449027028
2016/05/22,39523362372051
2016/05/23,39891448386244
