Date,price30trxUSD
2016/01/01,0.092
2016/01/02,0.093
2016/01/03,0.095
2016/01/04,0.099
2016/01/05,0.104
2016/01/06,0.11
2016/01/07,0.116
2016/01/08,0.124
2016/01/09,0.134
2016/01/10,0.146
2016/01/11,0.16
2016/01/12,0.178
2016/01/13,0.198
2016/01/14,0.219
2016/01/15,0.244
2016/01/16,0.271
2016/01/17,0.301
2016/01/18,0.336
2016/01/19,0.375
2016/01/20,0.418
2016/01/21,0.466
2016/01/22,0.516
2016/01/23,0.575
2016/01/24,0.649
2016/01/25,0.74
2016/01/26,0.851
2016/01/27,0.969
2016/01/28,1.093
2016/01/29,1.22
2016/01/30,1.345
2016/01/31,1.462
2016/02/01,1.565
2016/02/02,1.655
2016/02/03,1.736
2016/02/04,1.811
2016/02/05,1.878
2016/02/06,1.936
2016/02/07,1.989
2016/02/08,2.045
2016/02/09,2.11
2016/02/10,2.199
2016/02/11,2.315
2016/02/12,2.468
2016/02/13,2.622
2016/02/14,2.769
2016/02/15,2.915
2016/02/16,3.043
2016/02/17,3.135
2016/02/18,3.195
2016/02/19,3.236
2016/02/20,3.257
2016/02/21,3.261
2016/02/22,3.261
2016/02/23,3.264
2016/02/24,3.268
2016/02/25,3.277
2016/02/26,3.283
2016/02/27,3.286
2016/02/28,3.287
2016/02/29,3.285
2016/03/01,3.28
2016/03/02,3.287
2016/03/03,3.314
2016/03/04,3.351
2016/03/05,3.413
2016/03/06,3.486
2016/03/07,3.555
2016/03/08,3.607
2016/03/09,3.651
2016/03/10,3.695
2016/03/11,3.728
2016/03/12,3.765
2016/03/13,3.811
2016/03/14,3.852
2016/03/15,3.877
2016/03/16,3.891
2016/03/17,3.881
2016/03/18,3.841
2016/03/19,3.78
2016/03/20,3.701
2016/03/21,3.612
2016/03/22,3.521
2016/03/23,3.428
2016/03/24,3.332
2016/03/25,3.231
2016/03/26,3.126
2016/03/27,3.019
2016/03/28,2.913
2016/03/29,2.811
2016/03/30,2.713
2016/03/31,2.618
2016/04/01,2.526
2016/04/02,2.436
2016/04/03,2.349
2016/04/04,2.263
2016/04/05,2.176
2016/04/06,2.089
2016/04/07,2.002
2016/04/08,1.913
2016/04/09,1.823
2016/04/10,1.73
2016/04/11,1.635
2016/04/12,1.537
2016/04/13,1.437
2016/04/14,1.34
2016/04/15,1.245
2016/04/16,1.152
2016/04/17,1.067
2016/04/18,0.986
2016/04/19,0.911
2016/04/20,0.838
2016/04/21,0.769
2016/04/22,0.702
2016/04/23,0.636
2016/04/24,0.573
2016/04/25,0.512
2016/04/26,0.451
2016/04/27,0.393
2016/04/28,0.336
2016/04/29,0.281
2016/04/30,0.231
2016/05/01,0.187
2016/05/02,0.15
2016/05/03,0.12
2016/05/04,0.095
2016/05/05,0.075
2016/05/06,0.06
2016/05/07,0.047
2016/05/08,0.037
2016/05/09,0.029
2016/05/10,0.023
2016/05/11,0.02
2016/05/12,0.02
2016/05/13,0.024
2016/05/14,0.03
2016/05/15,0.038
2016/05/16,0.048
2016/05/17,0.063
2016/05/18,0.086
2016/05/19,0.118
2016/05/20,0.158
2016/05/21,0.202
2016/05/22,0.25
2016/05/23,0.299
2016/05/24,0.347
2016/05/25,0.39
2016/05/26,0.43
2016/05/27,0.462
2016/05/28,0.487
2016/05/29,0.509
2016/05/30,0.529
2016/05/31,0.549
2016/06/01,0.57
2016/06/02,0.591
2016/06/03,0.611
2016/06/04,0.63
2016/06/05,0.648
2016/06/06,0.665
2016/06/07,0.681
2016/06/08,0.697
2016/06/09,0.712
2016/06/10,0.725
2016/06/11,0.735
2016/06/12,0.745
2016/06/13,0.759
2016/06/14,0.781
2016/06/15,0.807
2016/06/16,0.84
2016/06/17,0.872
2016/06/18,0.89
2016/06/19,0.896
2016/06/20,0.891
2016/06/21,0.876
2016/06/22,0.861
2016/06/23,0.84
2016/06/24,0.819
2016/06/25,0.797
2016/06/26,0.774
2016/06/27,0.751
2016/06/28,0.726
2016/06/29,0.697
2016/06/30,0.665
2016/07/01,0.632
2016/07/02,0.596
2016/07/03,0.56
2016/07/04,0.522
2016/07/05,0.48
2016/07/06,0.437
2016/07/07,0.391
