Date,transactions3sma
2016/01/01,13434
2016/01/02,9233
2016/01/03,8885
2016/01/04,9299
2016/01/05,11721
2016/01/06,14326
2016/01/07,18526
2016/01/08,16689
2016/01/09,14929
2016/01/10,11011
2016/01/11,11002
2016/01/12,10692
2016/01/13,13140
2016/01/14,13060
2016/01/15,12731
2016/01/16,10397
2016/01/17,10095
2016/01/18,11109
2016/01/19,12028
2016/01/20,12315
2016/01/21,11588
2016/01/22,11731
2016/01/23,11869
2016/01/24,12557
2016/01/25,13648
2016/01/26,15477
2016/01/27,17460
2016/01/28,17341
2016/01/29,17302
2016/01/30,15940
2016/01/31,15074
2016/02/01,14342
2016/02/02,14219
2016/02/03,14255
2016/02/04,14312
2016/02/05,14631
2016/02/06,20346
2016/02/07,20310
2016/02/08,20134
2016/02/09,14833
2016/02/10,15792
2016/02/11,18033
2016/02/12,18897
2016/02/13,19625
2016/02/14,18020
2016/02/15,17703
2016/02/16,17111
2016/02/17,18233
2016/02/18,18169
2016/02/19,18457
2016/02/20,17365
2016/02/21,17415
2016/02/22,17341
2016/02/23,17930
2016/02/24,18737
2016/02/25,19175
2016/02/26,20037
2016/02/27,19851
2016/02/28,19704
2016/02/29,19467
2016/03/01,20400
2016/03/02,21899
2016/03/03,23392
2016/03/04,24229
2016/03/05,25413
2016/03/06,26354
2016/03/07,26016
2016/03/08,25012
2016/03/09,23978
2016/03/10,24492
2016/03/11,24165
2016/03/12,25275
2016/03/13,26379
2016/03/14,28181
2016/03/15,28643
2016/03/16,28466
2016/03/17,30133
2016/03/18,30983
2016/03/19,33377
2016/03/20,33016
2016/03/21,33246
2016/03/22,32616
2016/03/23,32396
2016/03/24,33874
2016/03/25,35165
2016/03/26,36785
2016/03/27,34461
2016/03/28,33411
2016/03/29,32501
2016/03/30,34765
2016/03/31,34314
2016/04/01,34115
2016/04/02,31646
2016/04/03,30755
2016/04/04,31284
2016/04/05,34556
2016/04/06,35386
2016/04/07,34381
2016/04/08,32660
2016/04/09,32609
2016/04/10,32723
2016/04/11,31496
2016/04/12,32412
2016/04/13,33684
2016/04/14,35168
2016/04/15,35264
2016/04/16,33408
2016/04/17,35215
2016/04/18,34733
2016/04/19,35446
2016/04/20,33026
2016/04/21,34249
2016/04/22,33934
2016/04/23,33568
2016/04/24,32523
2016/04/25,33774
2016/04/26,34019
2016/04/27,33953
2016/04/28,33591
2016/04/29,35174
2016/04/30,39148
2016/05/01,40893
2016/05/02,42365
2016/05/03,39716
2016/05/04,39018
2016/05/05,38004
2016/05/06,39154
2016/05/07,38614
2016/05/08,39066
2016/05/09,38162
2016/05/10,39769
2016/05/11,40018
2016/05/12,42166
2016/05/13,44517
2016/05/14,46162
2016/05/15,45519
2016/05/16,42081
2016/05/17,40269
2016/05/18,41255
2016/05/19,43622
2016/05/20,45244
2016/05/21,44440
2016/05/22,42564
2016/05/23,42107
2016/05/24,41871
2016/05/25,44387
2016/05/26,46834
2016/05/27,48865
2016/05/28,56767
2016/05/29,55015
2016/05/30,52988
2016/05/31,44401
2016/06/01,43178
2016/06/02,42091
2016/06/03,40574
2016/06/04,39125
2016/06/05,38535
2016/06/06,38243
2016/06/07,40998
2016/06/08,41844
2016/06/09,42143
2016/06/10,40144
2016/06/11,38967
2016/06/12,39876
2016/06/13,41889
2016/06/14,46367
2016/06/15,46590
2016/06/16,45659
2016/06/17,51067
2016/06/18,57678
2016/06/19,60225
2016/06/20,53745
2016/06/21,48492
2016/06/22,47685
2016/06/23,45949
2016/06/24,45285
2016/06/25,41308
2016/06/26,41209
2016/06/27,39320
2016/06/28,41455
2016/06/29,44216
2016/06/30,52313
2016/07/01,51311
2016/07/02,47765
2016/07/03,39700
2016/07/04,39655
2016/07/05,39659
2016/07/06,39040
2016/07/07,39201
2016/07/08,40280
2016/07/09,41116
2016/07/10,40758
2016/07/11,39450
2016/07/12,39584
