Date,sentinusd30rocUSD
2016/01/01,32.68
2016/01/02,39.204
2016/01/03,164.376
2016/01/04,23.075
2016/01/05,393.201
2016/01/06,-30.333
2016/01/07,146.758
2016/01/08,-0.026
2016/01/09,26.602
2016/01/10,-44.016
2016/01/11,13.354
2016/01/12,270.923
2016/01/13,56.45
2016/01/14,-30.084
2016/01/15,-19.768
2016/01/16,66.972
2016/01/17,107.076
2016/01/18,1450
2016/01/19,799.585
2016/01/20,314.54
2016/01/21,251.795
2016/01/22,1007
2016/01/23,1723
2016/01/24,6761
2016/01/25,3821
2016/01/26,5436
2016/01/27,672.057
2016/01/28,838.836
2016/01/29,1019
2016/01/30,571.252
2016/01/31,690.656
2016/02/01,432.421
2016/02/02,280.981
2016/02/03,905.166
2016/02/04,-17.239
2016/02/05,470.534
2016/02/06,68.534
2016/02/07,1141
2016/02/08,1943
2016/02/09,3484
2016/02/10,1488
2016/02/11,661.591
2016/02/12,2498
2016/02/13,1601
2016/02/14,283.8
2016/02/15,464.994
2016/02/16,1280
2016/02/17,-4.07
2016/02/18,166.923
2016/02/19,152.692
2016/02/20,600.617
2016/02/21,51.39
2016/02/22,107.637
2016/02/23,114.045
2016/02/24,147.468
2016/02/25,55.115
2016/02/26,722.187
2016/02/27,489.111
2016/02/28,131.966
2016/02/29,83.014
2016/03/01,236.523
2016/03/02,2054
2016/03/03,1301
2016/03/04,828.87
2016/03/05,3714
2016/03/06,1131
2016/03/07,2502
2016/03/08,753.95
2016/03/09,159.8
2016/03/10,82.26
2016/03/11,23.529
2016/03/12,122.219
2016/03/13,128.668
2016/03/14,240.752
2016/03/15,265.721
2016/03/16,268.253
2016/03/17,219.972
2016/03/18,678.324
2016/03/19,84.154
2016/03/20,155.809
2016/03/21,84.885
2016/03/22,276.394
2016/03/23,64.173
2016/03/24,23.423
2016/03/25,-50.91
2016/03/26,-37.584
2016/03/27,-47.813
2016/03/28,-34.33
2016/03/29,197.486
2016/03/30,252.822
2016/03/31,20.003
2016/04/01,-84.536
2016/04/02,-77.792
2016/04/03,-82.06
2016/04/04,-84.475
2016/04/05,-58.794
2016/04/06,-59.191
2016/04/07,-63.527
2016/04/08,-54.305
2016/04/09,25.922
2016/04/10,-2.476
2016/04/11,-73.172
2016/04/12,-69.782
2016/04/13,-59.657
2016/04/14,-51.991
2016/04/15,-66.616
2016/04/16,-82.265
2016/04/17,-68.287
2016/04/18,-30.882
2016/04/19,-35.055
2016/04/20,-40.808
2016/04/21,-49.65
2016/04/22,-11.24
2016/04/23,-25.345
2016/04/24,-48.651
2016/04/25,53.725
2016/04/26,-32.104
2016/04/27,-33.073
2016/04/28,-61.341
2016/04/29,-71.857
2016/04/30,111.852
2016/05/01,246.174
2016/05/02,326.372
2016/05/03,441.048
2016/05/04,111.872
2016/05/05,42.893
2016/05/06,217.884
2016/05/07,88.595
2016/05/08,143.413
2016/05/09,52.379
2016/05/10,89.488
2016/05/11,459.13
2016/05/12,285.402
2016/05/13,869.167
2016/05/14,662.569
2016/05/15,207.86
2016/05/16,336.284
2016/05/17,103.387
2016/05/18,308.236
2016/05/19,903.716
2016/05/20,460.017
2016/05/21,239.275
2016/05/22,56.668
2016/05/23,116.891
2016/05/24,646.881
2016/05/25,283.234
2016/05/26,87.333
2016/05/27,397.742
2016/05/28,334.379
2016/05/29,167.263
2016/05/30,-43.665
2016/05/31,-11.92
2016/06/01,-40.462
2016/06/02,-49.166
2016/06/03,-18.586
2016/06/04,-39.921
2016/06/05,-68.49
2016/06/06,-53.122
2016/06/07,6.252
2016/06/08,62.708
2016/06/09,-65.557
2016/06/10,-57.459
2016/06/11,-78.011
2016/06/12,-81.208
2016/06/13,-67.499
2016/06/14,69.434
2016/06/15,7.428
2016/06/16,85.989
2016/06/17,208.511
2016/06/18,78.607
2016/06/19,-31.892
2016/06/20,125.45
2016/06/21,126.308
2016/06/22,66.287
2016/06/23,0.791
2016/06/24,-26.917
2016/06/25,11.723
2016/06/26,-70.697
2016/06/27,-63.955
2016/06/28,68.333
2016/06/29,22.247
2016/06/30,-20.253
2016/07/01,-4.669
2016/07/02,-19.605
2016/07/03,-28.65
2016/07/04,112.973
2016/07/05,502.778
2016/07/06,68.864
2016/07/07,-29.515
2016/07/08,-76.888
2016/07/09,-2.437
2016/07/10,-42.679
2016/07/11,16.995
2016/07/12,-43.61
2016/07/13,-49.834
2016/07/14,-59.987
2016/07/15,176.137
2016/07/16,-68.149
2016/07/17,-88.183
2016/07/18,-51.055
2016/07/19,397.26
2016/07/20,454.121
2016/07/21,1.993
2016/07/22,39.854
2016/07/23,64.124
2016/07/24,1002
2016/07/25,633.494
2016/07/26,2979
2016/07/27,1642
2016/07/28,376.41
2016/07/29,339.673
2016/07/30,340.788
2016/07/31,322.401
2016/08/01,1035
2016/08/02,1599
2016/08/03,521.889
2016/08/04,4.753
2016/08/05,308.678
2016/08/06,95.787
2016/08/07,218.048
2016/08/08,259.516
2016/08/09,412.684
2016/08/10,589.838
2016/08/11,406.525
2016/08/12,175.802
2016/08/13,126.61
2016/08/14,-60.284
2016/08/15,74.114
2016/08/16,20.771
2016/08/17,-40.179
2016/08/18,-88.268
2016/08/19,-93.508
2016/08/20,-21.167
2016/08/21,-3.808
2016/08/22,-33.999
2016/08/23,-71.055
2016/08/24,-91.537
2016/08/25,-96.127
2016/08/26,-85.953
2016/08/27,-88.877
2016/08/28,-86.469
2016/08/29,-72.545
2016/08/30,-78.353
2016/08/31,-80.335
2016/09/01,-76.724
2016/09/02,-74.789
2016/09/03,-62.249
2016/09/04,-62.253
2016/09/05,-50.935
2016/09/06,-51.107
2016/09/07,-56.17
2016/09/08,-53.021
2016/09/09,-86.339
2016/09/10,-83.059
2016/09/11,-62.954
2016/09/12,-52.994
2016/09/13,-37.757
2016/09/14,-43.83
2016/09/15,-28.775
2016/09/16,42.985
2016/09/17,-21.73
2016/09/18,81.576
2016/09/19,-30.864
2016/09/20,28.086
2016/09/21,123.038
2016/09/22,-50.079
2016/09/23,146.203
2016/09/24,68.772
2016/09/25,45.955
2016/09/26,73.175
2016/09/27,61.3
2016/09/28,152.964
2016/09/29,190.806
2016/09/30,-2.995
2016/10/01,-55.172
2016/10/02,11.989
2016/10/03,-45.69
2016/10/04,-45.786
2016/10/05,44.439
2016/10/06,7.201
2016/10/07,16.289
2016/10/08,-25.736
2016/10/09,293.408
2016/10/10,291.07
2016/10/11,173.26
2016/10/12,183.707
2016/10/13,5.971
2016/10/14,249.755
2016/10/15,85.64
2016/10/16,-31.11
2016/10/17,116.359
2016/10/18,78.131
2016/10/19,9.389
2016/10/20,-82.601
2016/10/21,-86.606
2016/10/22,-75.575
2016/10/23,-80.945
2016/10/24,-55.377
2016/10/25,-60.588
2016/10/26,-42.768
