Date,price30momUSD
2016/01/01,0.114
2016/01/02,0.153
2016/01/03,0.162
2016/01/04,0.126
2016/01/05,0.119
2016/01/06,0.163
2016/01/07,0.199
2016/01/08,0.197
2016/01/09,0.247
2016/01/10,0.229
2016/01/11,0.088
2016/01/12,0.205
2016/01/13,0.14
2016/01/14,0.127
2016/01/15,0.239
2016/01/16,0.275
2016/01/17,0.303
2016/01/18,0.509
2016/01/19,0.451
2016/01/20,0.559
2016/01/21,0.622
2016/01/22,0.64
2016/01/23,0.872
2016/01/24,1.268
2016/01/25,1.436
2016/01/26,1.734
2016/01/27,1.545
2016/01/28,1.635
2016/01/29,1.609
2016/01/30,1.567
2016/01/31,1.427
2016/02/01,1.256
2016/02/02,1.257
2016/02/03,1.456
2016/02/04,1.56
2016/02/05,1.551
2016/02/06,1.514
2016/02/07,1.704
2016/02/08,2.043
2016/02/09,2.409
2016/02/10,3.308
2016/02/11,3.761
2016/02/12,4.778
2016/02/13,3.85
2016/02/14,3.656
2016/02/15,4.227
2016/02/16,3.63
2016/02/17,2.676
2016/02/18,2.661
2016/02/19,3.033
2016/02/20,2.914
2016/02/21,2.911
2016/02/22,3.401
2016/02/23,3.539
2016/02/24,3.513
2016/02/25,3.692
2016/02/26,3.586
2016/02/27,3.733
2016/02/28,3.937
2016/02/29,3.899
2016/03/01,4.361
2016/03/02,5.76
2016/03/03,7.009
2016/03/04,6.83
2016/03/05,8.605
2016/03/06,8.585
2016/03/07,7.822
2016/03/08,6.905
2016/03/09,7.462
2016/03/10,8.14
2016/03/11,6.735
2016/03/12,7.97
2016/03/13,8.418
2016/03/14,8.467
2016/03/15,7.81
2016/03/16,7.764
2016/03/17,6.737
2016/03/18,6.11
2016/03/19,6.534
2016/03/20,5.732
2016/03/21,6.536
2016/03/22,7.173
2016/03/23,6.705
2016/03/24,5.711
2016/03/25,4.97
2016/03/26,4.562
2016/03/27,4.696
2016/03/28,4.968
2016/03/29,5.112
2016/03/30,5.379
2016/03/31,5.006
2016/04/01,3.627
2016/04/02,2.211
2016/04/03,2.233
2016/04/04,0.135
2016/04/05,-0.394
2016/04/06,0.257
2016/04/07,0.782
2016/04/08,-0.691
2016/04/09,-2.025
2016/04/10,-2.476
2016/04/11,-4.426
2016/04/12,-6.455
2016/04/13,-5.668
2016/04/14,-4.332
2016/04/15,-4.912
2016/04/16,-3.324
2016/04/17,-0.962
2016/04/18,-1.507
2016/04/19,-1.194
2016/04/20,-2.392
2016/04/21,-3.142
2016/04/22,-3.855
2016/04/23,-3.39
2016/04/24,-2.605
2016/04/25,-3.043
2016/04/26,-3.369
2016/04/27,-3.59
2016/04/28,-4.136
2016/04/29,-4.341
2016/04/30,-3.496
2016/05/01,-2.898
2016/05/02,-1.882
2016/05/03,-1.863
2016/05/04,-1.733
2016/05/05,-1.164
2016/05/06,-0.908
2016/05/07,-1.062
2016/05/08,-0.591
2016/05/09,-0.179
2016/05/10,0.705
2016/05/11,1.203
2016/05/12,2.256
2016/05/13,2.778
2016/05/14,1.817
2016/05/15,1.813
2016/05/16,2.213
2016/05/17,2.474
2016/05/18,3.915
2016/05/19,4.887
2016/05/20,5.75
2016/05/21,5.157
2016/05/22,6.057
2016/05/23,6.055
2016/05/24,4.824
2016/05/25,4.608
2016/05/26,5.119
2016/05/27,3.708
2016/05/28,3.919
2016/05/29,4.6
2016/05/30,4.184
2016/05/31,4.553
2016/06/01,4.308
2016/06/02,4.19
2016/06/03,4.096
2016/06/04,4.076
2016/06/05,4.045
2016/06/06,4.519
2016/06/07,4.744
2016/06/08,5.039
2016/06/09,5.046
2016/06/10,4.368
2016/06/11,3.674
2016/06/12,4.108
2016/06/13,6.397
2016/06/14,8.025
2016/06/15,7.828
2016/06/16,7.743
2016/06/17,4.347
2016/06/18,-1.055
2016/06/19,-2.161
2016/06/20,-1.904
2016/06/21,-2.09
2016/06/22,0.129
2016/06/23,-0.001
