Date,price14rsiUSD
2016/01/01,60.943
2016/01/02,61.823
2016/01/03,63.831
2016/01/04,61.822
2016/01/05,62.277
2016/01/06,62.03
2016/01/07,65.298
2016/01/08,64.152
2016/01/09,73.322
2016/01/10,75.334
2016/01/11,67.767
2016/01/12,77.785
2016/01/13,68.984
2016/01/14,69.805
2016/01/15,76.384
2016/01/16,76.402
2016/01/17,75.314
2016/01/18,83.469
2016/01/19,76.356
2016/01/20,79.869
2016/01/21,81.787
2016/01/22,80.811
2016/01/23,86.289
2016/01/24,91.169
2016/01/25,92.323
2016/01/26,93.877
2016/01/27,82.382
2016/01/28,83.436
2016/01/29,83.66
2016/01/30,83.83
2016/01/31,75.405
2016/02/01,66.555
2016/02/02,66.929
2016/02/03,71.39
2016/02/04,73.548
2016/02/05,72.995
2016/02/06,72.046
2016/02/07,75.908
2016/02/08,81.858
2016/02/09,85.501
2016/02/10,90.239
2016/02/11,92.077
2016/02/12,94.103
2016/02/13,74.676
2016/02/14,73.025
2016/02/15,76.458
2016/02/16,66.8
2016/02/17,56.939
2016/02/18,56.2
2016/02/19,60.257
2016/02/20,59.519
2016/02/21,59.382
2016/02/22,65.435
2016/02/23,69.177
2016/02/24,70.025
2016/02/25,72.867
2016/02/26,68.522
2016/02/27,70.091
2016/02/28,71.543
2016/02/29,71.126
2016/03/01,73.323
2016/03/02,79.609
2016/03/03,83.815
2016/03/04,83.85
2016/03/05,88.085
2016/03/06,87.688
2016/03/07,77.919
2016/03/08,70.037
2016/03/09,73.814
2016/03/10,77.219
2016/03/11,72.145
2016/03/12,77.521
2016/03/13,80.674
2016/03/14,73.846
2016/03/15,68.46
2016/03/16,70.106
2016/03/17,59.704
2016/03/18,52.522
2016/03/19,54.06
2016/03/20,52.346
2016/03/21,55.686
2016/03/22,58.326
2016/03/23,59.341
2016/03/24,56.574
2016/03/25,53.003
2016/03/26,53.284
2016/03/27,52.329
2016/03/28,55.192
2016/03/29,57.195
2016/03/30,58.515
2016/03/31,58.16
2016/04/01,56.941
2016/04/02,55.632
2016/04/03,55.885
2016/04/04,53.849
2016/04/05,48.903
2016/04/06,47.822
2016/04/07,46.057
2016/04/08,41.957
2016/04/09,39.928
2016/04/10,33.508
2016/04/11,32.696
2016/04/12,29.395
2016/04/13,28.968
2016/04/14,36.075
2016/04/15,35.717
2016/04/16,35.425
2016/04/17,46.292
2016/04/18,44.745
2016/04/19,44.52
2016/04/20,40.688
2016/04/21,39.679
2016/04/22,36.029
2016/04/23,36.165
2016/04/24,38.607
2016/04/25,35.406
2016/04/26,31.865
2016/04/27,35.977
2016/04/28,34.56
2016/04/29,35.142
2016/04/30,46.013
2016/05/01,51.004
2016/05/02,58.842
2016/05/03,59.277
2016/05/04,58.198
2016/05/05,58.296
2016/05/06,59.544
2016/05/07,54.598
2016/05/08,54.125
2016/05/09,55.818
2016/05/10,54.28
2016/05/11,58.548
2016/05/12,63.161
2016/05/13,67.065
2016/05/14,61.118
2016/05/15,60.228
2016/05/16,63.735
2016/05/17,72.655
2016/05/18,78.485
2016/05/19,81.656
2016/05/20,82.845
2016/05/21,73.893
2016/05/22,75.598
2016/05/23,75.632
2016/05/24,63.801
2016/05/25,58.216
2016/05/26,58.431
2016/05/27,49.136
2016/05/28,49.372
2016/05/29,54.685
2016/05/30,57.274
2016/05/31,62.221
2016/06/01,65.471
2016/06/02,64.851
2016/06/03,63.024
2016/06/04,62.924
2016/06/05,63.558
2016/06/06,64.339
2016/06/07,65.646
2016/06/08,68.516
2016/06/09,67.199
2016/06/10,62.827
2016/06/11,59.575
2016/06/12,66.166
2016/06/13,75.562
2016/06/14,80.374
2016/06/15,80.79
2016/06/16,83.48
2016/06/17,65.107
2016/06/18,43.589
2016/06/19,41.305
2016/06/20,39.811
2016/06/21,41.034
2016/06/22,50.81
2016/06/23,46.403
2016/06/24,49.766
2016/06/25,50.997
2016/06/26,49.956
2016/06/27,49.696
2016/06/28,46.321
2016/06/29,42.532
2016/06/30,44.024
2016/07/01,42.744
2016/07/02,42.145
2016/07/03,41.549
2016/07/04,40.055
2016/07/05,35.448
2016/07/06,36.273
2016/07/07,34.078
2016/07/08,37.078
2016/07/09,40.952
2016/07/10,40.477
2016/07/11,38.876
2016/07/12,38.655
2016/07/13,38.182
2016/07/14,43.817
2016/07/15,50.348
2016/07/16,49.325
2016/07/17,45.823
2016/07/18,46.313
2016/07/19,45.851
2016/07/20,52.799
2016/07/21,55.132
2016/07/22,62.172
2016/07/23,67.08
2016/07/24,58.122
2016/07/25,57.691
2016/07/26,53.857
2016/07/27,52.339
2016/07/28,52.98
2016/07/29,52.62
2016/07/30,52.295
2016/07/31,47.885
2016/08/01,43.245
2016/08/02,34.626
2016/08/03,31.649
2016/08/04,41.624
2016/08/05,43.442
2016/08/06,41.977
2016/08/07,43.751
2016/08/08,44.198
2016/08/09,50.238
2016/08/10,54.059
2016/08/11,51.304
2016/08/12,50.962
2016/08/13,49.74
2016/08/14,47.826
2016/08/15,45.334
2016/08/16,45.07
2016/08/17,43.593
2016/08/18,42.591
2016/08/19,41.387
2016/08/20,45.907
2016/08/21,45.849
2016/08/22,47.395
2016/08/23,45.748
2016/08/24,45.549
2016/08/25,47.583
2016/08/26,49.629
2016/08/27,48.254
2016/08/28,45.523
2016/08/29,44.307
2016/08/30,47.246
2016/08/31,51.257
2016/09/01,62.562
2016/09/02,60.685
2016/09/03,57.804
2016/09/04,53.701
2016/09/05,54.086
2016/09/06,51.858
2016/09/07,52.173
2016/09/08,49.599
2016/09/09,51.175
2016/09/10,53.827
2016/09/11,57.458
2016/09/12,55.15
2016/09/13,58.965
2016/09/14,57.425
2016/09/15,58.827
2016/09/16,62.288
2016/09/17,68.184
2016/09/18,70.169
2016/09/19,71.478
2016/09/20,78.741
2016/09/21,79.559
2016/09/22,64.137
2016/09/23,66.024
2016/09/24,60.638
2016/09/25,59.933
2016/09/26,58.287
2016/09/27,60.268
2016/09/28,63.085
2016/09/29,60.34
2016/09/30,60.835
2016/10/01,59.829
2016/10/02,60.709
2016/10/03,61.864
2016/10/04,63.866
2016/10/05,59.367
2016/10/06,51.491
2016/10/07,47.579
2016/10/08,40.185
2016/10/09,39.195
2016/10/10,33.82
2016/10/11,36.585
2016/10/12,35.021
2016/10/13,37.748
2016/10/14,37.884
2016/10/15,36.63
2016/10/16,39.022
2016/10/17,38.274
2016/10/18,51.997
2016/10/19,47.836
2016/10/20,44.548
2016/10/21,44.143
2016/10/22,44.086
2016/10/23,42.652
2016/10/24,41.757
2016/10/25,33.899
2016/10/26,33.676
2016/10/27,32.059
2016/10/28,29.582
2016/10/29,22.597
2016/10/30,22.491
2016/10/31,36.938
2016/11/01,31.121
2016/11/02,35.907
2016/11/03,36.435
2016/11/04,37.757
2016/11/05,40.041
2016/11/06,38.934
2016/11/07,37.192
2016/11/08,36.345
2016/11/09,32.701
2016/11/10,32.114
2016/11/11,29.653
2016/11/12,26.07
2016/11/13,25.606
2016/11/14,24.918
2016/11/15,26.421
2016/11/16,30.065
2016/11/17,27.344
2016/11/18,23.57
2016/11/19,22.806
2016/11/20,22.287
2016/11/21,22.252
2016/11/22,34.511
2016/11/23,33.363
2016/11/24,28.121
2016/11/25,26.665
2016/11/26,26.082
2016/11/27,22.804
2016/11/28,19.897
2016/11/29,15.519
2016/11/30,21.713
2016/12/01,22.741
2016/12/02,18.791
2016/12/03,18.218
2016/12/04,16.797
2016/12/05,14.297
2016/12/06,12.483
2016/12/07,33.472
2016/12/08,44.902
2016/12/09,43.525
2016/12/10,42.717
2016/12/11,41.515
2016/12/12,43.982
2016/12/13,44.857
2016/12/14,44.294
2016/12/15,39.217
2016/12/16,37.503
2016/12/17,35.327
2016/12/18,39.224
2016/12/19,37.877
2016/12/20,36.46
2016/12/21,39.2
2016/12/22,37.421
2016/12/23,33.794
2016/12/24,32.712
2016/12/25,32.137
2016/12/26,32.654
2016/12/27,31.937
2016/12/28,32.637
2016/12/29,53.799
2016/12/30,55.905
2016/12/31,51.402
2017/01/01,55.413
2017/01/02,54.371
2017/01/03,63.422
2017/01/04,76.447
2017/01/05,76.661
2017/01/06,68.537
2017/01/07,64.918
2017/01/08,66.635
2017/01/09,69.966
2017/01/10,69.51
2017/01/11,63.489
2017/01/12,55.832
2017/01/13,56.667
2017/01/14,56.948
2017/01/15,58.339
2017/01/16,56.338
2017/01/17,60.691
2017/01/18,62.87
2017/01/19,63.462
2017/01/20,66.391
2017/01/21,68.348
2017/01/22,68.944
2017/01/23,67.176
2017/01/24,65.017
2017/01/25,62.33
2017/01/26,62.576
2017/01/27,61.469
2017/01/28,61.855
2017/01/29,60.893
2017/01/30,61.265
2017/01/31,63.156
2017/02/01,64.336
2017/02/02,64.25
2017/02/03,66.367
2017/02/04,73.909
2017/02/05,72.59
2017/02/06,73.03
2017/02/07,75.105
2017/02/08,73.261
2017/02/09,64.662
2017/02/10,61.752
2017/02/11,67.157
2017/02/12,67.322
2017/02/13,64.896
2017/02/14,78.062
2017/02/15,81.862
2017/02/16,79.76
2017/02/17,79.788
2017/02/18,79.611
2017/02/19,79.811
2017/02/20,78.913
2017/02/21,73.792
2017/02/22,74.656
2017/02/23,75.99
2017/02/24,78.999
2017/02/25,81.601
2017/02/26,84.519
2017/02/27,88.843
2017/02/28,91.61
2017/03/01,92.052
2017/03/02,94.976
2017/03/03,96.133
2017/03/04,91.685
2017/03/05,84.304
2017/03/06,85.727
2017/03/07,81.24
2017/03/08,68.611
2017/03/09,62.929
2017/03/10,67.002
2017/03/11,72.782
2017/03/12,78.962
2017/03/13,85.729
2017/03/14,86.89
2017/03/15,88.376
2017/03/16,93.078
2017/03/17,94.427
2017/03/18,75.139
2017/03/19,75.457
2017/03/20,78.364
2017/03/21,77.183
2017/03/22,73.045
2017/03/23,73.426
2017/03/24,77.188
2017/03/25,80.191
2017/03/26,79.945
2017/03/27,79.976
2017/03/28,78.084
2017/03/29,79.95
2017/03/30,80.365
2017/03/31,72.786
2017/04/01,72.82
2017/04/02,71.496
2017/04/03,60.149
2017/04/04,55.454
2017/04/05,59.369
2017/04/06,55.627
2017/04/07,53.028
2017/04/08,55.728
2017/04/09,54.109
2017/04/10,53.154
2017/04/11,54.097
2017/04/12,54.972
2017/04/13,63.259
2017/04/14,61.7
2017/04/15,61.609
2017/04/16,62.683
2017/04/17,61.75
2017/04/18,64.179
2017/04/19,66.001
2017/04/20,60.919
