Date,sentbyaddress3rsi
2016/10/16,55.797
2016/10/17,63.658
2016/10/18,82.212
2016/10/19,38.772
2016/10/20,64.381
2016/10/21,67.862
2016/10/22,49.027
2016/10/23,44.781
2016/10/24,37.8
2016/10/25,39.431
2016/10/26,43.281
2016/10/27,50.64
2016/10/28,58.475
2016/10/29,29.989
2016/10/30,19.426
2016/10/31,75.217
2016/11/01,82.574
2016/11/02,34.705
2016/11/03,52.876
2016/11/04,27.12
2016/11/05,45.231
2016/11/06,35.082
2016/11/07,57.815
2016/11/08,52.846
2016/11/09,59.123
2016/11/10,32.605
2016/11/11,57.11
2016/11/12,48.719
2016/11/13,68.41
2016/11/14,35.519
2016/11/15,50.029
2016/11/16,40.187
2016/11/17,39.532
2016/11/18,50.64
2016/11/19,30.71
2016/11/20,46.725
2016/11/21,56.555
2016/11/22,97.68
2016/11/23,98.744
2016/11/24,32.19
2016/11/25,60.523
2016/11/26,37.646
2016/11/27,38.272
2016/11/28,42.15
2016/11/29,40.607
2016/11/30,41.956
2016/12/01,39.518
2016/12/02,46.833
2016/12/03,64.766
2016/12/04,65.952
2016/12/05,39.541
2016/12/06,65.076
2016/12/07,33.112
2016/12/08,36.294
2016/12/09,59.608
2016/12/10,40.117
2016/12/11,50.746
2016/12/12,52.003
2016/12/13,37.733
2016/12/14,70.836
2016/12/15,80.399
2016/12/16,40.512
2016/12/17,39.047
2016/12/18,34.888
2016/12/19,53.32
2016/12/20,65.313
2016/12/21,71.995
2016/12/22,67.324
2016/12/23,27.698
2016/12/24,19.243
2016/12/25,11.585
2016/12/26,18.524
2016/12/27,52.193
2016/12/28,68.371
2016/12/29,82.256
2016/12/30,54.199
2016/12/31,69.841
2017/01/01,27.259
2017/01/02,52.432
2017/01/03,65.111
2017/01/04,83.798
2017/01/05,68.799
2017/01/06,70.118
2017/01/07,35.779
2017/01/08,25.903
2017/01/09,63.692
2017/01/10,39.966
2017/01/11,52.43
2017/01/12,56.305
2017/01/13,39.245
2017/01/14,27.78
2017/01/15,20.267
2017/01/16,65.968
2017/01/17,48.804
2017/01/18,39.216
2017/01/19,59.862
2017/01/20,68.187
2017/01/21,40.8
2017/01/22,31.848
2017/01/23,50.48
2017/01/24,55.571
2017/01/25,31.741
2017/01/26,52.298
2017/01/27,38.507
2017/01/28,33.368
2017/01/29,22.118
2017/01/30,67.457
2017/01/31,59.613
2017/02/01,64.267
2017/02/02,78.836
2017/02/03,41.638
2017/02/04,68.784
2017/02/05,72.268
2017/02/06,72.821
2017/02/07,46.57
2017/02/08,60.309
2017/02/09,54.761
2017/02/10,87.617
2017/02/11,32.49
2017/02/12,50.458
2017/02/13,78.522
2017/02/14,73.984
2017/02/15,67.837
2017/02/16,38.627
2017/02/17,37.953
2017/02/18,66.589
2017/02/19,29.513
2017/02/20,56.092
2017/02/21,46.491
2017/02/22,42.699
2017/02/23,36.476
2017/02/24,71.509
2017/02/25,49.419
2017/02/26,54.708
2017/02/27,77.633
2017/02/28,91.949
2017/03/01,93.607
2017/03/02,98.568
2017/03/03,52.761
2017/03/04,41.77
2017/03/05,39.717
2017/03/06,40.532
2017/03/07,28.99
