Date,price30rocUSD
2016/01/01,13.496
2016/01/02,18.831
2016/01/03,19.724
2016/01/04,14.95
2016/01/05,13.915
2016/01/06,20.164
2016/01/07,24.956
2016/01/08,24.839
2016/01/09,30.229
2016/01/10,26.815
2016/01/11,9.141
2016/01/12,21.134
2016/01/13,14.123
2016/01/14,12.535
2016/01/15,23.792
2016/01/16,28.456
2016/01/17,32.47
2016/01/18,55.851
2016/01/19,48.996
2016/01/20,61.752
2016/01/21,68.885
2016/01/22,72.806
2016/01/23,100.134
2016/01/24,145.1
2016/01/25,166.19
2016/01/26,204.136
2016/01/27,180.484
2016/01/28,191.504
2016/01/29,178.905
2016/01/30,164.123
2016/01/31,148.755
2016/02/01,130.059
2016/02/02,128.133
2016/02/03,149.726
2016/02/04,159.949
2016/02/05,159.171
2016/02/06,152.214
2016/02/07,172.001
2016/02/08,192.296
2016/02/09,222.348
2016/02/10,313.755
2016/02/11,319.794
2016/02/12,423.008
2016/02/13,337.745
2016/02/14,294.599
2016/02/15,340.555
2016/02/16,293.799
2016/02/17,188.284
2016/02/18,193.878
2016/02/19,206.972
2016/02/20,190.947
2016/02/21,191.659
2016/02/22,195.233
2016/02/23,165.182
2016/02/24,152.757
2016/02/25,142.927
2016/02/26,149.318
2016/02/27,149.972
2016/02/28,157.009
2016/02/29,154.649
2016/03/01,182.689
2016/03/02,259.162
2016/03/03,313.287
2016/03/04,281.317
2016/03/05,339.424
2016/03/06,339.97
2016/03/07,311.759
2016/03/08,256.203
2016/03/09,240.3
2016/03/10,233.043
2016/03/11,154.371
2016/03/12,161.451
2016/03/13,142.486
2016/03/14,169.677
2016/03/15,159.497
2016/03/16,141.985
2016/03/17,138.474
2016/03/18,149.117
2016/03/19,161.977
2016/03/20,127.437
2016/03/21,147.209
2016/03/22,161.921
2016/03/23,130.381
2016/03/24,100.522
2016/03/25,85.512
2016/03/26,72.702
2016/03/27,78.428
2016/03/28,79.846
2016/03/29,79.309
2016/03/30,83.781
2016/03/31,74.19
2016/04/01,45.434
2016/04/02,23.908
2016/04/03,24.124
2016/04/04,1.21
2016/04/05,-3.549
2016/04/06,2.49
2016/04/07,8.151
2016/04/08,-6.541
2016/04/09,-17.406
2016/04/10,-22.31
2016/04/11,-34.295
2016/04/12,-45.055
2016/04/13,-42.12
2016/04/14,-34.088
2016/04/15,-37.12
2016/04/16,-28.647
2016/04/17,-9.423
2016/04/18,-14.258
2016/04/19,-11.675
2016/04/20,-21.79
2016/04/21,-27.08
2016/04/22,-32.539
2016/04/23,-29.758
2016/04/24,-24.156
2016/04/25,-28.083
2016/04/26,-31.532
2016/04/27,-32.082
2016/04/28,-35.793
2016/04/29,-36.789
2016/04/30,-29.738
2016/05/01,-24.963
2016/05/02,-16.423
2016/05/03,-16.213
2016/05/04,-15.375
2016/05/05,-10.861
2016/05/06,-8.577
2016/05/07,-10.228
2016/05/08,-5.986
2016/05/09,-1.861
2016/05/10,8.173
2016/05/11,14.185
2016/05/12,28.66
2016/05/13,35.665
2016/05/14,21.692
2016/05/15,21.793
2016/05/16,26.731
2016/05/17,26.76
2016/05/18,43.205
2016/05/19,54.083
2016/05/20,66.983
2016/05/21,60.949
2016/05/22,75.778
2016/05/23,75.663
2016/05/24,58.994
2016/05/25,59.128
2016/05/26,69.988
2016/05/27,48.794
2016/05/28,52.818
2016/05/29,61.674
2016/05/30,50.666
2016/05/31,52.266
2016/06/01,44.989
2016/06/02,43.517
2016/06/03,42.928
2016/06/04,42.671
2016/06/05,41.788
2016/06/06,48.491
2016/06/07,51.098
2016/06/08,53.437
2016/06/09,54.103
2016/06/10,45.111
2016/06/11,36.274
2016/06/12,38.88
2016/06/13,62.768
2016/06/14,79.186
2016/06/15,74.606
2016/06/16,66.066
2016/06/17,33.498
2016/06/18,-7.578
2016/06/19,-15.072
2016/06/20,-13.982
2016/06/21,-14.873
2016/06/22,0.914
2016/06/23,-0.004
2016/06/24,11.687
2016/06/25,13.929
2016/06/26,23.067
2016/06/27,22.21
2016/06/28,8.532
2016/06/29,-2.375
2016/06/30,-6.268
2016/07/01,-12.642
2016/07/02,-13.236
2016/07/03,-13.044
2016/07/04,-15.344
2016/07/05,-23.806
2016/07/06,-23.625
2016/07/07,-28.42
2016/07/08,-27.92
2016/07/09,-23.843
2016/07/10,-22.755
2016/07/11,-23.541
2016/07/12,-28.372
2016/07/13,-37.131
2016/07/14,-39.13
2016/07/15,-35.101
2016/07/16,-39.626
2016/07/17,-34.96
2016/07/18,-11.987
2016/07/19,-7.472
2016/07/20,3.149
2016/07/21,3.607
2016/07/22,-5.067
2016/07/23,10.887
2016/07/24,-3.473
2016/07/25,-6.008
2016/07/26,-7.81
2016/07/27,-8.834
2016/07/28,-2.789
2016/07/29,4.381
2016/07/30,1.711
2016/07/31,0.221
2016/08/01,-3.458
2016/08/02,-14.044
2016/08/03,-16.897
2016/08/04,2.369
2016/08/05,3.439
2016/08/06,6.506
2016/08/07,4.543
2016/08/08,0.064
2016/08/09,7.476
2016/08/10,15.367
2016/08/11,12.671
2016/08/12,13.17
2016/08/13,5.534
2016/08/14,-3.686
2016/08/15,-4.969
2016/08/16,-1.155
2016/08/17,-3.073
2016/08/18,-3.507
2016/08/19,-11.079
2016/08/20,-10.507
2016/08/21,-17.699
2016/08/22,-22.335
2016/08/23,-17.242
2016/08/24,-17.02
2016/08/25,-12.882
2016/08/26,-10.5
2016/08/27,-11.812
2016/08/28,-12.915
2016/08/29,-13.301
2016/08/30,-8.535
2016/08/31,-2.03
2016/09/01,19.325
2016/09/02,25.801
2016/09/03,11.197
2016/09/04,6.724
2016/09/05,9.339
2016/09/06,6.133
2016/09/07,5.814
2016/09/08,-1.81
2016/09/09,-5.238
2016/09/10,-1.414
2016/09/11,0.654
2016/09/12,0.982
2016/09/13,4.766
2016/09/14,6.863
2016/09/15,7.838
2016/09/16,11.224
2016/09/17,16.066
2016/09/18,18.921
2016/09/19,16.217
2016/09/20,23.446
2016/09/21,23.234
2016/09/22,18.626
2016/09/23,20.414
2016/09/24,16.519
2016/09/25,14.85
2016/09/26,14.994
2016/09/27,18.128
2016/09/28,20.931
2016/09/29,18.112
2016/09/30,16.091
2016/10/01,7.887
2016/10/02,9.245
2016/10/03,11.269
2016/10/04,14.547
2016/10/05,12.905
2016/10/06,11.281
2016/10/07,9.479
2016/10/08,7.07
2016/10/09,5.754
2016/10/10,1.204
2016/10/11,0.416
2016/10/12,0.323
2016/10/13,-0.601
2016/10/14,-0.028
2016/10/15,-1.296
2016/10/16,-2.226
2016/10/17,-5.699
2016/10/18,-2.569
2016/10/19,-4.956
2016/10/20,-11.734
2016/10/21,-12.631
2016/10/22,-8.17
2016/10/23,-9.917
2016/10/24,-8.294
2016/10/25,-11.313
2016/10/26,-10.837
2016/10/27,-12.576
2016/10/28,-15.193
2016/10/29,-18.918
2016/10/30,-19.213
2016/10/31,-15.126
2016/11/01,-19.018
2016/11/02,-17.889
2016/11/03,-18.463
2016/11/04,-17.046
2016/11/05,-14.214
2016/11/06,-13.467
2016/11/07,-11.334
2016/11/08,-11.287
2016/11/09,-10.367
2016/11/10,-11.545
2016/11/11,-12.126
2016/11/12,-15.26
2016/11/13,-15.623
2016/11/14,-15.561
2016/11/15,-15.815
2016/11/16,-14.728
2016/11/17,-19.943
2016/11/18,-21.03
2016/11/19,-20.455
2016/11/20,-20.681
2016/11/21,-20.686
2016/11/22,-17.62
2016/11/23,-17.865
2016/11/24,-17.695
2016/11/25,-18.523
2016/11/26,-18.189
2016/11/27,-19.343
2016/11/28,-17.468
2016/11/29,-22.829
2016/11/30,-24.568
2016/12/01,-20.961
2016/12/02,-26.91
2016/12/03,-27.811
2016/12/04,-30.087
2016/12/05,-34.63
2016/12/06,-37.839
2016/12/07,-28.828
2016/12/08,-21.707
2016/12/09,-21.183
2016/12/10,-21.573
2016/12/11,-21.307
2016/12/12,-17.629
2016/12/13,-16.786
2016/12/14,-16.718
2016/12/15,-20.855
2016/12/16,-22.999
2016/12/17,-23.479
2016/12/18,-19.189
2016/12/19,-19.718
2016/12/20,-20.494
2016/12/21,-19.187
2016/12/22,-23.025
2016/12/23,-25.336
2016/12/24,-23.653
2016/12/25,-23.267
2016/12/26,-22.718
2016/12/27,-21.048
2016/12/28,-18.264
2016/12/29,-1.36
2016/12/30,-2.094
