Date,mining_profitability90roc
2016/01/01,1.516
2016/01/02,8.104
2016/01/03,11.301
2016/01/04,16.627
2016/01/05,9.994
2016/01/06,13.685
2016/01/07,11.935
2016/01/08,11.486
2016/01/09,22.115
2016/01/10,25.181
2016/01/11,23.754
2016/01/12,50.859
2016/01/13,52.925
2016/01/14,37.951
2016/01/15,53.61
2016/01/16,50.907
2016/01/17,60.6
2016/01/18,79.412
2016/01/19,90.449
2016/01/20,95.595
2016/01/21,71.185
2016/01/22,76.616
2016/01/23,83.734
2016/01/24,116.253
2016/01/25,78.836
2016/01/26,90.448
2016/01/27,46.872
2016/01/28,56.289
2016/01/29,88.014
2016/01/30,91.757
2016/01/31,63.376
2016/02/01,51.338
2016/02/02,75.48
2016/02/03,82.97
2016/02/04,93.74
2016/02/05,88.777
2016/02/06,89.173
2016/02/07,84.55
2016/02/08,114.233
2016/02/09,185.64
2016/02/10,245.088
2016/02/11,272.541
2016/02/12,359.762
2016/02/13,280.203
2016/02/14,260.085
2016/02/15,266.62
2016/02/16,236.646
2016/02/17,191.084
2016/02/18,186.567
2016/02/19,185.631
2016/02/20,170.476
2016/02/21,172.002
2016/02/22,215.851
2016/02/23,254.861
2016/02/24,272.266
2016/02/25,295.776
2016/02/26,269.072
2016/02/27,275.043
2016/02/28,293.465
2016/02/29,292.382
2016/03/01,335.142
2016/03/02,401.144
2016/03/03,469.698
2016/03/04,455.656
2016/03/05,524.087
2016/03/06,508.358
2016/03/07,474.996
2016/03/08,414.618
2016/03/09,467.119
2016/03/10,514.027
2016/03/11,399.089
2016/03/12,475.524
2016/03/13,517.907
2016/03/14,481.246
2016/03/15,516.172
2016/03/16,571.79
2016/03/17,502.282
2016/03/18,431.312
2016/03/19,422.723
2016/03/20,393.655
2016/03/21,449.877
2016/03/22,474.934
2016/03/23,519.433
2016/03/24,458.791
2016/03/25,403.979
2016/03/26,409.606
2016/03/27,383.965
2016/03/28,418.623
2016/03/29,382.527
2016/03/30,361.641
2016/03/31,338.73
2016/04/01,312.833
2016/04/02,313.88
2016/04/03,305.385
2016/04/04,280.942
2016/04/05,261.279
2016/04/06,241.408
2016/04/07,254.302
2016/04/08,200.404
2016/04/09,175.585
2016/04/10,165.239
2016/04/11,136.535
2016/04/12,126.149
2016/04/13,118.294
2016/04/14,119.862
2016/04/15,116.941
2016/04/16,109.839
2016/04/17,116.861
2016/04/18,111.739
2016/04/19,92.464
2016/04/20,77.786
2016/04/21,77.524
2016/04/22,54.247
2016/04/23,22.128
2016/04/24,19.201
2016/04/25,0.787
2016/04/26,3.929
2016/04/27,1.882
2016/04/28,0.048
2016/04/29,-2.197
2016/04/30,9.299
2016/05/01,23.964
2016/05/02,40.59
2016/05/03,25.178
2016/05/04,21.767
2016/05/05,24.006
2016/05/06,21.558
2016/05/07,11.261
2016/05/08,-0.523
2016/05/09,-13.517
2016/05/10,-30.667
2016/05/11,-32.876
2016/05/12,-43.044
2016/05/13,-30.957
2016/05/14,-29.891
2016/05/15,-35.961
2016/05/16,-27.085
2016/05/17,-0.617
2016/05/18,3.215
2016/05/19,-0.529
2016/05/20,3.39
2016/05/21,-1.971
2016/05/22,-8.337
2016/05/23,-15.689
2016/05/24,-26.038
2016/05/25,-34.752
2016/05/26,-30.427
2016/05/27,-36.664
2016/05/28,-39.336
2016/05/29,-35.631
2016/05/30,-38.573
2016/05/31,-42.789
2016/06/01,-44.2
2016/06/02,-43.742
2016/06/03,-55.173
2016/06/04,-52.661
2016/06/05,-49.177
2016/06/06,-44.356
2016/06/07,-48.554
2016/06/08,-51.221
2016/06/09,-49.761
2016/06/10,-54.318
2016/06/11,-58.447
2016/06/12,-53.696
2016/06/13,-52.999
2016/06/14,-50.578
2016/06/15,-42.152
2016/06/16,-29.162
2016/06/17,-36.806
2016/06/18,-46.847
2016/06/19,-56.47
2016/06/20,-61.145
2016/06/21,-61.766
2016/06/22,-51.205
2016/06/23,-52.543
2016/06/24,-47.662
2016/06/25,-45.067
2016/06/26,-49.528
2016/06/27,-50.888
2016/06/28,-54.308
2016/06/29,-54.847
2016/06/30,-53.441
2016/07/01,-54.654
2016/07/02,-54.865
2016/07/03,-53.636
2016/07/04,-51.479
2016/07/05,-56.375
2016/07/06,-55.816
2016/07/07,-53.598
2016/07/08,-49.371
2016/07/09,-38.676
2016/07/10,-40.591
2016/07/11,-40.784
2016/07/12,-38.035
2016/07/13,-42.418
2016/07/14,-36.783
2016/07/15,-29.01
2016/07/16,-38.48
2016/07/17,-37.93
2016/07/18,-36.714
2016/07/19,-34.127
2016/07/20,-24.753
2016/07/21,-22.344
2016/07/22,-12.118
2016/07/23,-10.411
2016/07/24,-10.385
2016/07/25,-0.409
2016/07/26,-7.823
2016/07/27,6.844
2016/07/28,0.802
2016/07/29,-5.523
2016/07/30,-8.058
2016/07/31,-24.244
2016/08/01,-23.854
2016/08/02,-27.59
2016/08/03,-29.384
2016/08/04,-25.591
2016/08/05,-24.328
2016/08/06,-24.414
2016/08/07,-24.198
2016/08/08,-22.747
2016/08/09,-25.476
2016/08/10,-28.768
2016/08/11,-30.543
2016/08/12,-28.233
2016/08/13,-27.914
2016/08/14,-31.416
2016/08/15,-41.097
2016/08/16,-46.903
2016/08/17,-49.329
2016/08/18,-50.4
2016/08/19,-48.547
2016/08/20,-50.243
2016/08/21,-49.604
