Date,mining_profitability3trx
2016/01/01,2.006
2016/01/02,2.601
2016/01/03,2.466
2016/01/04,1.84
2016/01/05,1.315
2016/01/06,0.717
2016/01/07,0.925
2016/01/08,0.804
2016/01/09,1.31
2016/01/10,1.908
2016/01/11,0.91
2016/01/12,1.474
2016/01/13,1.807
2016/01/14,1.432
2016/01/15,1.723
2016/01/16,1.422
2016/01/17,1.127
2016/01/18,2.206
2016/01/19,2
2016/01/20,2.519
2016/01/21,2.839
2016/01/22,2.102
2016/01/23,3.009
2016/01/24,6.277
2016/01/25,7.928
2016/01/26,8.73
2016/01/27,6.216
2016/01/28,4.896
2016/01/29,3.238
2016/01/30,2.1
2016/01/31,0.818
2016/02/01,-1.014
2016/02/02,-1.535
2016/02/03,-0.67
2016/02/04,0.29
2016/02/05,0.611
2016/02/06,0.977
2016/02/07,1.699
2016/02/08,3.245
2016/02/09,5.855
2016/02/10,9.438
2016/02/11,11.198
2016/02/12,13.972
2016/02/13,9.02
2016/02/14,4.294
2016/02/15,2.639
2016/02/16,0.534
2016/02/17,-2.538
2016/02/18,-3.676
2016/02/19,-2.846
2016/02/20,-2.078
2016/02/21,-1.605
2016/02/22,0.248
2016/02/23,2.359
2016/02/24,3.571
2016/02/25,4.707
2016/02/26,3.385
2016/02/27,2.091
2016/02/28,1.495
2016/02/29,0.876
2016/03/01,1.533
2016/03/02,3.708
2016/03/03,6.057
2016/03/04,5.693
2016/03/05,6.973
2016/03/06,5.801
2016/03/07,3.375
2016/03/08,0.544
2016/03/09,-0.082
2016/03/10,1.056
2016/03/11,0.607
2016/03/12,1.419
2016/03/13,2.859
2016/03/14,2.414
2016/03/15,2.63
2016/03/16,2.848
2016/03/17,0.672
2016/03/18,-2.288
2016/03/19,-3.532
2016/03/20,-4.32
2016/03/21,-3.347
2016/03/22,-1.699
2016/03/23,0.257
2016/03/24,0.034
2016/03/25,-1.574
2016/03/26,-2.644
2016/03/27,-3.245
2016/03/28,-2.486
2016/03/29,-1.627
2016/03/30,-0.913
2016/03/31,-1.023
2016/04/01,-1.165
2016/04/02,-1.139
2016/04/03,-1.347
2016/04/04,-1.976
2016/04/05,-2.875
2016/04/06,-3.17
2016/04/07,-2.639
2016/04/08,-3.18
2016/04/09,-3.826
2016/04/10,-4.981
2016/04/11,-5.271
2016/04/12,-5.162
2016/04/13,-5.074
2016/04/14,-3.793
2016/04/15,-2.903
2016/04/16,-2.446
2016/04/17,-0.3
2016/04/18,0.177
2016/04/19,-0.063
2016/04/20,-0.929
2016/04/21,-1.766
2016/04/22,-2.214
2016/04/23,-2.561
2016/04/24,-2.092
2016/04/25,-2.384
2016/04/26,-3.034
2016/04/27,-2.52
2016/04/28,-2.408
2016/04/29,-2.291
2016/04/30,-1.11
2016/05/01,0.214
2016/05/02,3.089
2016/05/03,3.448
2016/05/04,2.745
2016/05/05,2.034
2016/05/06,1.532
2016/05/07,0.621
2016/05/08,-0.13
2016/05/09,-0.41
2016/05/10,-0.883
2016/05/11,-0.27
2016/05/12,0.895
2016/05/13,1.122
2016/05/14,0.508
2016/05/15,-0.068
2016/05/16,0.002
2016/05/17,1.921
2016/05/18,3.809
2016/05/19,4.618
2016/05/20,4.424
2016/05/21,2.697
2016/05/22,1.975
2016/05/23,1.356
2016/05/24,-0.288
2016/05/25,-1.719
2016/05/26,-2.434
2016/05/27,-3.423
2016/05/28,-3.828
2016/05/29,-3.065
2016/05/30,-1.716
2016/05/31,0.058
2016/06/01,2.134
2016/06/02,2.522
2016/06/03,1.357
2016/06/04,0.441
2016/06/05,0.091
2016/06/06,-0.039
2016/06/07,-0.136
2016/06/08,0.304
2016/06/09,-0.128
2016/06/10,-0.376
2016/06/11,-0.646
2016/06/12,-0.091
2016/06/13,1.457
2016/06/14,3.267
2016/06/15,3.809
2016/06/16,4.274
2016/06/17,2.508
2016/06/18,-1.612
2016/06/19,-4.954
2016/06/20,-6.862
2016/06/21,-6.649
2016/06/22,-3.83
2016/06/23,-3.021
2016/06/24,-1.66
2016/06/25,-0.538
2016/06/26,-0.283
2016/06/27,-0.589
2016/06/28,-1.527
2016/06/29,-2.565
2016/06/30,-2.583
2016/07/01,-2.495
2016/07/02,-2.563
2016/07/03,-2.66
2016/07/04,-2.658
2016/07/05,-3.601
2016/07/06,-3.47
2016/07/07,-3.543
2016/07/08,-2.829
2016/07/09,-1.121
2016/07/10,-0.495
2016/07/11,-0.786
2016/07/12,-1.081
2016/07/13,-1.22
2016/07/14,-0.41
2016/07/15,1.388
2016/07/16,2.084
2016/07/17,1.247
2016/07/18,0.502
2016/07/19,-0.11
2016/07/20,0.844
2016/07/21,1.557
2016/07/22,2.872
2016/07/23,3.876
2016/07/24,2.702
2016/07/25,2.14
2016/07/26,1.301
2016/07/27,1.949
2016/07/28,1.222
2016/07/29,0.619
2016/07/30,0.344
2016/07/31,-0.25
2016/08/01,-1.115
2016/08/02,-2.119
2016/08/03,-2.607
2016/08/04,-1.784
2016/08/05,-1.231
2016/08/06,-1.022
2016/08/07,-0.742
2016/08/08,-0.713
2016/08/09,-0.316
2016/08/10,0.058
2016/08/11,-0.358
2016/08/12,-0.671
2016/08/13,-0.787
2016/08/14,-0.989
2016/08/15,-1.205
2016/08/16,-1.595
2016/08/17,-1.801
2016/08/18,-1.746
2016/08/19,-1.832
2016/08/20,-1.518
2016/08/21,-1.08
2016/08/22,-0.814
2016/08/23,-0.989
2016/08/24,-0.987
2016/08/25,-1.015
2016/08/26,-1.253
2016/08/27,-1.182
2016/08/28,-1.107
2016/08/29,-0.904
2016/08/30,-0.511
2016/08/31,-0.134
2016/09/01,0.687
2016/09/02,1.031
2016/09/03,1.157
2016/09/04,1.303
2016/09/05,0.872
2016/09/06,0.274
2016/09/07,-0.135
2016/09/08,-0.444
2016/09/09,-0.399
2016/09/10,-0.399
2016/09/11,-0.408
2016/09/12,-0.473
2016/09/13,-0.292
2016/09/14,-0.37
2016/09/15,-0.422
2016/09/16,-0.084
2016/09/17,0.069
2016/09/18,0.801
2016/09/19,3.001
2016/09/20,2.384
2016/09/21,1.027
2016/09/22,0.478
2016/09/23,0.188
2016/09/24,-0.585
2016/09/25,-1.063
2016/09/26,-1.318
2016/09/27,-0.647
2016/09/28,-1.068
2016/09/29,-1.704
2016/09/30,-1.767
2016/10/01,-0.903
2016/10/02,-0.066
2016/10/03,-0.226
2016/10/04,-0.994
2016/10/05,-1.05
2016/10/06,-1.35
2016/10/07,0.204
2016/10/08,0.068
2016/10/09,-1.387
2016/10/10,-2.655
2016/10/11,-3.243
2016/10/12,-2.594
2016/10/13,-1.481
2016/10/14,-1.791
2016/10/15,-2.372
2016/10/16,-2.4
2016/10/17,-1.702
2016/10/18,-0.565
2016/10/19,-0.122
2016/10/20,-0.084
2016/10/21,-1.167
2016/10/22,-1.897
2016/10/23,-1.894
2016/10/24,-1.571
2016/10/25,-1.905
2016/10/26,-1.97
2016/10/27,-1.815
2016/10/28,-1.314
2016/10/29,0.775
2016/10/30,3.408
2016/10/31,3.941
2016/11/01,4.372
2016/11/02,6.143
2016/11/03,6.962
2016/11/04,7.424
2016/11/05,7.79
2016/11/06,7.05
2016/11/07,3.665
2016/11/08,-0.286
2016/11/09,-2.701
2016/11/10,-2.511
2016/11/11,-1.572
2016/11/12,-1.129
2016/11/13,-1.646
2016/11/14,-2.51
2016/11/15,-2.906
2016/11/16,-2.324
2016/11/17,-1.607
2016/11/18,-1.372
2016/11/19,-2.125
2016/11/20,-3.364
2016/11/21,-4.49
2016/11/22,-3.834
2016/11/23,-2.201
2016/11/24,-0.078
2016/11/25,1.314
2016/11/26,1.142
2016/11/27,0.876
2016/11/28,-0.125
2016/11/29,-1.632
2016/11/30,-1.919
2016/12/01,-1.805
2016/12/02,-2.3
2016/12/03,-2.931
2016/12/04,-3.449
2016/12/05,-3.661
2016/12/06,-3.597
2016/12/07,-2.022
2016/12/08,0.239
2016/12/09,0.459
2016/12/10,-0.11
2016/12/11,-0.909
2016/12/12,-0.725
2016/12/13,-0.551
2016/12/14,-0.365
2016/12/15,-0.908
2016/12/16,-1.597
2016/12/17,-2.127
2016/12/18,-2.278
2016/12/19,-2.332
2016/12/20,-2.441
2016/12/21,-1.972
2016/12/22,-1.413
2016/12/23,-0.487
2016/12/24,0.803
2016/12/25,0.975
2016/12/26,0.254
2016/12/27,-0.075
2016/12/28,0.073
2016/12/29,1.972
2016/12/30,2.987
2016/12/31,2.218
2017/01/01,1.946
2017/01/02,1.406
2017/01/03,1.908
2017/01/04,3.28
2017/01/05,3.186
2017/01/06,1.686
2017/01/07,0.081
2017/01/08,-0.612
2017/01/09,-0.615
2017/01/10,-0.642
2017/01/11,-1.062
2017/01/12,-1.931
2017/01/13,-2.266
2017/01/14,-2.2
2017/01/15,-1.859
2017/01/16,-1.626
2017/01/17,-0.834
2017/01/18,0.235
2017/01/19,0.206
2017/01/20,0.4
2017/01/21,0.547
2017/01/22,0.577
2017/01/23,0.151
2017/01/24,-0.111
2017/01/25,-0.378
2017/01/26,-0.635
2017/01/27,-0.815
2017/01/28,-0.663
2017/01/29,-0.415
2017/01/30,-0.235
2017/01/31,-0.197
2017/02/01,0.045
2017/02/02,-0.059
2017/02/03,0.127
2017/02/04,0.768
2017/02/05,0.422
2017/02/06,-0.021
2017/02/07,-0.122
2017/02/08,-0.243
2017/02/09,-0.585
2017/02/10,-1.134
2017/02/11,-1.038
2017/02/12,-0.927
2017/02/13,-0.923
2017/02/14,0.022
2017/02/15,1.247
2017/02/16,1.591
2017/02/17,1.119
2017/02/18,0.475
2017/02/19,-0.087
2017/02/20,-0.374
2017/02/21,-0.829
2017/02/22,-0.935
2017/02/23,-0.667
2017/02/24,-0.18
2017/02/25,0.135
2017/02/26,0.243
2017/02/27,0.809
2017/02/28,1.61
2017/03/01,2.153
2017/03/02,3.94
2017/03/03,4.957
2017/03/04,4.501
2017/03/05,2.675
2017/03/06,1.547
2017/03/07,0.68
2017/03/08,-0.904
2017/03/09,-2.306
2017/03/10,-2.119
2017/03/11,-0.662
2017/03/12,1.753
2017/03/13,5.65
2017/03/14,7.474
2017/03/15,7.51
2017/03/16,11.08
2017/03/17,12.713
2017/03/18,7.998
2017/03/19,4.981
2017/03/20,3.774
2017/03/21,2.725
2017/03/22,1.216
2017/03/23,-0.168
2017/03/24,0.468
2017/03/25,2.233
2017/03/26,2.255
2017/03/27,1.19
2017/03/28,0.368
2017/03/29,0.312
2017/03/30,0.258
2017/03/31,-0.578
2017/04/01,-0.958
2017/04/02,-1.223
2017/04/03,-1.423
2017/04/04,-2.603
2017/04/05,-2.713
2017/04/06,-2.843
2017/04/07,-2.955
2017/04/08,-2.41
2017/04/09,-1.98
2017/04/10,-1.771
2017/04/11,-1.587
2017/04/12,-1.208
2017/04/13,0.68
2017/04/14,0.718
2017/04/15,0.369
2017/04/16,0.242
2017/04/17,-0.024
2017/04/18,-0.168
2017/04/19,-0.207
2017/04/20,-0.341
2017/04/21,-0.567
2017/04/22,-0.993
2017/04/23,-1.214
2017/04/24,-0.689
2017/04/25,-0.376
2017/04/26,-0.175
2017/04/27,1.093
2017/04/28,3.008
2017/04/29,3.803
2017/04/30,4.374
2017/05/01,5.138
2017/05/02,4.373
2017/05/03,3.187
2017/05/04,3.615
2017/05/05,4.071
2017/05/06,3.517
2017/05/07,2.784
2017/05/08,1.447
2017/05/09,-0.53
2017/05/10,-1.03
2017/05/11,-1.121
2017/05/12,-1.186
2017/05/13,-1.357
2017/05/14,-1.781
2017/05/15,-1.882
2017/05/16,-1.926
2017/05/17,-1.71
2017/05/18,-0.711
2017/05/19,2.024
2017/05/20,4.703
2017/05/21,5.815
2017/05/22,8.201
2017/05/23,8.648
2017/05/24,9.146
2017/05/25,8.522
2017/05/26,5.525
2017/05/27,0.642
2017/05/28,-0.558
2017/05/29,-0.499
2017/05/30,1.194
2017/05/31,3.351
2017/06/01,2.57
2017/06/02,1.207
2017/06/03,0.156
2017/06/04,0.157
2017/06/05,0.597
2017/06/06,1.038
2017/06/07,0.909
2017/06/08,0.28
2017/06/09,0.404
2017/06/10,1.585
2017/06/11,3.484
2017/06/12,5.412
2017/06/13,5.652
2017/06/14,3.955
2017/06/15,0.529
2017/06/16,-0.765
2017/06/17,-1.177
2017/06/18,-1.081
2017/06/19,-1.103
2017/06/20,-1.751
2017/06/21,-3.089
2017/06/22,-3.903
2017/06/23,-3.892
2017/06/24,-3.635
2017/06/25,-4.126
2017/06/26,-5.422
2017/06/27,-6.516
2017/06/28,-4.805
2017/06/29,-2.5
2017/06/30,-1.617
2017/07/01,-2.396
2017/07/02,-2.887
2017/07/03,-2.411
2017/07/04,-2.042
2017/07/05,-2.116
2017/07/06,-2.044
2017/07/07,-2.267
2017/07/08,-2.907
2017/07/09,-3.042
2017/07/10,-4.62
2017/07/11,-6.636
2017/07/12,-6.611
2017/07/13,-5.497
2017/07/14,-4.583
2017/07/15,-4.511
2017/07/16,-5.997
2017/07/17,-5.243
2017/07/18,-2.012
2017/07/19,1.34
2017/07/20,2.065
2017/07/21,1.908
2017/07/22,1.762
2017/07/23,1.318
2017/07/24,0.954
2017/07/25,-0.41
2017/07/26,-1.804
2017/07/27,-2.128
2017/07/28,-2.319
2017/07/29,-2.668
2017/07/30,-2.176
2017/07/31,-2.248
2017/08/01,-2.254
2017/08/02,-1.741
2017/08/03,-0.772
2017/08/04,-0.38
2017/08/05,0.677
2017/08/06,2.334
2017/08/07,3.039
2017/08/08,3.46
2017/08/09,3.778
2017/08/10,3.602
2017/08/11,3.078
2017/08/12,2.488
2017/08/13,1.12
2017/08/14,0.176
2017/08/15,-0.813
2017/08/16,-0.462
2017/08/17,-0.067
2017/08/18,0.126
2017/08/19,-0.763
2017/08/20,-1.26
2017/08/21,-0.201
2017/08/22,0.099
2017/08/23,0.159
2017/08/24,0.327
2017/08/25,-1.127
2017/08/26,-2.227
2017/08/27,-2.184
2017/08/28,-1.229
2017/08/29,-0.148
2017/08/30,0.889
2017/08/31,1.796
2017/09/01,1.963
2017/09/02,0.713
2017/09/03,-0.751
2017/09/04,-2.439
2017/09/05,-3.464
2017/09/06,-2.379
2017/09/07,-1.382
2017/09/08,-1.614
2017/09/09,-2.374
2017/09/10,-2.762
2017/09/11,-2.58
2017/09/12,-2.154
2017/09/13,-2.485
2017/09/14,-3.397
2017/09/15,-4.405
2017/09/16,-3.515
2017/09/17,-2.897
2017/09/18,-0.459
2017/09/19,0.883
2017/09/20,1.446
2017/09/21,0.644
2017/09/22,-2.679
2017/09/23,-4.021
2017/09/24,-3.531
2017/09/25,-2.261
2017/09/26,-1.082
2017/09/27,-0.299
2017/09/28,0.488
2017/09/29,0.69
2017/09/30,1.159
2017/10/01,0.795
2017/10/02,0.392
2017/10/03,-0.005
2017/10/04,-0.444
2017/10/05,-0.867
2017/10/06,-0.448
2017/10/07,0.455
2017/10/08,0.779
2017/10/09,0.314
2017/10/10,-0.077
2017/10/11,-0.146
2017/10/12,0.019
2017/10/13,0.398
2017/10/14,1.736
2017/10/15,1.671
2017/10/16,1.61
2017/10/17,3.419
2017/10/18,3.316
2017/10/19,2.352
2017/10/20,1.603
2017/10/21,0.399
2017/10/22,-0.482
2017/10/23,-1.051
2017/10/24,-0.737
2017/10/25,-0.614
2017/10/26,-0.068
2017/10/27,-12.465
2017/10/28,-21.39
2017/10/29,-27.242
2017/10/30,-31.227
2017/10/31,-34.073
2017/11/01,17.806
2017/11/02,48.302
2017/11/03,38.966
2017/11/04,25.933
2017/11/05,15.933
2017/11/06,9.841
2017/11/07,6.201
2017/11/08,3.809
2017/11/09,3.303
2017/11/10,2.412
2017/11/11,1.377
2017/11/12,0.401
2017/11/13,0.328
2017/11/14,0.964
2017/11/15,1.82
2017/11/16,1.966
2017/11/17,1.788
2017/11/18,1.579
2017/11/19,1.965
2017/11/20,1.419
2017/11/21,1.15
2017/11/22,1.069
2017/11/23,1.498
2017/11/24,2.34
2017/11/25,3.518
2017/11/26,3.435
2017/11/27,3.431
2017/11/28,3.124
2017/11/29,2.409
2017/11/30,0.528
2017/12/01,-0.389
2017/12/02,-0.405
2017/12/03,0.429
2017/12/04,0.652
2017/12/05,1.16
2017/12/06,0.857
2017/12/07,0.497
2017/12/08,0.527
2017/12/09,1.138
2017/12/10,0.467
2017/12/11,0.014
2017/12/12,2.424
2017/12/13,5.571
2017/12/14,7.157
2017/12/15,4.996
2017/12/16,3.329
2017/12/17,2.296
2017/12/18,1.613
2017/12/19,3.19
2017/12/20,3.546
2017/12/21,3.158
2017/12/22,0.418
2017/12/23,-1.058
2017/12/24,-2.814
2017/12/25,-2.885
2017/12/26,-2.015
2017/12/27,-1.05
2017/12/28,-1.484
2017/12/29,-0.866
2017/12/30,-0.937
2017/12/31,-0.938
2018/01/01,-0.48
2018/01/02,1.711
2018/01/03,3.562
2018/01/04,4.982
2018/01/05,6.051
2018/01/06,6.472
2018/01/07,6.013
2018/01/08,5.484
2018/01/09,5.235
2018/01/10,5.927
2018/01/11,3.595
2018/01/12,1.301
2018/01/13,1.06
2018/01/14,0.777
2018/01/15,0.287
2018/01/16,-1.949
2018/01/17,-5.05
2018/01/18,-5.507
2018/01/19,-4.821
2018/01/20,-3.407
2018/01/21,-2.796
2018/01/22,-3.053
2018/01/23,-3.33
2018/01/24,-3.081
2018/01/25,-2.26
2018/01/26,-1.751
2018/01/27,-0.944
2018/01/28,0.815
2018/01/29,1.422
2018/01/30,0.719
2018/01/31,-0.477
2018/02/01,-0.971
2018/02/02,-3.24
2018/02/03,-4.311
2018/02/04,-4.82
2018/02/05,-6.118
2018/02/06,-7.534
2018/02/07,-6.333
2018/02/08,-4.347
2018/02/09,-2.607
2018/02/10,-0.654
2018/02/11,-0.733
2018/02/12,-0.516
2018/02/13,-0.564
2018/02/14,0.096
2018/02/15,1.434
2018/02/16,1.583
2018/02/17,1.873
2018/02/18,1.42
2018/02/19,0.902
2018/02/20,0.714
2018/02/21,-0.334
2018/02/22,-1.745
2018/02/23,-2.076
2018/02/24,-1.92
2018/02/25,-2.066
2018/02/26,-1.448
2018/02/27,-0.321
2018/02/28,-0.019
2018/03/01,-0.295
2018/03/02,-0.335
2018/03/03,-0.831
2018/03/04,-0.917
2018/03/05,-0.63
2018/03/06,-0.797
2018/03/07,-1.803
2018/03/08,-3.007
2018/03/09,-3.859
2018/03/10,-3.375
2018/03/11,-2.827
2018/03/12,-2.081
2018/03/13,-1.784
2018/03/14,-1.915
2018/03/15,-2.95
2018/03/16,-3.497
2018/03/17,-3.807
2018/03/18,-4.906
2018/03/19,-4.547
2018/03/20,-3.534
2018/03/21,-1.821
2018/03/22,-0.949
2018/03/23,-1.248
2018/03/24,-0.883
2018/03/25,-1.041
2018/03/26,-1.777
2018/03/27,-2.731
2018/03/28,-3.178
2018/03/29,-3.687
2018/03/30,-4.434
2018/03/31,-3.847
2018/04/01,-3.623
2018/04/02,-2.889
2018/04/03,-1.351
2018/04/04,-0.8
2018/04/05,-0.739
2018/04/06,-1.34
2018/04/07,-1.158
2018/04/08,-0.295
2018/04/09,0.962
2018/04/10,1.273
2018/04/11,1.647
2018/04/12,2.669
2018/04/13,4.753
2018/04/14,4.763
2018/04/15,4.372
2018/04/16,3.419
2018/04/17,2.35
2018/04/18,1.88
2018/04/19,2.098
2018/04/20,3.16
2018/04/21,3.327
2018/04/22,3.376
2018/04/23,3.106
2018/04/24,3.866
2018/04/25,2.852
2018/04/26,1.212
2018/04/27,1.074
2018/04/28,1.405
2018/04/29,1.32
2018/04/30,1
2018/05/01,0.463
2018/05/02,0.508
2018/05/03,1.418
2018/05/04,2.487
2018/05/05,2.919
2018/05/06,2.259
2018/05/07,0.55
2018/05/08,-0.432
2018/05/09,-0.676
2018/05/10,-0.295
2018/05/11,-0.937
2018/05/12,-2.128
2018/05/13,-2.092
2018/05/14,-1.119
2018/05/15,0.007
2018/05/16,0.011
2018/05/17,-0.005
2018/05/18,-0.299
2018/05/19,-0.218
2018/05/20,-0.092
2018/05/21,-0.118
2018/05/22,-0.501
2018/05/23,-1.639
2018/05/24,-2.548
2018/05/25,-2.507
