Date,activeaddresses14trx
2016/01/01,0.716
2016/01/02,0.707
2016/01/03,0.699
2016/01/04,0.699
2016/01/05,0.701
2016/01/06,0.716
2016/01/07,0.753
2016/01/08,0.786
2016/01/09,0.808
2016/01/10,0.836
2016/01/11,0.881
2016/01/12,0.938
2016/01/13,0.975
2016/01/14,0.988
2016/01/15,1.013
2016/01/16,1.004
2016/01/17,0.964
2016/01/18,0.942
2016/01/19,0.914
2016/01/20,0.923
2016/01/21,0.916
2016/01/22,0.908
2016/01/23,0.929
2016/01/24,0.992
2016/01/25,1.099
2016/01/26,1.249
2016/01/27,1.384
2016/01/28,1.527
2016/01/29,1.65
2016/01/30,1.749
2016/01/31,1.83
2016/02/01,1.872
2016/02/02,1.879
2016/02/03,1.867
2016/02/04,1.823
2016/02/05,1.795
2016/02/06,1.725
2016/02/07,1.64
2016/02/08,1.571
2016/02/09,1.531
2016/02/10,1.576
2016/02/11,1.766
2016/02/12,1.955
2016/02/13,2.104
2016/02/14,2.173
2016/02/15,2.196
2016/02/16,2.181
2016/02/17,2.146
2016/02/18,2.082
2016/02/19,2.003
2016/02/20,1.895
2016/02/21,1.81
2016/02/22,1.737
2016/02/23,1.671
2016/02/24,1.607
2016/02/25,1.568
2016/02/26,1.514
2016/02/27,1.452
2016/02/28,1.405
2016/02/29,1.384
2016/03/01,1.405
2016/03/02,1.479
2016/03/03,1.6
2016/03/04,1.731
2016/03/05,1.912
2016/03/06,2.088
2016/03/07,2.173
2016/03/08,2.241
2016/03/09,2.274
2016/03/10,2.309
2016/03/11,2.309
2016/03/12,2.316
2016/03/13,2.313
2016/03/14,2.313
2016/03/15,2.301
2016/03/16,2.269
2016/03/17,2.226
2016/03/18,2.204
2016/03/19,2.152
2016/03/20,2.083
2016/03/21,2
2016/03/22,1.905
2016/03/23,1.822
2016/03/24,1.73
2016/03/25,1.639
2016/03/26,1.539
2016/03/27,1.457
2016/03/28,1.39
2016/03/29,1.365
2016/03/30,1.382
2016/03/31,1.381
2016/04/01,1.355
2016/04/02,1.307
2016/04/03,1.253
2016/04/04,1.209
2016/04/05,1.18
2016/04/06,1.142
2016/04/07,1.117
2016/04/08,1.069
2016/04/09,1.029
2016/04/10,1.001
2016/04/11,0.967
2016/04/12,0.938
2016/04/13,0.922
2016/04/14,0.904
2016/04/15,0.872
2016/04/16,0.833
2016/04/17,0.8
2016/04/18,0.773
2016/04/19,0.746
2016/04/20,0.725
2016/04/21,0.704
2016/04/22,0.679
2016/04/23,0.649
2016/04/24,0.626
2016/04/25,0.605
2016/04/26,0.588
2016/04/27,0.574
2016/04/28,0.553
2016/04/29,0.566
2016/04/30,0.687
2016/05/01,0.79
2016/05/02,0.919
2016/05/03,1.01
2016/05/04,1.061
2016/05/05,1.085
2016/05/06,1.087
2016/05/07,1.062
2016/05/08,1.048
2016/05/09,1.045
2016/05/10,1.036
2016/05/11,1.05
2016/05/12,1.078
2016/05/13,1.139
2016/05/14,1.183
2016/05/15,1.196
2016/05/16,1.167
2016/05/17,1.137
2016/05/18,1.139
2016/05/19,1.145
2016/05/20,1.135
2016/05/21,1.1
2016/05/22,1.029
2016/05/23,0.984
2016/05/24,0.94
2016/05/25,0.903
2016/05/26,0.943
2016/05/27,0.994
2016/05/28,1.159
2016/05/29,1.24
2016/05/30,1.243
2016/05/31,1.205
2016/06/01,1.126
2016/06/02,1.02
2016/06/03,0.897
2016/06/04,0.759
2016/06/05,0.619
2016/06/06,0.495
2016/06/07,0.385
2016/06/08,0.293
2016/06/09,0.21
2016/06/10,0.142
2016/06/11,0.048
2016/06/12,-0.009
2016/06/13,-0.006
2016/06/14,0.04
2016/06/15,0.083
2016/06/16,0.107
2016/06/17,0.222
2016/06/18,0.367
2016/06/19,0.487
2016/06/20,0.567
2016/06/21,0.616
2016/06/22,0.666
2016/06/23,0.67
2016/06/24,0.644
2016/06/25,0.576
2016/06/26,0.519
2016/06/27,0.446
2016/06/28,0.387
2016/06/29,0.328
2016/06/30,0.267
2016/07/01,0.202
2016/07/02,0.141
2016/07/03,0.082
2016/07/04,0.038
2016/07/05,0.003
2016/07/06,-0.03
2016/07/07,-0.057
2016/07/08,-0.075
2016/07/09,-0.094
2016/07/10,-0.111
2016/07/11,-0.129
2016/07/12,-0.138
2016/07/13,-0.169
2016/07/14,-0.181
2016/07/15,-0.185
2016/07/16,-0.191
