Date,mining_profitability14roc
2016/10/04,-16.163
2016/10/05,-11.148
2016/10/06,-16.943
2016/10/07,-5.478
2016/10/08,-8.784
2016/10/09,-16.767
2016/10/10,-19.419
2016/10/11,-25.074
2016/10/12,-15.207
2016/10/13,-9.997
2016/10/14,-18.815
2016/10/15,-25.727
2016/10/16,-26.421
2016/10/17,-20.529
2016/10/18,-13.275
2016/10/19,-17.115
2016/10/20,-14.39
2016/10/21,-30.905
2016/10/22,-25.702
2016/10/23,-17.078
2016/10/24,-13.068
2016/10/25,-16.478
2016/10/26,-20.302
2016/10/27,-22.734
2016/10/28,-13.78
2016/10/29,1.551
2016/10/30,12.199
2016/10/31,6.755
2016/11/01,9.952
2016/11/02,29.601
2016/11/03,37.574
2016/11/04,62.812
2016/11/05,79.69
2016/11/06,81.536
2016/11/07,58.229
2016/11/08,46.249
2016/11/09,41.073
2016/11/10,54.96
2016/11/11,55.18
2016/11/12,33.283
2016/11/13,12.181
2016/11/14,7.815
2016/11/15,-0.884
2016/11/16,-11.123
2016/11/17,-15.518
2016/11/18,-24.171
2016/11/19,-35.89
2016/11/20,-42.525
2016/11/21,-38.816
2016/11/22,-24.245
2016/11/23,-17.296
2016/11/24,-18.936
2016/11/25,-18.72
2016/11/26,-20.1
2016/11/27,-13.338
2016/11/28,-13.45
2016/11/29,-18.847
2016/11/30,-19.069
2016/12/01,-19.936
2016/12/02,-23.266
2016/12/03,-20.582
2016/12/04,-17.05
2016/12/05,-13.315
2016/12/06,-21.347
2016/12/07,-17.797
2016/12/08,-17.137
2016/12/09,-24.501
2016/12/10,-23.345
2016/12/11,-26.94
2016/12/12,-19.047
2016/12/13,-13.165
2016/12/14,-15.675
2016/12/15,-19.468
2016/12/16,-16.642
2016/12/17,-14.952
2016/12/18,-12.092
2016/12/19,-11.604
2016/12/20,-12.23
2016/12/21,-18.318
2016/12/22,-24.218
2016/12/23,-15.323
2016/12/24,-7.906
2016/12/25,-7.441
2016/12/26,-15.021
2016/12/27,-12.903
2016/12/28,-11.338
2016/12/29,6.985
2016/12/30,12.18
2016/12/31,9.493
2017/01/01,15.964
2017/01/02,17.051
2017/01/03,30.079
2017/01/04,39.174
2017/01/05,35.432
2017/01/06,22.263
2017/01/07,11.048
2017/01/08,15.786
2017/01/09,22.522
2017/01/10,18.997
2017/01/11,12.015
2017/01/12,-7.818
2017/01/13,-9.188
2017/01/14,-4.892
2017/01/15,-9.105
2017/01/16,-9.198
2017/01/17,-12.167
2017/01/18,-16.532
2017/01/19,-17.98
2017/01/20,-9.793
2017/01/21,-5.426
2017/01/22,-6.198
2017/01/23,-10.004
2017/01/24,-8.42
2017/01/25,-5.978
2017/01/26,-1.192
2017/01/27,-1.802
2017/01/28,0.098
2017/01/29,0.521
2017/01/30,2.164
2017/01/31,-2.441
2017/02/01,-4.466
2017/02/02,-2.05
2017/02/03,-2.797
2017/02/04,0.687
2017/02/05,-4.334
2017/02/06,-2.376
2017/02/07,-1.542
2017/02/08,-1.207
2017/02/09,-2.322
2017/02/10,-4.702
2017/02/11,-3.615
2017/02/12,-5.146
2017/02/13,-6.376
2017/02/14,0.722
2017/02/15,3.834
2017/02/16,4.895
2017/02/17,0.102
2017/02/18,-5.229
2017/02/19,-1.822
2017/02/20,-1.252
2017/02/21,-5.39
2017/02/22,-4.042
2017/02/23,-0.262
2017/02/24,5.162
2017/02/25,2.993
2017/02/26,4.183
2017/02/27,10.39
2017/02/28,7.709
2017/03/01,5.291
2017/03/02,20.843
2017/03/03,28.985
2017/03/04,29.739
2017/03/05,23.618
2017/03/06,26.173
2017/03/07,28.302
2017/03/08,16.53
2017/03/09,8.783
2017/03/10,12.987
2017/03/11,21.236
2017/03/12,34.618
2017/03/13,54.694
2017/03/14,55.168
2017/03/15,57.34
2017/03/16,82.919
2017/03/17,92.656
2017/03/18,61.187
2017/03/19,80.089
2017/03/20,86.042
2017/03/21,86.875
2017/03/22,94.658
2017/03/23,98.359
2017/03/24,108.019
2017/03/25,112.074
2017/03/26,82.21
2017/03/27,45.123
2017/03/28,38.36
2017/03/29,37.054
2017/03/30,3.035
2017/03/31,-11.837
2017/04/01,6.834
2017/04/02,-0.376
2017/04/03,-7.098
2017/04/04,-15.985
2017/04/05,-8.721
2017/04/06,-9.659
2017/04/07,-21.125
2017/04/08,-26.319
2017/04/09,-24.206
2017/04/10,-22.301
2017/04/11,-22.832
2017/04/12,-24.457
2017/04/13,-14.505
2017/04/14,-15.577
2017/04/15,-16.376
2017/04/16,-13.684
2017/04/17,-13.425
2017/04/18,-3.175
2017/04/19,-6.171
2017/04/20,-2.884
2017/04/21,-1.209
2017/04/22,-6.398
2017/04/23,-5.333
2017/04/24,0.302
2017/04/25,0.091
2017/04/26,-0.52
2017/04/27,-3.333
2017/04/28,14.404
2017/04/29,16.671
2017/04/30,22.452
2017/05/01,34.398
2017/05/02,30.852
2017/05/03,30.265
2017/05/04,46.46
2017/05/05,54.861
2017/05/06,57.514
2017/05/07,60.192
2017/05/08,47.261
2017/05/09,36.076
2017/05/10,41.833
2017/05/11,28.228
2017/05/12,14.951
2017/05/13,10.468
2017/05/14,-0.147
2017/05/15,-8.013
2017/05/16,-7.597
2017/05/17,-7.125
2017/05/18,-11.831
2017/05/19,-1.757
2017/05/20,9.355
2017/05/21,12.58
2017/05/22,40.997
2017/05/23,59.869
2017/05/24,71.169
2017/05/25,79.974
2017/05/26,67.582
2017/05/27,38.9
2017/05/28,64.536
2017/05/29,67.637
2017/05/30,91.159
2017/05/31,108.814
2017/06/01,79.368
2017/06/02,50.757
2017/06/03,35.478
2017/06/04,35.898
2017/06/05,16.563
2017/06/06,14.618
2017/06/07,0.846
2017/06/08,-5.822
2017/06/09,7.339
2017/06/10,43.814
2017/06/11,39.596
2017/06/12,51.37
2017/06/13,37.19
2017/06/14,18.598
2017/06/15,12.094
2017/06/16,21.563
2017/06/17,22.174
2017/06/18,17.827
2017/06/19,12.316
2017/06/20,3.324
2017/06/21,-5.258
2017/06/22,-5.567
2017/06/23,-9.884
2017/06/24,-19.109
2017/06/25,-33.634
2017/06/26,-47.397
2017/06/27,-52.262
2017/06/28,-40.758
2017/06/29,-28.529
2017/06/30,-36.26
2017/07/01,-42.275
2017/07/02,-43.232
2017/07/03,-40.048
2017/07/04,-37.64
2017/07/05,-33.746
2017/07/06,-31.932
2017/07/07,-34.641
2017/07/08,-37.2
2017/07/09,-31.027
2017/07/10,-34.217
2017/07/11,-38.662
2017/07/12,-44.227
2017/07/13,-45.423
2017/07/14,-44.573
2017/07/15,-43.253
2017/07/16,-52.67
2017/07/17,-48.189
2017/07/18,-37.847
2017/07/19,-30.095
2017/07/20,-33.298
2017/07/21,-29.726
2017/07/22,-23.223
2017/07/23,-23.6
2017/07/24,-7.649
2017/07/25,-1.15
2017/07/26,-12.307
2017/07/27,-11.727
2017/07/28,-11.071
2017/07/29,-7.749
2017/07/30,15.822
2017/07/31,-3.537
2017/08/01,-18.628
2017/08/02,-22.933
2017/08/03,-15.849
2017/08/04,-18.13
2017/08/05,-14.154
2017/08/06,-5.732
2017/08/07,-5.113
2017/08/08,8.261
2017/08/09,19.677
2017/08/10,19.474
2017/08/11,24.819
2017/08/12,31.97
2017/08/13,20.346
2017/08/14,27.347
2017/08/15,23.309
2017/08/16,28.554
2017/08/17,24.099
2017/08/18,26.475
2017/08/19,9.201
2017/08/20,0.518
2017/08/21,8.729
2017/08/22,0.379
2017/08/23,-3.821
2017/08/24,-3.864
2017/08/25,-15.96
2017/08/26,-18.794
2017/08/27,-11.504
2017/08/28,-7.273
2017/08/29,-0.478
2017/08/30,-3.161
2017/08/31,0.722
2017/09/01,0.754
2017/09/02,0.811
2017/09/03,-4.092
2017/09/04,-19.923
2017/09/05,-19.931
2017/09/06,-11.531
2017/09/07,-13.896
2017/09/08,-9.403
2017/09/09,-12.346
2017/09/10,-16.206
2017/09/11,-19.583
2017/09/12,-21.902
2017/09/13,-29.922
2017/09/14,-38.04
2017/09/15,-42.672
2017/09/16,-32.214
2017/09/17,-31.977
2017/09/18,-13.851
2017/09/19,-12.02
2017/09/20,-19.53
2017/09/21,-23.427
2017/09/22,-35.459
2017/09/23,-28.622
2017/09/24,-23.878
2017/09/25,-21.776
2017/09/26,-20.591
2017/09/27,-14.138
2017/09/28,-3.53
2017/09/29,3.366
2017/09/30,-1.625
2017/10/01,-0.647
2017/10/02,-14.257
2017/10/03,-13.939
2017/10/04,-16.649
2017/10/05,-13.147
2017/10/06,16.008
2017/10/07,15.943
2017/10/08,9.533
2017/10/09,2.642
2017/10/10,1.319
2017/10/11,1.71
2017/10/12,-0.356
2017/10/13,2.777
2017/10/14,7.713
2017/10/15,6.884
2017/10/16,10.03
2017/10/17,28.733
2017/10/18,25.119
2017/10/19,25.403
2017/10/20,21.223
2017/10/21,10.401
2017/10/22,9.828
2017/10/23,11.732
2017/10/24,16.074
2017/10/25,12.839
2017/10/26,15.505
2017/10/27,-100
2017/10/28,-100
2017/10/29,-100
2017/10/30,-100
2017/10/31,-100
2017/11/01,-7.929
2017/11/02,-6.134
2017/11/03,-2.603
2017/11/04,4.989
2017/11/05,3.3
2017/11/06,6.221
2017/11/07,3.339
2017/11/08,4.651
2017/11/09,8.752
2017/11/10,0
2017/11/11,0
2017/11/12,0
2017/11/13,0
2017/11/14,0
2017/11/15,19.334
2017/11/16,18.791
2017/11/17,14.284
2017/11/18,12.997
2017/11/19,22.842
2017/11/20,16.818
2017/11/21,18.441
2017/11/22,20.809
2017/11/23,17.383
2017/11/24,27.91
2017/11/25,40.29
2017/11/26,41.648
2017/11/27,43.084
2017/11/28,38.178
2017/11/29,31.248
2017/11/30,19.932
2017/12/01,21.186
2017/12/02,22.615
2017/12/03,22.708
2017/12/04,25.474
2017/12/05,28.046
2017/12/06,22.233
2017/12/07,16.899
2017/12/08,12.942
2017/12/09,10.032
2017/12/10,3.922
2017/12/11,-0.052
2017/12/12,19.686
2017/12/13,36.978
2017/12/14,59.298
2017/12/15,40.476
2017/12/16,41.177
2017/12/17,35.377
2017/12/18,38.414
2017/12/19,54.012
2017/12/20,57.032
2017/12/21,57.915
2017/12/22,31.026
2017/12/23,27.097
2017/12/24,21.373
2017/12/25,26.986
2017/12/26,7.96
2017/12/27,-3.788
2017/12/28,-16.887
2017/12/29,-0.613
2017/12/30,-8.216
2017/12/31,-9.143
2018/01/01,-6.954
2018/01/02,-8.124
2018/01/03,-1.535
2018/01/04,5.387
2018/01/05,34.319
2018/01/06,39.828
2018/01/07,61.098
2018/01/08,59.629
2018/01/09,63.524
2018/01/10,78.857
2018/01/11,71.4
2018/01/12,54.435
2018/01/13,76.48
2018/01/14,72.709
2018/01/15,64.795
2018/01/16,21.345
2018/01/17,-6.11
2018/01/18,-4.554
2018/01/19,-11.893
2018/01/20,-14.248
2018/01/21,-20.953
2018/01/22,-29.446
2018/01/23,-35.315
2018/01/24,-41.388
2018/01/25,-31.597
2018/01/26,-30.838
2018/01/27,-34.261
2018/01/28,-26.488
2018/01/29,-26.556
2018/01/30,-17.454
2018/01/31,-3.957
2018/02/01,-11.372
2018/02/02,-27.582
2018/02/03,-29.604
2018/02/04,-29.455
2018/02/05,-35.872
2018/02/06,-41.859
2018/02/07,-33.459
2018/02/08,-33.709
2018/02/09,-31.934
2018/02/10,-29.855
2018/02/11,-41.76
2018/02/12,-38.388
2018/02/13,-36.424
2018/02/14,-29.624
2018/02/15,-25.239
2018/02/16,-10.976
2018/02/17,-7.22
2018/02/18,-4.768
2018/02/19,12.151
2018/02/20,29.794
2018/02/21,5.106
2018/02/22,-3.975
2018/02/23,-2.297
2018/02/24,-8.542
2018/02/25,-3.822
2018/02/26,-3.259
2018/02/27,3.063
2018/02/28,-4.954
2018/03/01,-13.663
2018/03/02,-10.084
2018/03/03,-17.652
2018/03/04,-14.479
2018/03/05,-13.125
2018/03/06,-17.424
2018/03/07,-18.185
