Date,sentbyaddress7wma
2016/11/14,8415
2016/11/15,8396
2016/11/16,8250
2016/11/17,8137
2016/11/18,8080
2016/11/19,7884
2016/11/20,7803
2016/11/21,7836
2016/11/22,11315
2016/11/23,16377
2016/11/24,14444
2016/11/25,17004
2016/11/26,14769
2016/11/27,12668
2016/11/28,10966
2016/11/29,9146
2016/11/30,7916
2016/12/01,7399
2016/12/02,6996
2016/12/03,7610
2016/12/04,8134
2016/12/05,8116
2016/12/06,8607
2016/12/07,8210
2016/12/08,7887
2016/12/09,7991
2016/12/10,7673
2016/12/11,7602
2016/12/12,7608
2016/12/13,7449
2016/12/14,7833
2016/12/15,8411
2016/12/16,8325
2016/12/17,8237
2016/12/18,8065
2016/12/19,8052
2016/12/20,8151
2016/12/21,8275
2016/12/22,8383
2016/12/23,8267
2016/12/24,8021
2016/12/25,7601
2016/12/26,7246
2016/12/27,7111
2016/12/28,7161
2016/12/29,7460
2016/12/30,7604
2016/12/31,7908
2017/01/01,7653
2017/01/02,7689
2017/01/03,7888
2017/01/04,8632
2017/01/05,9102
2017/01/06,9537
2017/01/07,9483
2017/01/08,9213
2017/01/09,9416
2017/01/10,9131
2017/01/11,9041
2017/01/12,9067
2017/01/13,8932
2017/01/14,8685
2017/01/15,8320
2017/01/16,8468
2017/01/17,8442
2017/01/18,8287
2017/01/19,8395
2017/01/20,8634
2017/01/21,8605
2017/01/22,8448
2017/01/23,8401
2017/01/24,8421
2017/01/25,8263
2017/01/26,8228
2017/01/27,8119
2017/01/28,8022
2017/01/29,7852
2017/01/30,7953
2017/01/31,8015
2017/02/01,8115
2017/02/02,8309
2017/02/03,8316
2017/02/04,8520
2017/02/05,8717
2017/02/06,8856
2017/02/07,8884
2017/02/08,8947
2017/02/09,8972
2017/02/10,9265
2017/02/11,9065
2017/02/12,9050
2017/02/13,9576
2017/02/14,9992
2017/02/15,10289
2017/02/16,10275
2017/02/17,10222
2017/02/18,10399
2017/02/19,10091
2017/02/20,10069
2017/02/21,9973
2017/02/22,9882
2017/02/23,9779
2017/02/24,9978
2017/02/25,9992
2017/02/26,10070
2017/02/27,10366
2017/02/28,11229
2017/03/01,12120
2017/03/02,14668
2017/03/03,15428
2017/03/04,15482
2017/03/05,15306
2017/03/06,15019
2017/03/07,14332
2017/03/08,13761
2017/03/09,13762
2017/03/10,14266
2017/03/11,14478
2017/03/12,15195
2017/03/13,17353
2017/03/14,18232
2017/03/15,19034
2017/03/16,21910
2017/03/17,24114
2017/03/18,24629
2017/03/19,23889
2017/03/20,23098
2017/03/21,22453
2017/03/22,21356
2017/03/23,20304
2017/03/24,20775
2017/03/25,20956
2017/03/26,20477
2017/03/27,20817
2017/03/28,20772
2017/03/29,20813
2017/03/30,21903
2017/03/31,24204
2017/04/01,23620
2017/04/02,23785
2017/04/03,25385
2017/04/04,24920
2017/04/05,24646
2017/04/06,25090
2017/04/07,23692
2017/04/08,22179
2017/04/09,20387
2017/04/10,19664
2017/04/11,19152
2017/04/12,19111
2017/04/13,19573
2017/04/14,19750
2017/04/15,19577
2017/04/16,18598
2017/04/17,18007
2017/04/18,18306
2017/04/19,18673
2017/04/20,19209
2017/04/21,19069
2017/04/22,18709
2017/04/23,18479
2017/04/24,18992
2017/04/25,19157
2017/04/26,19511
2017/04/27,22120
2017/04/28,23548
2017/04/29,23813
2017/04/30,24447
2017/05/01,25659
2017/05/02,26496
2017/05/03,26024
2017/05/04,27123
2017/05/05,28093
2017/05/06,27690
2017/05/07,28154
2017/05/08,30326
2017/05/09,31088
2017/05/10,30967
2017/05/11,31315
2017/05/12,30892
2017/05/13,29433
2017/05/14,28336
2017/05/15,28893
2017/05/16,29563
2017/05/17,31983
2017/05/18,33760
2017/05/19,37970
2017/05/20,38310
2017/05/21,38696
2017/05/22,40798
2017/05/23,43050
2017/05/24,45228
2017/05/25,46831
2017/05/26,47338
2017/05/27,45767
2017/05/28,43682
2017/05/29,42778
2017/05/30,44239
2017/05/31,49875
2017/06/01,53678
2017/06/02,53628
2017/06/03,53440
2017/06/04,52809
2017/06/05,53624
2017/06/06,53799
2017/06/07,53552
2017/06/08,52468
2017/06/09,54577
2017/06/10,56197
2017/06/11,59668
2017/06/12,68929
2017/06/13,74483
2017/06/14,76480
2017/06/15,78341
2017/06/16,76845
2017/06/17,75314
2017/06/18,73988
2017/06/19,74119
2017/06/20,78274
2017/06/21,81703
2017/06/22,84433
2017/06/23,85058
2017/06/24,84035
2017/06/25,80455
2017/06/26,85381
2017/06/27,84357
2017/06/28,63165
2017/06/29,64481
2017/06/30,65873
2017/07/01,66623
2017/07/02,67096
2017/07/03,71760
2017/07/04,76761
2017/07/05,78904
2017/07/06,77659
2017/07/07,81138
2017/07/08,77173
2017/07/09,72814
2017/07/10,74343
2017/07/11,75154
2017/07/12,75595
2017/07/13,72928
2017/07/14,70131
2017/07/15,68376
2017/07/16,66168
2017/07/17,65302
2017/07/18,66326
2017/07/19,68290
2017/07/20,69200
2017/07/21,67883
2017/07/22,64500
2017/07/23,69644
2017/07/24,69202
2017/07/25,67652
2017/07/26,65330
2017/07/27,64527
2017/07/28,64268
2017/07/29,61079
2017/07/30,58041
2017/07/31,62902
2017/08/01,62457
2017/08/02,63317
2017/08/03,63854
2017/08/04,66147
2017/08/05,68826
2017/08/06,69589
2017/08/07,72059
2017/08/08,77308
2017/08/09,79662
2017/08/10,84797
2017/08/11,88930
2017/08/12,90602
2017/08/13,89704
2017/08/14,94962
2017/08/15,99431
2017/08/16,103215
2017/08/17,106337
2017/08/18,111226
2017/08/19,108494
2017/08/20,103255
2017/08/21,103352
2017/08/22,101543
2017/08/23,101909
