Date,confirmationtime7trx
2016/01/01,0.074
2016/01/02,0.064
2016/01/03,0.019
2016/01/04,-0.022
2016/01/05,-0.064
2016/01/06,-0.088
2016/01/07,-0.065
2016/01/08,-0.085
2016/01/09,-0.095
2016/01/10,-0.097
2016/01/11,-0.097
2016/01/12,-0.039
2016/01/13,0.011
2016/01/14,0.023
2016/01/15,0.019
2016/01/16,0.019
2016/01/17,0.024
2016/01/18,0.02
2016/01/19,0.042
2016/01/20,0.051
2016/01/21,0.076
2016/01/22,0.089
2016/01/23,0.118
2016/01/24,0.073
2016/01/25,0.093
2016/01/26,0.051
2016/01/27,0.04
2016/01/28,0.019
2016/01/29,0.022
2016/01/30,0.023
2016/01/31,0.069
2016/02/01,0.079
2016/02/02,0.091
2016/02/03,0.026
2016/02/04,-0.021
2016/02/05,-0.048
2016/02/06,-0.043
2016/02/07,-0.056
2016/02/08,-0.068
2016/02/09,-0.072
2016/02/10,-0.042
2016/02/11,-0.019
2016/02/12,-0.008
2016/02/13,-0.021
2016/02/14,-0.01
2016/02/15,0.014
2016/02/16,0.024
2016/02/17,0.08
2016/02/18,0.1
2016/02/19,0.089
2016/02/20,0.06
2016/02/21,0.025
2016/02/22,-0.021
2016/02/23,-0.023
2016/02/24,-0.025
2016/02/25,-0.056
2016/02/26,-0.071
2016/02/27,-0.057
2016/02/28,-0.044
2016/02/29,0.036
2016/03/01,0.056
2016/03/02,0.036
2016/03/03,0.024
2016/03/04,0.024
2016/03/05,-0.017
2016/03/06,0.005
2016/03/07,0.011
2016/03/08,0.012
2016/03/09,0.02
2016/03/10,-0.034
2016/03/11,-0.065
2016/03/12,-0.069
2016/03/13,-0.108
2016/03/14,-0.131
2016/03/15,-0.367
2016/03/16,-0.662
2016/03/17,-0.941
2016/03/18,-1.135
2016/03/19,-1.275
2016/03/20,-1.342
2016/03/21,-1.34
2016/03/22,-1.309
2016/03/23,-1.227
2016/03/24,-1.147
2016/03/25,-1.055
2016/03/26,-0.964
2016/03/27,-0.859
2016/03/28,-0.741
2016/03/29,-0.626
2016/03/30,-0.529
2016/03/31,-0.441
2016/04/01,-0.378
2016/04/02,-0.292
2016/04/03,-0.232
2016/04/04,-0.2
2016/04/05,-0.17
2016/04/06,-0.134
2016/04/07,-0.086
2016/04/08,-0.078
2016/04/09,-0.043
2016/04/10,-0.035
2016/04/11,-0.007
2016/04/12,0.006
2016/04/13,0.01
2016/04/14,0.007
2016/04/15,-0.007
2016/04/16,-0.014
2016/04/17,-0.015
2016/04/18,-0.024
2016/04/19,-0.012
2016/04/20,-0.014
2016/04/21,-0.006
2016/04/22,-0.005
2016/04/23,-0.012
2016/04/24,-0.004
2016/04/25,-0.022
2016/04/26,-0.008
2016/04/27,-0.012
2016/04/28,-0.014
2016/04/29,-0.015
2016/04/30,-0.022
2016/05/01,0
2016/05/02,-0.005
2016/05/03,-0.014
2016/05/04,-0.004
2016/05/05,-0.002
2016/05/06,0
2016/05/07,0.01
2016/05/08,0.007
2016/05/09,-0.001
2016/05/10,-0.001
2016/05/11,0.028
2016/05/12,0.017
2016/05/13,-0.001
2016/05/14,0.008
2016/05/15,0.012
2016/05/16,0.028
2016/05/17,0.017
2016/05/18,-0.002
2016/05/19,-0.008
2016/05/20,-0.014
2016/05/21,-0.004
2016/05/22,-0.016
2016/05/23,-0.016
2016/05/24,-0.011
2016/05/25,-0.009
2016/05/26,-0.005
2016/05/27,-0.009
2016/05/28,-0.008
2016/05/29,0
2016/05/30,0.008
2016/05/31,0.033
2016/06/01,0.034
2016/06/02,0.016
2016/06/03,0.003
2016/06/04,-0.002
2016/06/05,0.01
2016/06/06,-0.009
2016/06/07,-0.008
2016/06/08,-0.025
2016/06/09,-0.046
2016/06/10,-0.016
2016/06/11,-0.024
2016/06/12,-0.033
2016/06/13,-0.047
2016/06/14,-0.046
2016/06/15,-0.032
2016/06/16,-0.015
