Date,transactionfees14trxUSD
2016/01/01,1.196
2016/01/02,0.911
2016/01/03,0.639
2016/01/04,0.397
2016/01/05,0.315
2016/01/06,0.356
2016/01/07,0.397
2016/01/08,0.382
2016/01/09,0.436
2016/01/10,0.461
2016/01/11,0.439
2016/01/12,0.413
2016/01/13,0.482
2016/01/14,0.519
2016/01/15,0.536
2016/01/16,0.513
2016/01/17,0.424
2016/01/18,0.404
2016/01/19,0.449
2016/01/20,0.444
2016/01/21,0.428
2016/01/22,0.452
2016/01/23,0.441
2016/01/24,0.511
2016/01/25,0.747
2016/01/26,1.118
2016/01/27,1.658
2016/01/28,2.167
2016/01/29,2.577
2016/01/30,2.915
2016/01/31,3.142
2016/02/01,3.229
2016/02/02,3.18
2016/02/03,3.051
2016/02/04,2.944
2016/02/05,2.891
2016/02/06,3.662
2016/02/07,4.268
2016/02/08,4.579
2016/02/09,4.859
2016/02/10,5.263
2016/02/11,5.449
2016/02/12,5.471
2016/02/13,5.307
2016/02/14,4.984
2016/02/15,4.645
2016/02/16,4.284
2016/02/17,3.89
2016/02/18,3.44
2016/02/19,3.051
2016/02/20,2.647
2016/02/21,2.258
2016/02/22,1.957
2016/02/23,2.344
2016/02/24,2.691
2016/02/25,2.816
2016/02/26,2.916
2016/02/27,2.836
2016/02/28,2.662
2016/02/29,2.45
2016/03/01,2.224
2016/03/02,2.067
2016/03/03,1.952
2016/03/04,1.858
2016/03/05,1.8
2016/03/06,1.791
2016/03/07,1.768
2016/03/08,1.727
2016/03/09,1.625
2016/03/10,1.45
2016/03/11,1.231
2016/03/12,1.035
2016/03/13,0.902
2016/03/14,0.813
2016/03/15,0.698
2016/03/16,0.592
2016/03/17,0.486
2016/03/18,0.339
2016/03/19,0.269
2016/03/20,0.205
2016/03/21,0.142
2016/03/22,0.047
2016/03/23,-0.005
2016/03/24,-0.013
2016/03/25,-0.012
2016/03/26,-0.035
2016/03/27,-0.144
2016/03/28,-0.265
2016/03/29,-0.401
2016/03/30,-0.46
2016/03/31,-0.524
2016/04/01,-0.603
2016/04/02,-0.715
2016/04/03,-0.846
2016/04/04,-0.96
2016/04/05,-1.06
2016/04/06,-1.161
2016/04/07,-1.259
2016/04/08,-1.343
2016/04/09,-1.44
2016/04/10,-1.56
2016/04/11,-1.688
2016/04/12,-1.816
2016/04/13,-1.89
