Date,transactions7mom
2016/01/01,-1288
2016/01/02,-1562
2016/01/03,-12609
2016/01/04,-2894
2016/01/05,5072
2016/01/06,-4693
2016/01/07,11774
2016/01/08,2686
2016/01/09,2629
2016/01/10,1062
2016/01/11,1419
2016/01/12,-5568
2016/01/13,591
2016/01/14,-11422
2016/01/15,-1044
2016/01/16,-1129
2016/01/17,-573
2016/01/18,2023
2016/01/19,2558
2016/01/20,-7055
2016/01/21,81
2016/01/22,3973
2016/01/23,361
2016/01/24,3051
2016/01/25,4205
2016/01/26,3091
2016/01/27,8137
2016/01/28,6031
2016/01/29,2547
2016/01/30,3636
2016/01/31,1368
2016/02/01,-2922
2016/02/02,-2220
2016/02/03,-4473
2016/02/04,-2394
2016/02/05,-1146
2016/02/06,16757
2016/02/07,98
2016/02/08,520
2016/02/09,1226
2016/02/10,2867
2016/02/11,7069
2016/02/12,2860
2016/02/13,-12091
2016/02/14,2360
2016/02/15,2440
2016/02/16,2032
2016/02/17,2849
2016/02/18,-4471
2016/02/19,303
2016/02/20,-2613
2016/02/21,495
2016/02/22,1031
2016/02/23,933
2016/02/24,-450
2016/02/25,2534
2016/02/26,2656
2016/02/27,2267
2016/02/28,1944
2016/02/29,2168
2016/03/01,3296
2016/03/02,4022
2016/03/03,5334
2016/03/04,3219
2016/03/05,8134
2016/03/06,8598
2016/03/07,2913
2016/03/08,2327
2016/03/09,995
2016/03/10,-23
2016/03/11,-1163
2016/03/12,772
2016/03/13,466
2016/03/14,5257
2016/03/15,5168
2016/03/16,3039
2016/03/17,8717
2016/03/18,8697
2016/03/19,6892
2016/03/20,4320
2016/03/21,3983
2016/03/22,3617
2016/03/23,4190
2016/03/24,3416
2016/03/25,4941
2016/03/26,1867
2016/03/27,-2473
2016/03/28,1102
2016/03/29,1025
2016/03/30,4981
2016/03/31,-4688
2016/04/01,-3442
2016/04/02,-7288
2016/04/03,-386
2016/04/04,1294
2016/04/05,5258
2016/04/06,-4689
2016/04/07,-366
2016/04/08,690
2016/04/09,2565
2016/04/10,2649
2016/04/11,-4580
2016/04/12,-4500
2016/04/13,3973
2016/04/14,2888
2016/04/15,949
2016/04/16,-1440
2016/04/17,7966
2016/04/18,3186
2016/04/19,-2051
2016/04/20,-3107
2016/04/21,2400
2016/04/22,-3281
2016/04/23,1362
2016/04/24,-6157
2016/04/25,1917
2016/04/26,-40
2016/04/27,903
2016/04/28,-2838
2016/04/29,5654
2016/04/30,13924
2016/05/01,5532
2016/05/02,6318
2016/05/03,5239
2016/05/04,3637
2016/05/05,4364
2016/05/06,3939
2016/05/07,-9905
2016/05/08,485
2016/05/09,-3188
2016/05/10,2863
2016/05/11,3327
2016/05/12,6295
2016/05/13,6468
2016/05/14,9881
2016/05/15,3010
2016/05/16,-1136
2016/05/17,-375
2016/05/18,5222
2016/05/19,-479
2016/05/20,-2562
2016/05/21,-2124
2016/05/22,-4178
2016/05/23,6382
2016/05/24,2602
2016/05/25,410
2016/05/26,6624
2016/05/27,3829
2016/05/28,26527
2016/05/29,6995
2016/05/30,-879
2016/05/31,1475
2016/06/01,-4222
2016/06/02,-11481
2016/06/03,-9172
2016/06/04,-32273
2016/06/05,-7994
2016/06/06,-3970
2016/06/07,1755
2016/06/08,-1788
2016/06/09,188
2016/06/10,311
2016/06/11,-974
2016/06/12,4685
2016/06/13,7228
2016/06/14,4194
2016/06/15,2818
2016/06/16,3538
2016/06/17,26413
2016/06/18,26182
2016/06/19,8454
2016/06/20,933
2016/06/21,-3012
2016/06/22,5364
2016/06/23,-1484
2016/06/24,-21227
2016/06/25,-26399
2016/06/26,-9422
2016/06/27,-7455
2016/06/28,-4234
2016/06/29,1282
2016/06/30,22044
2016/07/01,-5246
2016/07/02,2573
2016/07/03,-1856
2016/07/04,287
2016/07/05,-3819
2016/07/06,-11997
2016/07/07,-23519
2016/07/08,2421
2016/07/09,1153
2016/07/10,-399
2016/07/11,-1368
2016/07/12,1541
2016/07/13,-2160
2016/07/14,2376
2016/07/15,-1396
2016/07/16,-2348
2016/07/17,-5444
2016/07/18,616
2016/07/19,3373
2016/07/20,14891
2016/07/21,2073
2016/07/22,7348
2016/07/23,6944
2016/07/24,24301
2016/07/25,15658
2016/07/26,17746
2016/07/27,2404
2016/07/28,3673
2016/07/29,-1215
2016/07/30,-2995
2016/07/31,-9466
2016/08/01,-8878
2016/08/02,-12889
2016/08/03,-3560
2016/08/04,-1794
2016/08/05,-4031
2016/08/06,-524
2016/08/07,-5794
2016/08/08,-2994
2016/08/09,-1984
2016/08/10,-3185
2016/08/11,1410
2016/08/12,1188
2016/08/13,-399
2016/08/14,-2378
2016/08/15,-682
2016/08/16,1892
2016/08/17,-1423
2016/08/18,-372
2016/08/19,-1452
2016/08/20,230
2016/08/21,1966
2016/08/22,1948
2016/08/23,-519
2016/08/24,1954
2016/08/25,2069
2016/08/26,4344
2016/08/27,6620
2016/08/28,64
2016/08/29,1260
2016/08/30,-1451
2016/08/31,-975
2016/09/01,-2377
2016/09/02,8121
2016/09/03,-3146
2016/09/04,5521
2016/09/05,-2843
2016/09/06,2123
2016/09/07,2855
2016/09/08,8479
2016/09/09,-1495
2016/09/10,-1917
2016/09/11,-4783
2016/09/12,2456
2016/09/13,-6511
2016/09/14,5158
2016/09/15,-3348
2016/09/16,3614
2016/09/17,4007
2016/09/18,-5452
2016/09/19,-4618
2016/09/20,11476
2016/09/21,-9310
2016/09/22,35
2016/09/23,-22313
2016/09/24,-3464
2016/09/25,820
2016/09/26,3009
2016/09/27,-7250
2016/09/28,-1752
2016/09/29,-12241
2016/09/30,617
2016/10/01,9658
2016/10/02,12392
2016/10/03,4158
2016/10/04,9845
2016/10/05,-1078
2016/10/06,-3590
2016/10/07,7872
2016/10/08,-15386
2016/10/09,-7165
2016/10/10,-2732
2016/10/11,-15609
2016/10/12,-11717
2016/10/13,-4582
2016/10/14,-1702
2016/10/15,-4028
2016/10/16,-8950
2016/10/17,-6804
2016/10/18,10845
2016/10/19,8495
2016/10/20,11194
2016/10/21,15774
2016/10/22,4110
2016/10/23,374
2016/10/24,14411
2016/10/25,-4288
2016/10/26,6661
2016/10/27,915
2016/10/28,-16258
2016/10/29,2239
2016/10/30,4071
2016/10/31,-7516
2016/11/01,1415
2016/11/02,-1639
2016/11/03,-2007
2016/11/04,-8950
2016/11/05,-2321
2016/11/06,-5044
2016/11/07,-3090
2016/11/08,-7456
2016/11/09,-3002
2016/11/10,-2182
2016/11/11,8498
2016/11/12,3192
2016/11/13,9282
2016/11/14,1935
2016/11/15,3761
2016/11/16,1167
2016/11/17,574
2016/11/18,2715
2016/11/19,-1593
2016/11/20,-1548
2016/11/21,-1141
2016/11/22,8255
2016/11/23,22605
2016/11/24,-3877
2016/11/25,14290
2016/11/26,1515
2016/11/27,2324
2016/11/28,5653
2016/11/29,-6549
2016/11/30,-25111
2016/12/01,260
2016/12/02,-16433
2016/12/03,553
2016/12/04,-4806
2016/12/05,-6775
2016/12/06,1164
2016/12/07,2579
2016/12/08,2466
2016/12/09,-198
2016/12/10,-793
2016/12/11,-479
2016/12/12,-2872
2016/12/13,-3536
2016/12/14,5537
2016/12/15,6515
2016/12/16,2509
2016/12/17,-1122
2016/12/18,-2524
2016/12/19,6858
2016/12/20,-423
2016/12/21,3499
2016/12/22,9071
2016/12/23,438
2016/12/24,-1685
2016/12/25,-39
2016/12/26,-11034
2016/12/27,-1871
2016/12/28,-7407
2016/12/29,-8627
2016/12/30,170
2016/12/31,3463
2017/01/01,2129
2017/01/02,5087
2017/01/03,3513
2017/01/04,7287
2017/01/05,3050
2017/01/06,-757
2017/01/07,2402
2017/01/08,3997
2017/01/09,6536
2017/01/10,2296
2017/01/11,-5452
2017/01/12,993
2017/01/13,7029
2017/01/14,-1578
2017/01/15,-979
2017/01/16,-813
2017/01/17,-1508
2017/01/18,-227
2017/01/19,-6961
2017/01/20,-5058
2017/01/21,1258
2017/01/22,5684
2017/01/23,701
2017/01/24,3743
2017/01/25,1262
2017/01/26,3228
2017/01/27,905
2017/01/28,1887
2017/01/29,-4923
2017/01/30,-707
2017/01/31,-6765
2017/02/01,-1715
2017/02/02,-3147
2017/02/03,-3902
2017/02/04,221
2017/02/05,4033
2017/02/06,1937
2017/02/07,8217
2017/02/08,6548
2017/02/09,4164
2017/02/10,9444
2017/02/11,1150
2017/02/12,-1223
2017/02/13,8684
2017/02/14,6432
2017/02/15,4231
2017/02/16,1801
2017/02/17,-2816
2017/02/18,2838
2017/02/19,2908
2017/02/20,-5838
2017/02/21,136
2017/02/22,-4948
2017/02/23,-2073
2017/02/24,4675
2017/02/25,3847
2017/02/26,3489
2017/02/27,2490
2017/02/28,1843
2017/03/01,9402
2017/03/02,23178
2017/03/03,10213
2017/03/04,5511
2017/03/05,5315
2017/03/06,4378
2017/03/07,2312
2017/03/08,-4388
2017/03/09,-6513
2017/03/10,832
2017/03/11,6047
2017/03/12,9615
2017/03/13,24698
2017/03/14,14566
2017/03/15,25819
2017/03/16,45684
2017/03/17,41509
2017/03/18,25117
2017/03/19,17953
2017/03/20,-1454
2017/03/21,7143
2017/03/22,-2384
2017/03/23,-27516
2017/03/24,-18860
2017/03/25,-5526
2017/03/26,-5065
2017/03/27,14285
2017/03/28,50
2017/03/29,14243
2017/03/30,13775
2017/03/31,15327
2017/04/01,-3822
2017/04/02,9414
2017/04/03,5672
2017/04/04,1931
2017/04/05,-5653
2017/04/06,-1032
2017/04/07,-10256
2017/04/08,-8428
2017/04/09,-14391
2017/04/10,-24734
2017/04/11,-10388
2017/04/12,-7064
2017/04/13,-11053
2017/04/14,-11691
2017/04/15,2676
2017/04/16,-3923
2017/04/17,-2941
2017/04/18,7412
2017/04/19,5387
2017/04/20,1326
2017/04/21,123
2017/04/22,-1281
2017/04/23,6439
2017/04/24,7985
2017/04/25,9730
2017/04/26,3908
2017/04/27,19044
2017/04/28,24915
2017/04/29,17796
2017/04/30,18129
2017/05/01,31671
2017/05/02,17321
2017/05/03,7692
2017/05/04,10383
2017/05/05,2321
2017/05/06,3679
2017/05/07,11429
2017/05/08,5307
2017/05/09,2579
2017/05/10,12339
2017/05/11,2312
2017/05/12,-1273
2017/05/13,6318
2017/05/14,-5283
2017/05/15,5283
2017/05/16,3408
2017/05/17,30462
2017/05/18,20220
2017/05/19,54327
2017/05/20,29580
2017/05/21,48351
2017/05/22,53463
2017/05/23,70780
2017/05/24,47158
2017/05/25,45601
2017/05/26,8250
2017/05/27,18538
2017/05/28,5572
2017/05/29,-17708
2017/05/30,6497
2017/05/31,26833
2017/06/01,16150
2017/06/02,25093
2017/06/03,26194
2017/06/04,24865
2017/06/05,31758
2017/06/06,6905
2017/06/07,-6946
2017/06/08,-11460
2017/06/09,20920
2017/06/10,37712
2017/06/11,60354
2017/06/12,102636
2017/06/13,79531
2017/06/14,43157
2017/06/15,73917
2017/06/16,32172
2017/06/17,28666
2017/06/18,5467
2017/06/19,-6732
2017/06/20,28363
2017/06/21,-29048
2017/06/22,22608
2017/06/23,28009
2017/06/24,8548
2017/06/25,-14822
2017/06/26,30579
2017/06/27,-55422
2017/06/28,52952
2017/06/29,-20434
2017/06/30,-23360
2017/07/01,-10105
2017/07/02,17482
2017/07/03,-14756
2017/07/04,28470
2017/07/05,-2635
2017/07/06,-5000
2017/07/07,42737
2017/07/08,7677
2017/07/09,-23428
2017/07/10,601
2017/07/11,10212
2017/07/12,12222
2017/07/13,1954
2017/07/14,-46008
2017/07/15,-16181
2017/07/16,23949
2017/07/17,-54160
2017/07/18,-20622
2017/07/19,-13706
2017/07/20,-10680
2017/07/21,-16821
2017/07/22,-26387
2017/07/23,11352
2017/07/24,14622
2017/07/25,-28133
2017/07/26,-47174
2017/07/27,-24630
2017/07/28,13934
2017/07/29,-6801
2017/07/30,-53866
2017/07/31,-13007
2017/08/01,-24340
2017/08/02,8120
2017/08/03,10900
2017/08/04,10666
2017/08/05,62627
2017/08/06,58503
2017/08/07,31084
2017/08/08,100284
2017/08/09,49240
2017/08/10,101906
2017/08/11,99522
2017/08/12,77254
2017/08/13,67878
2017/08/14,128889
2017/08/15,94380
2017/08/16,133316
2017/08/17,89766
2017/08/18,86674
2017/08/19,38764
2017/08/20,-23079
2017/08/21,-17181
2017/08/22,-48519
2017/08/23,-38913
2017/08/24,-75542
2017/08/25,-90735
2017/08/26,-71150
2017/08/27,14247
2017/08/28,-29206
2017/08/29,29922
2017/08/30,25509
2017/08/31,31956
2017/09/01,38376
2017/09/02,25529
2017/09/03,-21648
2017/09/04,78918
2017/09/05,49923
2017/09/06,96156
2017/09/07,63926
2017/09/08,72673
2017/09/09,51857
2017/09/10,22603
2017/09/11,-77208
2017/09/12,-39674
2017/09/13,-130697
2017/09/14,-68096
2017/09/15,-21903
2017/09/16,-9890
2017/09/17,-35611
2017/09/18,-2620
2017/09/19,-67146
2017/09/20,-40695
2017/09/21,-63177
2017/09/22,-170297
2017/09/23,-113657
2017/09/24,-8588
2017/09/25,-56150
2017/09/26,-31677
2017/09/27,-15937
2017/09/28,12134
2017/09/29,55032
2017/09/30,35691
2017/10/01,2942
2017/10/02,-519
2017/10/03,21831
2017/10/04,-1738
2017/10/05,-14400
2017/10/06,-6620
2017/10/07,-4707
2017/10/08,12958
2017/10/09,22077
2017/10/10,21699
2017/10/11,36996
2017/10/12,48603
2017/10/13,59254
2017/10/14,41078
2017/10/15,32092
2017/10/16,80125
2017/10/17,156006
2017/10/18,126144
2017/10/19,130773
2017/10/20,167701
2017/10/21,130733
2017/10/22,106572
2017/10/23,59871
2017/10/24,-13323
2017/10/25,-10030
2017/10/26,-27778
2017/10/27,-546837
2017/10/28,-462902
2017/10/29,-435493
2017/10/30,-468168
2017/10/31,-492288
2017/11/01,61986
2017/11/02,67143
2017/11/03,488639
2017/11/04,398758
2017/11/05,417102
2017/11/06,511663
2017/11/07,470418
2017/11/08,-41992
2017/11/09,-66377
2017/11/10,-31212
2017/11/11,-4380
2017/11/12,17278
2017/11/13,-68487
2017/11/14,5566
2017/11/15,60117
2017/11/16,24310
2017/11/17,51163
2017/11/18,65301
2017/11/19,30183
2017/11/20,86965
2017/11/21,48060
2017/11/22,5959
2017/11/23,45586
2017/11/24,16856
2017/11/25,101460
2017/11/26,77921
2017/11/27,78554
2017/11/28,114945
2017/11/29,117090
2017/11/30,118389
2017/12/01,97274
2017/12/02,66646
2017/12/03,151324
2017/12/04,93139
2017/12/05,54101
2017/12/06,128167
2017/12/07,3611
2017/12/08,143691
2017/12/09,79438
2017/12/10,22767
2017/12/11,127065
2017/12/12,179250
2017/12/13,117885
2017/12/14,283491
2017/12/15,137935
2017/12/16,192634
2017/12/17,159999
2017/12/18,155122
2017/12/19,219894
2017/12/20,76473
2017/12/21,130106
2017/12/22,199177
2017/12/23,19024
2017/12/24,-118340
2017/12/25,-231660
2017/12/26,-278724
2017/12/27,-73352
2017/12/28,-123162
2017/12/29,-13332
2017/12/30,217778
2017/12/31,188693
2018/01/01,156584
2018/01/02,340426
2018/01/03,325278
2018/01/04,400387
2018/01/05,181386
2018/01/06,89758
2018/01/07,205795
2018/01/08,306528
2018/01/09,102304
2018/01/10,-60345
2018/01/11,-175925
2018/01/12,-152820
2018/01/13,-47096
2018/01/14,-71129
2018/01/15,-9053
2018/01/16,21696
2018/01/17,99398
2018/01/18,31219
2018/01/19,-75500
2018/01/20,-194832
2018/01/21,-75063
2018/01/22,-233509
2018/01/23,-349442
2018/01/24,-363415
2018/01/25,-416669
2018/01/26,-89828
2018/01/27,-152600
2018/01/28,-117426
2018/01/29,-36066
2018/01/30,-21916
2018/01/31,-36384
2018/02/01,220244
2018/02/02,27489
2018/02/03,-17403
2018/02/04,-88239
2018/02/05,-61084
2018/02/06,-18359
2018/02/07,-58659
2018/02/08,-327415
2018/02/09,-191111
2018/02/10,33904
2018/02/11,-27369
2018/02/12,-46741
2018/02/13,-142458
2018/02/14,-72241
2018/02/15,95974
2018/02/16,-85049
2018/02/17,-76311
2018/02/18,-17404
2018/02/19,-17636
2018/02/20,141136
2018/02/21,104120
2018/02/22,-15425
2018/02/23,28326
2018/02/24,-39218
2018/02/25,-65510
2018/02/26,-73931
2018/02/27,-192314
2018/02/28,-130136
2018/03/01,-77489
2018/03/02,11582
2018/03/03,-59396
2018/03/04,-47341
2018/03/05,15303
2018/03/06,18008
2018/03/07,63389
2018/03/08,5735
2018/03/09,-94608
2018/03/10,-82088
2018/03/11,-34342
2018/03/12,-74848
2018/03/13,-13498
2018/03/14,-112559
2018/03/15,-35608
2018/03/16,4526
2018/03/17,1826
2018/03/18,75065
2018/03/19,25983
2018/03/20,-37302
2018/03/21,26674
2018/03/22,-35078
2018/03/23,22519
2018/03/24,20000
2018/03/25,-157592
2018/03/26,-77276
2018/03/27,-77736
2018/03/28,-118014
2018/03/29,-35780
2018/03/30,-43487
2018/03/31,-28807
2018/04/01,18769
2018/04/02,-28110
2018/04/03,61869
2018/04/04,48583
2018/04/05,112198
2018/04/06,14365
2018/04/07,-48531
2018/04/08,50592
2018/04/09,11294
2018/04/10,-74536
2018/04/11,-19339
2018/04/12,-3265
2018/04/13,82363
2018/04/14,75323
2018/04/15,24252
2018/04/16,54603
2018/04/17,171435
2018/04/18,94191
2018/04/19,121712
2018/04/20,101876
2018/04/21,134916
2018/04/22,128873
2018/04/23,138468
2018/04/24,73463
2018/04/25,95721
2018/04/26,-20445
2018/04/27,-67741
2018/04/28,29217
2018/04/29,7793
2018/04/30,-24737
2018/05/01,-102447
2018/05/02,-11292
2018/05/03,45713
2018/05/04,236047
2018/05/05,13940
2018/05/06,-65378
2018/05/07,11730
2018/05/08,106259
2018/05/09,43405
2018/05/10,15241
2018/05/11,-174427
2018/05/12,-774
2018/05/13,71166
2018/05/14,11787
2018/05/15,-40888
2018/05/16,-23870
2018/05/17,-19066
2018/05/18,5732
2018/05/19,57801
2018/05/20,14844
2018/05/21,561
2018/05/22,43199
2018/05/23,26120
2018/05/24,-24594
2018/05/25,-30993
2018/05/26,-84356
2018/05/27,-1259
2018/05/28,58791
2018/05/29,-10226
2018/05/30,-16359
2018/05/31,21549
2018/06/01,-42721
2018/06/02,6085
2018/06/03,33973
2018/06/04,-53837
2018/06/05,-31529
2018/06/06,-62948
2018/06/07,-56888
2018/06/08,-38100
2018/06/09,1410
2018/06/10,-38717
2018/06/11,-38180
2018/06/12,-10455
2018/06/13,43567
2018/06/14,-9912
2018/06/15,43786
2018/06/16,-129652
2018/06/17,-122732
2018/06/18,-73232
