Date,mediantransactionvalue3stdUSD
2016/01/01,1.344
2016/01/02,0.241
2016/01/03,0.203
2016/01/04,0.093
2016/01/05,1.207
2016/01/06,1.167
2016/01/07,0
2016/01/08,1.027
2016/01/09,1.031
2016/01/10,0.176
2016/01/11,0.152
2016/01/12,0.243
2016/01/13,1.305
2016/01/14,1.319
2016/01/15,1.459
2016/01/16,0.391
2016/01/17,0.114
2016/01/18,0.083
2016/01/19,0.794
2016/01/20,1.287
2016/01/21,1.4
2016/01/22,0.619
2016/01/23,0.711
2016/01/24,1.025
2016/01/25,0.408
2016/01/26,0.434
2016/01/27,1.675
2016/01/28,1.733
2016/01/29,1.664
2016/01/30,0.313
2016/01/31,0.216
2016/02/01,0.343
2016/02/02,0.358
2016/02/03,0.388
2016/02/04,0.4
2016/02/05,0.11
2016/02/06,2.618
2016/02/07,2.785
2016/02/08,3.257
2016/02/09,0.845
2016/02/10,1.921
2016/02/11,1.481
2016/02/12,1.777
2016/02/13,1.877
2016/02/14,1.74
2016/02/15,0.471
2016/02/16,0.57
2016/02/17,1.52
2016/02/18,0.988
2016/02/19,0.504
2016/02/20,0.36
2016/02/21,0.21
2016/02/22,0.622
2016/02/23,1.013
2016/02/24,0.639
2016/02/25,0.492
2016/02/26,0.54
2016/02/27,0.532
2016/02/28,0.9
2016/02/29,0.505
2016/03/01,0.448
2016/03/02,1.39
2016/03/03,2.091
2016/03/04,1.242
2016/03/05,3.369
2016/03/06,3.009
2016/03/07,2.074
2016/03/08,1.227
2016/03/09,0.889
2016/03/10,3.052
2016/03/11,2.44
2016/03/12,2.636
2016/03/13,3.267
2016/03/14,0.613
2016/03/15,1.364
2016/03/16,1.072
2016/03/17,1.603
2016/03/18,2.769
2016/03/19,1.601
2016/03/20,0.52
2016/03/21,0.772
2016/03/22,1.185
2016/03/23,0.703
2016/03/24,0.66
2016/03/25,1.287
2016/03/26,0.672
2016/03/27,0.43
2016/03/28,0.53
2016/03/29,0.603
2016/03/30,0.558
2016/03/31,0.208
2016/04/01,0.263
2016/04/02,0.284
