Date,difficulty3std
2016/01/01,63775403994
2016/01/02,374862218582
2016/01/03,328230191678
2016/01/04,166710301839
2016/01/05,24192546562
2016/01/06,99527808690
2016/01/07,173858432759
2016/01/08,174075438113
2016/01/09,182713271603
2016/01/10,110375262364
2016/01/11,425348662254
2016/01/12,495025890396
2016/01/13,357498354028
2016/01/14,334857301613
2016/01/15,418468033587
2016/01/16,382210973850
2016/01/17,170915236884
2016/01/18,319917422623
2016/01/19,409653397846
2016/01/20,103988602627
2016/01/21,153781257918
2016/01/22,398088997396
2016/01/23,381109291532
2016/01/24,197187196146
2016/01/25,229113326927
2016/01/26,391846916488
2016/01/27,401482242416
2016/01/28,304047182218
2016/01/29,383324615699
2016/01/30,406279470820
2016/01/31,173260904097
2016/02/01,192354871110
2016/02/02,219878004307
2016/02/03,206943584634
2016/02/04,360629354087
2016/02/05,276042536222
2016/02/06,267131164659
2016/02/07,254021088536
2016/02/08,568151750912
2016/02/09,402414779857
2016/02/10,347983529468
2016/02/11,612274240045
2016/02/12,375593749024
2016/02/13,472039025780
2016/02/14,773671561459
2016/02/15,634792810926
2016/02/16,308702247543
2016/02/17,157614095075
2016/02/18,497272162975
2016/02/19,479176198822
2016/02/20,535924873141
2016/02/21,251219109180
2016/02/22,527211669461
2016/02/23,675719475449
2016/02/24,287864917692
2016/02/25,179023752914
2016/02/26,426915347611
2016/02/27,809473136933
2016/02/28,584458851047
2016/02/29,303698698981
2016/03/01,396461022619
2016/03/02,482597440029
2016/03/03,935745518104
2016/03/04,940365726958
2016/03/05,720747362285
2016/03/06,1013026952936
2016/03/07,749794489626
2016/03/08,267852824346
2016/03/09,574025028749
2016/03/10,434388182555
2016/03/11,712029262437
2016/03/12,1353373349058
2016/03/13,1219272224312
2016/03/14,432223877552
2016/03/15,2391229437359
2016/03/16,2259981124656
2016/03/17,381765199896
2016/03/18,426688087747
2016/03/19,502241913154
2016/03/20,938125255562
2016/03/21,666660827374
2016/03/22,244330200640
2016/03/23,661557465396
2016/03/24,886597079197
2016/03/25,1719295586743
2016/03/26,1340394718583
2016/03/27,902606615672
2016/03/28,464567143355
2016/03/29,628177926572
2016/03/30,885262353745
2016/03/31,1178691993836
2016/04/01,946742247819
2016/04/02,304819793216
2016/04/03,651063897459
2016/04/04,1411847065774
2016/04/05,1174287350247
2016/04/06,416618729330
2016/04/07,986836892251
2016/04/08,1251947021456
2016/04/09,1837575948168
2016/04/10,801057334015
2016/04/11,201545539577
2016/04/12,900027677192
2016/04/13,991348193804
2016/04/14,1249109140843
2016/04/15,894798464617
2016/04/16,1094125450435
2016/04/17,585806434720
2016/04/18,1063445598172
2016/04/19,1523312579166
2016/04/20,546231545990
2016/04/21,741674139027
2016/04/22,934580138177
2016/04/23,1065503531950
2016/04/24,963914814111
2016/04/25,773360554506
2016/04/26,853328118211
2016/04/27,401995772742
2016/04/28,770280599520
2016/04/29,1296178459541
2016/04/30,1389384486500
2016/05/01,1494407804565
2016/05/02,1825297171556
2016/05/03,1943292751934
2016/05/04,1775369933032
2016/05/05,274876230110
2016/05/06,246774665284
2016/05/07,198512547111
2016/05/08,358725756010
2016/05/09,651257708752
2016/05/10,1029653811449
2016/05/11,794469685731
2016/05/12,942018592837
2016/05/13,1979991480879
2016/05/14,2094934936177
2016/05/15,269490691797
2016/05/16,433208828137
2016/05/17,768184989845
2016/05/18,1188222049295
2016/05/19,2495215697831
2016/05/20,1826086960564
2016/05/21,929156855570
2016/05/22,566855205532
2016/05/23,486808131799
2016/05/24,885624006048
2016/05/25,690183037275
2016/05/26,842259080069
2016/05/27,801142649358
2016/05/28,826054149344
2016/05/29,1532156112195
2016/05/30,778157131680
2016/05/31,199650911712
2016/06/01,1412617205393
2016/06/02,1298876428981
2016/06/03,2505870370236
2016/06/04,1973020336067
2016/06/05,108371566314
2016/06/06,332895452838
2016/06/07,1111754549943
2016/06/08,765630479920
2016/06/09,2028072070511
2016/06/10,1888574410671
2016/06/11,1243302715963
2016/06/12,499283485235
2016/06/13,1987755251282
2016/06/14,1951734637492
2016/06/15,515591452841
2016/06/16,76388625587
2016/06/17,1259066669922
2016/06/18,3330251798990
2016/06/19,3159897880380
2016/06/20,4579727818145
2016/06/21,1442902659590
2016/06/22,1035458910931
2016/06/23,2904721334586
2016/06/24,2071405000964
2016/06/25,621621263694
2016/06/26,903924765112
2016/06/27,1586143241659
2016/06/28,1638911467856
2016/06/29,734653408243
2016/06/30,816841085795
2016/07/01,270101905307
2016/07/02,1417318241613
2016/07/03,2042737325936
2016/07/04,958459155846
2016/07/05,824292823583
2016/07/06,1153015390949
2016/07/07,1117323159010
2016/07/08,698980198290
2016/07/09,1312445324126
2016/07/10,1736051649874
2016/07/11,2413765391700
2016/07/12,1049996152490
2016/07/13,510653384958
2016/07/14,101224298862
2016/07/15,1065991729069
2016/07/16,1119865679776
2016/07/17,909862801235
2016/07/18,1046522391632
2016/07/19,673667569267
2016/07/20,1199920120379
2016/07/21,1199054574158
2016/07/22,720112897019
2016/07/23,1062349824877
2016/07/24,1190479817981
2016/07/25,2653814154764
2016/07/26,3003439893392
2016/07/27,6028514181808
