Date,activeaddresses30mom
2016/01/01,950
2016/01/02,901
2016/01/03,1049
2016/01/04,1126
2016/01/05,693
2016/01/06,914
2016/01/07,1381
2016/01/08,1190
2016/01/09,1124
2016/01/10,1268
2016/01/11,825
2016/01/12,1337
2016/01/13,584
2016/01/14,843
2016/01/15,1272
2016/01/16,245
2016/01/17,326
2016/01/18,1053
2016/01/19,822
2016/01/20,1325
2016/01/21,766
2016/01/22,1042
2016/01/23,1540
2016/01/24,2091
2016/01/25,2267
2016/01/26,2788
2016/01/27,2037
2016/01/28,2634
2016/01/29,2605
2016/01/30,2232
2016/01/31,2643
2016/02/01,2308
2016/02/02,2184
2016/02/03,2245
2016/02/04,1969
2016/02/05,2540
2016/02/06,1380
2016/02/07,1796
2016/02/08,2369
2016/02/09,2523
2016/02/10,3740
2016/02/11,5774
2016/02/12,4519
2016/02/13,4224
2016/02/14,2959
2016/02/15,3763
2016/02/16,3905
2016/02/17,3512
2016/02/18,3505
2016/02/19,2967
2016/02/20,3069
2016/02/21,3906
2016/02/22,3388
2016/02/23,2986
2016/02/24,2528
2016/02/25,2834
2016/02/26,2533
2016/02/27,2114
2016/02/28,2847
2016/02/29,3389
2016/03/01,4088
2016/03/02,5355
2016/03/03,6103
2016/03/04,5777
2016/03/05,7886
2016/03/06,6640
2016/03/07,5283
2016/03/08,6797
2016/03/09,5884
2016/03/10,6628
2016/03/11,4289
2016/03/12,3495
2016/03/13,4833
2016/03/14,5871
2016/03/15,6507
2016/03/16,5971
2016/03/17,6293
2016/03/18,7393
2016/03/19,6136
2016/03/20,6255
2016/03/21,6610
2016/03/22,5545
2016/03/23,6436
2016/03/24,5667
2016/03/25,6028
2016/03/26,4849
2016/03/27,6718
2016/03/28,6808
2016/03/29,7966
2016/03/30,8326
2016/03/31,5434
2016/04/01,4006
2016/04/02,3045
2016/04/03,3672
2016/04/04,2644
2016/04/05,3746
2016/04/06,5011
2016/04/07,4449
2016/04/08,3159
2016/04/09,3302
2016/04/10,4719
2016/04/11,2599
2016/04/12,3413
2016/04/13,3447
2016/04/14,3072
2016/04/15,2723
2016/04/16,2408
2016/04/17,1925
2016/04/18,3474
2016/04/19,3147
2016/04/20,3625
2016/04/21,3519
2016/04/22,2434
2016/04/23,3023
2016/04/24,3386
2016/04/25,3770
2016/04/26,2873
2016/04/27,2725
2016/04/28,552
2016/04/29,2232
2016/04/30,10347
2016/05/01,5339
2016/05/02,8877
2016/05/03,5272
2016/05/04,3897
2016/05/05,3630
2016/05/06,4522
2016/05/07,2770
2016/05/08,6435
2016/05/09,5828
2016/05/10,4401
2016/05/11,7537
2016/05/12,7146
2016/05/13,8731
2016/05/14,6880
2016/05/15,6384
2016/05/16,4887
2016/05/17,6177
2016/05/18,9086
2016/05/19,8077
2016/05/20,6431
2016/05/21,5669
2016/05/22,4039
2016/05/23,8453
2016/05/24,6441
2016/05/25,7060
2016/05/26,13495
2016/05/27,10506
2016/05/28,21278
2016/05/29,5627
2016/05/30,-2111
2016/05/31,4395
2016/06/01,-183
2016/06/02,2612
2016/06/03,2897
2016/06/04,1758
2016/06/05,2046
2016/06/06,3732
2016/06/07,1693
2016/06/08,1559
2016/06/09,1697
2016/06/10,-36
2016/06/11,-4073
2016/06/12,-1542
2016/06/13,4579
2016/06/14,5892
2016/06/15,4419
2016/06/16,988
2016/06/17,8672
2016/06/18,7502
2016/06/19,5059
2016/06/20,4368
2016/06/21,6312
2016/06/22,4551
2016/06/23,1541
2016/06/24,1134
2016/06/25,-7815
2016/06/26,-1212
2016/06/27,-14118
2016/06/28,1306
2016/06/29,1743
2016/06/30,251
2016/07/01,1010
2016/07/02,1771
2016/07/03,1678
2016/07/04,3648
2016/07/05,3342
2016/07/06,1597
2016/07/07,1781
2016/07/08,1901
2016/07/09,1759
2016/07/10,1168
2016/07/11,4786
2016/07/12,788
2016/07/13,-5916
2016/07/14,-2720
2016/07/15,-354
2016/07/16,51
2016/07/17,-13938
2016/07/18,-9257
2016/07/19,1462
2016/07/20,3684
2016/07/21,1152
2016/07/22,1343
2016/07/23,3060
2016/07/24,10400
2016/07/25,9622
2016/07/26,14182
2016/07/27,13219
2016/07/28,6597
2016/07/29,4420
2016/07/30,2226
2016/07/31,4508
2016/08/01,4298
2016/08/02,3747
2016/08/03,3891
2016/08/04,3785
2016/08/05,2370
2016/08/06,1036
2016/08/07,938
2016/08/08,2388
2016/08/09,5231
2016/08/10,3233
2016/08/11,5144
2016/08/12,4217
2016/08/13,-74
2016/08/14,921
2016/08/15,2717
2016/08/16,8870
2016/08/17,3625
2016/08/18,-3706
2016/08/19,-3888
2016/08/20,-1579
2016/08/21,-4082
2016/08/22,-2074
2016/08/23,-6971
2016/08/24,-5993
2016/08/25,-11970
2016/08/26,-10185
2016/08/27,-5634
2016/08/28,-2547
2016/08/29,1346
2016/08/30,-1477
2016/08/31,446
2016/09/01,1809
2016/09/02,-68
2016/09/03,-1795
2016/09/04,72
2016/09/05,1325
2016/09/06,1426
2016/09/07,-753
2016/09/08,521
2016/09/09,-262
2016/09/10,-3482
2016/09/11,1340
2016/09/12,2706
2016/09/13,1676
2016/09/14,833
2016/09/15,-1334
2016/09/16,2353
2016/09/17,2136
2016/09/18,-754
2016/09/19,464
2016/09/20,8359
2016/09/21,2366
2016/09/22,-5111
2016/09/23,-1786
2016/09/24,-3701
2016/09/25,-2469
2016/09/26,-3026
2016/09/27,-2798
2016/09/28,-2947
2016/09/29,-1884
2016/09/30,-4545
2016/10/01,-3723
2016/10/02,-1678
2016/10/03,-1870
2016/10/04,-6784
2016/10/05,-5764
2016/10/06,-6472
2016/10/07,-6
2016/10/08,-5650
2016/10/09,162
2016/10/10,1650
2016/10/11,-3521
2016/10/12,-13118
2016/10/13,-16103
2016/10/14,-5877
2016/10/15,-11659
2016/10/16,-9031
2016/10/17,-5487
2016/10/18,2426
2016/10/19,-8215
2016/10/20,-7030
2016/10/21,5664
2016/10/22,1242
2016/10/23,-1145
2016/10/24,326
2016/10/25,592
2016/10/26,1053
2016/10/27,949
2016/10/28,-82
2016/10/29,-2066
2016/10/30,-3931
2016/10/31,1927
2016/11/01,-987
